osm_id,code,fclass,name,geometry,Latitude,Longitude
21631698,2301,restaurant,,POINT (-79.3965963 43.6320111),43.6320111,-79.3965963
67972514,2301,restaurant,The Black Briik,POINT (-79.4331877 43.6602005),43.6602005,-79.4331877
137441530,2301,restaurant,Prague Restaurant,POINT (-79.2159596 43.7543846),43.7543846,-79.2159596
243421095,2301,restaurant,Pi Co.,POINT (-79.4258236 43.6814873),43.6814873,-79.4258236
243955821,2301,restaurant,The Wheel,POINT (-79.4025009 43.6633207),43.6633207,-79.4025009
244884014,2301,restaurant,Harry's Charbroiled,POINT (-79.4098907 43.6556742),43.6556742,-79.4098907
245020012,2301,restaurant,The Fourth Man in the Fire,POINT (-79.4096053 43.6517057),43.6517057,-79.4096053
249295975,2301,restaurant,Drom Taberna,POINT (-79.3995577 43.648206),43.648206,-79.3995577
267314310,2301,restaurant,Red Lobster,POINT (-79.3836362 43.6561655),43.6561655,-79.3836362
281143199,2301,restaurant,Mexitaco,POINT (-79.2955784 43.7086174),43.7086174,-79.2955784
281361498,2301,restaurant,The Irv,POINT (-79.3706101 43.6635722),43.6635722,-79.3706101
281361566,2301,restaurant,Chew Chew's Diner,POINT (-79.3723075 43.6634831),43.6634831,-79.3723075
281658962,2301,restaurant,Naan Kabob,POINT (-79.3905772 43.6500389),43.6500389,-79.3905772
281665389,2301,restaurant,Biagio Ristorante,POINT (-79.3723941 43.6502174),43.6502174,-79.3723941
281668457,2301,restaurant,P.J. O'Brien Restaurant,POINT (-79.3753257 43.6488983),43.6488983,-79.3753257
281668949,2301,restaurant,Mercatto Restaurant,POINT (-79.3760324 43.6502414),43.6502414,-79.3760324
281669024,2301,restaurant,,POINT (-79.3761816 43.6507525),43.6507525,-79.3761816
281669063,2301,restaurant,BLD Restaurant,POINT (-79.3766921 43.6506875),43.6506875,-79.3766921
281669489,2301,restaurant,Sunset Grill,POINT (-79.3790842 43.6515163),43.6515163,-79.3790842
281670821,2301,restaurant,Kyoto House Japanese Restaurant,POINT (-79.3852819 43.6552609),43.6552609,-79.3852819
281671474,2301,restaurant,Gyubee Japanese Grill,POINT (-79.3858166 43.6551479),43.6551479,-79.3858166
281671513,2301,restaurant,Hemispheres Restaurant Bistro,POINT (-79.386186 43.6548563),43.6548563,-79.386186
281920543,2301,restaurant,Piggy's,POINT (-79.3631392 43.6668603),43.6668603,-79.3631392
286375712,2301,restaurant,Roméo Bouzouki Lounge,POINT (-79.3455451 43.6788984),43.6788984,-79.3455451
288059641,2301,restaurant,Pizza Hut,POINT (-79.405697 43.704869),43.704869,-79.405697
292779325,2301,restaurant,Fran's Restaurant,POINT (-79.3789778 43.6543834),43.6543834,-79.3789778
302098530,2301,restaurant,Congee Wong,POINT (-79.3657401 43.7906388),43.7906388,-79.3657401
302098531,2301,restaurant,Petit Potato,POINT (-79.3660962 43.7905754),43.7905754,-79.3660962
302180548,2301,restaurant,The Keg,POINT (-79.3608736 43.7588226),43.7588226,-79.3608736
303252636,2301,restaurant,Kinka Izakaya,POINT (-79.410606 43.6651083),43.6651083,-79.410606
305023849,2301,restaurant,Matha Roti,POINT (-79.4063327 43.6620921),43.6620921,-79.4063327
305024784,2301,restaurant,Akai,POINT (-79.4049411 43.6625828),43.6625828,-79.4049411
305486597,2301,restaurant,Chinese Halal Restaurant,POINT (-79.3667693 43.7911958),43.7911958,-79.3667693
305490023,2301,restaurant,Asian Legend,POINT (-79.2672011 43.7883678),43.7883678,-79.2672011
305490566,2301,restaurant,Asian Legend,POINT (-79.3671906 43.7906658),43.7906658,-79.3671906
305547324,2301,restaurant,Fieramosca Cafe,POINT (-79.3973053 43.6695014),43.6695014,-79.3973053
305547348,2301,restaurant,Opus Restaurant on Prince Arthur,POINT (-79.3972109 43.6692221),43.6692221,-79.3972109
305765035,2301,restaurant,Joyous Chinese Cuisine,POINT (-79.3677019 43.7912104),43.7912104,-79.3677019
305765278,2301,restaurant,Jerusalem Restaurant,POINT (-79.3639364 43.7788827),43.7788827,-79.3639364
310142575,2301,restaurant,Swiss Chalet,POINT (-79.5776247 43.7121924),43.7121924,-79.5776247
314934590,2301,restaurant,Olde Yorke Fish & Chips,POINT (-79.3619522 43.7061869),43.7061869,-79.3619522
315665144,2301,restaurant,Swiss Chalet Express,POINT (-79.2929317 43.6716885),43.6716885,-79.2929317
331078293,2301,restaurant,Palace Restaurant,POINT (-79.3453954 43.6798251),43.6798251,-79.3453954
333553034,2301,restaurant,New College Cafeteria,POINT (-79.4011589 43.6620985),43.6620985,-79.4011589
333553044,2301,restaurant,The Arbor Room,POINT (-79.3945238 43.6636712),43.6636712,-79.3945238
339550397,2301,restaurant,Red Lobster,POINT (-79.4561032 43.7189057),43.7189057,-79.4561032
343270097,2301,restaurant,nutbar,POINT (-79.3979085 43.6461322),43.6461322,-79.3979085
343271253,2301,restaurant,Avenue Open Kitchen & Deli,POINT (-79.3964363 43.6471362),43.6471362,-79.3964363
343277616,2301,restaurant,Campechano Taqueria,POINT (-79.4007525 43.6457945),43.6457945,-79.4007525
344478164,2301,restaurant,Sector 17,POINT (-79.3722469 43.6583384),43.6583384,-79.3722469
344545246,2301,restaurant,Garage,POINT (-79.380393 43.6647899),43.6647899,-79.380393
344545834,2301,restaurant,Ginger,POINT (-79.3809334 43.6653713),43.6653713,-79.3809334
357144487,2301,restaurant,SS Kitchen,POINT (-79.1388241 43.7985753),43.7985753,-79.1388241
364937089,2301,restaurant,Jadranka Cafe & Pastries,POINT (-79.5059173 43.6773604),43.6773604,-79.5059173
368374802,2301,restaurant,Dumpling House Restaurant,POINT (-79.3986924 43.6537676),43.6537676,-79.3986924
368384750,2301,restaurant,Sizzler Kabab,POINT (-79.3990565 43.6562551),43.6562551,-79.3990565
368384887,2301,restaurant,PaPaSpicy,POINT (-79.3985689 43.6550466),43.6550466,-79.3985689
368384913,2301,restaurant,Kupfert & Kim - Spadina,POINT (-79.396262 43.647695),43.647695,-79.396262
368385316,2301,restaurant,Pizza Rustica Restaurant & Bar,POINT (-79.3917106 43.6450581),43.6450581,-79.3917106
368385382,2301,restaurant,Boston Pizza,POINT (-79.388488 43.644225),43.644225,-79.388488
368385447,2301,restaurant,Scaddabush,POINT (-79.3854168 43.6448503),43.6448503,-79.3854168
369890181,2301,restaurant,The Rib House,POINT (-79.3158048 43.6932383),43.6932383,-79.3158048
369890182,2301,restaurant,Thai Wok Restaurant,POINT (-79.3157307 43.6930144),43.6930144,-79.3157307
372344042,2301,restaurant,Colaba Junction,POINT (-79.385704 43.6609526),43.6609526,-79.385704
372352176,2301,restaurant,Kanpai Snack Bar,POINT (-79.3681758 43.6643205),43.6643205,-79.3681758
372478475,2301,restaurant,Sultan Shawarma & Falafel,POINT (-79.3017656 43.6882975),43.6882975,-79.3017656
372484982,2301,restaurant,George's Grill,POINT (-79.3168216 43.6956639),43.6956639,-79.3168216
372934940,2301,restaurant,Hooters,POINT (-79.3905326 43.6479942),43.6479942,-79.3905326
373123621,2301,restaurant,California Pub & Grill,POINT (-79.3476982 43.6858529),43.6858529,-79.3476982
373124075,2301,restaurant,K.C. Caribbean Take-Out,POINT (-79.3472838 43.6859401),43.6859401,-79.3472838
373164084,2301,restaurant,Westbank Restaurant & Bar,POINT (-79.2719464 43.7137573),43.7137573,-79.2719464
375835454,2301,restaurant,Red Lobster,POINT (-79.7411306 43.7038716),43.7038716,-79.7411306
380027360,2301,restaurant,Eggsmart,POINT (-79.376202 43.6711436),43.6711436,-79.376202
380027413,2301,restaurant,Gabby's,POINT (-79.3759409 43.6697144),43.6697144,-79.3759409
380036444,2301,restaurant,Westown Chinese Food,POINT (-79.3746141 43.6664601),43.6664601,-79.3746141
380041580,2301,restaurant,CC Lounge and Whiskey Bar,POINT (-79.3744397 43.647892),43.647892,-79.3744397
380041659,2301,restaurant,Oliver & Bonacini Café & Grill,POINT (-79.3767732 43.6471732),43.6471732,-79.3767732
383405967,2301,restaurant,Top Gun Burger,POINT (-79.4978303 43.7965184),43.7965184,-79.4978303
383551131,2301,restaurant,,POINT (-79.5755607 43.7009122),43.7009122,-79.5755607
384785117,2301,restaurant,Pizza Hut,POINT (-79.2347236 43.7572163),43.7572163,-79.2347236
385624214,2301,restaurant,Sammy's Family Restaurant,POINT (-79.2442293 43.7535345),43.7535345,-79.2442293
387441278,2301,restaurant,Tacos El Asador,POINT (-79.4169172 43.6637644),43.6637644,-79.4169172
387446821,2301,restaurant,Buk Chang Dong Soon Tofu,POINT (-79.4169987 43.6637464),43.6637464,-79.4169987
387446833,2301,restaurant,Kintori,POINT (-79.4163143 43.6641535),43.6641535,-79.4163143
