osm_id,code,fclass,name,geometry,Latitude,Longitude
25325833,5601,railway_station,Gilmore,POINT (-123.013418 49.2650043),49.2650043,-123.013418
25751159,5601,railway_station,Main Street–Science World,POINT (-123.100443 49.2731524),49.2731524,-123.100443
258029290,5601,railway_station,Brentwood Town Centre,POINT (-123.001723 49.2664016),49.2664016,-123.001723
3831781786,5601,railway_station,Waterfront,POINT (-123.112219 49.2861789),49.2861789,-123.112219
3956040167,5601,railway_station,Commercial–Broadway,POINT (-123.0691167 49.2618519),49.2618519,-123.0691167
3956055739,5601,railway_station,Bridgeport,POINT (-123.125937 49.195606),49.195606,-123.125937
5324559457,5601,railway_station,Metrotown,POINT (-123.0038944 49.2258524),49.2258524,-123.0038944
5324568678,5601,railway_station,Patterson,POINT (-123.012788 49.2298294),49.2298294,-123.012788
5324581126,5601,railway_station,Joyce–Collingwood,POINT (-123.031678 49.2383663),49.2383663,-123.031678
5324590526,5601,railway_station,Nanaimo,POINT (-123.0560245 49.2484591),49.2484591,-123.0560245
5324600053,5601,railway_station,29th Avenue,POINT (-123.0459222 49.2442084),49.2442084,-123.0459222
5324621993,5601,railway_station,VCC–Clark,POINT (-123.079141 49.2658292),49.2658292,-123.079141
5324635042,5601,railway_station,Granville,POINT (-123.116043 49.2832289),49.2832289,-123.116043
5324635405,5601,railway_station,Stadium–Chinatown,POINT (-123.109311 49.279398),49.279398,-123.109311
5324651729,5601,railway_station,Burrard,POINT (-123.119815 49.2856364),49.2856364,-123.119815
5324730259,5601,railway_station,Rupert,POINT (-123.033098 49.260712),49.260712,-123.033098
5324734517,5601,railway_station,Renfrew,POINT (-123.045255 49.2589451),49.2589451,-123.045255
5324748888,5601,railway_station,Aberdeen,POINT (-123.136316 49.1839817),49.1839817,-123.136316
5324785127,5601,railway_station,Lansdowne,POINT (-123.136465 49.174568),49.174568,-123.136465
5324786154,5601,railway_station,Richmond–Brighouse,POINT (-123.1362733 49.1681069),49.1681069,-123.1362733
5324792504,5601,railway_station,Templeton,POINT (-123.1464661 49.1966743),49.1966743,-123.1464661
5324793019,5601,railway_station,Sea Island Centre,POINT (-123.1580114 49.1930248),49.1930248,-123.1580114
5324798857,5601,railway_station,Olympic Village,POINT (-123.1156986 49.2665609),49.2665609,-123.1156986
5324814227,5601,railway_station,Marine Drive,POINT (-123.116935 49.209675),49.209675,-123.116935
5324820129,5601,railway_station,Oakridge-41st Avenue,POINT (-123.1166166 49.2331614),49.2331614,-123.1166166
5324820954,5601,railway_station,Langara-49th Avenue,POINT (-123.11609 49.2262741),49.2262741,-123.11609
5324825482,5601,railway_station,King Edward,POINT (-123.115829 49.2491759),49.2491759,-123.115829
5324830285,5601,railway_station,Broadway–City Hall,POINT (-123.11451 49.2628399),49.2628399,-123.11451
5324837598,5601,railway_station,Yaletown–Roundhouse,POINT (-123.121905 49.2745376),49.2745376,-123.121905
5324838897,5601,railway_station,Vancouver City Centre,POINT (-123.118984 49.2820548),49.2820548,-123.118984
5328604043,5601,railway_station,Waterfront,POINT (-123.111278 49.2859502),49.2859502,-123.111278
5330999693,5601,railway_station,YVR–Airport,POINT (-123.178347 49.1942382),49.1942382,-123.178347
6481882067,5601,railway_station,North Vancouver,POINT (-123.1140564 49.3155483),49.3155483,-123.1140564
7012109787,5601,railway_station,Vancouver Pacific Central,POINT (-123.097863 49.2737461),49.2737461,-123.097863
8576664378,5601,railway_station,Waterfront,POINT (-123.11354 49.2855437),49.2855437,-123.11354
8576664379,5601,railway_station,Commercial–Broadway,POINT (-123.0684944 49.2629509),49.2629509,-123.0684944
