Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
0,1787 Saint Clair Ave W #414,M6N1H9,43.673553,-79.461868,York,525000.0,2 bds,1 ba,,0,0,1,0,10,1,11,3,0,2,0,0,0,0,0,POINT (-79.461868 43.673553),Weston-Pelham Park,910.0,182.0,21.0,4.0,628.0,126.0,261.0,52.0
1,509 Beecroft Rd #1209,M2N0A3,43.778652,-79.417947,North York,848000.0,3 bds,2 ba,,0,1,4,1,25,1,40,15,0,10,0,0,0,0,1,POINT (-79.417947 43.778652),Willowdale West,978.0,196.0,4.0,1.0,454.0,91.0,520.0,104.0
3,186 Macpherson Ave,M5R1W8,43.677945,-79.396728,Central Toronto,2218000.0,3 bds,3 ba,,0,0,1,0,11,0,7,2,0,0,0,0,0,0,0,POINT (-79.396728 43.677945),Annex,3265.0,653.0,4.0,1.0,2074.0,415.0,1187.0,237.0
4,195 McCaul St #909,M5T0E5,43.6567,-79.392206,Downtown Toronto,449900.0,Studio,1 ba,,5,2,25,1,10,4,34,30,0,38,0,0,0,0,0,POINT (-79.392206 43.6567),Kensington-Chinatown,3837.0,767.0,31.0,6.0,2546.0,509.0,1260.0,252.0
5,30 Roehampton Ave UNIT 1902,M4P0B9,43.708432,-79.397532,Central Toronto,630000.0,2 bds,2 ba,,0,1,3,7,30,5,38,17,1,36,0,0,0,0,2,POINT (-79.397532 43.708432),North Toronto,988.0,198.0,4.0,1.0,710.0,142.0,274.0,55.0
6,84 Old Forest Hill Rd,M5P2R5,43.698984,-79.418189,Central Toronto,16950000.0,7 bds,8 ba,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,POINT (-79.418189 43.698984),Forest Hill South,700.0,140.0,1.0,0.0,283.0,57.0,416.0,83.0
7,625 Queen St E #607,M4M1G7,43.658001,-79.352987,East Toronto,769900.0,2 bds,1 ba,,0,0,0,0,3,3,9,5,0,6,0,0,0,0,0,POINT (-79.352987 43.658001),South Riverdale,2889.0,578.0,21.0,4.0,1796.0,359.0,1072.0,214.0
8,320 Dixon Rd #506,M9R1S8,43.696822,-79.552528,Etobicoke,399900.0,2 bds,1 ba,,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,POINT (-79.552528 43.696822),Kingsview Village-The Westway,1575.0,315.0,17.0,3.0,668.0,134.0,890.0,178.0
9,45 Manning Ave,M6J2K3,43.647598,-79.408882,West Toronto,999999.0,3 bds,1 ba,,0,0,2,0,1,3,34,10,0,11,0,0,0,0,0,POINT (-79.408882 43.647598),Trinity-Bellwoods,1246.0,249.0,5.0,1.0,857.0,171.0,384.0,77.0
10,41 Pinto Dr,M2J3T9,43.791871,-79.339242,North York,1149000.0,6 bds,3 ba,"1,855 sqft",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,POINT (-79.339242 43.791871),Pleasant View,743.0,149.0,2.0,0.0,278.0,56.0,463.0,93.0
