,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
0,0,agincourt north,639,435 middlefield rd #56,43.808839,-79.256579,POINT (640226.2005509724 4852118.588431975),848800,4,4,1285,257,7,1,487,97,791,158,9005,7485,1960,2020,780,175,9720,7890,1760,1060,225,110,30,agincourt north,4,7.262003334556144,0.550812195440073,12,2,78,1,8,18,58,8,0,0,0
1,1,agincourt north,755,78 ashridge dr,43.815736,-79.268628,POINT (639241.0382690977 4852864.261428865),998000,5,3,1285,257,7,1,487,97,791,158,9005,7485,1960,2020,780,175,9720,7890,1760,1060,225,110,30,agincourt north,4,7.262003334556144,0.550812195440073,12,2,78,1,13,49,97,12,0,1,0
2,2,agincourt north,873,48 ardgowan cres,43.812243,-79.271403,POINT (639025.9696566293 4852471.639622301),898000,4,3,1285,257,7,1,487,97,791,158,9005,7485,1960,2020,780,175,9720,7890,1760,1060,225,110,30,agincourt north,4,7.262003334556144,0.550812195440073,12,2,78,1,13,48,88,5,4,4,0
3,3,agincourt north,1082,119 - 5235 finch ave e,43.809932,-79.254877,POINT (640360.5362696599 4852242.870013357),560000,3,2,1285,257,7,1,487,97,791,158,9005,7485,1960,2020,780,175,9720,7890,1760,1060,225,110,30,agincourt north,4,7.262003334556144,0.550812195440073,12,2,78,1,9,17,61,9,0,0,0
4,4,agincourt south malvern west,477,60 manorglen cres,43.780125,-79.271026,POINT (639130.8167991819 4848905.055121312),1199000,4,3,1806,361,18,4,930,186,858,172,7035,6535,2085,2160,800,270,7600,7095,1880,1160,265,175,31,agincourt south-malvern west,6,7.873072045826468,0.7620913367839194,56,14,114,4,1,48,127,1,0,0,0
5,5,agincourt south malvern west,638,61 fulbert cres,43.790312,-79.287079,POINT (637815.6013977984 4850009.625919316),1648000,6,4,1806,361,18,4,930,186,858,172,7035,6535,2085,2160,800,270,7600,7095,1880,1160,265,175,31,agincourt south-malvern west,6,7.873072045826468,0.7620913367839194,56,14,114,4,4,56,101,4,0,0,0
6,6,agincourt south malvern west,646,135 village green sq #418,43.777872,-79.280751,POINT (638353.4323632173 4848638.524521563),549000,2,2,1806,361,18,4,930,186,858,172,7035,6535,2085,2160,800,270,7600,7095,1880,1160,265,175,31,agincourt south-malvern west,6,7.873072045826468,0.7620913367839194,56,14,114,4,1,52,101,0,1,0,0
7,7,agincourt south malvern west,885,418 - 135 village green sq,43.777872,-79.280751,POINT (638353.4323632173 4848638.524521563),549000,2,2,1806,361,18,4,930,186,858,172,7035,6535,2085,2160,800,270,7600,7095,1880,1160,265,175,31,agincourt south-malvern west,6,7.873072045826468,0.7620913367839194,56,14,114,4,1,52,101,0,1,0,0
8,8,agincourt south malvern west,918,1717 - 4725 sheppard ave e,43.790016,-79.254657,POINT (640424.8846845736 4850031.250513165),417171,2,1,1806,361,18,4,930,186,858,172,7035,6535,2085,2160,800,270,7600,7095,1880,1160,265,175,31,agincourt south-malvern west,6,7.873072045826468,0.7620913367839194,56,14,114,4,15,52,99,11,3,0,1
9,9,agincourt south malvern west,1011,1801 - 225 village green sq,43.779842,-79.281958,POINT (638251.7593640831 4848855.307332144),559000,2,1,1806,361,18,4,930,186,858,172,7035,6535,2085,2160,800,270,7600,7095,1880,1160,265,175,31,agincourt south-malvern west,6,7.873072045826468,0.7620913367839194,56,14,114,4,1,53,89,1,0,0,0
