street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_1.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_1.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_1.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_1.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_1.5_values
1525 coal harbour cay #b17,downtown,49.291479,-123.128047,375000,1,1.0,point (-123.128047 49.291479),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,8,14,93,15,248,104,0,71,0,0,0,10
838 hamilton st #1009,downtown,49.278326,-123.116209,350000,2,1.0,point (-123.116209 49.278326),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,29,17,164,39,307,183,0,148,0,0,0,11
1480 howe st #p5-502,downtown,49.274891,-123.131173,89800,0,1.0,point (-123.131173 49.274891),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,11,13,103,18,234,101,0,79,0,0,0,8
1159 main st #505,downtown,49.274261,-123.100494,768000,2,2.0,point (-123.100494 49.274261),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,4,9,137,29,146,73,0,54,0,0,0,4
138 hastings st e #206,downtown,49.281058,-123.101197,359000,1,1.0,point (-123.101197 49.281058),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,8,8,128,31,124,77,0,70,0,0,0,3
1188 howe st #2403,downtown,49.278315,-123.12697,748000,2,2.0,point (-123.12697 49.278315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,23,19,139,23,310,143,0,115,0,0,0,13
1325 rolston st #1513,downtown,49.275617,-123.127925,633000,0,1.0,point (-123.127925 49.275617),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,16,14,125,20,280,131,0,103,0,0,0,10
63 keefer pl #502,downtown,49.279933,-123.10662,970000,3,2.0,point (-123.10662 49.279933),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,22,11,167,37,197,130,0,103,0,0,0,7
1189 melville st #3404,downtown,49.287784,-123.123458,1650000,2,3.0,point (-123.123458 49.287784),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,25,21,134,27,340,172,0,128,0,0,0,13
1499 w pender st #1802,downtown,49.289964,-123.128049,2798000,2,3.0,point (-123.128049 49.289964),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,9,18,111,18,289,126,0,90,0,0,0,12
