osm_id,code,fclass,name,geometry,Latitude,Longitude
32972416,2302,fast_food,Villages Pizza,POINT (-123.4453148 48.5755485),48.5755485,-123.4453148
255592219,2302,fast_food,Triple O's,POINT (-122.9565578 49.0911615),49.0911615,-122.9565578
313855811,2302,fast_food,McDonald's,POINT (-123.1547249 49.2347493),49.2347493,-123.1547249
338164171,2302,fast_food,Chinel Chicken,POINT (-123.1595312 49.1441581),49.1441581,-123.1595312
338164222,2302,fast_food,McDonald's,POINT (-123.1584726 49.1537523),49.1537523,-123.1584726
338164224,2302,fast_food,Subway,POINT (-123.1578592 49.1549531),49.1549531,-123.1578592
444183333,2302,fast_food,Subway,POINT (-123.137885 49.1401463),49.1401463,-123.137885
446005700,2302,fast_food,KFC,POINT (-123.137394 49.1398614),49.1398614,-123.137394
448152523,2302,fast_food,McDonald's,POINT (-123.0940869 49.1330851),49.1330851,-123.0940869
448152776,2302,fast_food,Burger King,POINT (-123.0973124 49.1329977),49.1329977,-123.0973124
471726425,2302,fast_food,McDonald's,POINT (-123.0055192 49.2603585),49.2603585,-123.0055192
471726482,2302,fast_food,McDonald's,POINT (-123.024278 49.265883),49.265883,-123.024278
482697785,2302,fast_food,Dairy Queen,POINT (-122.966568 49.2801689),49.2801689,-122.966568
518120600,2302,fast_food,McDonald's,POINT (-123.030545 49.2809003),49.2809003,-123.030545
518120608,2302,fast_food,Dairy Queen,POINT (-123.0119717 49.2812097),49.2812097,-123.0119717
570215991,2302,fast_food,Church's Chicken,POINT (-123.181556 49.1709566),49.1709566,-123.181556
582801100,2302,fast_food,Budgies Burritos,POINT (-123.1004357 49.2635672),49.2635672,-123.1004357
610449963,2302,fast_food,Glad's Ice Cream and Sweets,POINT (-123.4983955 48.8532839),48.8532839,-123.4983955
634580768,2302,fast_food,Triple O's,POINT (-123.0910446 49.1924274),49.1924274,-123.0910446
635894583,2302,fast_food,McDonald's,POINT (-123.178066 49.2640388),49.2640388,-123.178066
642897591,2302,fast_food,McDonald's,POINT (-123.2425065 49.2666817),49.2666817,-123.2425065
644348666,2302,fast_food,Evelyn's Coffee and Grill,POINT (-123.1545889 49.2636867),49.2636867,-123.1545889
649986497,2302,fast_food,Freshslice Pizza,POINT (-123.1181578 49.2845541),49.2845541,-123.1181578
663959735,2302,fast_food,Pita Pit,POINT (-123.2420861 49.2661113),49.2661113,-123.2420861
695005828,2302,fast_food,Pajo's Fish and Chips,POINT (-123.1863673 49.1239129),49.1239129,-123.1863673
700544422,2302,fast_food,Subway,POINT (-123.0683041 49.2468123),49.2468123,-123.0683041
700544550,2302,fast_food,Papa John's,POINT (-122.969566 49.2191586),49.2191586,-122.969566
700544552,2302,fast_food,A&W,POINT (-122.969212 49.2196492),49.2196492,-122.969212
700544554,2302,fast_food,Subway,POINT (-122.9683 49.2196001),49.2196001,-122.9683
700544555,2302,fast_food,Panago,POINT (-122.96859 49.2196141),49.2196141,-122.96859
700544584,2302,fast_food,Domino's,POINT (-122.9969589 49.2218272),49.2218272,-122.9969589
700544633,2302,fast_food,McDonald's,POINT (-123.0657587 49.2331055),49.2331055,-123.0657587
700544634,2302,fast_food,Kent's Kitchen,POINT (-123.0659733 49.2331195),49.2331195,-123.0659733
700713941,2302,fast_food,Papa Dave's Pizza Indian Cuisine,POINT (-123.0777235 49.2256886),49.2256886,-123.0777235
700713943,2302,fast_food,McDonald's,POINT (-123.0773813 49.2182564),49.2182564,-123.0773813
700713953,2302,fast_food,KFC,POINT (-123.0777236 49.2256116),49.2256116,-123.0777236
704317952,2302,fast_food,McDonald's,POINT (-123.11626 49.2634907),49.2634907,-123.11626
704318028,2302,fast_food,A&W,POINT (-123.1213659 49.2635154),49.2635154,-123.1213659
706961806,2302,fast_food,Dairy Queen,POINT (-123.065003 49.2390725),49.2390725,-123.065003
721674471,2302,fast_food,Subway,POINT (-123.065504 49.226217),49.226217,-123.065504
724597032,2302,fast_food,Subway,POINT (-123.1527767 49.2625141),49.2625141,-123.1527767
734871888,2302,fast_food,Que Pasa,POINT (-123.0926925 49.125729),49.125729,-123.0926925
745987499,2302,fast_food,Mr. Sub,POINT (-123.0447466 49.2621478),49.2621478,-123.0447466
745987501,2302,fast_food,A&W,POINT (-123.0316749 49.3053018),49.3053018,-123.0316749
766719924,2302,fast_food,KFC,POINT (-122.8908325 49.1614935),49.1614935,-122.8908325
766719925,2302,fast_food,Taco Bell,POINT (-122.89107 49.1614786),49.1614786,-122.89107
768417669,2302,fast_food,McDonald's,POINT (-123.138066 49.2634307),49.2634307,-123.138066
768951588,2302,fast_food,Subway,POINT (-123.078228 49.090412),49.090412,-123.078228
768965378,2302,fast_food,McDonald's,POINT (-123.1358929 49.1616399),49.1616399,-123.1358929
