Street address,City,State,Zip Code,Country,Latitude,Longitude,Postal code,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage
1525 Coal Harbour Cay #B17, Vancouver,BC,V6G3E7,Canada,49.291479,-123.128047,V6G,NW West End / Stanley Park,Vancouver,"C$375,000",1 bd,1 ba,484 sqft
2106 SW Marine Dr, Vancouver,BC,V6P6B5,Canada,49.214789,-123.15583,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$27,500,000",6 bds,9 ba,"10,709 sqft"
3440 Broadway W #126, Vancouver,BC,V6R4R2,Canada,49.264012,-123.180766,V6R,West Kitsilano / West Point Grey / Jericho,Vancouver,"C$989,988",3 bds,2 ba,"1,266 sqft"
8481 Portside Ct, Vancouver,BC,V5P4V4,Canada,49.207213,-123.061855,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$899,900",3 bds,3 ba,"1,404 sqft"
2870 SW Marine Dr, Vancouver,BC,V6N3X9,Canada,49.225986,-123.170995,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$16,900,000",7 bds,11 ba,"11,271 sqft"
3823 Cypress St, Vancouver,BC,V6J3P4,Canada,49.25175,-123.149196,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$23,999,000",8 bds,12 ba,"20,629 sqft"
2815 Yale St, Vancouver,BC,V5K1C5,Canada,49.290923,-123.046093,V5K,North Hastings-Sunrise,Vancouver,"C$1,950,000",4 bds,3 ba,"2,567 sqft"
1219 Harwood St #201, Vancouver,BC,V6E1S5,Canada,49.280802,-123.135616,V6E,SE West End / Davie Village,Vancouver,"C$550,000",2 bds,2 ba,744 sqft
1611 E 3rd Ave #107, Vancouver,BC,V5N1H1,Canada,49.268053,-123.071359,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$579,000",2 bds,1 ba,690 sqft
1188 W 55th Ave, Vancouver,BC,V6P1R1,Canada,49.220119,-123.132186,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$28,880,000",8 bds,12 ba,"15,371 sqft"
2478 W 5th Ave, Vancouver,BC,V6K1S8,Canada,49.267165,-123.161621,V6K,Central Kitsilano / Greektown,Vancouver,"C$849,000",2 bds,2 ba,855 sqft
4513 Nanaimo St, Vancouver,BC,V5N5J2,Canada,49.244586,-123.057159,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$748,800",1 bd,1 ba,678 sqft
3462 Dartmoor Pl, Vancouver,BC,V5S4G2,Canada,49.210305,-123.028942,V5S,Killarney,Vancouver,"C$790,000",3 bds,2 ba,"1,268 sqft"
838 Hamilton St #1009, Vancouver,BC,V6B6A2,Canada,49.278326,-123.116209,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$350,000",2 bds,1 ba,595 sqft
1201 Lameys Mill Rd #22, Vancouver,BC,V6H3S8,Canada,49.267408,-123.134371,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$925,000",2 bds,2 ba,"1,499 sqft"
3945 Alice St #2, Vancouver,BC,V5N4J6,Canada,49.249891,-123.066147,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$1,399,000",3 bds,3 ba,"1,111 sqft"
1480 Howe St #P5-502, Vancouver,BC,V6Z0G5,Canada,49.274891,-123.131173,V6Z,SW Downtown,Vancouver,"C$89,800",Studio,1ba,70 sqft
2711 Point Grey Rd, Vancouver,BC,V6K1A4,Canada,49.272416,-123.166684,V6K,Central Kitsilano / Greektown,Vancouver,"C$14,900,000",4 bds,6 ba,"4,870 sqft"
1828 SE Marine Dr, Vancouver,BC,V5P2R3,Canada,49.210319,-123.069152,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$1,160,000",3 bds,3 ba,"1,431 sqft"
4788 Belmont Ave, Vancouver,BC,V6T1A9,Canada,49.274912,-123.219831,V6T,UBC,Vancouver,"C$28,888,000",7 bds,11 ba,"10,077 sqft"
1042 Ironwork Pass, Vancouver,BC,V6H3P1,Canada,49.268132,-123.128577,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$1,399,000",3 bds,2 ba,"1,522 sqft"
1611 Drummond Dr, Vancouver,BC,V6T1B7,Canada,49.274087,-123.222267,V6T,UBC,Vancouver,"C$22,000,000",5 bds,6 ba,"6,487 sqft"
159 W 2nd Ave #2/503, Vancouver,BC,V5Y0L8,Canada,49.269571,-123.108504,V5Y,West Mount Pleasant / West Riley Park,Vancouver,"C$56,000",Studio,1ba,161 sqft
1599 Angus Dr, Vancouver,BC,V6J4H2,Canada,49.254756,-123.141274,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$21,800,000",8 bds,9 ba,"11,963 sqft"
8258 Tugboat Pl, Vancouver,BC,V6P6P8,Canada,49.210799,-123.153303,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$2,998,000",4 bds,4 ba,"3,495 sqft"
1251 Cardero St #1808, Vancouver,BC,V6G2H9,Canada,49.284994,-123.139881,V6G,NW West End / Stanley Park,Vancouver,"C$399,000",1 bd,1 ba,651 sqft
3688 W 49th Ave, Vancouver,BC,V6N3T8,Canada,49.227055,-123.186489,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$3,488,000",4 bds,3 ba,"2,334 sqft"
1675 Larch St, Vancouver,BC,V6K3N7,Canada,49.271174,-123.162392,V6K,Central Kitsilano / Greektown,Vancouver,"C$2,128,000",2 bds,2 ba,"1,068 sqft"
1159 Main St #505, Vancouver,BC,V6A4B6,Canada,49.274261,-123.100494,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$768,000",2 bds,2 ba,"1,061 sqft"
1128 Georgia St W #4903, Vancouver,BC,V6E0A8,Canada,49.285762,-123.123947,V6E,SE West End / Davie Village,Vancouver,"C$19,988,000",4 bds,6 ba,"7,299 sqft"
138 Hastings St E #206, Vancouver,BC,V6A0E6,Canada,49.281058,-123.101197,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$359,000",1 bd,1 ba,452 sqft
1720 Barclay St #503, Vancouver,BC,V6G1K4,Canada,49.289164,-123.136778,V6G,NW West End / Stanley Park,Vancouver,"C$395,000",1 bd,1 ba,615 sqft
1895 E 50th Ave, Vancouver,BC,V5P1V1,Canada,49.224548,-123.067534,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$2,780,000",8 bds,7 ba,"2,949 sqft"
1510 W 1st Ave #305, Vancouver,BC,V6J4S3,Canada,49.270682,-123.146084,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$749,900",2 bds,2 ba,"1,006 sqft"
197 W King Edward Avenue St #8, Vancouver,BC,V5Y4B4,Canada,49.248613,-123.109833,V5Y,West Mount Pleasant / West Riley Park,Vancouver,"C$1,999,900",3 bds,3 ba,"1,239 sqft"
1784 Drummond Dr, Vancouver,BC,V6T1B6,Canada,49.271896,-123.220682,V6T,UBC,Vancouver,"C$20,800,000",7 bds,2 ba,#NAME?
1188 Howe St #2403, Vancouver,BC,V6Z2S8,Canada,49.278315,-123.12697,V6Z,SW Downtown,Vancouver,"C$748,000",2 bds,2 ba,751 sqft
1363 E 21st Ave, Vancouver,BC,V5V1R7,Canada,49.251446,-123.077023,V5V,West Kensington-Cedar Cottage / NE Riley Park,Vancouver,"C$1,399,900",3 bds,3 ba,"1,456 sqft"
2795 W 37th Ave, Vancouver,BC,V6N2T5,Canada,49.238765,-123.167839,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$5,750,000",5 bds,7 ba,"4,059 sqft"
1626 Avondale Ave, Vancouver,BC,V6M1S1,Canada,49.236718,-123.141853,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$14,980,000",5 bds,8 ba,"5,125 sqft"
3337 Flagstaff Pl, Vancouver,BC,V5S4K9,Canada,49.211569,-123.031929,V5S,Killarney,Vancouver,"C$985,000",4 bds,3 ba,"1,672 sqft"
1325 Rolston St #1513, Vancouver,BC,V6B0M2,Canada,49.275617,-123.127925,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$633,000",Studio,1 ba,461 sqft
63 Keefer Pl #502, Vancouver,BC,V6B6N6,Canada,49.279933,-123.10662,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$970,000",3 bds,2 ba,962 sqft
1189 Melville St #3404, Vancouver,BC,V6E4T8,Canada,49.287784,-123.123458,V6E,SE West End / Davie Village,Vancouver,"C$1,650,000",2 bds,3 ba,"1,414 sqft"
86 Creelman Ave #2078, Vancouver,BC,V6J1C3,Canada,49.274486,-123.14967,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$4,999,999",8 bds,4 ba,"5,840 sqft"
3635 W 14th Ave, Vancouver,BC,V6R2W6,Canada,49.26001,-123.184653,V6R,West Kitsilano / West Point Grey / Jericho,Vancouver,"C$4,880,000",5 bds,6 ba,"3,604 sqft"
