,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
0,435 middlefield rd #56,43.808839,-79.256579,agincourt north,Low Class,Moderate Crime
1,78 ashridge dr,43.815736,-79.268628,agincourt north,Low Class,Moderate Crime
2,48 ardgowan cres,43.812243,-79.271403,agincourt north,Low Class,Moderate Crime
3,119 - 5235 finch ave e,43.809932,-79.254877,agincourt north,Low Class,Moderate Crime
4,60 manorglen cres,43.780125,-79.271026,agincourt south malvern west,Low Class,Moderate Crime
5,61 fulbert cres,43.790312,-79.287079,agincourt south malvern west,Low Class,Moderate Crime
6,135 village green sq #418,43.777872,-79.280751,agincourt south malvern west,Low Class,Moderate Crime
7,418 - 135 village green sq,43.777872,-79.280751,agincourt south malvern west,Low Class,Moderate Crime
8,1717 - 4725 sheppard ave e,43.790016,-79.254657,agincourt south malvern west,Low Class,Moderate Crime
9,1801 - 225 village green sq,43.779842,-79.281958,agincourt south malvern west,Low Class,Moderate Crime
10,408 browns line e #308,43.601488,-79.54545,alderwood,Moderate Class,Moderate Crime
11,408 browns line s #312,43.601697,-79.545232,alderwood,Moderate Class,Moderate Crime
12,17 edilou dr,43.605996,-79.531532,alderwood,Moderate Class,Moderate Crime
13,671a - 671 browns line,43.59841,-79.543717,alderwood,Moderate Class,Moderate Crime
14,404 horner ave,43.604414,-79.534016,alderwood,Moderate Class,Moderate Crime
15,17 bisset ave,43.608746,-79.553126,alderwood,Moderate Class,Moderate Crime
16,186 macpherson ave,43.677945,-79.396728,annex,High Class,Moderate Crime
17,53 hazelton ave,43.672448,-79.393529,annex,High Class,Moderate Crime
18,535 brunswick ave,43.673818,-79.410137,annex,High Class,Moderate Crime
19,50 yorkville ave #4403,43.671667,-79.389667,annex,High Class,Moderate Crime
20,104 albany ave,43.668716,-79.411569,annex,High Class,Moderate Crime
21,160 howland ave,43.670989,-79.411014,annex,High Class,Moderate Crime
22,483 dupont st #103,43.672797,-79.415295,annex,High Class,Moderate Crime
23,200 cumberland st #3802,43.669867,-79.394244,annex,High Class,Moderate Crime
24,225 christie st,43.669398,-79.420453,annex,High Class,Moderate Crime
25,50 yorkville ave #5202,43.671667,-79.389667,annex,High Class,Moderate Crime
26,12 madison ave,43.667759,-79.403321,annex,High Class,Moderate Crime
27,91 bedford rd,43.671488,-79.398264,annex,High Class,Moderate Crime
28,68 yorkville ave #304,43.671482,-79.390514,annex,High Class,Moderate Crime
29,77 mcmurrich st #308,43.674812,-79.39012,annex,High Class,Moderate Crime
30,128 hazelton ave #801,43.674903,-79.39488,annex,High Class,Moderate Crime
31,411 - 188 cumberland st,43.669828,-79.394109,annex,High Class,Moderate Crime
32,604 - 188 cumberland st,43.669828,-79.394109,annex,High Class,Moderate Crime
33,818 - 1 bedford rd,43.668551,-79.397124,annex,High Class,Moderate Crime
34,1918 - 155 yorkville ave,43.670312,-79.394299,annex,High Class,Moderate Crime
35,2402 - 10 bellair st,43.669886,-79.390982,annex,High Class,Moderate Crime
36,51 harrison garden blvd #707,43.756666,-79.407784,avondale,Moderate Class,Moderate Crime
37,120 harrison garden blvd #2003,43.757733,-79.403149,avondale,Moderate Class,Moderate Crime
38,100 harrison garden blvd #l02,43.756982,-79.4044,avondale,Moderate Class,Moderate Crime
39,78 harrison garden blvd #2305,43.756049,-79.407113,avondale,Moderate Class,Moderate Crime
40,3 everson dr #637,43.756938,-79.406496,avondale,Moderate Class,Moderate Crime
41,33 sheppard ave e #1800,43.761229,-79.408934,avondale,Moderate Class,Moderate Crime
42,3 everson dr #528,43.756938,-79.406496,avondale,Moderate Class,Moderate Crime
43,511 - 3 everson dr,43.756938,-79.406496,avondale,Moderate Class,Moderate Crime
44,1803 - 100 harrison garden blvd,43.756982,-79.4044,avondale,Moderate Class,Moderate Crime
45,227 glendora ave,43.762254,-79.394945,avondale,Moderate Class,Moderate Crime
46,637 - 3 everson dr,43.756938,-79.406496,avondale,Moderate Class,Moderate Crime
47,160 the donway w #403,43.73383,-79.34844,banbury don mills,Moderate Class,Moderate Crime
48,34 greengate rd,43.739958,-79.364228,banbury don mills,Moderate Class,Moderate Crime
49,20 moccasin trl,43.731688,-79.339069,banbury don mills,Moderate Class,Moderate Crime
50,9 overton pl,43.741095,-79.345984,banbury don mills,Moderate Class,Moderate Crime
51,7 merredin pl,43.748513,-79.35726,banbury don mills,Moderate Class,Moderate Crime
52,75 the donway w #805,43.732752,-79.345652,banbury don mills,Moderate Class,Moderate Crime
53,97 post rd,43.738724,-79.367822,banbury don mills,Moderate Class,Moderate Crime
54,3007 - 181 wynford dr,43.725064,-79.328704,banbury don mills,Moderate Class,Moderate Crime
55,504 - 1103 leslie street,43.720267,-79.347933,banbury don mills,Moderate Class,Moderate Crime
56,162 abbeywood tr,43.749649,-79.363305,banbury don mills,Moderate Class,Moderate Crime
57,521 - 255 the donway w,43.739826,-79.346034,banbury don mills,Moderate Class,Moderate Crime
58,104 - 225 the donway w,43.733391,-79.347625,banbury don mills,Moderate Class,Moderate Crime
59,903 - 1103 leslie st,43.720267,-79.347933,banbury don mills,Moderate Class,Moderate Crime
60,623 - 120 dallimore circ,43.730082,-79.332265,banbury don mills,Moderate Class,Moderate Crime
61,5 terrington crt,43.741986,-79.358048,banbury don mills,Moderate Class,Moderate Crime
62,270 brighton ave,43.757593,-79.458141,bathurst manor,Moderate Class,Moderate Crime
63,333 brighton ave,43.756128,-79.462889,bathurst manor,Moderate Class,Moderate Crime
64,212 cocksfield ave,43.753818,-79.454186,bathurst manor,Moderate Class,Moderate Crime
65,53 codsell ave,43.757679,-79.443357,bathurst manor,Moderate Class,Moderate Crime
66,10 cedar springs grove,43.768408,-79.45904,bathurst manor,Moderate Class,Moderate Crime
67,52 acton ave,43.760296,-79.449789,bathurst manor,Moderate Class,Moderate Crime
68,169 kennard ave,43.759786,-79.46168,bathurst manor,Moderate Class,Moderate Crime
69,518 - 1060 sheppard ave w,43.756448,-79.435498,bathurst manor,Moderate Class,Moderate Crime
70,759 wilson heights blvd,43.760363,-79.463893,bathurst manor,Moderate Class,Moderate Crime
71,lph05 - 660 sheppard ave e,43.755102,-79.44215,bathurst manor,Moderate Class,Moderate Crime
72,14 - 43 wild ginger way,43.759312,-79.440651,bathurst manor,Moderate Class,Moderate Crime
73,215 searle ave,43.756634,-79.456582,bathurst manor,Moderate Class,Moderate Crime
74,11 wellesley st w #612,43.664526,-79.385583,bay cloverhill,Moderate Class,Moderate Crime
75,57 saint joseph st #523,43.665388,-79.388021,bay cloverhill,Moderate Class,Moderate Crime
76,77 charles st w #906,43.667717,-79.390434,bay cloverhill,Moderate Class,Moderate Crime
77,11 wellesley st w #4711,43.664526,-79.385583,bay cloverhill,Moderate Class,Moderate Crime
78,5 saint joseph st #4309,43.665776,-79.385633,bay cloverhill,Moderate Class,Moderate Crime
79,57 saint nicholas st,43.667191,-79.386232,bay cloverhill,Moderate Class,Moderate Crime
80,35 balmuto st #2101,43.669472,-79.387488,bay cloverhill,Moderate Class,Moderate Crime
81,4703 - 35 balmuto st,43.669472,-79.387488,bay cloverhill,Moderate Class,Moderate Crime
82,2014 - 1001 bay st,43.665465,-79.387068,bay cloverhill,Moderate Class,Moderate Crime
83,3909 - 11 wellesley st w,43.664526,-79.385583,bay cloverhill,Moderate Class,Moderate Crime
84,4108 - 5 st. joseph st s,43.665776,-79.385633,bay cloverhill,Moderate Class,Moderate Crime
85,2885 bayview ave unit 717,43.768608,-79.388063,bayview village,Moderate Class,Moderate Crime
86,650 sheppard ave e #215,43.768577,-79.381429,bayview village,Moderate Class,Moderate Crime
87,4 burleigh heights dr,43.779657,-79.390466,bayview village,Moderate Class,Moderate Crime
88,42 heathview ave,43.783169,-79.385634,bayview village,Moderate Class,Moderate Crime
89,40 thorny vine way,43.785524,-79.368264,bayview village,Moderate Class,Moderate Crime
90,129 mcmahon dr #townhouse 03,43.767654,-79.371136,bayview village,Moderate Class,Moderate Crime
91,3905 - 117 mcmahon drive,43.767209,-79.370405,bayview village,Moderate Class,Moderate Crime
92,121 - 7 kenaston gardens,43.767167,-79.386112,bayview village,Moderate Class,Moderate Crime
93,28 thorny vineway,43.78527,-79.368184,bayview village,Moderate Class,Moderate Crime
94,25 - 12 dervock cres,43.767221,-79.380966,bayview village,Moderate Class,Moderate Crime
95,3 blithfield ave,43.777305,-79.389942,bayview village,Moderate Class,Moderate Crime
96,79 forest grove dr,43.779707,-79.373498,bayview village,Moderate Class,Moderate Crime
97,3237 bayview ave #510,43.790112,-79.392793,bayview woods steeles,Moderate Class,Moderate Crime
98,59 covewood st,43.804171,-79.387861,bayview woods steeles,Moderate Class,Moderate Crime
99,112 mason blvd,43.741214,-79.412096,bedford park nortown,High Class,Moderate Crime
100,40 sylvan valleyway #523,43.724203,-79.415282,bedford park nortown,High Class,Moderate Crime
101,1 de vere gdns,43.736381,-79.407697,bedford park nortown,High Class,Moderate Crime
102,215 strathallan wood,43.712754,-79.421209,bedford park nortown,High Class,Moderate Crime
103,127 joicey blvd,43.736904,-79.416255,bedford park nortown,High Class,Moderate Crime
104,60 alexandra wood,43.71411,-79.425653,bedford park nortown,High Class,Moderate Crime
105,132 grey rd,43.731779,-79.423122,bedford park nortown,High Class,Moderate Crime
106,703 - 355 bedford park avenue,43.724197,-79.416891,bedford park nortown,High Class,Moderate Crime
107,425 cranbrooke avenue,43.725527,-79.419632,bedford park nortown,High Class,Moderate Crime
108,323 douglas ave,43.723361,-79.417098,bedford park nortown,High Class,Moderate Crime
109,706 - 2470 eglinton ave w,43.692452,-79.468413,beechborough greenbrook,Low Class,Moderate Crime
