street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_0.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_0.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_0.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_0.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_0.5_values
435 middlefield rd #56,agincourt north,43.808839,-79.256579,848800,4,4.0,point (-79.256579 43.808839),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,0,0,5,0,45,0,7,1,0,0,0,0,0,0
78 ashridge dr,agincourt north,43.815736,-79.268628,998000,5,3.0,point (-79.268628 43.815736),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,0,0,13,0,76,0,7,0,0,0,0,0,0,0
48 ardgowan cres,agincourt north,43.812243,-79.271403,898000,4,3.0,point (-79.271403 43.812243),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,0,0,14,0,67,0,7,0,0,0,0,0,0,0
119 - 5235 finch ave e,agincourt north,43.809932,-79.254877,560000,3,2.0,point (-79.254877 43.809932),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,0,0,5,0,50,0,5,1,0,0,0,0,0,0
60 manorglen cres,agincourt south-malvern west,43.780125,-79.271026,1199000,4,3.0,point (-79.271026 43.780125),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,0,0,4,0,64,0,22,12,0,0,0,0,0,0
61 fulbert cres,agincourt south-malvern west,43.790312,-79.287079,1648000,6,4.0,point (-79.287079 43.790312),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,0,0,9,0,70,0,7,2,0,0,0,0,0,0
135 village green sq #418,agincourt south-malvern west,43.777872,-79.280751,549000,2,2.0,point (-79.280751 43.777872),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,0,0,2,0,58,0,17,7,0,0,0,0,0,0
418 - 135 village green sq,agincourt south-malvern west,43.777872,-79.280751,549000,2,2.0,point (-79.280751 43.777872),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,0,0,2,0,58,0,17,7,0,0,0,0,0,0
1717 - 4725 sheppard ave e,agincourt south-malvern west,43.790016,-79.254657,417171,2,1.0,point (-79.254657 43.790016),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,0,0,4,0,68,0,10,6,0,1,0,0,0,1
1801 - 225 village green sq,agincourt south-malvern west,43.779842,-79.281958,559000,2,1.0,point (-79.281958 43.779842),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,0,0,3,0,49,0,13,6,0,0,0,0,0,0
