osm_id,code,fclass,name,geometry,Latitude,Longitude
239183066,2203,cinema,Scotiabank Theatre Toronto,POINT (-79.3913729 43.6485875),43.6485875,-79.3913729
252563920,2203,cinema,Cineplex Cinemas Yonge-Dundas and VIP,POINT (-79.3804743 43.6566724),43.6566724,-79.3804743
276475237,2203,cinema,Imagine Cinemas Market Square,POINT (-79.3724807 43.649526),43.649526,-79.3724807
281359949,2203,cinema,Cineplex VIP Cinemas Yonge-Eglinton,POINT (-79.3987687 43.7074447),43.7074447,-79.3987687
281361073,2203,cinema,Famous Players,POINT (-79.3983437 43.7056311),43.7056311,-79.3983437
305766605,2203,cinema,Cineplex Cinemas Fairview Mall,POINT (-79.3441682 43.7785298),43.7785298,-79.3441682
315645096,2203,cinema,Cineplex Cinemas Beaches,POINT (-79.3144817 43.6664304),43.6664304,-79.3144817
354349176,2203,cinema,Cineplex Cinemas Yorkdale,POINT (-79.450578 43.7269522),43.7269522,-79.450578
535036458,2203,cinema,Kingsway Theatre,POINT (-79.5122302 43.647319),43.647319,-79.5122302
585468848,2203,cinema,Carlton Cinemas,POINT (-79.3815865 43.6615749),43.6615749,-79.3815865
924393183,2203,cinema,Fox Theatre,POINT (-79.2873231 43.6728278),43.6728278,-79.2873231
1186839109,2203,cinema,Mt. Pleasant,POINT (-79.3888988 43.7056974),43.7056974,-79.3888988
2291775946,2203,cinema,Humber Cinemas,POINT (-79.4844246 43.6496631),43.6496631,-79.4844246
2559465822,2203,cinema,Cineplex Cinemas Empress Walk,POINT (-79.4121785 43.7686938),43.7686938,-79.4121785
3018999022,2203,cinema,Cineplex VIP Cinemas Don Mills,POINT (-79.3462394 43.7341124),43.7341124,-79.3462394
4544996851,2203,cinema,Cineplex Cinemas Varsity and VIP,POINT (-79.3887161 43.6696176),43.6696176,-79.3887161
4545000546,2203,cinema,Famous Players Canada Square Cinemas,POINT (-79.3992651 43.7053769),43.7053769,-79.3992651
6332267969,2203,cinema,Imagine Cinemas,POINT (-79.6008852 43.7199295),43.7199295,-79.6008852
6354886586,2203,cinema,Hot Docs Ted Rogers Cinema,POINT (-79.4104179 43.6654393),43.6654393,-79.4104179
8400125453,2203,cinema,City View Drive-In,POINT (-79.3548985 43.6417636),43.6417636,-79.3548985
