osm_id,code,fclass,name,geometry,Latitude,Longitude
67972458,2005,post_office,Canada Post,POINT (-79.4302328 43.6611235),43.6611235,-79.4302328
281663566,2005,post_office,Adelaide Post Office,POINT (-79.3770762 43.650595),43.650595,-79.3770762
311459373,2005,post_office,,POINT (-79.4770616 43.7921419),43.7921419,-79.4770616
343270834,2005,post_office,,POINT (-79.3952995 43.6469318),43.6469318,-79.3952995
390142622,2005,post_office,,POINT (-79.396852 43.6590761),43.6590761,-79.396852
410798907,2005,post_office,The UPS Store,POINT (-79.4741595 43.7676847),43.7676847,-79.4741595
414574539,2005,post_office,,POINT (-79.5934226 43.5997469),43.5997469,-79.5934226
488415036,2005,post_office,Envoy Business Services Inc.,POINT (-79.3529085 43.7939861),43.7939861,-79.3529085
515618879,2005,post_office,York Quay Fine Foods Post Office,POINT (-79.379184 43.6399932),43.6399932,-79.379184
527033468,2005,post_office,The UPS Store,POINT (-79.4043687 43.6437133),43.6437133,-79.4043687
529512129,2005,post_office,The UPS Store,POINT (-79.7114577 43.5801825),43.5801825,-79.7114577
530802434,2005,post_office,Roncesvalles Post Office,POINT (-79.4475914 43.6433391),43.6433391,-79.4475914
558583562,2005,post_office,Family Mart Plus,POINT (-79.1839032 43.7871987),43.7871987,-79.1839032
600645223,2005,post_office,Postnet,POINT (-79.636587 43.5918053),43.5918053,-79.636587
605016261,2005,post_office,Canada Post,POINT (-79.3922991 43.6883311),43.6883311,-79.3922991
640932962,2005,post_office,The UPS Store,POINT (-79.61688 43.5801541),43.5801541,-79.61688
680585286,2005,post_office,The UPS Store,POINT (-79.3478149 43.7353684),43.7353684,-79.3478149
691067789,2005,post_office,The UPS Store,POINT (-79.3880713 43.6670035),43.6670035,-79.3880713
778768628,2005,post_office,FedEx Office,POINT (-79.3808659 43.6507004),43.6507004,-79.3808659
837045956,2005,post_office,Eastown Centre Canada Post,POINT (-79.2493189 43.7374195),43.7374195,-79.2493189
857847627,2005,post_office,Marlee Post Office,POINT (-79.4425179 43.7071403),43.7071403,-79.4425179
930513746,2005,post_office,The UPS Store,POINT (-79.3999093 43.7065533),43.7065533,-79.3999093
976269830,2005,post_office,Canada Post,POINT (-79.396182 43.6979099),43.6979099,-79.396182
1125659384,2005,post_office,The UPS Store,POINT (-79.4122161 43.7645536),43.7645536,-79.4122161
1178200970,2005,post_office,Canada Post,POINT (-79.382385 43.656532),43.656532,-79.382385
1236845615,2005,post_office,The UPS Store,POINT (-79.6077949 43.5748845),43.5748845,-79.6077949
1363190585,2005,post_office,Canada Post,POINT (-79.560287 43.620635),43.620635,-79.560287
1386833616,2005,post_office,The UPS Store,POINT (-79.393144 43.687115),43.687115,-79.393144
1396611461,2005,post_office,Evergreens Gifts & Rosedale Post Office,POINT (-79.3885417 43.703829),43.703829,-79.3885417
