osm_id,code,fclass,name,geometry,Latitude,Longitude
60930916,2304,pub,Madison Pub,POINT (-79.4033084 43.6678619),43.6678619,-79.4033084
130168189,2304,pub,Free Times Cafe,POINT (-79.4024663 43.6576642),43.6576642,-79.4024663
241276547,2304,pub,Duke of York,POINT (-79.3973911 43.6691848),43.6691848,-79.3973911
247134309,2304,pub,Southside Johnny's Bar,POINT (-79.5367078 43.5935295),43.5935295,-79.5367078
247134327,2304,pub,Sloppy Joe's,POINT (-79.5320445 43.5946041),43.5946041,-79.5320445
250601335,2304,pub,The Fortunate Fox,POINT (-79.4009744 43.6674301),43.6674301,-79.4009744
251241566,2304,pub,The Commoner,POINT (-79.4480184 43.6519402),43.6519402,-79.4480184
253942472,2304,pub,Pogue Mahone Irish Pub,POINT (-79.3841495 43.660849),43.660849,-79.3841495
265007957,2304,pub,The Pour House Irish Pub & Restaurant,POINT (-79.4037872 43.6756573),43.6756573,-79.4037872
271603723,2304,pub,Edie's Place,POINT (-79.3121239 43.6859762),43.6859762,-79.3121239
273325243,2304,pub,Duke of Richmond,POINT (-79.3806278 43.6524771),43.6524771,-79.3806278
281658918,2304,pub,The Black Bull,POINT (-79.3932608 43.6496014),43.6496014,-79.3932608
281660371,2304,pub,The Rex Jazz & Blues Bar,POINT (-79.3884696 43.6505363),43.6505363,-79.3884696
281663297,2304,pub,Batch,POINT (-79.3772947 43.651575),43.651575,-79.3772947
292130178,2304,pub,Duke of Kent,POINT (-79.3983969 43.7079267),43.7079267,-79.3983969
292779328,2304,pub,Martini Bar,POINT (-79.3790188 43.6545231),43.6545231,-79.3790188
299652729,2304,pub,Mulligan's Pub and Grill,POINT (-79.6758321 43.5267603),43.5267603,-79.6758321
303251580,2304,pub,Paupers Pub,POINT (-79.4101146 43.66523),43.66523,-79.4101146
305489809,2304,pub,Kings Arms,POINT (-79.2669264 43.787457),43.787457,-79.2669264
305547251,2304,pub,Bedford Academy,POINT (-79.3971852 43.6695325),43.6695325,-79.3971852
307368387,2304,pub,Regal Beagle Pub,POINT (-79.4006315 43.6671324),43.6671324,-79.4006315
315650037,2304,pub,The Stone Lion,POINT (-79.3024532 43.6696318),43.6696318,-79.3024532
344545237,2304,pub,O'Gradys,POINT (-79.3806328 43.6644911),43.6644911,-79.3806328
344545238,2304,pub,The Churchmouse: A Firkin Pub,POINT (-79.3802797 43.6645818),43.6645818,-79.3802797
356616702,2304,pub,Black Dog Pub,POINT (-79.1392309 43.7976391),43.7976391,-79.1392309
364142110,2304,pub,Colonel Mustard's,POINT (-79.351959 43.7858708),43.7858708,-79.351959
