osm_id,code,fclass,name,geometry,Latitude,Longitude
25991314,5601,railway_station,Bay,POINT (-79.3902694 43.6701851),43.6701851,-79.3902694
25991463,5601,railway_station,Dundas West,POINT (-79.4529728 43.6570301),43.6570301,-79.4529728
26240971,5601,railway_station,St. Patrick,POINT (-79.3882736 43.6548199),43.6548199,-79.3882736
26240972,5601,railway_station,Dundas,POINT (-79.3810223 43.6565367),43.6565367,-79.3810223
31940472,5601,railway_station,Bramalea,POINT (-79.6919794 43.70139),43.70139,-79.6919794
32801162,5601,railway_station,Rouge Hill,POINT (-79.1304992 43.7802711),43.7802711,-79.1304992
32821254,5601,railway_station,Eglinton,POINT (-79.2320997 43.7394646),43.7394646,-79.2320997
32821255,5601,railway_station,Scarborough,POINT (-79.2546806 43.7169869),43.7169869,-79.2546806
34710071,5601,railway_station,St. George,POINT (-79.398844 43.6684465),43.6684465,-79.398844
34710072,5601,railway_station,Osgoode,POINT (-79.3865409 43.6508016),43.6508016,-79.3865409
34710073,5601,railway_station,St. Andrew,POINT (-79.3848711 43.6477917),43.6477917,-79.3848711
34710076,5601,railway_station,King,POINT (-79.3777538 43.6489494),43.6489494,-79.3777538
34710077,5601,railway_station,Queen,POINT (-79.3794575 43.6529083),43.6529083,-79.3794575
34710078,5601,railway_station,College,POINT (-79.3827952 43.6606617),43.6606617,-79.3827952
34710079,5601,railway_station,Wellesley,POINT (-79.3838011 43.6655242),43.6655242,-79.3838011
39597711,5601,railway_station,Agincourt,POINT (-79.284356 43.7860522),43.7860522,-79.284356
55493312,5601,railway_station,St. Clair,POINT (-79.3936947 43.6879512),43.6879512,-79.3936947
55493345,5601,railway_station,Eglinton,POINT (-79.39853 43.7061229),43.7061229,-79.39853
55786835,5601,railway_station,Lawrence,POINT (-79.4024743 43.7263483),43.7263483,-79.4024743
56922357,5601,railway_station,York Mills,POINT (-79.406657 43.7440391),43.7440391,-79.406657
56922363,5601,railway_station,Finch,POINT (-79.4158993 43.7812974),43.7812974,-79.4158993
59980039,5601,railway_station,Old Mill,POINT (-79.4943338 43.649826),43.649826,-79.4943338
60355167,5601,railway_station,North York Centre,POINT (-79.4126298 43.7686787),43.7686787,-79.4126298
65126732,5601,railway_station,Cooksville,POINT (-79.6240431 43.5830451),43.5830451,-79.6240431
70363937,5601,railway_station,Summerhill,POINT (-79.3905037 43.6816776),43.6816776,-79.3905037
280372903,5601,railway_station,Queen's Park,POINT (-79.3901923 43.6596838),43.6596838,-79.3901923
319203539,5601,railway_station,Streetsville,POINT (-79.7089736 43.5761899),43.5761899,-79.7089736
344495616,5601,railway_station,Etobicoke North,POINT (-79.5631531 43.7064243),43.7064243,-79.5631531
420561530,5601,railway_station,Sheppard West,POINT (-79.462248 43.7492988),43.7492988,-79.462248
424028617,5601,railway_station,Keele,POINT (-79.4595795 43.655569),43.655569,-79.4595795
424028625,5601,railway_station,High Park,POINT (-79.4668644 43.6538668),43.6538668,-79.4668644
432805453,5601,railway_station,Kipling,POINT (-79.5355081 43.6376161),43.6376161,-79.5355081
471170591,5601,railway_station,Exhibition,POINT (-79.4188537 43.6360095),43.6360095,-79.4188537
560192986,5601,railway_station,Glencairn,POINT (-79.4406853 43.7087117),43.7087117,-79.4406853
1120475783,5601,railway_station,Terminal 1,POINT (-79.6127699 43.6825791),43.6825791,-79.6127699
1120480667,5601,railway_station,Terminal 3,POINT (-79.6199591 43.6861625),43.6861625,-79.6199591
1120482031,5601,railway_station,Viscount,POINT (-79.6157729 43.6898667),43.6898667,-79.6157729
1157217363,5601,railway_station,Bloor-Yonge,POINT (-79.3856867 43.6707855),43.6707855,-79.3856867
1552935957,5601,railway_station,Weston,POINT (-79.5127589 43.7000465),43.7000465,-79.5127589
2249683136,5601,railway_station,Runnymede,POINT (-79.4759978 43.6517026),43.6517026,-79.4759978
2249683137,5601,railway_station,Jane,POINT (-79.4838463 43.6499177),43.6499177,-79.4838463
2481423750,5601,railway_station,Sherbourne,POINT (-79.376394 43.6722828),43.6722828,-79.376394
2707352285,5601,railway_station,Castle Frank,POINT (-79.3690458 43.6734986),43.6734986,-79.3690458
3503666885,5601,railway_station,Toronto Pearson Terminal 1,POINT (-79.613438 43.6830012),43.6830012,-79.613438
4357782894,5601,railway_station,Vaughan Metropolitan Centre,POINT (-79.5274638 43.7942413),43.7942413,-79.5274638
4875013046,5601,railway_station,Kennedy,POINT (-79.2637529 43.732429),43.732429,-79.2637529
5061304513,5601,railway_station,Downsview Park,POINT (-79.4784809 43.7535823),43.7535823,-79.4784809
5061304514,5601,railway_station,Finch West,POINT (-79.491279 43.764653),43.764653,-79.491279
5262888213,5601,railway_station,Christie,POINT (-79.4183969 43.6641066),43.6641066,-79.4183969
5318480902,5601,railway_station,Sheppard-Yonge,POINT (-79.4109148 43.7614518),43.7614518,-79.4109148
5318480907,5601,railway_station,Bayview,POINT (-79.3873787 43.7667987),43.7667987,-79.3873787
5318484724,5601,railway_station,Bessarion,POINT (-79.3765761 43.7691308),43.7691308,-79.3765761
5318484736,5601,railway_station,Don Mills,POINT (-79.3459439 43.775347),43.775347,-79.3459439
5318484741,5601,railway_station,Leslie,POINT (-79.365634 43.7710725),43.7710725,-79.365634
5319182778,5601,railway_station,Davisville,POINT (-79.3972908 43.697936),43.697936,-79.3972908
5320067932,5601,railway_station,Union,POINT (-79.3802085 43.6456424),43.6456424,-79.3802085
5320293105,5601,railway_station,Spadina,POINT (-79.4047039 43.6685404),43.6685404,-79.4047039
5320293827,5601,railway_station,Museum,POINT (-79.3933506 43.6668462),43.6668462,-79.3933506
5320349308,5601,railway_station,St. Clair West,POINT (-79.4157296 43.6849986),43.6849986,-79.4157296
5320349317,5601,railway_station,Dupont,POINT (-79.406983 43.6747046),43.6747046,-79.406983
5320359169,5601,railway_station,Eglinton West,POINT (-79.4363964 43.7000172),43.7000172,-79.4363964
5321922638,5601,railway_station,Wilson,POINT (-79.4500619 43.7344762),43.7344762,-79.4500619
5321922639,5601,railway_station,Yorkdale,POINT (-79.4475031 43.7246418),43.7246418,-79.4475031
5321922640,5601,railway_station,Lawrence West,POINT (-79.4439143 43.7152827),43.7152827,-79.4439143
5321964774,5601,railway_station,Highway 407,POINT (-79.5230877 43.7833141),43.7833141,-79.5230877
5321964779,5601,railway_station,Pioneer Village,POINT (-79.5092824 43.7768588),43.7768588,-79.5092824
5325077186,5601,railway_station,Pape,POINT (-79.3449046 43.6799212),43.6799212,-79.3449046
5326455477,5601,railway_station,Royal York,POINT (-79.5112961 43.6481827),43.6481827,-79.5112961
5326471419,5601,railway_station,Islington,POINT (-79.5248163 43.645335),43.645335,-79.5248163
5326476228,5601,railway_station,Lansdowne,POINT (-79.4427866 43.6591114),43.6591114,-79.4427866
5326479603,5601,railway_station,Dufferin,POINT (-79.4353869 43.6602635),43.6602635,-79.4353869
5326487199,5601,railway_station,Ossington,POINT (-79.4261128 43.6623839),43.6623839,-79.4261128
5326501680,5601,railway_station,Bathurst,POINT (-79.4112359 43.6659322),43.6659322,-79.4112359
