osm_id,code,fclass,name,geometry,Latitude,Longitude
763963273,2083,kindergarten,New Horizon Montessori School,POINT (-122.817602 49.2960125),49.2960125,-122.817602
849008677,2083,kindergarten,Westside Montessori,POINT (-123.1149488 49.254981),49.254981,-123.1149488
1178724002,2083,kindergarten,Cefa,POINT (-122.798278 49.0472015),49.0472015,-122.798278
1715724023,2083,kindergarten,Happy May Child Care Centre III,POINT (-123.1253978 49.1775099),49.1775099,-123.1253978
1720011130,2083,kindergarten,New Westminster Family Place,POINT (-122.910091 49.2052497),49.2052497,-122.910091
1880359517,2083,kindergarten,Renaissance Kids,POINT (-123.1592415 49.1225979),49.1225979,-123.1592415
2507950273,2083,kindergarten,Margaret Heights Daycare,POINT (-123.0426271 49.3244634),49.3244634,-123.0426271
2795677817,2083,kindergarten,,POINT (-122.6529195 49.1024233),49.1024233,-122.6529195
2795774292,2083,kindergarten,Matheson House,POINT (-122.671451 49.1194573),49.1194573,-122.671451
4018992397,2083,kindergarten,CEFA Early Learning,POINT (-123.015554 49.2330789),49.2330789,-123.015554
4365868851,2083,kindergarten,CEFA Crestwood,POINT (-123.0700815 49.1732098),49.1732098,-123.0700815
4457462621,2083,kindergarten,Strathcona Montessori,POINT (-123.095837 49.2795457),49.2795457,-123.095837
4510121097,2083,kindergarten,Hummingbird Childcare,POINT (-123.2505133 49.2603069),49.2603069,-123.2505133
4635876612,2083,kindergarten,Cefa Early Learning,POINT (-122.800743 49.1012715),49.1012715,-122.800743
4957714305,2083,kindergarten,Little Monsters Academy,POINT (-123.090415 49.2313066),49.2313066,-123.090415
5487588724,2083,kindergarten,Little Koala Montessori Academy,POINT (-122.8076394 49.1989527),49.1989527,-122.8076394
6225920210,2083,kindergarten,Elgin Centre Preschool,POINT (-122.8223973 49.0661792),49.0661792,-122.8223973
6258054385,2083,kindergarten,City Hall Childcare Society I and II,POINT (-123.1153226 49.2614154),49.2614154,-123.1153226
6444475036,2083,kindergarten,CEFA Early Learning,POINT (-123.069614 49.258074),49.258074,-123.069614
6453350841,2083,kindergarten,Smiling Stars Daycare,POINT (-123.1030343 49.3381814),49.3381814,-123.1030343
7068985464,2083,kindergarten,Cefa,POINT (-122.6553423 49.112628),49.112628,-122.6553423
7128719370,2083,kindergarten,Cefa Early Learning,POINT (-123.080781 49.1898729),49.1898729,-123.080781
7418148141,2083,kindergarten,CEFA,POINT (-123.0894401 49.0399664),49.0399664,-123.0894401
7460306255,2083,kindergarten,Rothewood Academy,POINT (-122.7983662 49.047206),49.047206,-122.7983662
7969115699,2083,kindergarten,,POINT (-122.7790287 49.0167476),49.0167476,-122.7790287
8461731957,2083,kindergarten,Faith Lutheran Preschool,POINT (-122.9708143 49.2750147),49.2750147,-122.9708143
8519626347,2083,kindergarten,Beehive Christian Preschool,POINT (-122.9212807 49.2266253),49.2266253,-122.9212807
8570248279,2083,kindergarten,Aurora Montessori Children's House,POINT (-123.0189688 49.2823497),49.2823497,-123.0189688
8573638593,2083,kindergarten,YUS Montessori School Burnaby,POINT (-122.9902083 49.2806936),49.2806936,-122.9902083
8633854599,2083,kindergarten,Montessori Chrildren's Community,POINT (-123.1201254 49.2408356),49.2408356,-123.1201254
8656428541,2083,kindergarten,Parkcrest Children's Centre,POINT (-122.9772986 49.269553),49.269553,-122.9772986
8692313354,2083,kindergarten,Advantage Preschool,POINT (-123.0078852 49.2102743),49.2102743,-123.0078852
8713158899,2083,kindergarten,Wesbrook Preschool,POINT (-123.2061582 49.2658051),49.2658051,-123.2061582
8740047388,2083,kindergarten,,POINT (-122.9658098 49.2195467),49.2195467,-122.9658098
8747385839,2083,kindergarten,,POINT (-122.9951632 49.264597),49.264597,-122.9951632
8816201617,2083,kindergarten,Pebbles & Piaget Early Learning,POINT (-123.0278373 49.2318993),49.2318993,-123.0278373
8963789728,2083,kindergarten,Happy Corner Parent Participation Preschool,POINT (-123.0294251 49.2551087),49.2551087,-123.0294251
9044440517,2083,kindergarten,Little Einstein Children's Centre,POINT (-123.0195955 49.239201),49.239201,-123.0195955
9133776621,2083,kindergarten,CEFA Early Learning,POINT (-122.669286 49.1659247),49.1659247,-122.669286
9401800333,2083,kindergarten,Kiddies Korner Preschool,POINT (-122.7758627 49.271448),49.271448,-122.7758627
9834157532,2083,kindergarten,,POINT (-123.1410828 49.2932407),49.2932407,-123.1410828
9956155668,2083,kindergarten,Academics PreKindergarten,POINT (-122.9212713 49.2124722),49.2124722,-122.9212713
9959011028,2083,kindergarten,Universal Kidz Montessori Childcare,POINT (-122.7307742 49.1043265),49.1043265,-122.7307742
10114533621,2083,kindergarten,Mongio,POINT (-122.9109289 49.2053965),49.2053965,-122.9109289
10125469837,2083,kindergarten,CEFA Early Childcare,POINT (-122.922353 49.2123635),49.2123635,-122.922353
10301614083,2083,kindergarten,Urban Kids Montessori,POINT (-122.779225 49.1600124),49.1600124,-122.779225
10671663083,2083,kindergarten,Little Oak Montessori,POINT (-123.0316808 49.2249994),49.2249994,-123.0316808
11134574742,2083,kindergarten,Douglas Park Preschool,POINT (-123.1224978 49.2523073),49.2523073,-123.1224978
11163546577,2083,kindergarten,Thunderbird Preschool,POINT (-123.0312618 49.2637262),49.2637262,-123.0312618
11389122225,2083,kindergarten,Beehouse Montessori Daycare,POINT (-123.0185405 49.2498963),49.2498963,-123.0185405
11421601833,2083,kindergarten,Highlands Preschool,POINT (-123.1045404 49.3384239),49.3384239,-123.1045404
11580596164,2083,kindergarten,,POINT (-123.0149266 49.2339041),49.2339041,-123.0149266
11612198026,2083,kindergarten,Next Prep Academy,POINT (-122.994087 49.2807593),49.2807593,-122.994087
11681836469,2083,kindergarten,Willowbrae Academy River District,POINT (-123.0314075 49.2061986),49.2061986,-123.0314075
11815516325,2083,kindergarten,Rothewood Academy,POINT (-122.8030014 49.0335781),49.0335781,-122.8030014
12207622876,2083,kindergarten,My Whole Earth Academy,POINT (-123.1530015 49.2347173),49.2347173,-123.1530015
