osm_id,code,fclass,name,geometry,Latitude,Longitude
23317177,2504,mall,The Amazing Brentwood Shopping Centre,"POLYGON ((-123.0030315 49.2697041, -123.0029809 49.2697035, -123.0028998 49.2697028, -123.0028685 49.2697028, -123.0002951 49.2696981, -123.0001498 49.2696088, -122.9986955 49.2686329, -122.997817 49.2680556, -122.9977626 49.2679225, -122.9977837 49.2670573, -122.9977882 49.2668326, -122.9978281 49.2665496, -122.9979658 49.2664999, -122.998623 49.2665057, -122.9992324 49.2665077, -123.000675 49.2665534, -123.0015819 49.2666433, -123.0020635 49.2666707, -123.0022988 49.2666415, -123.0028537 49.2666539, -123.0029424 49.2667406, -123.0029387 49.2678274, -123.0029569 49.2684679, -123.0029931 49.2694527, -123.0029977 49.2696329, -123.0030053 49.2696415, -123.0030243 49.2696554, -123.0030293 49.2696616, -123.0030315 49.2697041))",49.2679885,-123.0005996
23716683,2504,mall,Capilano Mall,"POLYGON ((-123.1018768 49.3216524, -123.1015363 49.3220634, -123.1013389 49.3219963, -123.1010127 49.3223991, -123.1009637 49.3223814, -123.1008582 49.3223432, -123.1005235 49.3227348, -123.10006 49.3228634, -123.0993734 49.3226341, -123.0993918 49.3226102, -123.099442 49.3225446, -123.0987213 49.3222709, -123.0987057 49.3222649, -123.098455 49.3221697, -123.0984035 49.3221362, -123.0983949 49.3220634, -123.0992017 49.3210732, -123.0994137 49.3211426, -123.0994506 49.3210676, -123.0993905 49.3210452, -123.099648 49.3207319, -123.0997167 49.3207655, -123.0999583 49.320462, -123.1000343 49.3203795, -123.1001802 49.3204298, -123.100163 49.3204802, -123.100575 49.3206256, -123.100575 49.320676, -123.1011682 49.3208734, -123.1014505 49.3209781, -123.1013389 49.3211012, -123.1015878 49.3211851, -123.1013538 49.3214772, -123.1018768 49.3216524))",49.32169064,-123.1001384
23777904,2504,mall,Park Royal North,"POLYGON ((-123.1404333 49.3280215, -123.1402691 49.3282287, -123.1398698 49.3283125, -123.1398917 49.3283522, -123.1391961 49.3285032, -123.139066 49.3285038, -123.1390659 49.3284985, -123.1390317 49.3284988, -123.1390325 49.328463, -123.1389842 49.3284609, -123.1389876 49.3284976, -123.1388917 49.328498, -123.1388913 49.3284466, -123.1378828 49.3284423, -123.1378852 49.3283636, -123.1376523 49.3283626, -123.1376505 49.3284052, -123.1373172 49.3284021, -123.1372176 49.3285217, -123.1371555 49.3285007, -123.1370919 49.3285538, -123.1369821 49.3285045, -123.1371796 49.3283142, -123.1370953 49.3282819, -123.1369855 49.328285, -123.1369849 49.3282259, -123.1366701 49.3282272, -123.1366698 49.3286829, -123.1363973 49.3286838, -123.1363999 49.3287509, -123.1357049 49.3287501, -123.1357063 49.3288179, -123.1356656 49.3288467, -123.1356234 49.3288456, -123.1356218 49.3287487, -123.1353503 49.3287449, -123.1353471 49.3275903, -123.1364384 49.3276011, -123.1364401 49.3275766, -123.1375868 49.3275806, -123.137726 49.3275783, -123.137815 49.3275769, -123.1378967 49.3275757, -123.1378954 49.3275625, -123.1379373 49.3275383, -123.138002 49.3275372, -123.1380338 49.3275613, -123.1380363 49.3275801, -123.1394186 49.3275851, -123.1394233 49.3277201, -123.1394378 49.3277031, -123.1394671 49.3276971, -123.1394946 49.327708, -123.1395024 49.3277243, -123.1394959 49.3277365, -123.1395406 49.3277471, -123.1395749 49.327735, -123.1404333 49.3280215))",49.32806923,-123.1375365
30594207,2504,mall,CF Richmond Centre,"POLYGON ((-123.1396902 49.1662442, -123.1394675 49.1663898, -123.1394702 49.1667844, -123.1393951 49.1668353, -123.1393943 49.1669352, -123.1393938 49.1669931, -123.1393933 49.1670493, -123.1393924 49.1671457, -123.1393227 49.1671895, -123.1393216 49.1672092, -123.1393203 49.1674332, -123.1393014 49.1676713, -123.1392154 49.1687732, -123.139202 49.1694483, -123.138172 49.1694431, -123.1379735 49.1694396, -123.1378126 49.1693361, -123.1377772 49.1693342, -123.1376919 49.1693326, -123.1377058 49.1685714, -123.1377107 49.1683032, -123.1375812 49.168302, -123.1369436 49.1682962, -123.1369368 49.1680174, -123.1369369 49.1679752, -123.1369348 49.1679314, -123.1369302 49.167742, -123.1372916 49.1677389, -123.137389 49.167738, -123.137553 49.1677366, -123.1376477 49.1677358, -123.1376514 49.1676726, -123.1376436 49.1674096, -123.1375927 49.1673728, -123.1375929 49.1673167, -123.1375931 49.1672658, -123.1375938 49.1670457, -123.1375947 49.1669874, -123.1375942 49.16693, -123.1375954 49.1666029, -123.1376316 49.1665783, -123.1377348 49.1665792, -123.1377356 49.1664284, -123.1377371 49.1661706, -123.1377375 49.1660934, -123.1376611 49.1660917, -123.1375967 49.1660487, -123.1375976 49.1658233, -123.137598 49.1657812, -123.137598 49.1657268, -123.1375992 49.1654366, -123.1376115 49.16505, -123.1387663 49.1650668, -123.1387582 49.1652533, -123.139106 49.1654307, -123.1391162 49.1655111, -123.139114 49.1660864, -123.1396848 49.1660882, -123.1396902 49.1662442))",49.16729366,-123.1384036
37111511,2504,mall,International Village,"POLYGON ((-123.1074729 49.2808089, -123.1074629 49.2808393, -123.107452 49.2808661, -123.1074136 49.2808983, -123.1073869 49.2809065, -123.1073574 49.2809107, -123.1073144 49.2809104, -123.1072536 49.2808948, -123.1072036 49.2808703, -123.107159 49.2808334, -123.1071192 49.2807778, -123.107116 49.280742, -123.1070863 49.2807368, -123.1070433 49.2808417, -123.1061371 49.2806833, -123.1061638 49.2806183, -123.1060829 49.2805618, -123.1060125 49.2805132, -123.1059379 49.2805592, -123.1058519 49.2805418, -123.1061049 49.2799264, -123.1061324 49.2799315, -123.1061884 49.2798024, -123.106243 49.2798113, -123.1062768 49.2797989, -123.1062487 49.2797615, -123.1063475 49.2797254, -123.1064419 49.2796909, -123.1064706 49.2797256, -123.1065088 49.2797125, -123.1065327 49.2796569, -123.106627 49.2796733, -123.1066297 49.2796666, -123.1067776 49.2796922, -123.1067748 49.2796992, -123.1068658 49.2797149, -123.1068686 49.279708, -123.1070197 49.2797339, -123.1070169 49.2797408, -123.1071085 49.2797564, -123.1070815 49.2798237, -123.1071634 49.2798765, -123.1072385 49.2799249, -123.107445 49.2799267, -123.1074298 49.2806529, -123.1073887 49.2806525, -123.1073888 49.2806458, -123.1072608 49.2806446, -123.1072604 49.2806648, -123.1072909 49.2806651, -123.1073361 49.2806811, -123.1073709 49.2806986, -123.1074112 49.2807284, -123.1074326 49.2807476, -123.1074487 49.2807739, -123.1074729 49.2808089))",49.28028031,-123.1067366
39274707,2504,mall,Aberdeen Centre,"POLYGON ((-123.1345018 49.1830791, -123.1345013 49.1831365, -123.1344595 49.1831364, -123.1344594 49.1831429, -123.1343109 49.1831445, -123.1343125 49.1834442, -123.1343895 49.1834441, -123.1343892 49.1834896, -123.1343139 49.1834899, -123.1343161 49.1837356, -123.134435 49.1837897, -123.1343829 49.183867, -123.1343572 49.1839333, -123.1343497 49.1840034, -123.1343211 49.1839905, -123.1343081 49.1845252, -123.1342694 49.1845541, -123.1341501 49.1845594, -123.1340423 49.184531, -123.1339467 49.1844708, -123.1339015 49.1844095, -123.1338475 49.1844183, -123.1337781 49.1844299, -123.1337764 49.1844839, -123.1337286 49.1845305, -123.1336773 49.1845515, -123.1336269 49.1845555, -123.1328326 49.1845543, -123.1327465 49.1845225, -123.1327135 49.1844759, -123.1327126 49.1843339, -123.1327418 49.1842093, -123.1328036 49.1840847, -123.1328734 49.1840084, -123.132943 49.1840001, -123.1329129 49.1839308, -123.1329233 49.1838885, -123.1329597 49.1838677, -123.1330161 49.1838522, -123.1330952 49.1838393, -123.1331237 49.1837937, -123.1332666 49.1837111, -123.1333801 49.1836199, -123.1334882 49.18352, -123.1335426 49.1834461, -123.1336008 49.1833631, -123.1336779 49.1832406, -123.1337242 49.1831836, -123.1337503 49.1832643, -123.1337968 49.1833195, -123.1338894 49.1833813, -123.133964 49.1834095, -123.1340084 49.1834137, -123.1340623 49.1834108, -123.1341127 49.1833824, -123.1341292 49.1833449, -123.1341275 49.1833001, -123.1341075 49.1832563, -123.134058 49.1831916, -123.1339894 49.1831408, -123.1339073 49.1831088, -123.1341151 49.1830736, -123.1345018 49.1830791))",49.18397564,-123.1336678
42277873,2504,mall,Park Royal Shopping Centre,"POLYGON ((-123.1414369 49.3269746, -123.1414137 49.3270004, -123.1414089 49.3270065, -123.1413989 49.3270186, -123.1413295 49.3270936, -123.1411907 49.3271866, -123.1410438 49.3273904, -123.1406386 49.327884, -123.1404875 49.3280228, -123.1406517 49.328064, -123.1409776 49.3281782, -123.14097 49.3282386, -123.1410273 49.3282649, -123.14086 49.3283731, -123.140498 49.3284398, -123.1404187 49.3283016, -123.1403953 49.3282898, -123.1403551 49.3282991, -123.140285 49.3283253, -123.139247 49.3285674, -123.1391571 49.3285669, -123.1376745 49.3285583, -123.1362404 49.3289228, -123.1354871 49.3289146, -123.1351613 49.3288175, -123.1350968 49.3273112, -123.1350309 49.3269363, -123.1350338 49.3263612, -123.1349822 49.3262387, -123.1349853 49.3249092, -123.1349785 49.3245685, -123.1350276 49.3245071, -123.1351023 49.3244625, -123.1361253 49.3240735, -123.1371931 49.3240764, -123.1400782 49.3240734, -123.1403178 49.3240803, -123.1403014 49.325715, -123.1403031 49.3261467, -123.1402774 49.3267646, -123.1406882 49.3269923, -123.1413377 49.3269589, -123.1413735 49.3269604, -123.1414292 49.3269632, -123.1414369 49.3269746))",49.3264207,-123.1377535
42277883,2504,mall,Park and Tilford Shops & Garden,"POLYGON ((-123.0435432 49.3099035, -123.0426713 49.3103993, -123.0405426 49.3103818, -123.0406448 49.307414, -123.0434945 49.3081431, -123.0435112 49.3089727, -123.0435432 49.3099035))",49.30905527,-123.041953
67144000,2504,mall,Kids Market,"POLYGON ((-123.1363279 49.2703604, -123.1361258 49.2704966, -123.1356657 49.2702562, -123.1358497 49.2701064, -123.1363279 49.2703604))",49.27030402,-123.1359924
73810652,2504,mall,Brentwood Town Centre,"POLYGON ((-123.0017008 49.2685891, -123.0015824 49.2686589, -123.0012739 49.2688763, -123.0009671 49.2690703, -123.0005528 49.2687921, -123.0004349 49.2687844, -123.0003382 49.2687781, -122.9998125 49.2691001, -122.9992018 49.268676, -122.999639 49.2683912, -122.9998733 49.2683629, -122.9998757 49.2682932, -122.9997986 49.2682431, -122.9997153 49.2681096, -122.9995265 49.2681531, -122.9988783 49.2677751, -122.9986002 49.267613, -122.9992372 49.2671942, -122.9998101 49.2675827, -123.0002078 49.2673049, -123.000484 49.2673999, -123.0005866 49.2674452, -123.0005057 49.2675487, -123.0005725 49.267593, -123.0005901 49.2676046, -123.000559 49.2676294, -123.0004099 49.2677255, -123.000832 49.2680135, -123.0013552 49.2683658, -123.0014406 49.2684193, -123.0014993 49.2684647, -123.0017008 49.2685891))",49.26818893,-123.0001361
