osm_id,code,fclass,name,geometry,Latitude,Longitude
286316995,2304,pub,The Cambie,POINT (-123.109049 49.2831924),49.2831924,-123.109049
339820821,2304,pub,The Lion Rampant Scottish Pub,POINT (-123.6095515 48.8171398),48.8171398,-123.6095515
427907430,2304,pub,Koerner's Pub,POINT (-123.258088 49.2684891),49.2684891,-123.258088
448427063,2304,pub,Lighthouse Pub,POINT (-123.2014441 48.7977789),48.7977789,-123.2014441
505751513,2304,pub,Steamworks,POINT (-123.110987 49.2848692),49.2848692,-123.110987
530748079,2304,pub,Springwater Lodge,POINT (-123.3004227 48.8515191),48.8515191,-123.3004227
563321283,2304,pub,Alibi Room,POINT (-123.1002189 49.2842198),49.2842198,-123.1002189
582802138,2304,pub,The Ivanhoe Pub,POINT (-123.0996162 49.2750807),49.2750807,-123.0996162
635894580,2304,pub,The Wolf and Hound,POINT (-123.1842067 49.2644834),49.2644834,-123.1842067
638771021,2304,pub,Lennox Pub,POINT (-123.119819 49.281145),49.281145,-123.119819
644342002,2304,pub,Russel Brewing Company,POINT (-123.1725691 49.2642338),49.2642338,-123.1725691
700713948,2304,pub,East Side Craft House,POINT (-123.0760525 49.2329187),49.2329187,-123.0760525
711028956,2304,pub,Raven Pub,POINT (-122.9533431 49.316484),49.316484,-122.9533431
762973189,2304,pub,Fort Pub & Grill,POINT (-122.577262 49.1711728),49.1711728,-122.577262
769433051,2304,pub,The Landing Pub & Grill,POINT (-123.072304 49.0905224),49.0905224,-123.072304
873405516,2304,pub,Habitat,POINT (-123.0017593 49.2513576),49.2513576,-123.0017593
892683982,2304,pub,Meridian Arms Pub,POINT (-122.757155 49.2719209),49.2719209,-122.757155
892685032,2304,pub,The Bennett Craft & Kitchen,POINT (-122.7727603 49.2668041),49.2668041,-122.7727603
903721300,2304,pub,Yaletown Brewing Company,POINT (-123.1209961 49.2754345),49.2754345,-123.1209961
941532203,2304,pub,Woody's on Brunette,POINT (-122.870333 49.2374083),49.2374083,-122.870333
960913437,2304,pub,Union Jack Public House & Carvery,POINT (-122.921168 49.2120122),49.2120122,-122.921168
960913461,2304,pub,River's Reach Pub,POINT (-122.916001 49.2094623),49.2094623,-122.916001
1065474551,2304,pub,John B Pub,POINT (-122.8672207 49.2487411),49.2487411,-122.8672207
1076425075,2304,pub,Flying Beaver Bar & Grill,POINT (-123.168174 49.1773107),49.1773107,-123.168174
1102728879,2304,pub,The Social Tavern,POINT (-122.7784001 49.1557483),49.1557483,-122.7784001
1298573939,2304,pub,Hummingbird Pub,POINT (-123.3456837 48.8909211),48.8909211,-123.3456837
1331898617,2304,pub,Seymour's Pub,POINT (-123.0272348 49.3127252),49.3127252,-123.0272348
1373339577,2304,pub,London Pub,POINT (-123.099511 49.2784402),49.2784402,-123.099511
1394131151,2304,pub,Central City Brewing Company,POINT (-122.8484563 49.1876904),49.1876904,-122.8484563
1637511002,2304,pub,The Thirsty Duck,POINT (-122.9309659 49.2077342),49.2077342,-122.9309659
1682768018,2304,pub,Tugboat Annie's,POINT (-122.9902779 49.1690214),49.1690214,-122.9902779
1702419967,2304,pub,Cat and Fiddle,POINT (-122.7672385 49.252695),49.252695,-122.7672385
1722601503,2304,pub,The Fringe Cafe,POINT (-123.174703 49.26404),49.26404,-123.174703
1735086248,2304,pub,Donegal's Irish House,POINT (-122.8878011 49.1768204),49.1768204,-122.8878011
1746449122,2304,pub,Hop & Vine,POINT (-122.946466 49.2696427),49.2696427,-122.946466
1749427678,2304,pub,Delta Lion Pub,POINT (-122.9135108 49.1550298),49.1550298,-122.9135108
1752259175,2304,pub,Fogg N' Suds,POINT (-123.1046673 49.1835444),49.1835444,-123.1046673
1780901187,2304,pub,Firefighters' Public House,POINT (-122.997148 49.2251023),49.2251023,-122.997148
1780968449,2304,pub,Great Bear Pub,POINT (-122.9815705 49.2231427),49.2231427,-122.9815705
1793709914,2304,pub,The Pint,POINT (-123.107723 49.2812723),49.2812723,-123.107723
1834938167,2304,pub,The Ellis,POINT (-123.1554043 49.2716208),49.2716208,-123.1554043
1932455897,2304,pub,St Augustine's,POINT (-123.069503 49.263831),49.263831,-123.069503
1938712075,2304,pub,The Black Frog,POINT (-123.1084807 49.2845626),49.2845626,-123.1084807
1943772871,2304,pub,The Taphouse,POINT (-122.891008 49.2464886),49.2464886,-122.891008
