osm_id,code,fclass,name,type,geometry,Latitude,Longitude
23253981,1500,building,,school,"POLYGON ((-123.0737938 49.2148171, -123.0737903 49.2149883, -123.0737544 49.214988, -123.0737539 49.2150122, -123.0734982 49.21501, -123.0734983 49.215003, -123.0731542 49.215, -123.0731531 49.2150552, -123.0728477 49.2150525, -123.0728487 49.2150053, -123.0727045 49.215004, -123.0727091 49.2147808, -123.0736562 49.2147891, -123.0736557 49.2148159, -123.0737938 49.2148171))",49.21490458287767,-123.07322484433617
23937601,1500,building,,school,"POLYGON ((-123.031442 49.3145309, -123.0310489 49.3145289, -123.031048 49.3145171, -123.0308781 49.3145183, -123.030879 49.3144765, -123.0307937 49.3144761, -123.0307925 49.3145348, -123.0305216 49.3145355, -123.0305226 49.3144243, -123.0304945 49.3144244, -123.0304939 49.3144721, -123.0304225 49.3144711, -123.0304228 49.3145452, -123.0298421 49.3145497, -123.029854 49.3143445, -123.0300532 49.3143461, -123.0300505 49.3142532, -123.0304085 49.3142561, -123.0304115 49.3143035, -123.0305157 49.3143035, -123.030517 49.314117, -123.0307971 49.3141192, -123.0307925 49.3142919, -123.0307198 49.3142923, -123.0307214 49.3143696, -123.0307516 49.3143704, -123.0307527 49.3143612, -123.0309214 49.3143662, -123.0309196 49.3143465, -123.0314396 49.3143511, -123.031442 49.3145309))",49.31439388985792,-123.03058854792388
23937742,1500,building,Birch Building,university,"POLYGON ((-123.0206888 49.3159977, -123.0205998 49.3160244, -123.0206158 49.316262, -123.0204268 49.316297, -123.0204258 49.3162504, -123.0200498 49.316255, -123.0200508 49.3163018, -123.0199628 49.3163029, -123.0199648 49.3163709, -123.0198953 49.3163726, -123.019888 49.3162994, -123.0190888 49.3162926, -123.0190858 49.316195, -123.0192168 49.3161934, -123.0192158 49.3161662, -123.0191608 49.3161037, -123.0197656 49.3158744, -123.0198862 49.3160021, -123.0199045 49.3160215, -123.0198794 49.3160297, -123.0199321 49.3160914, -123.0199919 49.3160688, -123.0199638 49.3160403, -123.0202659 49.3159307, -123.0203044 49.3159732, -123.0206359 49.3159704, -123.0206868 49.3159699, -123.0206888 49.3159977))",49.31613287163919,-123.01989048620943
23937748,1500,building,Centre for Sport and Wellness,university,"POLYGON ((-123.0210964 49.315427, -123.0210824 49.3156723, -123.0208144 49.3156659, -123.0208114 49.3157038, -123.0206014 49.3156988, -123.0206024 49.3156692, -123.0201634 49.3156586, -123.0201644 49.3156408, -123.0201354 49.3156401, -123.0201394 49.3155728, -123.0201114 49.3155721, -123.0201214 49.3153788, -123.0201564 49.3153796, -123.0201594 49.3153179, -123.0201904 49.3153187, -123.0201914 49.3153032, -123.0206864 49.3153151, -123.0207614 49.3153215, -123.0209784 49.3153267, -123.0209734 49.3154141, -123.0209844 49.3154143, -123.0209834 49.3154243, -123.0210964 49.315427))",49.31549891409128,-123.02059504160717
23947201,1500,building,WVSS North,school,"POLYGON ((-123.1623825 49.3379186, -123.1623822 49.3380483, -123.1618915 49.3380478, -123.1618918 49.337922, -123.1612735 49.3379214, -123.1612732 49.3380353, -123.1603046 49.3380343, -123.1603053 49.3377531, -123.1600128 49.3377527, -123.1600138 49.3374004, -123.1602726 49.3374007, -123.1602724 49.3374683, -123.1604524 49.3374685, -123.1604529 49.3373127, -123.1606906 49.3373131, -123.1606902 49.3374375, -123.1609306 49.3374378, -123.1609298 49.3376724, -123.16123 49.3376729, -123.1612298 49.3377343, -123.1619402 49.3377353, -123.1619404 49.3376797, -123.1620437 49.3376798, -123.1620438 49.3376416, -123.1622197 49.3376418, -123.1622196 49.3376769, -123.1623304 49.337677, -123.1623298 49.3379185, -123.1623825 49.3379186))",49.3377604673192,-123.161039505622
23948027,1500,building,,school,"POLYGON ((-123.1704941 49.3347725, -123.1704717 49.3353604, -123.1701041 49.3353545, -123.170113 49.3351214, -123.1700508 49.3351204, -123.1700607 49.3348642, -123.1701388 49.3348655, -123.1701426 49.3347668, -123.1704941 49.3347725))",49.335060310710105,-123.17028558641148
23948298,1500,building,Cedar Building,university,"POLYGON ((-123.0189895 49.3170006, -123.0189793 49.3170363, -123.0188571 49.3170721, -123.0188542 49.3174078, -123.0186141 49.3174069, -123.0186145 49.3173639, -123.0184965 49.3173635, -123.0185002 49.3169395, -123.0186186 49.31694, -123.0186191 49.316888, -123.0188607 49.3168889, -123.0188599 49.3169726, -123.0189541 49.3169729, -123.0189895 49.3170006))",49.31714165847626,-123.01869752339674
23948314,1500,building,Library,university,"POLYGON ((-123.0204704 49.3168879, -123.0204679 49.3170449, -123.0203808 49.3170443, -123.0203781 49.3172091, -123.0199365 49.3172061, -123.0199352 49.3172905, -123.0200319 49.3173279, -123.0200216 49.3174116, -123.0197958 49.3173999, -123.0197983 49.3173794, -123.0197554 49.3173772, -123.0197325 49.3174092, -123.0196754 49.317439, -123.0196296 49.3174517, -123.0195612 49.3174541, -123.01949 49.3174383, -123.0194358 49.3174132, -123.0193963 49.3173295, -123.0194081 49.3172905, -123.0194369 49.3172567, -123.0195086 49.3172099, -123.0195157 49.3171203, -123.0194677 49.3171187, -123.0193847 49.3171173, -123.0193865 49.3170701, -123.0190291 49.3170643, -123.0190366 49.3168696, -123.0190709 49.3168701, -123.019077 49.3167007, -123.0193683 49.3167059, -123.0195203 49.3167084, -123.0199344 49.3167138, -123.0199302 49.3168325, -123.0200127 49.3168848, -123.0204704 49.3168879))",49.31702678074938,-123.01971305742104
23948323,1500,building,Fir Building,university,"POLYGON ((-123.0189267 49.3178947, -123.0188858 49.3179226, -123.0188841 49.3183713, -123.0187496 49.3183711, -123.0186922 49.3183708, -123.0184635 49.3183703, -123.0184677 49.317529, -123.0188758 49.3175299, -123.018874 49.3178806, -123.0189267 49.3178947))",49.31795306120248,-123.01867373941272
24006719,1500,building,,school,"POLYGON ((-123.0639419 49.3417248, -123.0638913 49.3417497, -123.0639198 49.3417753, -123.0634566 49.3420665, -123.0634433 49.3420553, -123.0632523 49.3421625, -123.063273 49.3421786, -123.0630741 49.3423011, -123.0631009 49.3423226, -123.0628486 49.3424936, -123.0626873 49.3423942, -123.0626367 49.3424287, -123.062486 49.3423314, -123.0627148 49.3421741, -123.0628095 49.3421162, -123.062865 49.342145, -123.063044 49.3420276, -123.0630223 49.3420116, -123.0631293 49.341942, -123.0631732 49.3419207, -123.0632409 49.3419135, -123.063297 49.3419415, -123.0634911 49.341822, -123.0637495 49.3416633, -123.0638106 49.341698, -123.0638586 49.3416724, -123.0639419 49.3417248))",49.34209512584485,-123.06317585416546
24048179,1500,building,,school,"POLYGON ((-123.0841231 49.3288545, -123.0838754 49.3288937, -123.0837621 49.328926, -123.0837373 49.3288914, -123.083702 49.328896, -123.083302 49.3290171, -123.0832454 49.3289363, -123.0829127 49.3289894, -123.0828649 49.3289906, -123.0828207 49.3289917, -123.082825 49.329017, -123.0828349 49.3290632, -123.0823535 49.3290816, -123.0821624 49.3290517, -123.0821266 49.3290925, -123.0821169 49.3291266, -123.0821002 49.3291246, -123.0817948 49.329086, -123.0818686 49.3288567, -123.0818159 49.3288402, -123.0818632 49.328792, -123.0819068 49.3286322, -123.0819219 49.328634, -123.0819394 49.3285767, -123.0821392 49.3285692, -123.0821449 49.3285879, -123.0822223 49.3285828, -123.0822223 49.3285985, -123.0822452 49.3285991, -123.0822926 49.3286004, -123.0823075 49.3284878, -123.0825803 49.3284864, -123.0825771 49.3286583, -123.0826216 49.328654, -123.0826248 49.3285661, -123.0827457 49.3285686, -123.0827888 49.3287126, -123.0828313 49.3287218, -123.0830401 49.3287034, -123.0831144 49.3286872, -123.083173 49.3286847, -123.0832607 49.328681, -123.083356 49.328677, -123.0834719 49.3286722, -123.0839532 49.3285454, -123.0841231 49.3288545))",49.32881384585607,-123.08280144296526
25863676,1500,building,,school,"POLYGON ((-123.1273614 49.1401506, -123.1273589 49.1403719, -123.1265463 49.140368, -123.1265469 49.1403137, -123.1261742 49.140312, -123.1261746 49.1402751, -123.1261153 49.1402748, -123.126076 49.1402746, -123.1260756 49.1403141, -123.1259076 49.1403133, -123.1259045 49.1405913, -123.1257423 49.1405905, -123.1257426 49.1405652, -123.1256186 49.1405646, -123.1256277 49.1397334, -123.1257936 49.1397342, -123.1257933 49.1397589, -123.1259622 49.1397597, -123.1259625 49.139734, -123.1262636 49.1397355, -123.1262644 49.1396668, -123.1263093 49.139667, -123.1263091 49.1396875, -123.1265182 49.1396886, -123.1265153 49.1399375, -123.1267688 49.1399387, -123.1267921 49.1399246, -123.1268268 49.1399115, -123.1269241 49.1399068, -123.1269702 49.1399174, -123.1270126 49.1399351, -123.1270129 49.1399543, -123.1271463 49.1399534, -123.127183 49.1399812, -123.1271509 49.1399993, -123.1271503 49.1400702, -123.1272005 49.140102, -123.1271801 49.1401158, -123.1271797 49.1401498, -123.1273614 49.1401506))",49.14010447508682,-123.12634152459358
27989126,1500,building,Buchanan Building Block A,university,"POLYGON ((-123.2553112 49.2685865, -123.25493 49.2687204, -123.2546843 49.2684227, -123.2547738 49.2683925, -123.2547125 49.2683185, -123.254647 49.2682394, -123.2548161 49.2681797, -123.2548774 49.2682544, -123.2549404 49.268331, -123.2550564 49.2682923, -123.2553112 49.2685865))",49.26846484176467,-123.25495837760351
27989128,1500,building,Buchanan Building Block C,university,"POLYGON ((-123.2546191 49.2689624, -123.2545608 49.268983, -123.2546065 49.2690382, -123.2545545 49.2690565, -123.2545065 49.2689985, -123.2544596 49.2690151, -123.2540537 49.268525, -123.2540809 49.2685154, -123.2540319 49.2684562, -123.2541171 49.2684262, -123.2541675 49.268487, -123.2542123 49.2684712, -123.254354 49.2686423, -123.2543797 49.2686734, -123.2546191 49.2689624))",49.26873667026042,-123.25432969685694
27989129,1500,building,Buchanan Building Block D,university,"POLYGON ((-123.2548552 49.2691671, -123.2538733 49.2695133, -123.2537345 49.2693456, -123.2538117 49.2693184, -123.2539769 49.2692601, -123.2545545 49.2690565, -123.2546065 49.2690382, -123.2547163 49.2689994, -123.2547809 49.2690774, -123.2548552 49.2691671))",49.26925636065178,-123.25429481980848
27989130,1500,building,Buchanan Building Block E,university,"POLYGON ((-123.2539769 49.2692601, -123.2538117 49.2693184, -123.2537672 49.2692646, -123.2537351 49.2692759, -123.2534533 49.2689356, -123.2535976 49.2688847, -123.2538775 49.2692206, -123.2539289 49.2692022, -123.2539769 49.2692601))",49.26910858248168,-123.25369895076338
27989131,1500,building,Buchanan Tower,university,"POLYGON ((-123.2537613 49.2685306, -123.2537134 49.2685472, -123.2537565 49.2686001, -123.2533089 49.2687551, -123.2532585 49.2686931, -123.2532016 49.2687128, -123.2531353 49.2686312, -123.2531903 49.2686122, -123.2531476 49.2685596, -123.2535933 49.2684053, -123.2536377 49.26846, -123.2536894 49.2684422, -123.2537613 49.2685306))",49.26858011714948,-123.25345090441662
30594218,1500,building,Richmond Secondary School,school,"POLYGON ((-123.1434515 49.1608993, -123.1434508 49.1611381, -123.1433653 49.1611389, -123.1434033 49.16124, -123.1431804 49.161287, -123.1432012 49.1613714, -123.1431326 49.1613835, -123.143177 49.1615008, -123.1430487 49.1615258, -123.1430555 49.1615383, -123.1429081 49.1615617, -123.1429272 49.1616086, -123.1433495 49.161648, -123.1433503 49.1616857, -123.1433841 49.1616898, -123.1433691 49.1617997, -123.143437 49.1617984, -123.1434366 49.1618967, -123.14303 49.1618959, -123.1430297 49.1619438, -123.1426657 49.1619446, -123.1426636 49.1619207, -123.1420514 49.1619217, -123.142051 49.161879, -123.1420058 49.1618801, -123.1420041 49.1618335, -123.1420036 49.1618049, -123.1420233 49.1618044, -123.142019 49.1617691, -123.1420449 49.1617669, -123.1420259 49.1616638, -123.1425843 49.161615, -123.1425538 49.1615651, -123.1425098 49.1615696, -123.1424752 49.1614854, -123.1424274 49.1614964, -123.1424103 49.1614535, -123.142365 49.161457, -123.1423403 49.1613962, -123.1423847 49.1613893, -123.1423144 49.1612129, -123.1421746 49.1612427, -123.1420676 49.1609813, -123.1421403 49.1609699, -123.1420711 49.1607729, -123.1424424 49.1607033, -123.1424872 49.1608024, -123.1426448 49.1607851, -123.1427338 49.1609846, -123.142842 49.1609666, -123.1428405 49.1607889, -123.1430731 49.1607889, -123.1430787 49.160789, -123.1430798 49.1608267, -123.1433102 49.1608298, -123.1433137 49.160898, -123.1434515 49.1608993))",49.16134691962912,-123.14273761824886
30679206,1500,building,,school,"POLYGON ((-123.180024 49.1307017, -123.1798844 49.1309009, -123.1798993 49.1309055, -123.1798798 49.1309306, -123.1798594 49.1309259, -123.1798409 49.1309565, -123.1798613 49.1309624, -123.1797731 49.1310953, -123.1797554 49.1310897, -123.1797356 49.1311205, -123.1796756 49.1311027, -123.1796422 49.1311521, -123.1795486 49.1311242, -123.1795566 49.1311143, -123.1795042 49.1310983, -123.1794963 49.1311077, -123.1794002 49.1310786, -123.179419 49.1310529, -123.1793247 49.1310253, -123.1793061 49.1310509, -123.1792104 49.1310227, -123.1792179 49.1310122, -123.1791676 49.1309974, -123.1791607 49.131007, -123.1790629 49.1309781, -123.1790977 49.1309307, -123.1790417 49.1309136, -123.1790467 49.1309054, -123.1789805 49.1309067, -123.1789843 49.130953, -123.1786625 49.1309556, -123.1786558 49.1307933, -123.1786439 49.1307932, -123.1786257 49.130793, -123.1786227 49.1307596, -123.1783524 49.1307689, -123.1783815 49.1308674, -123.178393 49.1309105, -123.1778795 49.1309783, -123.1777304 49.1304467, -123.1778367 49.1304324, -123.1778278 49.1304129, -123.1780546 49.1303845, -123.1780625 49.1304047, -123.1781462 49.1303962, -123.1782445 49.1303866, -123.178336 49.1307148, -123.1786291 49.1307088, -123.1786202 49.130561, -123.1786455 49.1305609, -123.1786457 49.1304828, -123.1786621 49.1304833, -123.1786614 49.1304549, -123.1789631 49.1304527, -123.1789422 49.1304276, -123.1790929 49.1303825, -123.1790529 49.1303352, -123.1790663 49.1303313, -123.1791492 49.1303096, -123.1791543 49.1303178, -123.1792015 49.1303003, -123.1791938 49.1302913, -123.1792898 49.1302613, -123.1793101 49.1302891, -123.1794023 49.1302601, -123.1793818 49.1302323, -123.1794814 49.1302015, -123.1794881 49.1302114, -123.1795394 49.1301945, -123.1795308 49.1301861, -123.1796233 49.1301556, -123.1796525 49.1301947, -123.1796605 49.1302047, -123.1797167 49.1301877, -123.179744 49.1302276, -123.1797572 49.1302235, -123.1800208 49.1306069, -123.180024 49.1307017))",49.130667726451776,-123.17904169674723
