osm_id,code,fclass,name,geometry,Latitude,Longitude
238753589,5621,bus_stop,St George Street,POINT (-79.398618 43.663868),43.663868,-79.398618
238753600,5621,bus_stop,St George Street,POINT (-79.3982272 43.6642354),43.6642354,-79.3982272
295299568,5621,bus_stop,Macey Avenue,POINT (-79.2871828 43.6933757),43.6933757,-79.2871828
295299570,5621,bus_stop,St. Dunstan Drive,POINT (-79.2860185 43.6935726),43.6935726,-79.2860185
295299588,5621,bus_stop,Emmott Avenue,POINT (-79.2850743 43.6918685),43.6918685,-79.2850743
295299590,5621,bus_stop,Pharmacy Avenue,POINT (-79.283214 43.6924621),43.6924621,-79.283214
295299603,5621,bus_stop,,POINT (-79.2781085 43.6934069),43.6934069,-79.2781085
295299701,5621,bus_stop,Teesdale Place,POINT (-79.2855851 43.697122),43.697122,-79.2855851
295299704,5621,bus_stop,Teesdale Place,POINT (-79.2852162 43.6968574),43.6968574,-79.2852162
295308412,5621,bus_stop,Crescent Town,POINT (-79.2904327 43.6961419),43.6961419,-79.2904327
295308413,5621,bus_stop,Crescent Town,POINT (-79.2902721 43.6964318),43.6964318,-79.2902721
295308751,5621,bus_stop,Crescent Town Road,POINT (-79.2971387 43.6968566),43.6968566,-79.2971387
295308752,5621,bus_stop,,POINT (-79.2973466 43.6967488),43.6967488,-79.2973466
295308754,5621,bus_stop,Park Vista,POINT (-79.2972014 43.6980036),43.6980036,-79.2972014
295308766,5621,bus_stop,Park Vista,POINT (-79.2969322 43.6978923),43.6978923,-79.2969322
295319864,5621,bus_stop,Jarvis Street,POINT (-79.3803788 43.6717391),43.6717391,-79.3803788
295319867,5621,bus_stop,Jarvis Street,POINT (-79.380646 43.6714316),43.6714316,-79.380646
295319922,5621,bus_stop,Elm Avenue,POINT (-79.3799385 43.6744839),43.6744839,-79.3799385
295319951,5621,bus_stop,South Drive,POINT (-79.3826017 43.6785026),43.6785026,-79.3826017
295319954,5621,bus_stop,South Drive,POINT (-79.3827587 43.6783536),43.6783536,-79.3827587
295322461,5621,bus_stop,,POINT (-79.3777691 43.6774263),43.6774263,-79.3777691
295322966,5621,bus_stop,May Street,POINT (-79.3759217 43.6777189),43.6777189,-79.3759217
295324814,5621,bus_stop,South Dr at Glen Rd,POINT (-79.3749113 43.6776844),43.6776844,-79.3749113
295324816,5621,bus_stop,Glen Rd at South Dr,POINT (-79.3752387 43.6777268),43.6777268,-79.3752387
295324818,5621,bus_stop,Highland Ave at Glen Rd,POINT (-79.3739919 43.6809488),43.6809488,-79.3739919
295324820,5621,bus_stop,,POINT (-79.3729854 43.6829507),43.6829507,-79.3729854
295324933,5621,bus_stop,,POINT (-79.3725411 43.6853347),43.6853347,-79.3725411
295328459,5621,bus_stop,Summerhill Ave at Maclennan Ave,POINT (-79.3777482 43.6857304),43.6857304,-79.3777482
295329734,5621,bus_stop,,POINT (-79.3776337 43.6833081),43.6833081,-79.3776337
295330558,5621,bus_stop,,POINT (-79.3764514 43.6818433),43.6818433,-79.3764514
295331564,5621,bus_stop,South Dr at Glen Rd,POINT (-79.3756761 43.6776327),43.6776327,-79.3756761
295331565,5621,bus_stop,,POINT (-79.3752215 43.6761933),43.6761933,-79.3752215
295331566,5621,bus_stop,Elm Avenue,POINT (-79.3750389 43.6759497),43.6759497,-79.3750389
295331567,5621,bus_stop,,POINT (-79.3738223 43.6765612),43.6765612,-79.3738223
295331568,5621,bus_stop,Castle Frank Road,POINT (-79.36803 43.6740202),43.6740202,-79.36803
295331569,5621,bus_stop,Castle Frank Road,POINT (-79.3682009 43.6735477),43.6735477,-79.3682009
297943446,5621,bus_stop,Wingrove Hill,POINT (-79.5408012 43.6540535),43.6540535,-79.5408012
299297748,5621,bus_stop,Sandfield Road,POINT (-79.3751574 43.750369),43.750369,-79.3751574
299297749,5621,bus_stop,Sandfield Road,POINT (-79.374704 43.7507153),43.7507153,-79.374704
299299384,5621,bus_stop,York Mills Road South Side,POINT (-79.3841555 43.7473774),43.7473774,-79.3841555
299302982,5621,bus_stop,York Mills Rd at Old York Mills Road,POINT (-79.4045008 43.7441932),43.7441932,-79.4045008
303246708,5621,bus_stop,Glenlake Avenue,POINT (-79.4613133 43.6581704),43.6581704,-79.4613133
303246709,5621,bus_stop,Glenlake Avenue,POINT (-79.4617483 43.6585346),43.6585346,-79.4617483
304881480,5621,bus_stop,Woodbine Avenue,POINT (-79.31591 43.6925578),43.6925578,-79.31591
304881481,5621,bus_stop,Mortimer Avenue,POINT (-79.3159837 43.69288),43.69288,-79.3159837
304881482,5621,bus_stop,Lumsden Avenue,POINT (-79.3156717 43.6927003),43.6927003,-79.3156717
304881483,5621,bus_stop,Woodbine Avenue,POINT (-79.3162005 43.6925697),43.6925697,-79.3162005
304881488,5621,bus_stop,Barker Avenue,POINT (-79.3163619 43.6942506),43.6942506,-79.3163619
304881494,5621,bus_stop,Barker Avenue,POINT (-79.3164543 43.6939137),43.6939137,-79.3164543
304881799,5621,bus_stop,Tower Road,POINT (-79.3956343 43.6647794),43.6647794,-79.3956343
304881868,5621,bus_stop,Tower Road,POINT (-79.3958085 43.6645911),43.6645911,-79.3958085
304896162,5621,bus_stop,Queen's Park Crescent East,POINT (-79.3902985 43.6635595),43.6635595,-79.3902985
305024063,5621,bus_stop,Brunswick Avenue,POINT (-79.4060958 43.6621777),43.6621777,-79.4060958
305024472,5621,bus_stop,Spadina Avenue,POINT (-79.4025054 43.6629086),43.6629086,-79.4025054
305024615,5621,bus_stop,Spadina Avenue,POINT (-79.4017397 43.6632268),43.6632268,-79.4017397
310484952,5621,bus_stop,St. Clair Avenue at Santamonica Boulevard,POINT (-79.2767346 43.7128737),43.7128737,-79.2767346
310484953,5621,bus_stop,St. Clair Avenue at Santamonica Boulevard,POINT (-79.2764283 43.7132409),43.7132409,-79.2764283
310484966,5621,bus_stop,St. Clair Avenue at Elfreda Boulevard,POINT (-79.2731232 43.7136773),43.7136773,-79.2731232
310854157,5621,bus_stop,Weldrick,POINT (-79.434753 43.8607347),43.8607347,-79.434753
312239076,5621,bus_stop,Danforth Avenue,POINT (-79.3323675 43.681263),43.681263,-79.3323675
312239080,5621,bus_stop,Danforth Avenue,POINT (-79.3321982 43.6813074),43.6813074,-79.3321982
312239085,5621,bus_stop,Mountnoel Avenue,POINT (-79.3316287 43.6794487),43.6794487,-79.3316287
312239088,5621,bus_stop,Mountnoel Avenue,POINT (-79.331393 43.6793774),43.6793774,-79.331393
312878101,5621,bus_stop,Glebemount Avenue,POINT (-79.3204068 43.691554),43.691554,-79.3204068
312878177,5621,bus_stop,Glebemount Avenue,POINT (-79.3208062 43.6913522),43.6913522,-79.3208062
312878189,5621,bus_stop,Woodmount Avenue,POINT (-79.3183168 43.6919009),43.6919009,-79.3183168
312878205,5621,bus_stop,Woodmount Avenue,POINT (-79.3180854 43.6920524),43.6920524,-79.3180854
314472530,5621,bus_stop,Leaside Park Drive,POINT (-79.3509848 43.7036668),43.7036668,-79.3509848
314472531,5621,bus_stop,Thorncliffe Park Drive (West),POINT (-79.3498718 43.7046731),43.7046731,-79.3498718
314472532,5621,bus_stop,Thorncliffe Park Drive (West),POINT (-79.3499047 43.7052),43.7052,-79.3499047
314472897,5621,bus_stop,Leaside Park Drive,POINT (-79.3516382 43.7035434),43.7035434,-79.3516382
314473358,5621,bus_stop,Overlea Boulevard,POINT (-79.352511 43.7019329),43.7019329,-79.352511
314473361,5621,bus_stop,Millwood Road/Overlea Boulevard,POINT (-79.3525821 43.7015924),43.7015924,-79.3525821
314473365,5621,bus_stop,Millwood Road,POINT (-79.3527268 43.7024038),43.7024038,-79.3527268
314474340,5621,bus_stop,Overlea Boulevard,POINT (-79.3531954 43.702133),43.702133,-79.3531954
314475021,5621,bus_stop,Village Station Road,POINT (-79.3577321 43.7019747),43.7019747,-79.3577321
