osm_id,code,fclass,name,geometry,Latitude,Longitude
48553537,2303,cafe,Second Cup,POINT (-79.3528895 43.6772079),43.6772079,-79.3528895
53542349,2303,cafe,Starbucks,POINT (-79.3909545 43.6500196),43.6500196,-79.3909545
54965507,2303,cafe,Tim Hortons,POINT (-79.4062653 43.6523976),43.6523976,-79.4062653
59566254,2303,cafe,Tim Hortons,POINT (-79.3916769 43.6434725),43.6434725,-79.3916769
59566311,2303,cafe,Starbucks,POINT (-79.3894561 43.6453549),43.6453549,-79.3894561
60930953,2303,cafe,Tim Hortons,POINT (-79.3976093 43.6681371),43.6681371,-79.3976093
60930956,2303,cafe,Starbucks,POINT (-79.3936342 43.670435),43.670435,-79.3936342
60931257,2303,cafe,Starbucks,POINT (-79.3900893 43.6705964),43.6705964,-79.3900893
67344938,2303,cafe,Emily Rose Cafe,POINT (-79.4146202 43.6675085),43.6675085,-79.4146202
79877659,2303,cafe,Tim Hortons,POINT (-79.5348397 43.7121778),43.7121778,-79.5348397
80927400,2303,cafe,Second Cup,POINT (-79.4033618 43.6669082),43.6669082,-79.4033618
95378352,2303,cafe,Tim Hortons,POINT (-79.3841706 43.6646502),43.6646502,-79.3841706
176544089,2303,cafe,Tim Hortons,POINT (-79.3996143 43.6581672),43.6581672,-79.3996143
246694096,2303,cafe,Tim Hortons,POINT (-79.383289 43.6611444),43.6611444,-79.383289
247134293,2303,cafe,Tim Hortons,POINT (-79.5390715 43.5929034),43.5929034,-79.5390715
253433635,2303,cafe,Tim Hortons,POINT (-79.3798973 43.6567359),43.6567359,-79.3798973
253818647,2303,cafe,Cafe AC,POINT (-79.4012579 43.663001),43.663001,-79.4012579
260339225,2303,cafe,Deco,POINT (-79.4639576 43.6655003),43.6655003,-79.4639576
276476517,2303,cafe,Starbucks,POINT (-79.3782176 43.6492696),43.6492696,-79.3782176
277040113,2303,cafe,Mofer Coffee,POINT (-79.3233512 43.6832088),43.6832088,-79.3233512
278103212,2303,cafe,Tim Hortons,POINT (-79.3004655 43.6881672),43.6881672,-79.3004655
279641656,2303,cafe,Tim Hortons,POINT (-79.3223533 43.683782),43.683782,-79.3223533
280889469,2303,cafe,Tim Hortons,POINT (-79.390945 43.6594983),43.6594983,-79.390945
281361786,2303,cafe,Ali Basha Cafe,POINT (-79.3754525 43.6567243),43.6567243,-79.3754525
281660373,2303,cafe,Starbucks,POINT (-79.3877439 43.6507295),43.6507295,-79.3877439
281664166,2303,cafe,Lettieri,POINT (-79.3772703 43.6505655),43.6505655,-79.3772703
281664356,2303,cafe,Tim Hortons,POINT (-79.3768921 43.6495049),43.6495049,-79.3768921
281665202,2303,cafe,Chatime,POINT (-79.371651 43.6503925),43.6503925,-79.371651
281668247,2303,cafe,Tim Hortons,POINT (-79.3761252 43.6479642),43.6479642,-79.3761252
281669476,2303,cafe,Tim Hortons,POINT (-79.379004 43.6514399),43.6514399,-79.379004
286375634,2303,cafe,Coffee Time,POINT (-79.3402064 43.6796867),43.6796867,-79.3402064
288058001,2303,cafe,Starbucks,POINT (-79.4118353 43.7040624),43.7040624,-79.4118353
295319870,2303,cafe,Starbucks,POINT (-79.380646 43.6713495),43.6713495,-79.380646
302045033,2303,cafe,Tim Hortons,POINT (-79.3696355 43.7989574),43.7989574,-79.3696355
302045062,2303,cafe,Leslie Cafe,POINT (-79.3671237 43.7910039),43.7910039,-79.3671237
304899718,2303,cafe,Tim Hortons,POINT (-79.4041802 43.666716),43.666716,-79.4041802
304899767,2303,cafe,Second Cup,POINT (-79.4017693 43.6633456),43.6633456,-79.4017693
