osm_id,code,fclass,name,type,geometry,Latitude,Longitude
3113,1500,building,,hospital,"POLYGON ((-79.3997483 43.6596444, -79.3993673 43.6597186, -79.3990069 43.6597887, -79.3988056 43.6592505, -79.3992041 43.6591694, -79.3992192 43.6591663, -79.3992322 43.6591637, -79.3992406 43.659162, -79.3995365 43.6591031, -79.3995405 43.6591134, -79.3997483 43.6596444), (-79.3995338 43.6596022, -79.3994097 43.659273, -79.3990313 43.6593452, -79.3991539 43.6596767, -79.3995338 43.6596022))",43.65943432,-79.39927179
12872384,1500,building,,hospital,"POLYGON ((-79.3995177 43.6588946, -79.3990495 43.6589872, -79.3990336 43.6589903, -79.3990228 43.6589924, -79.3986705 43.6590621, -79.3985957 43.6588642, -79.398771 43.6588295, -79.3987342 43.6587321, -79.3986689 43.658745, -79.3986617 43.6587262, -79.3986409 43.6587303, -79.3985636 43.6585256, -79.3989424 43.6584507, -79.3988986 43.6583346, -79.3989686 43.6583208, -79.3990453 43.6583056, -79.3990887 43.6584205, -79.3992049 43.6583975, -79.3991881 43.658353, -79.3993299 43.6583249, -79.3993498 43.6583775, -79.3994303 43.6585907, -79.3992996 43.6586165, -79.3992682 43.6586227, -79.3993058 43.658722, -79.3994422 43.658695, -79.3995177 43.6588946))",43.65869837,-79.39902829
26236139,1500,building,,hospital,"POLYGON ((-79.4516206 43.8710529, -79.4513835 43.8710957, -79.4514199 43.871189, -79.4511185 43.8712525, -79.4510709 43.8711391, -79.4509133 43.8711688, -79.4508792 43.8710614, -79.4508671 43.8710152, -79.4507281 43.8710427, -79.4507133 43.8709961, -79.4505413 43.8710279, -79.4504958 43.870935, -79.4505518 43.8709268, -79.4504662 43.8707351, -79.4506324 43.870699, -79.4505965 43.8706078, -79.4502641 43.870668, -79.4502365 43.8705961, -79.4501838 43.870467, -79.4503406 43.870432, -79.4502161 43.8701367, -79.4504952 43.8700755, -79.4504857 43.8700477, -79.4505575 43.8700339, -79.4505095 43.8699176, -79.4503484 43.869951, -79.4503284 43.8699371, -79.4502859 43.8699462, -79.4503131 43.8699925, -79.4501253 43.8700236, -79.4501205 43.8699789, -79.4500909 43.8699844, -79.4499962 43.8697293, -79.450401 43.8696513, -79.4501767 43.8691369, -79.4501354 43.8691463, -79.4500927 43.8690492, -79.4495943 43.8691668, -79.4495404 43.8690562, -79.4500072 43.868946, -79.44997 43.8688456, -79.4502003 43.8687985, -79.4502168 43.868837, -79.450696 43.8687306, -79.4507433 43.8688672, -79.450695 43.868879, -79.450696 43.868887, -79.4502824 43.8689752, -79.4505526 43.8696003, -79.4508402 43.8694996, -79.4507219 43.8693289, -79.4508976 43.8692522, -79.4510329 43.869449, -79.4509259 43.8694943, -79.450977 43.8695772, -79.4507906 43.8696438, -79.4509386 43.8699598, -79.4508657 43.8699799, -79.4509963 43.8703108, -79.4512295 43.8702677, -79.4513204 43.8704785, -79.4513745 43.8706111, -79.4514261 43.8705993, -79.4516206 43.8710529))",43.87016277,-79.45070479
31825723,1500,building,,hospital,"POLYGON ((-79.3894249 43.6588368, -79.3893467 43.6588441, -79.3891854 43.6588799, -79.3891942 43.6589011, -79.389076 43.6589274, -79.3890212 43.6589395, -79.3886756 43.6590165, -79.3888017 43.6592814, -79.3882054 43.6594143, -79.3881701 43.6593673, -79.3880681 43.6593878, -79.3879478 43.6594119, -79.387813 43.6590813, -79.3877882 43.6590146, -79.3877271 43.6590293, -79.3876995 43.6590217, -79.3877153 43.6590011, -79.3877478 43.6589922, -79.3877415 43.6589747, -79.3877655 43.6589481, -79.387597 43.6585531, -79.3874935 43.6585774, -79.3874749 43.6585343, -79.3874096 43.6585482, -79.3873947 43.6585117, -79.3871343 43.6585709, -79.3871883 43.6587016, -79.3869717 43.6587486, -79.3868872 43.6585454, -79.3868208 43.6585594, -79.3867142 43.6583101, -79.3868479 43.6582827, -79.3868412 43.6582648, -79.3868829 43.6582566, -79.3868899 43.6582746, -79.3873337 43.6581772, -79.3874411 43.6584263, -79.3875175 43.6584086, -79.387561 43.6585055, -79.3876107 43.6584947, -79.3876171 43.6585102, -79.3876546 43.6585015, -79.3876529 43.6584624, -79.3876147 43.6584707, -79.3875637 43.6583548, -79.3875222 43.6582561, -79.3877622 43.6582034, -79.387754 43.6581848, -79.3876851 43.6581825, -79.3876279 43.6581716, -79.3876489 43.6581109, -79.3876655 43.6580629, -79.3877561 43.6580755, -79.3878702 43.658068, -79.3879691 43.6580316, -79.3880508 43.6579798, -79.3880981 43.6580092, -79.3881667 43.6580517, -79.388115 43.6580918, -79.388059 43.6581204, -79.3880642 43.6581338, -79.3883529 43.6580743, -79.3884304 43.65825, -79.3885075 43.6582341, -79.388526 43.6582303, -79.388437 43.6580123, -79.388775 43.6579445, -79.3887592 43.6579044, -79.3891497 43.6578175, -79.3892769 43.6581327, -79.3893784 43.658386, -79.3891617 43.6584351, -79.3892244 43.6585891, -79.3892979 43.658572, -79.3893778 43.6587408, -79.3894249 43.6588368))",43.65858044,-79.38829854
32167619,1500,building,,hospital,"POLYGON ((-79.5998244 43.7296222, -79.5996299 43.7296745, -79.5997506 43.7299459, -79.5992397 43.7300622, -79.5991203 43.7298005, -79.598836 43.7298674, -79.5988548 43.7299052, -79.5979428 43.7301155, -79.5978355 43.7298693, -79.5979272 43.7298479, -79.5978677 43.729723, -79.5976894 43.7297627, -79.5976042 43.7295703, -79.5975485 43.7295839, -79.5975157 43.7295166, -79.5975752 43.7295031, -79.5975418 43.7294318, -79.5975103 43.7294371, -79.597446 43.7292971, -79.5974808 43.7292917, -79.5974533 43.7292384, -79.5977343 43.7291677, -79.5977142 43.7291352, -79.5977591 43.7291236, -79.5977718 43.7291507, -79.5980651 43.7290821, -79.5982815 43.7290315, -79.5982667 43.7290039, -79.598313 43.7289928, -79.5983338 43.7290349, -79.5986201 43.7289666, -79.5986291 43.7289872, -79.5988508 43.7289438, -79.5990077 43.7290281, -79.5990613 43.7291522, -79.5991002 43.7291415, -79.5992517 43.7294671, -79.5997211 43.7293625, -79.5997828 43.729503, -79.5998244 43.7296222))",43.72953365,-79.59859094
34188784,1500,building,Odette Cancer Centre - T Wing,hospital,"POLYGON ((-79.3785626 43.7209302, -79.378237 43.7209953, -79.3782307 43.7209787, -79.3781081 43.7210032, -79.378115 43.7210212, -79.3779234 43.7210595, -79.3778641 43.7209046, -79.3777896 43.7209195, -79.3777875 43.720914, -79.3777763 43.7208846, -79.3778519 43.7208695, -79.3777665 43.7206476, -79.3777614 43.720633, -79.3777432 43.7205917, -79.3777255 43.720539, -79.3776621 43.7205516, -79.3776146 43.7204275, -79.3779859 43.7203533, -79.3783937 43.7202718, -79.3784374 43.720386, -79.3783604 43.7204014, -79.3785626 43.7209302))",43.72066231,-79.37811493
34614040,1500,building,H Wing,hospital,"POLYGON ((-79.374733 43.7226176, -79.3746904 43.7226264, -79.3747257 43.7227163, -79.3745708 43.7227462, -79.3745535 43.7227038, -79.3745354 43.7226595, -79.3739062 43.722785, -79.3739371 43.7228712, -79.3737791 43.722905, -79.373777 43.7228999, -79.373775 43.7228949, -79.3736619 43.7226168, -79.3736481 43.7225829, -79.3736698 43.7225788, -79.3736567 43.7225426, -79.3737715 43.7225194, -79.373784 43.7225169, -79.3737881 43.7225293, -79.3737906 43.722536, -79.373794 43.7225479, -79.3737959 43.7225519, -79.3738116 43.7225489, -79.373817 43.7225625, -79.3738602 43.7226723, -79.3741037 43.7226221, -79.3740991 43.7226106, -79.3742071 43.7225879, -79.3742461 43.7225797, -79.3742501 43.7225918, -79.3744931 43.7225421, -79.3743811 43.7222576, -79.3743707 43.7222311, -79.3743527 43.7221855, -79.3743965 43.7221765, -79.3744421 43.7221672, -79.374482 43.722159, -79.3744984 43.7222007, -79.3744999 43.7222045, -79.3746253 43.7225231, -79.3746905 43.7225096, -79.3747077 43.7225518, -79.3747102 43.7225595, -79.3747174 43.7225776, -79.374733 43.7226176))",43.72260147,-79.3742234
34614041,1500,building,G Wing,hospital,"POLYGON ((-79.3729639 43.7229112, -79.3729326 43.7229176, -79.3729122 43.722922, -79.3729293 43.7229647, -79.3726499 43.7230192, -79.3726423 43.7230207, -79.3726351 43.7230018, -79.3724828 43.7230317, -79.3725182 43.7231094, -79.3723624 43.7231488, -79.372195 43.7226873, -79.3722401 43.7226756, -79.3722943 43.7226624, -79.3722748 43.7226204, -79.3724229 43.7225863, -79.3724566 43.7226447, -79.3728413 43.7225129, -79.372892 43.7226086, -79.3728749 43.7226121, -79.3728553 43.7226161, -79.3728374 43.7226198, -79.3728541 43.7226509, -79.372737 43.7226923, -79.372727 43.7226743, -79.3725077 43.7227517, -79.3725202 43.722777, -79.3724249 43.7228057, -79.3724603 43.7228962, -79.3724728 43.7229282, -79.3725478 43.7229137, -79.3725962 43.7229044, -79.3726158 43.7229006, -79.3728807 43.72285, -79.3728847 43.7228606, -79.3729391 43.7228499, -79.3729639 43.7229112))",43.72282174,-79.37253214
139725,1500,building,George Hees (L) Wing,hospital,"POLYGON ((-79.376499 43.7228348, -79.3762637 43.7228827, -79.3762475 43.72285, -79.3761603 43.7228651, -79.3761911 43.7229078, -79.3761521 43.72292, -79.3762381 43.7230562, -79.3763109 43.7231708, -79.3763493 43.7233094, -79.3763897 43.723556, -79.3763382 43.7235609, -79.3761451 43.7235719, -79.3759597 43.723609, -79.3759425 43.7236124, -79.3759063 43.7236198, -79.3758906 43.7236229, -79.3758791 43.7236252, -79.3758025 43.7236405, -79.3758067 43.723653, -79.375723 43.7236898, -79.3755461 43.723461, -79.3754764 43.7232751, -79.3754385 43.7230417, -79.3754242 43.7230405, -79.3754018 43.7230386, -79.3753707 43.723036, -79.3753567 43.7231138, -79.3753009 43.7231123, -79.3752773 43.7231142, -79.3751414 43.7231253, -79.375054 43.7229278, -79.3754269 43.7228502, -79.3754068 43.7228017, -79.3754663 43.7228118, -79.3755226 43.7228236, -79.3755732 43.7228248, -79.3756234 43.7228262, -79.3757718 43.72281, -79.3758837 43.7227655, -79.3758938 43.7228068, -79.3759343 43.7227936, -79.3759769 43.7228115, -79.3759947 43.7228088, -79.3759885 43.7227492, -79.3763216 43.7226871, -79.376427 43.7226674, -79.376499 43.7228348), (-79.3761398 43.7233965, -79.3761032 43.7233005, -79.3760409 43.7233129, -79.3759983 43.7232011, -79.3760752 43.7231858, -79.37603 43.7230674, -79.3759764 43.7230781, -79.3759307 43.7229584, -79.3756725 43.7230098, -79.3757224 43.7231404, -79.3756636 43.7231521, -79.3757039 43.7232575, -79.3757875 43.7232408, -79.3758291 43.7233499, -79.3757545 43.7233648, -79.3757929 43.7234656, -79.3761398 43.7233965))",43.72314287,-79.37585158
39688699,1500,building,,hospital,"POLYGON ((-79.4053752 43.8204057, -79.4050537 43.8207535, -79.4039359 43.820737, -79.4039339 43.8205886, -79.4049003 43.8205901, -79.4051633 43.8203213, -79.4053752 43.8204057))",43.82061543,-79.40470496
