osm_id,code,fclass,name,geometry,Latitude,Longitude
21631698,2301,restaurant,,POINT (-79.3965963 43.6320111),43.6320111,-79.3965963
60930916,2304,pub,Madison Pub,POINT (-79.4033084 43.6678619),43.6678619,-79.4033084
67972514,2301,restaurant,The Black Briik,POINT (-79.4331877 43.6602005),43.6602005,-79.4331877
130168189,2304,pub,Free Times Cafe,POINT (-79.4024663 43.6576642),43.6576642,-79.4024663
137441530,2301,restaurant,Prague Restaurant,POINT (-79.2159596 43.7543846),43.7543846,-79.2159596
241276547,2304,pub,Duke of York,POINT (-79.3973911 43.6691848),43.6691848,-79.3973911
243421095,2301,restaurant,Pi Co.,POINT (-79.4258236 43.6814873),43.6814873,-79.4258236
243955821,2301,restaurant,The Wheel,POINT (-79.4025009 43.6633207),43.6633207,-79.4025009
244884014,2301,restaurant,Harry's Charbroiled,POINT (-79.4098907 43.6556742),43.6556742,-79.4098907
245020012,2301,restaurant,The Fourth Man in the Fire,POINT (-79.4096053 43.6517057),43.6517057,-79.4096053
247134309,2304,pub,Southside Johnny's Bar,POINT (-79.5367078 43.5935295),43.5935295,-79.5367078
247134327,2304,pub,Sloppy Joe's,POINT (-79.5320445 43.5946041),43.5946041,-79.5320445
249295975,2301,restaurant,Drom Taberna,POINT (-79.3995577 43.648206),43.648206,-79.3995577
250601335,2304,pub,The Fortunate Fox,POINT (-79.4009744 43.6674301),43.6674301,-79.4009744
251241566,2304,pub,The Commoner,POINT (-79.4480184 43.6519402),43.6519402,-79.4480184
253942472,2304,pub,Pogue Mahone Irish Pub,POINT (-79.3841495 43.660849),43.660849,-79.3841495
265007957,2304,pub,The Pour House Irish Pub & Restaurant,POINT (-79.4037872 43.6756573),43.6756573,-79.4037872
267314310,2301,restaurant,Red Lobster,POINT (-79.3836362 43.6561655),43.6561655,-79.3836362
271603723,2304,pub,Edie's Place,POINT (-79.3121239 43.6859762),43.6859762,-79.3121239
273325243,2304,pub,Duke of Richmond,POINT (-79.3806278 43.6524771),43.6524771,-79.3806278
281143199,2301,restaurant,Mexitaco,POINT (-79.2955784 43.7086174),43.7086174,-79.2955784
281361498,2301,restaurant,The Irv,POINT (-79.3706101 43.6635722),43.6635722,-79.3706101
281361566,2301,restaurant,Chew Chew's Diner,POINT (-79.3723075 43.6634831),43.6634831,-79.3723075
281658918,2304,pub,The Black Bull,POINT (-79.3932608 43.6496014),43.6496014,-79.3932608
281658962,2301,restaurant,Naan Kabob,POINT (-79.3905772 43.6500389),43.6500389,-79.3905772
281660371,2304,pub,The Rex Jazz & Blues Bar,POINT (-79.3884696 43.6505363),43.6505363,-79.3884696
281663297,2304,pub,Batch,POINT (-79.3772947 43.651575),43.651575,-79.3772947
281665389,2301,restaurant,Biagio Ristorante,POINT (-79.3723941 43.6502174),43.6502174,-79.3723941
281668457,2301,restaurant,P.J. O'Brien Restaurant,POINT (-79.3753257 43.6488983),43.6488983,-79.3753257
281668949,2301,restaurant,Mercatto Restaurant,POINT (-79.3760324 43.6502414),43.6502414,-79.3760324
281669024,2301,restaurant,,POINT (-79.3761816 43.6507525),43.6507525,-79.3761816
281669063,2301,restaurant,BLD Restaurant,POINT (-79.3766921 43.6506875),43.6506875,-79.3766921
281669489,2301,restaurant,Sunset Grill,POINT (-79.3790842 43.6515163),43.6515163,-79.3790842
281670821,2301,restaurant,Kyoto House Japanese Restaurant,POINT (-79.3852819 43.6552609),43.6552609,-79.3852819
281671474,2301,restaurant,Gyubee Japanese Grill,POINT (-79.3858166 43.6551479),43.6551479,-79.3858166
281671513,2301,restaurant,Hemispheres Restaurant Bistro,POINT (-79.386186 43.6548563),43.6548563,-79.386186
281920543,2301,restaurant,Piggy's,POINT (-79.3631392 43.6668603),43.6668603,-79.3631392
