osm_id,code,fclass,name,geometry,Latitude,Longitude
48553740,2501,supermarket,Foodland,POINT (-79.3457523 43.6786172),43.6786172,-79.3457523
60796350,2501,supermarket,Food Plus Market,POINT (-79.4069106 43.675014),43.675014,-79.4069106
214312005,2501,supermarket,Galleria The Kitchen Express,POINT (-79.4010556 43.6669087),43.6669087,-79.4010556
241246724,2501,supermarket,Farm Boy,POINT (-79.3907567 43.688501),43.688501,-79.3907567
241270779,2501,supermarket,The Food Depot,POINT (-79.4028204 43.6755767),43.6755767,-79.4028204
254315320,2501,supermarket,Metro,POINT (-79.3768916 43.658216),43.658216,-79.3768916
264107390,2501,supermarket,Metro,POINT (-79.2886122 43.6897382),43.6897382,-79.2886122
264107691,2501,supermarket,FreshCo,POINT (-79.2848579 43.6877825),43.6877825,-79.2848579
267314164,2501,supermarket,Fine Food Market,POINT (-79.3846663 43.6586568),43.6586568,-79.3846663
267314474,2501,supermarket,Farm Boy,POINT (-79.3805122 43.6394101),43.6394101,-79.3805122
267315345,2501,supermarket,Rabba,POINT (-79.3853778 43.6392311),43.6392311,-79.3853778
270935057,2501,supermarket,Bruno’s Fine Foods,POINT (-79.3060987 43.6688741),43.6688741,-79.3060987
271813303,2501,supermarket,No Frills,POINT (-79.2997516 43.7266499),43.7266499,-79.2997516
276474902,2501,supermarket,Metro,POINT (-79.3731597 43.6490236),43.6490236,-79.3731597
281361239,2501,supermarket,Food Basics,POINT (-79.3720609 43.6680319),43.6680319,-79.3720609
281361618,2501,supermarket,Little Bee Supermarket,POINT (-79.374966 43.6629585),43.6629585,-79.374966
281361734,2501,supermarket,Jarvis Market,POINT (-79.3759714 43.6602068),43.6602068,-79.3759714
286547439,2501,supermarket,The Big Carrot,POINT (-79.3530371 43.6777582),43.6777582,-79.3530371
297103242,2501,supermarket,Galati Market Fresh,POINT (-79.3688481 43.7980083),43.7980083,-79.3688481
302045060,2501,supermarket,Sunny Supermarket,POINT (-79.3667359 43.7908402),43.7908402,-79.3667359
302045073,2501,supermarket,No Frills,POINT (-79.3544452 43.7944656),43.7944656,-79.3544452
302171973,2501,supermarket,Longo's,POINT (-79.3568496 43.7544858),43.7544858,-79.3568496
302411295,2501,supermarket,Tone Tai Supermarket,POINT (-79.3519255 43.7854727),43.7854727,-79.3519255
302473945,2501,supermarket,Metro,POINT (-79.3855761 43.7473505),43.7473505,-79.3855761
303207540,2501,supermarket,Loblaws,POINT (-79.4495878 43.6551536),43.6551536,-79.4495878
308696835,2501,supermarket,Loblaws,POINT (-79.3879316 43.6687519),43.6687519,-79.3879316
310146977,2501,supermarket,Bulk Barn,POINT (-79.4082588 43.6655691),43.6655691,-79.4082588
317428329,2501,supermarket,Foodland,POINT (-79.2981684 43.6705745),43.6705745,-79.2981684
321552029,2501,supermarket,Longo's,POINT (-79.3989573 43.8137836),43.8137836,-79.3989573
339530251,2501,supermarket,Metro,POINT (-79.4399163 43.7560351),43.7560351,-79.4399163
367103951,2501,supermarket,Metro,POINT (-79.2822142 43.7708926),43.7708926,-79.2822142
368385300,2501,supermarket,Foodlane,POINT (-79.3916381 43.6449069),43.6449069,-79.3916381
371811938,2501,supermarket,Metro,POINT (-79.3832231 43.6608863),43.6608863,-79.3832231
372345333,2501,supermarket,Bulk Barn,POINT (-79.3825865 43.6615267),43.6615267,-79.3825865
372507286,2501,supermarket,Wayne's Supermarket,POINT (-79.3294834 43.6971263),43.6971263,-79.3294834
380040874,2501,supermarket,Rabba,POINT (-79.3679879 43.6502166),43.6502166,-79.3679879
380202725,2501,supermarket,FreshCo,POINT (-79.2635392 43.7527128),43.7527128,-79.2635392
380312280,2501,supermarket,No Frills,POINT (-79.4396841 43.8947514),43.8947514,-79.4396841
382054433,2501,supermarket,Starsky,POINT (-79.5680919 43.6222004),43.6222004,-79.5680919
383551103,2501,supermarket,Bestco Food Mart,POINT (-79.5890847 43.7330145),43.7330145,-79.5890847
386776792,2501,supermarket,Loblaws,POINT (-79.3872517 43.7687732),43.7687732,-79.3872517
387446824,2501,supermarket,Bloor Meat & Grocery,POINT (-79.4166176 43.6640904),43.6640904,-79.4166176
387449941,2501,supermarket,Bloor Fruit Market,POINT (-79.415889 43.6642503),43.6642503,-79.415889
387456107,2501,supermarket,Village Market,POINT (-79.4122672 43.6650133),43.6650133,-79.4122672
387772003,2501,supermarket,Food Depot Supermarket,POINT (-79.3082133 43.7775645),43.7775645,-79.3082133
387792400,2501,supermarket,Metro,POINT (-79.3434239 43.7339225),43.7339225,-79.3434239
391013475,2501,supermarket,Loblaws,POINT (-79.4122406 43.7687417),43.7687417,-79.4122406
391166248,2501,supermarket,L-Mart Oriental Food Market,POINT (-79.3805574 43.787994),43.787994,-79.3805574
391174565,2501,supermarket,Justins Natural Foods,POINT (-79.3672493 43.7911841),43.7911841,-79.3672493
391180767,2501,supermarket,H Mart,POINT (-79.3861865 43.6692366),43.6692366,-79.3861865
392512380,2501,supermarket,Metro,POINT (-79.3994337 43.7070475),43.7070475,-79.3994337
393536004,2501,supermarket,Galleria K-Food Express,POINT (-79.398336 43.7076137),43.7076137,-79.398336
400707903,2501,supermarket,Kullubi Food & Spice,POINT (-79.364732 43.6568803),43.6568803,-79.364732
402150073,2501,supermarket,Fresh & Wild Food Market,POINT (-79.3946849 43.6456608),43.6456608,-79.3946849
410375809,2501,supermarket,No Frills,POINT (-79.509795 43.7198074),43.7198074,-79.509795
410376790,2501,supermarket,Centra Food Market,POINT (-79.5617812 43.7485292),43.7485292,-79.5617812
410801728,2501,supermarket,Galaxy,POINT (-79.3519528 43.6654414),43.6654414,-79.3519528
411670118,2501,supermarket,Grant's Food Mart,POINT (-79.5945101 43.6178522),43.6178522,-79.5945101
414574534,2501,supermarket,FreshCo,POINT (-79.5858112 43.6092143),43.6092143,-79.5858112
415208015,2501,supermarket,Rabba,POINT (-79.5841565 43.5532552),43.5532552,-79.5841565
415730512,2501,supermarket,Rabba,POINT (-79.5671438 43.5694912),43.5694912,-79.5671438
416130760,2501,supermarket,Metro,POINT (-79.4769011 43.7083728),43.7083728,-79.4769011
417232563,2501,supermarket,Metro,POINT (-79.430591 43.7197433),43.7197433,-79.430591
421328735,2501,supermarket,Valu-mart,POINT (-79.3245982 43.7461366),43.7461366,-79.3245982
431245952,2501,supermarket,Rabba,POINT (-79.3848558 43.6720009),43.6720009,-79.3848558
431299397,2501,supermarket,No Frills,POINT (-79.24815 43.7093804),43.7093804,-79.24815
432772912,2501,supermarket,Foodland,POINT (-79.531966 43.6629193),43.6629193,-79.531966
436015841,2501,supermarket,Field Fresh Supermarket,POINT (-79.264872 43.8317951),43.8317951,-79.264872
436893990,2501,supermarket,Food Basics,POINT (-79.203583 43.784127),43.784127,-79.203583
437981048,2501,supermarket,No Frills,POINT (-79.2661301 43.8723563),43.8723563,-79.2661301
495307176,2501,supermarket,McEwan,POINT (-79.3452638 43.7363998),43.7363998,-79.3452638
495883888,2501,supermarket,Your Independent Grocer,POINT (-79.2008768 43.7465518),43.7465518,-79.2008768
497250938,2501,supermarket,Sue's Market,POINT (-79.457938 43.8660295),43.8660295,-79.457938
498680874,2501,supermarket,Longo's,POINT (-79.3849589 43.655348),43.655348,-79.3849589
501616666,2501,supermarket,Food Basics,POINT (-79.4240994 43.8235031),43.8235031,-79.4240994
501985559,2501,supermarket,Sao Miguel Grocery's LTD,POINT (-79.4514642 43.6807442),43.6807442,-79.4514642
