osm_id,code,fclass,name,geometry,Latitude,Longitude
763963273,2083,kindergarten,New Horizon Montessori School,POINT (-122.817602 49.2960125),49.2960125,-122.817602
849008677,2083,kindergarten,Westside Montessori,POINT (-123.1149488 49.254981),49.254981,-123.1149488
1178724002,2083,kindergarten,Cefa,POINT (-122.798278 49.0472015),49.0472015,-122.798278
1715724023,2083,kindergarten,Happy May Child Care Centre III,POINT (-123.1253978 49.1775099),49.1775099,-123.1253978
1720011130,2083,kindergarten,New Westminster Family Place,POINT (-122.910091 49.2052497),49.2052497,-122.910091
1880359517,2083,kindergarten,Renaissance Kids,POINT (-123.1592415 49.1225979),49.1225979,-123.1592415
2507950273,2083,kindergarten,Margaret Heights Daycare,POINT (-123.0426271 49.3244634),49.3244634,-123.0426271
2795677817,2083,kindergarten,,POINT (-122.6529195 49.1024233),49.1024233,-122.6529195
2795774292,2083,kindergarten,Matheson House,POINT (-122.671451 49.1194573),49.1194573,-122.671451
4018992397,2083,kindergarten,CEFA Early Learning,POINT (-123.015554 49.2330789),49.2330789,-123.015554
4365868851,2083,kindergarten,CEFA Crestwood,POINT (-123.0700815 49.1732098),49.1732098,-123.0700815
4457462621,2083,kindergarten,Strathcona Montessori,POINT (-123.095837 49.2795457),49.2795457,-123.095837
4510121097,2083,kindergarten,Hummingbird Childcare,POINT (-123.2505133 49.2603069),49.2603069,-123.2505133
4635876612,2083,kindergarten,Cefa Early Learning,POINT (-122.800743 49.1012715),49.1012715,-122.800743
4957714305,2083,kindergarten,Little Monsters Academy,POINT (-123.090415 49.2313066),49.2313066,-123.090415
5487588724,2083,kindergarten,Little Koala Montessori Academy,POINT (-122.8076394 49.1989527),49.1989527,-122.8076394
6225920210,2083,kindergarten,Elgin Centre Preschool,POINT (-122.8223973 49.0661792),49.0661792,-122.8223973
6258054385,2083,kindergarten,City Hall Childcare Society I and II,POINT (-123.1153226 49.2614154),49.2614154,-123.1153226
6444475036,2083,kindergarten,CEFA Early Learning,POINT (-123.069614 49.258074),49.258074,-123.069614
6453350841,2083,kindergarten,Smiling Stars Daycare,POINT (-123.1030343 49.3381814),49.3381814,-123.1030343
7068985464,2083,kindergarten,Cefa,POINT (-122.6553423 49.112628),49.112628,-122.6553423
7128719370,2083,kindergarten,Cefa Early Learning,POINT (-123.080781 49.1898729),49.1898729,-123.080781
7418148141,2083,kindergarten,CEFA,POINT (-123.0894401 49.0399664),49.0399664,-123.0894401
7460306255,2083,kindergarten,Rothewood Academy,POINT (-122.7983662 49.047206),49.047206,-122.7983662
7969115699,2083,kindergarten,,POINT (-122.7790287 49.0167476),49.0167476,-122.7790287
8461731957,2083,kindergarten,Faith Lutheran Preschool,POINT (-122.9708143 49.2750147),49.2750147,-122.9708143
8519626347,2083,kindergarten,Beehive Christian Preschool,POINT (-122.9212807 49.2266253),49.2266253,-122.9212807
8570248279,2083,kindergarten,Aurora Montessori Children's House,POINT (-123.0189688 49.2823497),49.2823497,-123.0189688
8573638593,2083,kindergarten,YUS Montessori School Burnaby,POINT (-122.9902083 49.2806936),49.2806936,-122.9902083
8633854599,2083,kindergarten,Montessori Chrildren's Community,POINT (-123.1201254 49.2408356),49.2408356,-123.1201254
8656428541,2083,kindergarten,Parkcrest Children's Centre,POINT (-122.9772986 49.269553),49.269553,-122.9772986
8692313354,2083,kindergarten,Advantage Preschool,POINT (-123.0078852 49.2102743),49.2102743,-123.0078852
8713158899,2083,kindergarten,Wesbrook Preschool,POINT (-123.2061582 49.2658051),49.2658051,-123.2061582
8740047388,2083,kindergarten,,POINT (-122.9658098 49.2195467),49.2195467,-122.9658098
8747385839,2083,kindergarten,,POINT (-122.9951632 49.264597),49.264597,-122.9951632
8816201617,2083,kindergarten,Pebbles & Piaget Early Learning,POINT (-123.0278373 49.2318993),49.2318993,-123.0278373
8963789728,2083,kindergarten,Happy Corner Parent Participation Preschool,POINT (-123.0294251 49.2551087),49.2551087,-123.0294251
9044440517,2083,kindergarten,Little Einstein Children's Centre,POINT (-123.0195955 49.239201),49.239201,-123.0195955
9133776621,2083,kindergarten,CEFA Early Learning,POINT (-122.669286 49.1659247),49.1659247,-122.669286
9401800333,2083,kindergarten,Kiddies Korner Preschool,POINT (-122.7758627 49.271448),49.271448,-122.7758627
9834157532,2083,kindergarten,,POINT (-123.1410828 49.2932407),49.2932407,-123.1410828
9956155668,2083,kindergarten,Academics PreKindergarten,POINT (-122.9212713 49.2124722),49.2124722,-122.9212713
9959011028,2083,kindergarten,Universal Kidz Montessori Childcare,POINT (-122.7307742 49.1043265),49.1043265,-122.7307742
10114533621,2083,kindergarten,Mongio,POINT (-122.9109289 49.2053965),49.2053965,-122.9109289
10125469837,2083,kindergarten,CEFA Early Childcare,POINT (-122.922353 49.2123635),49.2123635,-122.922353
10301614083,2083,kindergarten,Urban Kids Montessori,POINT (-122.779225 49.1600124),49.1600124,-122.779225
10671663083,2083,kindergarten,Little Oak Montessori,POINT (-123.0316808 49.2249994),49.2249994,-123.0316808
11134574742,2083,kindergarten,Douglas Park Preschool,POINT (-123.1224978 49.2523073),49.2523073,-123.1224978
11163546577,2083,kindergarten,Thunderbird Preschool,POINT (-123.0312618 49.2637262),49.2637262,-123.0312618
11389122225,2083,kindergarten,Beehouse Montessori Daycare,POINT (-123.0185405 49.2498963),49.2498963,-123.0185405
11421601833,2083,kindergarten,Highlands Preschool,POINT (-123.1045404 49.3384239),49.3384239,-123.1045404
11580596164,2083,kindergarten,,POINT (-123.0149266 49.2339041),49.2339041,-123.0149266
11612198026,2083,kindergarten,Next Prep Academy,POINT (-122.994087 49.2807593),49.2807593,-122.994087
11681836469,2083,kindergarten,Willowbrae Academy River District,POINT (-123.0314075 49.2061986),49.2061986,-123.0314075
11815516325,2083,kindergarten,Rothewood Academy,POINT (-122.8030014 49.0335781),49.0335781,-122.8030014
12207622876,2083,kindergarten,My Whole Earth Academy,POINT (-123.1530015 49.2347173),49.2347173,-123.1530015
410661878,2005,post_office,Riverside,POINT (-122.8101 49.1996558),49.1996558,-122.8101
455494660,2005,post_office,Mayne Island,POINT (-123.2980819 48.8509639),48.8509639,-123.2980819
610449954,2005,post_office,Ganges,POINT (-123.499114 48.8532079),48.8532079,-123.499114
610467028,2005,post_office,Fulford Harbour,POINT (-123.449525 48.7691273),48.7691273,-123.449525
652979862,2005,post_office,Liberty Square,POINT (-123.126936 49.2757327),49.2757327,-123.126936
660434625,2005,post_office,Granville Island,POINT (-123.1357366 49.2702532),49.2702532,-123.1357366
762978076,2005,post_office,Fort Langley,POINT (-122.577954 49.16893),49.16893,-122.577954
945658594,2005,post_office,Crest Centre,POINT (-122.906135 49.2315103),49.2315103,-122.906135
1101395502,2005,post_office,South Surrey (White Rock LCD),POINT (-122.795224 49.0458274),49.0458274,-122.795224
1101522867,2005,post_office,Saint Helen's,POINT (-122.868576 49.1896151),49.1896151,-122.868576
1102797951,2005,post_office,The UPS Store,POINT (-122.842581 49.136402),49.136402,-122.842581
1305820977,2005,post_office,Brookswood,POINT (-122.668761 49.0757474),49.0757474,-122.668761
1369643082,2005,post_office,UBC Campus Mailing Services,POINT (-123.253415 49.2606616),49.2606616,-123.253415
1414037804,2005,post_office,West Vancouver,POINT (-123.155225 49.3274906),49.3274906,-123.155225
1529246985,2005,post_office,Old Orchard,POINT (-123.005147 49.2313478),49.2313478,-123.005147
1626448636,2005,post_office,Saturna Island,POINT (-123.179869 48.7930687),48.7930687,-123.179869
1677919525,2005,post_office,Kingsway,POINT (-122.995895 49.2275188),49.2275188,-122.995895
1702181455,2005,post_office,Musqueam,POINT (-123.183397 49.2346005),49.2346005,-123.183397
1723350364,2005,post_office,Kits Stamps Plus,POINT (-123.167764 49.2639319),49.2639319,-123.167764
1723404283,2005,post_office,Delamont,POINT (-123.1446436 49.2635528),49.2635528,-123.1446436
1730984991,2005,post_office,Fairview,POINT (-123.1159829 49.2635155),49.2635155,-123.1159829
1895683579,2005,post_office,Steveston Village,POINT (-123.1829332 49.125322),49.125322,-123.1829332
2140808392,2005,post_office,Otter Co-op,POINT (-122.5353716 49.0677039),49.0677039,-122.5353716
2207863316,2005,post_office,Granville Park,POINT (-123.1383078 49.2599522),49.2599522,-123.1383078
2440628512,2005,post_office,Kensington Square,POINT (-122.969524 49.279529),49.279529,-122.969524
2500684806,2005,post_office,Bentall Centre,POINT (-123.119028 49.2862341),49.2862341,-123.119028
2811746825,2005,post_office,Columbia Square,POINT (-122.917092 49.2007929),49.2007929,-122.917092
2900166301,2005,post_office,Brentwood Bay Main,POINT (-123.4435013 48.5753852),48.5753852,-123.4435013
2900166302,2005,post_office,Cowichan Bay,POINT (-123.6208683 48.7407165),48.7407165,-123.6208683
2900166304,2005,post_office,Sidney Retail,POINT (-123.396119 48.6487992),48.6487992,-123.396119
3511858742,2005,post_office,Horseshoe Bay,POINT (-123.274834 49.3740391),49.3740391,-123.274834
3518466491,2005,post_office,Edgemont,POINT (-123.100777 49.3370418),49.3370418,-123.100777
3690938879,2005,post_office,Downtown Vancouver,POINT (-123.127358 49.2859975),49.2859975,-123.127358
3750134314,2005,post_office,Bridgeport,POINT (-123.108228 49.1916367),49.1916367,-123.108228
3768341708,2005,post_office,Penelakut Island,POINT (-123.6596169 48.9709201),48.9709201,-123.6596169
3935143291,2005,post_office,Vancouver Main,POINT (-123.115651 49.2813538),49.2813538,-123.115651
4242176293,2005,post_office,Beacon Avenue,POINT (-123.404837 48.6491614),48.6491614,-123.404837
4285278364,2005,post_office,Park Royal,POINT (-123.139935 49.3260286),49.3260286,-123.139935
4331551489,2005,post_office,Penguin Pickup,POINT (-123.1356219 49.2917375),49.2917375,-123.1356219
4535984741,2005,post_office,Canada Post,POINT (-123.338623 49.3792001),49.3792001,-123.338623
4733036451,2005,post_office,Gibsons,POINT (-123.5092262 49.3994348),49.3994348,-123.5092262
4742507040,2005,post_office,Queensborough,POINT (-122.9497272 49.1908795),49.1908795,-122.9497272
4884598565,2005,post_office,Nordel,POINT (-122.912791 49.1549193),49.1549193,-122.912791
4888297232,2005,post_office,Kingsway Knight,POINT (-123.0791674 49.2512532),49.2512532,-123.0791674
4971485222,2005,post_office,The UPS Store,POINT (-123.034311 49.2335333),49.2335333,-123.034311
5028020387,2005,post_office,The UPS Store #239,POINT (-123.059982 49.2425535),49.2425535,-123.059982
5148539561,2005,post_office,Langley Mall,POINT (-122.658095 49.1023101),49.1023101,-122.658095
5231755548,2005,post_office,Metropolitan,POINT (-123.077969 49.3140842),49.3140842,-123.077969
