osm_id,code,fclass,name,geometry,Latitude,Longitude
370490166,5621,bus_stop,Commercial Dr (SB) at William St,POINT (-123.069673 49.2737342),49.2737342,-123.069673
432429646,5621,bus_stop,Heather Square Bay 1,POINT (-123.120037 49.2662618),49.2662618,-123.120037
471722561,5621,bus_stop,Granville St (SB) at West 70th Ave,POINT (-123.140711 49.2081588),49.2081588,-123.140711
493619481,5621,bus_stop,Steveston Exchange Bay 3,POINT (-123.184057 49.1264819),49.1264819,-123.184057
496795160,5621,bus_stop,Bridgeport Station Bay 9,POINT (-123.126947 49.1952418),49.1952418,-123.126947
496795161,5621,bus_stop,Bridgeport Station Bay 8,POINT (-123.1271656 49.1951377),49.1951377,-123.1271656
496795162,5621,bus_stop,Bridgeport Station Bay 7,POINT (-123.1273764 49.1950384),49.1950384,-123.1273764
496795163,5621,bus_stop,Bridgeport Station Bay 6,POINT (-123.1272555 49.1949028),49.1949028,-123.1272555
496795164,5621,bus_stop,Bridgeport Station Bay 5,POINT (-123.1269967 49.1950069),49.1950069,-123.1269967
496795165,5621,bus_stop,Bridgeport Station Bay 4,POINT (-123.1266884 49.1951479),49.1951479,-123.1266884
496795166,5621,bus_stop,Bridgeport Station Bay 11,POINT (-123.1261837 49.1955959),49.1955959,-123.1261837
610649398,5621,bus_stop,West Mall (SB) at NW Marine Dr,POINT (-123.258609 49.2681223),49.2681223,-123.258609
615065410,5621,bus_stop,West Broadway (WB) at Balsam Street,POINT (-123.160488 49.2640594),49.2640594,-123.160488
615967551,5621,bus_stop,West 16th Ave (EB) at Vine St,POINT (-123.1575315 49.2572767),49.2572767,-123.1575315
615967552,5621,bus_stop,West 16th Ave (WB) at Vine St,POINT (-123.1582935 49.2574371),49.2574371,-123.1582935
615967553,5621,bus_stop,West Broadway (EB) at Vine Street,POINT (-123.157281 49.2638009),49.2638009,-123.157281
615967554,5621,bus_stop,West Broadway (WB) at Yew St,POINT (-123.155522 49.2639554),49.2639554,-123.155522
615967555,5621,bus_stop,West Broadway (EB) at Larch Street,POINT (-123.161948 49.2638917),49.2638917,-123.161948
615967557,5621,bus_stop,West 16th Ave (EB) at Dunbar St,POINT (-123.184591 49.2577635),49.2577635,-123.184591
615967559,5621,bus_stop,Macdonald St (SB) at West 16th Ave,POINT (-123.168506 49.2572325),49.2572325,-123.168506
615967561,5621,bus_stop,West 10th Avenue (EB) at Sasamat Street,POINT (-123.208663 49.2637545),49.2637545,-123.208663
615967562,5621,bus_stop,West 10th Avenue (WB) at Sasamat Street,POINT (-123.209635 49.2639107),49.2639107,-123.209635
615967563,5621,bus_stop,Wesbrook Mall (SB) at Thunderbird Blvd,POINT (-123.240969 49.2607615),49.2607615,-123.240969
615967564,5621,bus_stop,Wesbrook Mall (NB) at Thunderbird Boulevard,POINT (-123.2418764 49.2622386),49.2622386,-123.2418764
615967565,5621,bus_stop,West 16th Ave (EB) at Wesbrook Mall,POINT (-123.2351904 49.2559481),49.2559481,-123.2351904
615967566,5621,bus_stop,West 10th Ave (WB) at Courtenay St,POINT (-123.200488 49.2637745),49.2637745,-123.200488
615967568,5621,bus_stop,West 10th Ave (EB) at Courtenay St,POINT (-123.19981 49.263596),49.263596,-123.19981
615967569,5621,bus_stop,West 10th Ave (WB) at Discovery St,POINT (-123.203372 49.2638218),49.2638218,-123.203372
615967570,5621,bus_stop,West 10th Ave (EB) at Trimble St,POINT (-123.205602 49.2636985),49.2636985,-123.205602
615967571,5621,bus_stop,Alma St (SB) at West 10th Ave,POINT (-123.18601 49.2636989),49.2636989,-123.18601
615967572,5621,bus_stop,Alma St (NB) at West 10th Ave,POINT (-123.185733 49.2638131),49.2638131,-123.185733
615967573,5621,bus_stop,West Broadway (EB) at Alma St,POINT (-123.185261 49.2642724),49.2642724,-123.185261
615967574,5621,bus_stop,West 10th Avenue (EB) at Crown Street,POINT (-123.193436 49.2635171),49.2635171,-123.193436
615967575,5621,bus_stop,West 10th Avenue (WB) at Camosun Street,POINT (-123.197221 49.2637141),49.2637141,-123.197221
615967576,5621,bus_stop,West Broadway (WB) at Macdonald Street,POINT (-123.167484 49.2641772),49.2641772,-123.167484
615967577,5621,bus_stop,West Broadway (EB) at Macdonald Street,POINT (-123.167293 49.2639788),49.2639788,-123.167293
615967578,5621,bus_stop,West Broadway (WB) FS Macdonald Street,POINT (-123.16888 49.2641754),49.2641754,-123.16888
635286644,5621,bus_stop,Hwy 99 Offramp (SB) at Steveston Hwy,POINT (-123.0871476 49.1329036),49.1329036,-123.0871476
648735250,5621,bus_stop,Horseshoe Bay Ferry Terminal,POINT (-123.272821 49.3741196),49.3741196,-123.272821
660434616,5621,bus_stop,West 2nd Avenue (WB) at Anderson Street,POINT (-123.13797 49.2694862),49.2694862,-123.13797
660544734,5621,bus_stop,West Broadway (WB) at Trafalgar Street,POINT (-123.165205 49.264103),49.264103,-123.165205
663809253,5621,bus_stop,Ferry Rd (NB) at Schooner Gate,POINT (-123.0796429 49.1014327),49.1014327,-123.0796429
663809254,5621,bus_stop,Ferry Rd (SB) at Schooner Gate,POINT (-123.079927 49.1008661),49.1008661,-123.079927
663809255,5621,bus_stop,Ferry Rd (NB) at Brigantine Rd,POINT (-123.0793323 49.1034914),49.1034914,-123.0793323
663809256,5621,bus_stop,Ferry Rd (SB) at Brigantine Rd,POINT (-123.0795384 49.103436),49.103436,-123.0795384
663809257,5621,bus_stop,Ferry Road (SB) at Commodore Drive,POINT (-123.0792463 49.1054378),49.1054378,-123.0792463
663809258,5621,bus_stop,Commodore Drive (EB) at Ferry Road,POINT (-123.0785578 49.1056452),49.1056452,-123.0785578
663809259,5621,bus_stop,Ferry Rd (SB) at Windjammer Rd,POINT (-123.0789971 49.107053),49.107053,-123.0789971
663809262,5621,bus_stop,Ferry Road (SB) at 5900 Block,POINT (-123.078568 49.1103168),49.1103168,-123.078568
663809285,5621,bus_stop,Harvest Dr (NB) at Ladner Trunk Rd,POINT (-123.062842 49.0897439),49.0897439,-123.062842
663809286,5621,bus_stop,57 Street (NB) at 48B Avenue,POINT (-123.065211 49.0912445),49.0912445,-123.065211
663809289,5621,bus_stop,57 Street (NB) at 49B Avenue,POINT (-123.065165 49.0935266),49.0935266,-123.065165
663809292,5621,bus_stop,Crescent Dr (WB) at Wellburn Dr,POINT (-123.071186 49.1013992),49.1013992,-123.071186
663809293,5621,bus_stop,Admiral Boulevard (WB) at Regatta Way,POINT (-123.0731294 49.104793),49.104793,-123.0731294
663809308,5621,bus_stop,Admiral Blvd (NB) at Admiral Lane,POINT (-123.0742448 49.106614),49.106614,-123.0742448
663809336,5621,bus_stop,Crescent Dr (WB) at Dowler Rd,POINT (-123.0689002 49.099843),49.099843,-123.0689002
663950701,5621,bus_stop,Highway 17A (SB) at Ladner Trunk Rd,POINT (-123.057274 49.0889638),49.0889638,-123.057274
685755414,5621,bus_stop,West Broadway (WB) at Arbutus Street Bay 1,POINT (-123.153566 49.2639395),49.2639395,-123.153566
685755425,5621,bus_stop,West Broadway (EB) at Arbutus Street,POINT (-123.151981 49.2637099),49.2637099,-123.151981
691132866,5621,bus_stop,West 16th Ave (WB) at Discovery St,POINT (-123.203386 49.2583678),49.2583678,-123.203386
691132867,5621,bus_stop,West 16th Ave (WB) at Sasamat St,POINT (-123.209458 49.2584729),49.2584729,-123.209458
691132868,5621,bus_stop,West 16th Ave (WB) at Blanca St,POINT (-123.214642 49.2585162),49.2585162,-123.214642
691132869,5621,bus_stop,Wesbrook Mall (NB) at 2900 Block,POINT (-123.238714 49.2587162),49.2587162,-123.238714
691132870,5621,bus_stop,West 16th Ave (WB) at Mackenzie St,POINT (-123.170808 49.2578465),49.2578465,-123.170808
691132871,5621,bus_stop,West 16th Ave (WB) at Balaclava St,POINT (-123.174592 49.2579285),49.2579285,-123.174592
691132872,5621,bus_stop,West 16th Ave (WB) at Blenheim St,POINT (-123.1784531 49.2579644),49.2579644,-123.1784531
691132873,5621,bus_stop,West 16th Ave (WB) at Wallace St,POINT (-123.1915714 49.2581613),49.2581613,-123.1915714
691132874,5621,bus_stop,West 16th Ave (WB) at Camosun St,POINT (-123.197592 49.2582715),49.2582715,-123.197592
691132878,5621,bus_stop,West 16th Ave (WB) at Macdonald St,POINT (-123.1688315 49.2578468),49.2578468,-123.1688315
691132879,5621,bus_stop,West 16th Ave (WB) at Trafalgar St,POINT (-123.1651951 49.2577345),49.2577345,-123.1651951
