osm_id,code,fclass,name,geometry,Latitude,Longitude
255592312,2303,cafe,Tim Hortons,POINT (-122.9575649 49.0920385),49.0920385,-122.9575649
267430960,2303,cafe,Prospect Lake Market,POINT (-123.4311522 48.5243562),48.5243562,-123.4311522
277045106,2303,cafe,Tim Hortons,POINT (-122.8483834 49.2284004),49.2284004,-122.8483834
277046327,2303,cafe,Tim Hortons,POINT (-122.919749 49.212449),49.212449,-122.919749
277046328,2303,cafe,Starbucks,POINT (-122.9193393 49.2126267),49.2126267,-122.9193393
338846654,2303,cafe,New Amsterdam Cafe,POINT (-123.1098733 49.2829831),49.2829831,-123.1098733
411900948,2303,cafe,Starbucks,POINT (-122.9122848 49.278119),49.278119,-122.9122848
444150756,2303,cafe,Waves Coffee House,POINT (-123.128836 49.2635825),49.2635825,-123.128836
455494648,2303,cafe,Sunny Mayne Bakery,POINT (-123.2984523 48.8505556),48.8505556,-123.2984523
473408852,2303,cafe,Starbucks,POINT (-123.098807 49.3721579),49.3721579,-123.098807
482696846,2303,cafe,Starbucks,POINT (-122.967047 49.2794898),49.2794898,-122.967047
502425631,2303,cafe,Starbucks,POINT (-123.1200283 49.2733859),49.2733859,-123.1200283
518120632,2303,cafe,Starbucks,POINT (-123.012161 49.2812107),49.2812107,-123.012161
529499770,2303,cafe,Village Fare,POINT (-123.3228832 48.8442325),48.8442325,-123.3228832
567142934,2303,cafe,Elysian Coffee Roasters,POINT (-123.1172946 49.2631012),49.2631012,-123.1172946
571309050,2303,cafe,Starbucks,POINT (-123.124593 49.2846042),49.2846042,-123.124593
582799001,2303,cafe,Gene Coffee Bar,POINT (-123.1006366 49.263823),49.263823,-123.1006366
582801326,2303,cafe,Melo Patisserie,POINT (-123.1015666 49.2635924),49.2635924,-123.1015666
582801711,2303,cafe,Caffè Mira,POINT (-123.1009534 49.2568941),49.2568941,-123.1009534
610467029,2303,cafe,Morningside Organic Bakery and Cafe,POINT (-123.4492566 48.7689901),48.7689901,-123.4492566
624194377,2303,cafe,Tree House Cafe,POINT (-123.4984993 48.8537549),48.8537549,-123.4984993
635890634,2303,cafe,Starbucks,POINT (-123.1681992 49.2579156),49.2579156,-123.1681992
638747935,2303,cafe,Blenz Coffee,POINT (-123.1264928 49.2771596),49.2771596,-123.1264928
638752000,2303,cafe,Starbucks,POINT (-123.117893 49.2799212),49.2799212,-123.117893
638771020,2303,cafe,Waves Coffee House,POINT (-123.122489 49.2807244),49.2807244,-123.122489
638861823,2303,cafe,Prego Cofee,POINT (-123.1335056 49.275078),49.275078,-123.1335056
642902571,2303,cafe,Starbucks,POINT (-123.1389199 49.2632231),49.2632231,-123.1389199
642902573,2303,cafe,Blenz Coffee,POINT (-123.138333 49.2634351),49.2634351,-123.138333
644342008,2303,cafe,JJ Bean,POINT (-123.1702755 49.2639716),49.2639716,-123.1702755
644342020,2303,cafe,Thomas Haas Chocolates,POINT (-123.1633 49.264149),49.264149,-123.1633
644348654,2303,cafe,Platform 7,POINT (-123.1578123 49.2637397),49.2637397,-123.1578123
645578544,2303,cafe,Starbucks,POINT (-123.242794 49.2658614),49.2658614,-123.242794
651055563,2303,cafe,Flamingo Cafe,POINT (-123.1230577 49.2794539),49.2794539,-123.1230577
652955238,2303,cafe,Analog Coffee,POINT (-123.121109 49.2757856),49.2757856,-123.121109
663959770,2303,cafe,Only U Cafe,POINT (-123.2423353 49.2660115),49.2660115,-123.2423353
686162067,2303,cafe,Waves Coffee House,POINT (-123.126971 49.2861774),49.2861774,-123.126971
695005822,2303,cafe,Steveston Coffee Co.,POINT (-123.1848639 49.1253059),49.1253059,-123.1848639
704317961,2303,cafe,Tim Hortons,POINT (-123.1233898 49.2635122),49.2635122,-123.1233898
704317974,2303,cafe,Artigiano,POINT (-123.1070497 49.2632049),49.2632049,-123.1070497
705754720,2303,cafe,Starbucks,POINT (-123.112992 49.2673455),49.2673455,-123.112992
723402291,2303,cafe,Blenz Coffee,POINT (-123.2351432 49.2540306),49.2540306,-123.2351432
729122817,2303,cafe,Lumiere Cafe,POINT (-123.115745 49.2634834),49.2634834,-123.115745
729134582,2303,cafe,Blenz Coffee,POINT (-123.119719 49.2634515),49.2634515,-123.119719
729171112,2303,cafe,OneZo Tapioca,POINT (-123.1178176 49.2630988),49.2630988,-123.1178176
736729137,2303,cafe,Bubble World Tea House,POINT (-123.128789 49.2873653),49.2873653,-123.128789
746837437,2303,cafe,Starbucks,POINT (-123.0137679 49.2642237),49.2642237,-123.0137679
747517122,2303,cafe,Starbucks,POINT (-123.0240186 49.2324709),49.2324709,-123.0240186
762975471,2303,cafe,Wendel's Bookstore & Cafe,POINT (-122.5782338 49.1702461),49.1702461,-122.5782338
762976995,2303,cafe,Planet Java Fifties Diner,POINT (-122.578765 49.1692957),49.1692957,-122.578765
763981091,2303,cafe,Starbucks,POINT (-122.9792371 49.1992381),49.1992381,-122.9792371
768354545,2303,cafe,Starbucks,POINT (-123.0924899 49.1325243),49.1325243,-123.0924899
768723042,2303,cafe,Tim Hortons,POINT (-123.2543584 49.2656284),49.2656284,-123.2543584
768723049,2303,cafe,Ike's Café,POINT (-123.2526955 49.2673017),49.2673017,-123.2526955
768729616,2303,cafe,Tim Hortons,POINT (-123.248397 49.2601863),49.2601863,-123.248397
768951587,2303,cafe,Starbucks,POINT (-123.078078 49.0904049),49.0904049,-123.078078
768967487,2303,cafe,Starbucks,POINT (-123.136106 49.1722688),49.1722688,-123.136106
768967659,2303,cafe,Blenz Coffee,POINT (-123.135892 49.1712706),49.1712706,-123.135892
770305449,2303,cafe,Golden Coin,POINT (-123.1569694 49.1705244),49.1705244,-123.1569694
778656971,2303,cafe,Starbucks,POINT (-123.0836642 49.192187),49.192187,-123.0836642
778656979,2303,cafe,Starbucks,POINT (-123.129409 49.1912604),49.1912604,-123.129409
779225247,2303,cafe,Lee's Donuts,POINT (-123.108567 49.284394),49.284394,-123.108567
780962637,2303,cafe,Pallet Coffee Roasters,POINT (-123.1272753 49.2515901),49.2515901,-123.1272753
793915417,2303,cafe,Caffe Mira,POINT (-123.130101 49.2787557),49.2787557,-123.130101
793915420,2303,cafe,Starbucks,POINT (-123.130937 49.2803846),49.2803846,-123.130937
806903122,2303,cafe,Cornerstone Coffee Shop,POINT (-123.1661718 49.2682302),49.2682302,-123.1661718
806903703,2303,cafe,Cafe Lokal,POINT (-123.1647247 49.2681926),49.2681926,-123.1647247
811017755,2303,cafe,Tim Hortons,POINT (-123.127219 49.2776017),49.2776017,-123.127219
811017771,2303,cafe,Perfecto Cafe,POINT (-123.125234 49.2767389),49.2767389,-123.125234
822484873,2303,cafe,El Caracol Mexican Cafe,POINT (-123.065046 49.2375315),49.2375315,-123.065046
822484886,2303,cafe,Starbucks,POINT (-123.053501 49.2251239),49.2251239,-123.053501
847296307,2303,cafe,Starbucks,POINT (-123.180892 49.1240103),49.1240103,-123.180892
869587292,2303,cafe,Pedro's Organic Coffee House,POINT (-123.136425 49.270247),49.270247,-123.136425
873346971,2303,cafe,The Stand,POINT (-123.0015799 49.2501092),49.2501092,-123.0015799
873360803,2303,cafe,Tim Hortons,POINT (-123.0016916 49.2502744),49.2502744,-123.0016916
873405520,2303,cafe,Fuse Cafe,POINT (-122.999477 49.2513348),49.2513348,-122.999477
873407604,2303,cafe,,POINT (-123.000389 49.2511737),49.2511737,-123.000389
873505000,2303,cafe,Tim Hortons Express,POINT (-123.001417 49.2540202),49.2540202,-123.001417
876023068,2303,cafe,Wicked Cafe,POINT (-123.1358776 49.2654214),49.2654214,-123.1358776
883782277,2303,cafe,Starbucks,POINT (-123.1149606 49.2540979),49.2540979,-123.1149606
893249240,2303,cafe,Starbucks,POINT (-123.130406 49.0080285),49.0080285,-123.130406
894570029,2303,cafe,HY Tea Lounge,POINT (-123.1398578 49.2693476),49.2693476,-123.1398578
905401762,2303,cafe,Wall Flowers,POINT (-123.12543 49.2803909),49.2803909,-123.12543
905784990,2303,cafe,Pâtisserie Lebeau,POINT (-123.1439762 49.2696443),49.2696443,-123.1439762
