osm_id,code,fclass,name,geometry,Latitude,Longitude
286316995,2304,pub,The Cambie,POINT (-123.109049 49.2831924),49.2831924,-123.109049
313855368,2301,restaurant,Nando's,POINT (-123.0991859 49.1327053),49.1327053,-123.0991859
313855429,2301,restaurant,Boston Pizza,POINT (-123.0955358 49.1330103),49.1330103,-123.0955358
339268761,2301,restaurant,Maruwa Sushi,POINT (-123.098082 49.1329664),49.1329664,-123.098082
427907430,2304,pub,Koerner's Pub,POINT (-123.258088 49.2684891),49.2684891,-123.258088
446606169,2301,restaurant,Pizza Hut,POINT (-123.1358921 49.1486188),49.1486188,-123.1358921
505751513,2304,pub,Steamworks,POINT (-123.110987 49.2848692),49.2848692,-123.110987
513053838,2301,restaurant,Ignite Pizzeria,POINT (-123.118737 49.2772564),49.2772564,-123.118737
524772576,2301,restaurant,White Spot,POINT (-123.014025 49.2664116),49.2664116,-123.014025
563321283,2304,pub,Alibi Room,POINT (-123.1002189 49.2842198),49.2842198,-123.1002189
582799005,2301,restaurant,Sushi Kaido,POINT (-123.101204 49.2630345),49.2630345,-123.101204
582800962,2301,restaurant,Thai Son,POINT (-123.0967703 49.2629465),49.2629465,-123.0967703
582801421,2301,restaurant,Ignite Pizzeria,POINT (-123.1007434 49.2621476),49.2621476,-123.1007434
582801710,2301,restaurant,Smitty's Oyster House,POINT (-123.1009453 49.2571236),49.2571236,-123.1009453
582801777,2301,restaurant,Toshi,POINT (-123.1018952 49.256744),49.256744,-123.1018952
582801783,2301,restaurant,The General Public,POINT (-123.101561 49.2558187),49.2558187,-123.101561
582801920,2301,restaurant,Anh And Chi,POINT (-123.1008857 49.2550596),49.2550596,-123.1008857
582801947,2301,restaurant,Nikkyu Japanese Restaurant,POINT (-123.1010082 49.2555535),49.2555535,-123.1010082
582802138,2304,pub,The Ivanhoe Pub,POINT (-123.0996162 49.2750807),49.2750807,-123.0996162
582802371,2301,restaurant,Hunnybee Bruncheonette,POINT (-123.0971613 49.2777501),49.2777501,-123.0971613
635894580,2304,pub,The Wolf and Hound,POINT (-123.1842067 49.2644834),49.2644834,-123.1842067
638771021,2304,pub,Lennox Pub,POINT (-123.119819 49.281145),49.281145,-123.119819
638861822,2301,restaurant,GO Canada,POINT (-123.1328565 49.2741793),49.2741793,-123.1328565
638861831,2301,restaurant,Giardino Restaurant,POINT (-123.1300681 49.2769504),49.2769504,-123.1300681
644341993,2301,restaurant,Olympia Pizza,POINT (-123.1760619 49.2643413),49.2643413,-123.1760619
644342002,2304,pub,Russel Brewing Company,POINT (-123.1725691 49.2642338),49.2642338,-123.1725691
644342005,2301,restaurant,East is East,POINT (-123.1727212 49.2642766),49.2642766,-123.1727212
644342018,2301,restaurant,Folke,POINT (-123.164402 49.2641587),49.2641587,-123.164402
644351081,2301,restaurant,Denny's,POINT (-123.1447692 49.2639079),49.2639079,-123.1447692
644351089,2301,restaurant,Leopold's Tavern,POINT (-123.1416759 49.2638288),49.2638288,-123.1416759
645578560,2301,restaurant,The Corner Kitchen UBC,POINT (-123.24247 49.2659729),49.2659729,-123.24247
648735252,2301,restaurant,The Halal Guys,POINT (-123.1187278 49.2804472),49.2804472,-123.1187278
649986553,2301,restaurant,Shogun,POINT (-123.1172155 49.2854893),49.2854893,-123.1172155
651057575,2301,restaurant,Banana Leaf,POINT (-123.1722925 49.26428),49.26428,-123.1722925
652955235,2301,restaurant,Cactus Club Cafe,POINT (-123.122758 49.2750892),49.2750892,-123.122758
652955240,2301,restaurant,Earls,POINT (-123.120516 49.2757748),49.2757748,-123.120516
652955247,2301,restaurant,The Keg,POINT (-123.119369 49.2765618),49.2765618,-123.119369
652956529,2301,restaurant,Lupo,POINT (-123.1172381 49.2781459),49.2781459,-123.1172381
663959058,2301,restaurant,Pho With Us,POINT (-123.243097 49.2657244),49.2657244,-123.243097
683752561,2301,restaurant,The Boathouse Restaurant,POINT (-123.153753 49.274204),49.274204,-123.153753
691132875,2301,restaurant,fiore famiglia,POINT (-123.1650598 49.2578148),49.2578148,-123.1650598
700713948,2304,pub,East Side Craft House,POINT (-123.0760525 49.2329187),49.2329187,-123.0760525
703754968,2301,restaurant,Water Street Cafe,POINT (-123.109032 49.2842334),49.2842334,-123.109032
704317950,2301,restaurant,Minato Japanese Restaurant,POINT (-123.127202 49.2635812),49.2635812,-123.127202
704317958,2301,restaurant,Chef's Choice Chinese Cuisine,POINT (-123.1254837 49.263551),49.263551,-123.1254837
704317960,2301,restaurant,Cactus Club Cafe,POINT (-123.117312 49.2634241),49.2634241,-123.117312
704317976,2301,restaurant,Royal Seoul House,POINT (-123.13186 49.263683),49.263683,-123.13186
704317980,2301,restaurant,Menya Raizo,POINT (-123.1130715 49.2633439),49.2633439,-123.1130715
704318015,2301,restaurant,Ramen One,POINT (-123.1137363 49.2633536),49.2633536,-123.1137363
705752894,2301,restaurant,Sandy La Chinese Restaurant,POINT (-123.0656861 49.2370452),49.2370452,-123.0656861
721674467,2301,restaurant,Nishiki Sushi Bar,POINT (-123.0659194 49.225037),49.225037,-123.0659194
724597025,2301,restaurant,Indishspensable,POINT (-123.1532615 49.2613904),49.2613904,-123.1532615
724597034,2301,restaurant,Coquette,POINT (-123.1532374 49.2621248),49.2621248,-123.1532374
724597036,2301,restaurant,Trees Organic,POINT (-123.1532375 49.2623651),49.2623651,-123.1532375
724597038,2301,restaurant,Napoletana,POINT (-123.1527502 49.2629899),49.2629899,-123.1527502
729160303,2301,restaurant,Sushi Dragon,POINT (-123.1182125 49.2631147),49.2631147,-123.1182125
729193596,2301,restaurant,Peaceful Restaurant,POINT (-123.1161172 49.2630555),49.2630555,-123.1161172
731720705,2301,restaurant,The Galley Restaurant and Grill,POINT (-123.201754 49.275651),49.275651,-123.201754
741850588,2301,restaurant,Okini,POINT (-123.1494139 49.2193342),49.2193342,-123.1494139
746837427,2301,restaurant,No. 1 Beef Noodle,POINT (-123.003994 49.2424585),49.2424585,-123.003994
747517054,2301,restaurant,Saffron Indian Cuisine,POINT (-123.008436 49.2311658),49.2311658,-123.008436
765295558,2301,restaurant,Grand Honour,POINT (-123.1399405 49.23414),49.23414,-123.1399405
765415725,2301,restaurant,Lavash Seaside Grill,POINT (-123.1846411 49.1239577),49.1239577,-123.1846411
