osm_id,code,fclass,name,geometry,Latitude,Longitude
256540633,2082,school,Winsor House,POINT (-123.0512011 49.3104392),49.3104392,-123.0512011
256993804,2082,school,Norgate School,POINT (-123.110139 49.320623),49.320623,-123.110139
260317948,2082,school,Carisbrook Elementary,POINT (-123.063321 49.341975),49.341975,-123.063321
311909821,2082,school,Sentinel Secondary School,POINT (-123.1497994 49.3451932),49.3451932,-123.1497994
311909841,2082,school,Chartwell Elementary School,POINT (-123.153041 49.3459406),49.3459406,-123.153041
311910125,2082,school,Hollyburn Elementary School,POINT (-123.1523829 49.3299977),49.3299977,-123.1523829
901409706,2084,college,Pacific Institute Of Culinary Arts,POINT (-123.1377596 49.2698201),49.2698201,-123.1377596
990861185,2084,college,Canada Capstone College,POINT (-123.116727 49.2791171),49.2791171,-123.116727
1234351329,2082,school,Mozart School of Music,POINT (-123.2352279 49.2537068),49.2537068,-123.2352279
1798834303,2082,school,Anchor Point Montesorri,POINT (-123.1306637 49.2769886),49.2769886,-123.1306637
1829058853,2082,school,BC Muslim School,POINT (-123.087719 49.1531858),49.1531858,-123.087719
2287065390,2082,school,Cousteau - The French International School of Vancouver,POINT (-123.0450432 49.3427924),49.3427924,-123.0450432
2323811950,2082,school,Kel Lee's Academy of Martial Arts,POINT (-123.0436455 49.2702951),49.2702951,-123.0436455
2629324964,2082,school,Collingwood Neighbourhood School (Bruce Annex),POINT (-123.032279 49.236252),49.236252,-123.032279
2681484257,2082,school,,POINT (-123.0376121 49.311667),49.311667,-123.0376121
2933870120,2082,school,Reach for the Stars Montessori,POINT (-123.1014332 49.2576195),49.2576195,-123.1014332
2959039246,2084,college,Gateway College,POINT (-123.1126367 49.2633303),49.2633303,-123.1126367
3123443188,2081,university,Alexander College,POINT (-123.002003 49.229627),49.229627,-123.002003
3172231534,2082,school,Quilchena Elementary,POINT (-123.1513411 49.2376303),49.2376303,-123.1513411
3328040320,2082,school,Eaton Arrowsmith School,POINT (-123.2463657 49.2613559),49.2613559,-123.2463657
3725404708,2081,university,Simon Fraser University,POINT (-123.1085513 49.2824032),49.2824032,-123.1085513
3734942644,2082,school,Pattison High School,POINT (-123.124905 49.2809046),49.2809046,-123.124905
3755319079,2082,school,ILSC,POINT (-123.1147762 49.2835785),49.2835785,-123.1147762
3755319910,2082,school,Sprott Shaw College - Vancouver Seymour,POINT (-123.1146892 49.2836271),49.2836271,-123.1146892
3755320481,2082,school,,POINT (-123.1145916 49.2833602),49.2833602,-123.1145916
3769892480,2084,college,Vanwest College,POINT (-123.127029 49.28166),49.28166,-123.127029
4232965028,2084,college,Greystone College Vancouver,POINT (-123.115639 49.2839535),49.2839535,-123.115639
4261863289,2082,school,EF International Language Centre Vancouver,POINT (-123.114003 49.2786617),49.2786617,-123.114003
4390232009,2082,school,Enjoy Canada,POINT (-123.115289 49.2827302),49.2827302,-123.115289
4437969806,2081,university,Trinity Western University - Richmond,POINT (-123.139766 49.1713682),49.1713682,-123.139766
4438011537,2081,university,Simon Fraser University - Vancouver Campus,POINT (-123.112349 49.2844778),49.2844778,-123.112349
4454235293,2082,school,ILAC,POINT (-123.121472 49.2888774),49.2888774,-123.121472
4551023289,2082,school,,POINT (-123.0683895 49.3274203),49.3274203,-123.0683895
4824054122,2082,school,collège Educacentre,POINT (-123.1239861 49.264166),49.264166,-123.1239861
4826324888,2084,college,Ashton College,POINT (-123.124216 49.2876052),49.2876052,-123.124216
4842937822,2082,school,Vancouver English Centre,POINT (-123.1171798 49.2773179),49.2773179,-123.1171798
4888589421,2082,school,Light House Labs,POINT (-123.108188 49.2819085),49.2819085,-123.108188
5010472966,2081,university,Adler University,POINT (-123.1140662 49.2837148),49.2837148,-123.1140662
5062659359,2082,school,VGC International College,POINT (-123.115654 49.2844007),49.2844007,-123.115654
5162084604,2081,university,UBC Robson Square,POINT (-123.121177 49.2824292),49.2824292,-123.121177
5241750021,2082,school,Global Village English Centers,POINT (-123.116045 49.2773055),49.2773055,-123.116045
5660125521,2082,school,Canada Star Secondary School,POINT (-123.0982868 49.1858835),49.1858835,-123.0982868
6419929275,2084,college,Blanche Macdonald Centre,POINT (-123.1168568 49.2611173),49.2611173,-123.1168568
6629504831,2084,college,New Image College,POINT (-123.1228028 49.2795986),49.2795986,-123.1228028
6783692403,2084,college,Lighthouse Labs,POINT (-123.114825 49.2812082),49.2812082,-123.114825
6859044407,2082,school,Vancouver Film School,POINT (-123.107818 49.2832374),49.2832374,-123.107818
8402215131,2082,school,Sino Bright School BC,POINT (-123.1095441 49.2843519),49.2843519,-123.1095441
8416867409,2082,school,Colorful World Montessori,POINT (-123.115044 49.1843647),49.1843647,-123.115044
8713158900,2082,school,Monarch Montessori,POINT (-123.2067187 49.2657245),49.2657245,-123.2067187
9267610411,2082,school,Prince of Wales Mini School,POINT (-123.1589282 49.2447683),49.2447683,-123.1589282
9416823418,2082,school,,POINT (-123.122793 49.2369281),49.2369281,-123.122793
9416823419,2082,school,,POINT (-123.1230443 49.2361506),49.2361506,-123.1230443
9503482437,2084,college,Columbia College North Campus,POINT (-123.0956922 49.2724917),49.2724917,-123.0956922
9574237108,2082,school,Xwemélch'stn Etsimxwawtxw - Capilano Littlest Ones School,POINT (-123.1262771 49.3186513),49.3186513,-123.1262771
9654908945,2082,school,Giraffe Learning Centre,POINT (-123.1254821 49.1781576),49.1781576,-123.1254821
9688483178,2081,university,Trinity Western University,POINT (-123.1334473 49.1764282),49.1764282,-123.1334473
9906294558,2084,college,Canadian College,POINT (-123.1231492 49.2846393),49.2846393,-123.1231492
10052755932,2081,university,Northeastern University — Vancouver,POINT (-123.1158219 49.2805472),49.2805472,-123.1158219
11432902216,2084,college,Canada College Vancouver,POINT (-123.1254284 49.2819642),49.2819642,-123.1254284
11461417183,2082,school,Alexander Academy,POINT (-123.1153061 49.2826985),49.2826985,-123.1153061
11463588087,2082,school,Canada Royal High School,POINT (-123.1238069 49.2641592),49.2641592,-123.1238069
11742811569,2082,school,Canadian College of Technology and Business,POINT (-123.1156499 49.2767138),49.2767138,-123.1156499
11783605517,2082,school,Jonathan Academy,POINT (-123.1276034 49.233735),49.233735,-123.1276034
11885120272,2082,school,Vancouver Independent School for Science and Technology,POINT (-123.1381407 49.263407),49.263407,-123.1381407
11904862465,2082,school,Qawsain Knowledge House,POINT (-123.0656106 49.2200677),49.2200677,-123.0656106
12121234526,2084,college,Brainstation,POINT (-123.1146838 49.2850163),49.2850163,-123.1146838
