osm_id,code,fclass,name,geometry,Latitude,Longitude
256540536,2501,supermarket,Save-On-Foods,POINT (-123.0424396 49.3093371),49.3093371,-123.0424396
313854844,2501,supermarket,Save-On-Foods,POINT (-123.0793639 49.0890631),49.0890631,-123.0793639
313855438,2501,supermarket,Save-On-Foods,POINT (-123.0961481 49.1320257),49.1320257,-123.0961481
338164215,2501,supermarket,FreshCo,POINT (-123.157339 49.1548863),49.1548863,-123.157339
384254462,2501,supermarket,Save-On-Foods,POINT (-123.182992 49.170796),49.170796,-123.182992
384254535,2501,supermarket,PriceSmart Foods,POINT (-123.133239 49.1714559),49.1714559,-123.133239
384254547,2501,supermarket,Osaka Supermarket,POINT (-123.1333444 49.1861767),49.1861767,-123.1333444
472566069,2501,supermarket,Choices Market,POINT (-123.1496028 49.2193261),49.2193261,-123.1496028
505778836,2501,supermarket,Nesters Market,POINT (-123.1216903 49.278642),49.278642,-123.1216903
513053228,2501,supermarket,IGA,POINT (-123.1174613 49.2800788),49.2800788,-123.1174613
567130600,2501,supermarket,Whole Foods Market,POINT (-123.115281 49.2639998),49.2639998,-123.115281
582799000,2501,supermarket,Hotro - Home on the Range Organics,POINT (-123.100153 49.2630017),49.2630017,-123.100153
635890635,2501,supermarket,Choices Market,POINT (-123.1656956 49.2578707),49.2578707,-123.1656956
638861830,2501,supermarket,Sashimiya,POINT (-123.130413 49.2767415),49.2767415,-123.130413
642897590,2501,supermarket,H Mart,POINT (-123.2430629 49.2665997),49.2665997,-123.2430629
649986265,2501,supermarket,Urban Fare,POINT (-123.1225516 49.2892045),49.2892045,-123.1225516
700544442,2501,supermarket,Famous Foods,POINT (-123.0715121 49.2484002),49.2484002,-123.0715121
700544521,2501,supermarket,Safeway,POINT (-123.0330707 49.2320932),49.2320932,-123.0330707
700713952,2501,supermarket,Save and Stay Food Store,POINT (-123.0777343 49.2254784),49.2254784,-123.0777343
721674468,2501,supermarket,Chong Lee Market,POINT (-123.065964 49.2269806),49.2269806,-123.065964
724596931,2501,supermarket,Loblaws City Market,POINT (-123.1533962 49.2576848),49.2576848,-123.1533962
734871889,2501,supermarket,Que Pasa Mexican Foods,POINT (-123.0926925 49.1256027),49.1256027,-123.0926925
745987498,2501,supermarket,大統華 T&T Supermarket,POINT (-123.046266 49.2690308),49.2690308,-123.046266
747517211,2501,supermarket,Real Canadian Superstore,POINT (-123.001096 49.2274377),49.2274377,-123.001096
811017663,2501,supermarket,Choice's Market,POINT (-123.1154053 49.2542649),49.2542649,-123.1154053
811017679,2501,supermarket,Save-On-Foods,POINT (-123.114244 49.2646749),49.2646749,-123.114244
811017732,2501,supermarket,Choices,POINT (-123.124231 49.2757311),49.2757311,-123.124231
822484876,2501,supermarket,Doli Supermarket,POINT (-123.0653191 49.2310934),49.2310934,-123.0653191
822484887,2501,supermarket,88 Supermarket,POINT (-123.053817 49.2256284),49.2256284,-123.053817
905410310,2501,supermarket,IGA,POINT (-123.124929 49.2822136),49.2822136,-123.124929
955335287,2501,supermarket,Whole Foods Market,POINT (-123.15711 49.2683866),49.2683866,-123.15711
984956512,2501,supermarket,Meinhardt,POINT (-123.1384619 49.2587727),49.2587727,-123.1384619
991590485,2501,supermarket,The Lettuce Shop,POINT (-123.1154257 49.2608325),49.2608325,-123.1154257
1042158580,2501,supermarket,Parthenon Market,POINT (-123.173526 49.264314),49.264314,-123.173526
1141727696,2501,supermarket,Sunshine Market,POINT (-123.127469 49.2575122),49.2575122,-123.127469
1333826558,2501,supermarket,Nourish,POINT (-123.0387616 49.3359344),49.3359344,-123.0387616
1413898119,2501,supermarket,Safeway,POINT (-123.253184 49.3510617),49.3510617,-123.253184
1413917021,2501,supermarket,IGA,POINT (-123.1821791 49.3350744),49.3350744,-123.1821791
1430594618,2501,supermarket,大統華 T&T Supermarket,POINT (-123.1081374 49.2799356),49.2799356,-123.1081374
1431507811,2501,supermarket,Buy-Low Foods,POINT (-123.0909016 49.2292977),49.2292977,-123.0909016
1715797014,2501,supermarket,Izumiya Japanese Marketplace,POINT (-123.1382582 49.1778527),49.1778527,-123.1382582
1723404206,2501,supermarket,La Win Supermarket,POINT (-123.143643 49.2635319),49.2635319,-123.143643
1726097909,2501,supermarket,New 2000 Supermarket,POINT (-123.1357268 49.180504),49.180504,-123.1357268
1737960052,2501,supermarket,No Frills,POINT (-123.1428569 49.2678023),49.2678023,-123.1428569
1752259248,2501,supermarket,Luliu Market,POINT (-123.114353 49.1843782),49.1843782,-123.114353
1828159048,2501,supermarket,Urban Fare,POINT (-123.105956 49.2706918),49.2706918,-123.105956
1927003495,2501,supermarket,Urban Fare,POINT (-123.120383 49.2736623),49.2736623,-123.120383
1931861167,2501,supermarket,88 Supermarket,POINT (-123.0656596 49.2412049),49.2412049,-123.0656596
1934816976,2501,supermarket,Vancouver Fresh Mart,POINT (-123.070402 49.269774),49.269774,-123.070402
1935696533,2501,supermarket,Save-On-Foods,POINT (-123.075626 49.2487875),49.2487875,-123.075626
1945298040,2501,supermarket,Osoyoos Produce,POINT (-123.065773 49.232374),49.232374,-123.065773
1945301339,2501,supermarket,Consumer Food Market,POINT (-123.0658214 49.2307413),49.2307413,-123.0658214
2061050829,2501,supermarket,Persia Foods,POINT (-123.073362 49.322225),49.322225,-123.073362
2269962036,2501,supermarket,H Mart,POINT (-123.118864 49.2805229),49.2805229,-123.118864
2319960261,2501,supermarket,Safeway,POINT (-123.182493 49.1495878),49.1495878,-123.182493
2464516836,2501,supermarket,Urban Fare,POINT (-123.1244926 49.2859852),49.2859852,-123.1244926
2533689703,2501,supermarket,Finest at Sea,POINT (-123.1539066 49.2445055),49.2445055,-123.1539066
2585997100,2501,supermarket,Save-On-Foods,POINT (-123.0400917 49.3341294),49.3341294,-123.0400917
2651272309,2501,supermarket,Mi Tierra Latina,POINT (-123.069286 49.2751966),49.2751966,-123.069286
2791800325,2501,supermarket,Safeway,POINT (-123.0905335 49.3327128),49.3327128,-123.0905335
2953672923,2501,supermarket,Choices Market,POINT (-123.0697286 49.2750411),49.2750411,-123.0697286
3218202567,2501,supermarket,Great Two Supermarket,POINT (-123.0491347 49.237471),49.237471,-123.0491347
3254066746,2501,supermarket,大統華 T&T Supermarket,POINT (-123.148814 49.1736544),49.1736544,-123.148814
3390473276,2501,supermarket,Your Independent Grocer,POINT (-123.0399075 49.2185972),49.2185972,-123.0399075
3705977111,2501,supermarket,Danial Market,POINT (-123.1335205 49.2872617),49.2872617,-123.1335205
3738440875,2501,supermarket,Pender Grocery,POINT (-123.1115927 49.2827054),49.2827054,-123.1115927
3742365829,2501,supermarket,Safeway,POINT (-123.1408989 49.2093),49.2093,-123.1408989
3793753710,2501,supermarket,Whole Foods Market,POINT (-123.132718 49.2900594),49.2900594,-123.132718
3892437952,2501,supermarket,Meinhardt Fine Foods,POINT (-123.1168276 49.283592),49.283592,-123.1168276
3908795275,2501,supermarket,JJ Sri Lankan Store,POINT (-123.0656159 49.2380733),49.2380733,-123.0656159
3940620195,2501,supermarket,Nesters Market,POINT (-123.1071738 49.2825578),49.2825578,-123.1071738
3965204985,2501,supermarket,大統華 T&T Supermarket,POINT (-123.116122 49.209749),49.209749,-123.116122
3979056491,2501,supermarket,First Ravioli Store,POINT (-123.0694186 49.2676542),49.2676542,-123.0694186
3980931108,2501,supermarket,Whole Foods Market,POINT (-123.004925 49.2660422),49.2660422,-123.004925
4000060604,2501,supermarket,Consumers Produce,POINT (-123.03364 49.2328032),49.2328032,-123.03364
4170640377,2501,supermarket,Save-On-Foods,POINT (-123.1017686 49.2588293),49.2588293,-123.1017686
4232382697,2501,supermarket,Jason's No Frills,POINT (-123.186346 49.2681104),49.2681104,-123.186346
4232390790,2501,supermarket,IGA,POINT (-123.1820452 49.268724),49.268724,-123.1820452
4238182492,2501,supermarket,Shoppers Drug Mart,POINT (-123.0900608 49.2437046),49.2437046,-123.0900608
4238210091,2501,supermarket,No Frills,POINT (-123.0899892 49.2445601),49.2445601,-123.0899892
4287080663,2501,supermarket,Thrifty Foods,POINT (-123.0962568 49.32069),49.32069,-123.0962568
4305377798,2501,supermarket,Mi Tierra Latina,POINT (-123.131611 49.2804768),49.2804768,-123.131611
4319033390,2501,supermarket,Kim's Mart,POINT (-123.0924045 49.2626876),49.2626876,-123.0924045
4343680242,2501,supermarket,Harvest,POINT (-123.2558898 49.2638885),49.2638885,-123.2558898
4401379671,2501,supermarket,Stong's Market,POINT (-123.0156499 49.305953),49.305953,-123.0156499
4452893799,2501,supermarket,Foody World,POINT (-123.1271118 49.1914714),49.1914714,-123.1271118
4503723414,2501,supermarket,Greens Organic and Natural Market,POINT (-123.1499525 49.263616),49.263616,-123.1499525
4503723423,2501,supermarket,IGA,POINT (-123.1570984 49.2637012),49.2637012,-123.1570984
4580421990,2501,supermarket,The Cheese​ Man,POINT (-123.1019006 49.3199819),49.3199819,-123.1019006
4586544564,2501,supermarket,Save-On-Foods,POINT (-123.1092299 49.3245701),49.3245701,-123.1092299
4629754489,2501,supermarket,City Avenue Market,POINT (-123.175158 49.2643382),49.2643382,-123.175158
