,Street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
0,1525 Coal Harbour Cay #B17,V6G3E7,49.291479,-123.128047,NW West End / Stanley Park,Vancouver,375000.0,1 bd,1 ba,484 sqft,0,0,0,0,10,1,15,6,0,2,0,0,0,0,1
1,2106 SW Marine Dr,V6P6B5,49.214789,-123.15583,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,27500000.0,6 bds,9 ba,"10,709 sqft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3440 Broadway W #126,V6R4R2,49.264012,-123.180766,West Kitsilano / West Point Grey / Jericho,Vancouver,989988.0,3 bds,2 ba,"1,266 sqft",0,0,0,1,5,1,10,3,0,1,0,0,0,0,0
3,8481 Portside Ct,V5P4V4,49.207213,-123.061855,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,899900.0,3 bds,3 ba,"1,404 sqft",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4,2870 SW Marine Dr,V6N3X9,49.225986,-123.170995,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,16900000.0,7 bds,11 ba,"11,271 sqft",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5,3823 Cypress St,V6J3P4,49.25175,-123.149196,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,23999000.0,8 bds,12 ba,"20,629 sqft",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
6,2815 Yale St,V5K1C5,49.290923,-123.046093,North Hastings-Sunrise,Vancouver,1950000.0,4 bds,3 ba,"2,567 sqft",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
7,1219 Harwood St #201,V6E1S5,49.280802,-123.135616,SE West End / Davie Village,Vancouver,550000.0,2 bds,2 ba,744 sqft,0,0,0,2,12,2,22,6,0,9,0,0,0,0,1
8,1611 E 3rd Ave #107,V5N1H1,49.268053,-123.071359,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,579000.0,2 bds,1 ba,690 sqft,0,0,0,4,8,1,36,7,0,8,0,0,0,0,2
9,1188 W 55th Ave,V6P1R1,49.220119,-123.132186,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,28880000.0,8 bds,12 ba,"15,371 sqft",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
