,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
0,2795 w 37th ave,49.238765,-123.167839,arbutus ridge,Moderate Class,Moderate Crime
1,4422 quesnel dr,49.247018,-123.168268,arbutus ridge,Moderate Class,Moderate Crime
2,4101 yew st #304,49.248583,-123.155246,arbutus ridge,Moderate Class,Moderate Crime
3,2556 w 20th ave,49.254284,-123.163295,arbutus ridge,Moderate Class,Moderate Crime
4,2638 w 22nd ave,49.252494,-123.16415,arbutus ridge,Moderate Class,Moderate Crime
5,4578 puget dr,49.246025,-123.164932,arbutus ridge,Moderate Class,Moderate Crime
6,2848 w 17th ave,49.256876,-123.168867,arbutus ridge,Moderate Class,Moderate Crime
7,4393 puget dr,49.246957,-123.167479,arbutus ridge,Moderate Class,Moderate Crime
8,2275 w 40th ave #204,49.235845,-123.159524,arbutus ridge,Moderate Class,Moderate Crime
9,2671 mcbain ave,49.247322,-123.164319,arbutus ridge,Moderate Class,Moderate Crime
10,2509 w 37th ave,49.238678,-123.1629,arbutus ridge,Moderate Class,Moderate Crime
11,4658 elm st,49.244648,-123.164354,arbutus ridge,Moderate Class,Moderate Crime
12,2721 w 24th ave,49.251219,-123.1659,arbutus ridge,Moderate Class,Moderate Crime
13,2335 w 18th ave,49.256582,-123.158831,arbutus ridge,Moderate Class,Moderate Crime
14,5584 mackenzie st,49.235982,-123.169781,arbutus ridge,Moderate Class,Moderate Crime
15,4938 arbutus st,49.241702,-123.153154,arbutus ridge,Moderate Class,Moderate Crime
16,2408 w 22nd ave,49.25243,-123.160486,arbutus ridge,Moderate Class,Moderate Crime
17,5350 balsam st #503,49.237701,-123.160889,arbutus ridge,Moderate Class,Moderate Crime
18,2767 w 21st ave,49.253915,-123.166853,arbutus ridge,Moderate Class,Moderate Crime
19,7 5389 vine street,49.237777,-123.16025,arbutus ridge,Moderate Class,Moderate Crime
20,1 2403 w 37th avenue,49.238667,-123.161317,arbutus ridge,Moderate Class,Moderate Crime
21,5584 mackenzie street,49.235982,-123.169781,arbutus ridge,Moderate Class,Moderate Crime
22,303 4101 yew street,49.24766,-123.154731,arbutus ridge,Moderate Class,Moderate Crime
23,204 2275 w 40th avenue,49.235845,-123.159524,arbutus ridge,Moderate Class,Moderate Crime
24,2795 w 37th avenue,49.238765,-123.167839,arbutus ridge,Moderate Class,Moderate Crime
25,1525 coal harbour cay #b17,49.291479,-123.128047,downtown,Moderate Class,Severe Crime
26,838 hamilton st #1009,49.278326,-123.116209,downtown,Moderate Class,Severe Crime
27,1480 howe st #p5-502,49.274891,-123.131173,downtown,Moderate Class,Severe Crime
28,1159 main st #505,49.274261,-123.100494,downtown,Moderate Class,Severe Crime
29,138 hastings st e #206,49.281058,-123.101197,downtown,Moderate Class,Severe Crime
30,1188 howe st #2403,49.278315,-123.12697,downtown,Moderate Class,Severe Crime
31,1325 rolston st #1513,49.275617,-123.127925,downtown,Moderate Class,Severe Crime
32,63 keefer pl #502,49.279933,-123.10662,downtown,Moderate Class,Severe Crime
33,1189 melville st #3404,49.287784,-123.123458,downtown,Moderate Class,Severe Crime
34,1499 w pender st #1802,49.289964,-123.128049,downtown,Moderate Class,Severe Crime
35,53 hastings st w #503,49.282116,-123.106307,downtown,Moderate Class,Severe Crime
36,560 cardero st #603,49.291362,-123.128679,downtown,Moderate Class,Severe Crime
37,939 homer st #2402,49.278115,-123.119485,downtown,Moderate Class,Severe Crime
38,488 helmcken st unit 605,49.276526,-123.122747,downtown,Moderate Class,Severe Crime
39,583 beach cres #2903,49.273589,-123.129221,downtown,Moderate Class,Severe Crime
40,610 granville st #811,49.28312,-123.116554,downtown,Moderate Class,Severe Crime
41,1201 marinaside cres #1602,49.273129,-123.120638,downtown,Moderate Class,Severe Crime
42,555 abbott st #312,49.280181,-123.108684,downtown,Moderate Class,Severe Crime
43,277 thurlow st #3001,49.288884,-123.11914,downtown,Moderate Class,Severe Crime
44,168 powell st #515,49.282968,-123.100636,downtown,Moderate Class,Severe Crime
45,1288 marinaside cres #609,49.272079,-123.120377,downtown,Moderate Class,Severe Crime
46,428 beach cres #2802,49.27233,-123.127311,downtown,Moderate Class,Severe Crime
47,183 keefer pl #1004,49.280356,-123.10826,downtown,Moderate Class,Severe Crime
48,1372 seymour st #2701,49.27459,-123.127563,downtown,Moderate Class,Severe Crime
49,53 hastings st w #306,49.282116,-123.106307,downtown,Moderate Class,Severe Crime
50,583 beach cres #3006,49.273589,-123.129221,downtown,Moderate Class,Severe Crime
51,885 cambie st #2103,49.277518,-123.116547,downtown,Moderate Class,Severe Crime
52,128 cordova st w #303,49.282525,-123.107958,downtown,Moderate Class,Severe Crime
53,1077 marinaside cres #1106,49.273637,-123.116652,downtown,Moderate Class,Severe Crime
54,1238 melville st #1205,49.288222,-123.125361,downtown,Moderate Class,Severe Crime
55,1159 main st #406,49.274261,-123.100494,downtown,Moderate Class,Severe Crime
56,1331 homer st #b1201,49.273879,-123.126066,downtown,Moderate Class,Severe Crime
57,1372 seymour st unit 2101,49.27459,-123.127563,downtown,Moderate Class,Severe Crime
58,1281 cordova st w #3402,49.290102,-123.123203,downtown,Moderate Class,Severe Crime
59,1188 quebec st #402,49.27411,-123.101233,downtown,Moderate Class,Severe Crime
60,1500 howe st #2201,49.274171,-123.132003,downtown,Moderate Class,Severe Crime
61,1328 w pender st #2201,49.289067,-123.126664,downtown,Moderate Class,Severe Crime
62,1415 georgia st w #2203,49.289455,-123.128288,downtown,Moderate Class,Severe Crime
63,108 cordova st w #1401,49.282616,-123.107958,downtown,Moderate Class,Severe Crime
64,1333 georgia st w #809,49.28899,-123.127532,downtown,Moderate Class,Severe Crime
65,811 helmcken st #1903,49.279247,-123.125531,downtown,Moderate Class,Severe Crime
66,1128 quebec st #604,49.274651,-123.101142,downtown,Moderate Class,Severe Crime
67,555 jervis st #2204,49.288547,-123.125844,downtown,Moderate Class,Severe Crime
68,1133 hornby st #809,49.279263,-123.127457,downtown,Moderate Class,Severe Crime
69,438 seymour st #1708,49.284416,-123.113932,downtown,Moderate Class,Severe Crime
70,66 cordova st w #1108,49.282561,-123.106278,downtown,Moderate Class,Severe Crime
71,1155 seymour st penthouse 2703,49.277451,-123.124318,downtown,Moderate Class,Severe Crime
