Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
435 Middlefield Rd #56,agincourt north,43.808839,-79.256579,848800,4 bds,4 ba,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,45,0,7,1,0,0,0,0,0,0,0,POINT (-79.256579 43.808839),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110
78 Ashridge Dr,agincourt north,43.815736,-79.268628,998000,5,3,,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,34,0,7,0,0,0,0,0,0,0,0,0,0,13,1,76,0,7,0,0,0,0,0,0,0,0,POINT (-79.268628 43.815736),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110
48 Ardgowan Cres,agincourt north,43.812243,-79.271403,898000,4,3,,0,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,0,7,0,34,0,7,0,0,0,0,0,0,0,0,0,0,14,0,67,0,7,0,0,0,0,0,0,0,0,POINT (-79.271403 43.812243),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110
119 - 5235 Finch Ave E,agincourt north,43.809932,-79.254877,560000,3,2,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,5,1,0,0,0,0,0,0,0,POINT (-79.254877 43.809932),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110
60 Manorglen Cres,agincourt south-malvern west,43.780125,-79.271026,1199000,4 bds,3 ba,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,23,1,12,3,0,6,0,0,0,0,0,0,0,4,4,64,2,22,12,0,19,0,0,0,0,0,POINT (-79.271026 43.780125),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175
61 Fulbert Cres,agincourt south-malvern west,43.790312,-79.287079,1648000,6 bds,4 ba,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,43,0,2,0,0,7,0,0,0,0,0,0,1,9,1,70,0,7,2,0,11,0,0,0,0,0,POINT (-79.287079 43.790312),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175
135 Village Green Sq #418,agincourt south-malvern west,43.777872,-79.280751,549000,2 bds,2 ba,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,28,0,8,5,0,9,0,0,0,0,0,0,1,2,2,58,0,17,7,0,14,0,0,0,0,0,POINT (-79.280751 43.777872),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175
418 - 135 Village Green Sq,agincourt south-malvern west,43.777872,-79.280751,549000,2,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,28,0,8,5,0,9,0,0,0,0,0,0,1,2,2,58,0,17,7,0,14,0,0,0,0,0,POINT (-79.280751 43.777872),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175
1717 - 4725 Sheppard Ave E,agincourt south-malvern west,43.790016,-79.254657,417171,2,1,,0,0,0,0,11,0,1,1,0,1,0,0,0,0,1,0,0,3,0,35,0,6,3,0,4,0,0,0,0,1,0,0,4,1,68,1,10,6,0,8,0,0,0,0,1,POINT (-79.254657 43.790016),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175
1801 - 225 Village Green Sq,agincourt south-malvern west,43.779842,-79.281958,559000,2,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,28,0,9,4,0,9,0,0,0,0,0,0,1,3,2,49,0,13,6,0,15,0,0,0,0,0,POINT (-79.281958 43.779842),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175
408 Browns Line E #308,alderwood,43.601488,-79.54545,508000,1 bd,1 ba,,0,0,0,0,9,2,6,2,0,5,0,0,0,0,0,0,0,2,2,19,2,8,5,0,6,0,0,0,0,0,0,0,4,2,53,3,12,11,0,16,0,0,0,0,2,POINT (-79.54545 43.601488),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
408 Browns Line S #312,alderwood,43.601697,-79.545232,689900,2 bds,2 ba,,0,0,0,0,10,2,6,2,0,5,0,0,0,0,0,0,0,2,2,19,2,8,5,0,6,0,0,0,0,0,0,0,4,2,53,3,13,11,0,17,0,0,0,0,2,POINT (-79.545232 43.601697),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
17 Edilou Dr,alderwood,43.605996,-79.531532,1248000,4 bds,2 ba,,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,26,0,2,1,0,0,0,0,0,0,0,0,0,9,0,55,3,12,9,0,23,0,0,0,0,0,POINT (-79.531532 43.605996),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
671a - 671 Browns Line,alderwood,43.59841,-79.543717,1298000,4,2,,0,0,0,0,9,2,7,2,0,3,0,0,0,0,0,0,0,2,0,27,3,9,6,0,9,0,0,0,0,1,0,0,4,2,48,4,13,9,0,14,0,0,0,0,2,POINT (-79.543717 43.59841),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
404 Horner Ave,alderwood,43.604414,-79.534016,1499900,3,4,,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,2,0,22,0,2,1,0,0,0,0,0,0,0,0,0,6,0,61,6,18,8,0,25,0,0,0,0,1,POINT (-79.534016 43.604414),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
17 Bisset Ave,alderwood,43.608746,-79.553126,1122000,3,2,,0,0,1,2,7,0,3,2,0,4,0,0,0,0,1,0,0,2,3,34,0,12,10,0,27,0,0,0,0,2,1,0,2,4,67,4,23,13,0,40,0,0,0,0,2,POINT (-79.553126 43.608746),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
186 Macpherson Ave,annex,43.677945,-79.396728,2218000,3 bds,3 ba,,0,0,1,0,11,0,7,2,0,0,0,0,0,0,0,0,1,7,2,50,4,47,11,0,8,0,0,0,0,0,0,8,55,12,126,9,103,55,1,58,0,0,0,0,3,POINT (-79.396728 43.677945),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
