Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
1525 Coal Harbour Cay #B17,downtown,49.291479,-123.128047,375000,1 bd,1 ba,484 sqft,0,0,0,0,10,1,15,6,0,2,0,0,0,0,1,0,0,3,7,28,2,117,42,0,17,0,0,0,0,5,0,2,8,14,93,15,248,104,0,71,0,0,0,0,10,POINT (-123.128047 49.291479),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
838 Hamilton St #1009,downtown,49.278326,-123.116209,350000,2 bds,1 ba,595 sqft,0,0,8,3,23,2,50,26,0,18,0,0,0,0,3,0,7,22,9,101,21,181,113,0,101,0,0,0,0,6,0,9,29,17,164,39,307,183,1,148,0,0,0,0,11,POINT (-123.116209 49.278326),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1480 Howe St #P5-502,downtown,49.274891,-123.131173,89800,0,1ba,70 sqft,0,0,1,2,13,1,18,10,0,5,0,0,0,0,1,0,0,4,7,53,11,104,40,0,48,0,0,0,0,4,0,1,11,13,103,18,234,101,0,79,0,0,0,0,8,POINT (-123.131173 49.274891),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1159 Main St #505,downtown,49.274261,-123.100494,768000,2 bds,2 ba,"1,061 sqft",0,2,0,0,37,4,6,5,0,3,0,0,0,0,0,0,2,1,4,84,13,59,24,0,30,0,0,0,0,2,0,3,4,9,137,29,146,73,0,54,0,0,0,0,4,POINT (-123.100494 49.274261),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
138 Hastings St E #206,downtown,49.281058,-123.101197,359000,1 bd,1 ba,452 sqft,0,0,0,3,26,9,51,13,0,4,0,0,0,0,1,0,3,4,5,82,18,93,43,0,42,0,0,0,0,2,0,6,8,8,128,31,124,77,0,70,0,0,0,0,3,POINT (-123.101197 49.281058),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1188 Howe St #2403,downtown,49.278315,-123.12697,748000,2 bds,2 ba,751 sqft,0,0,5,5,28,8,63,28,0,26,0,0,0,0,2,0,2,7,12,67,16,199,80,0,69,0,0,0,0,5,0,4,23,19,139,23,310,143,1,115,0,0,0,0,13,POINT (-123.12697 49.278315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1325 Rolston St #1513,downtown,49.275617,-123.127925,633000,0,1 ba,461 sqft,0,0,1,5,26,4,39,17,0,15,0,0,0,0,2,0,1,5,10,51,15,149,52,0,61,0,0,0,0,4,0,3,16,14,125,20,280,131,1,103,0,0,0,0,10,POINT (-123.127925 49.275617),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
63 Keefer Pl #502,downtown,49.279933,-123.10662,970000,3 bds,2 ba,962 sqft,0,1,3,2,26,9,46,23,0,37,0,0,0,0,1,0,4,11,7,73,25,105,64,0,71,0,0,0,0,4,0,8,22,11,167,37,197,130,0,103,0,0,0,0,7,POINT (-123.10662 49.279933),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1189 Melville St #3404,downtown,49.287784,-123.123458,1650000,2 bds,3 ba,"1,414 sqft",0,1,3,3,23,1,51,26,0,11,0,0,0,0,3,0,3,10,6,69,13,156,91,0,49,0,0,0,0,5,0,7,25,21,134,27,340,172,0,128,0,0,0,0,13,POINT (-123.123458 49.287784),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1499 W Pender St #1802,downtown,49.289964,-123.128049,2798000,2 bds,3 ba,"1,578 sqft",0,0,0,0,12,2,35,16,0,5,0,0,0,0,3,0,0,5,9,40,3,125,48,0,20,0,0,0,0,5,0,2,9,18,111,18,289,126,0,90,0,0,0,0,12,POINT (-123.128049 49.289964),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
