Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
0,arbutus ridge,38,2795 w 37th ave,49.238765,-123.167839,POINT (-2503174.725616975 6367086.465147689),5750000,5,7,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,6,23,85,6,0,0,0
1,arbutus ridge,78,4422 quesnel dr,49.247018,-123.168268,POINT (-2502625.567097398 6367947.738663315),8680000,5,6,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,13,21,55,11,2,0,0
2,arbutus ridge,125,4101 yew st #304,49.248583,-123.155246,POINT (-2501646.670850805 6367510.574749248),699900,1,1,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,17,32,71,12,3,0,2
3,arbutus ridge,175,2556 w 20th ave,49.254284,-123.163295,POINT (-2501784.918511952 6368460.741179269),4290000,6,5,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,4,34,135,2,1,0,1
4,arbutus ridge,184,2638 w 22nd ave,49.252494,-123.16415,POINT (-2501967.299510082 6368317.397572626),5780000,4,5,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,5,35,115,3,2,0,0
5,arbutus ridge,205,4578 puget dr,49.246025,-123.164932,POINT (-2502472.374772543 6367693.576901748),7750000,6,7,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,6,22,92,6,0,0,0
6,arbutus ridge,216,2848 w 17th ave,49.256876,-123.168867,POINT (-2501975.335588592 6368980.38355559),2998000,3,4,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,17,84,154,12,4,0,1
7,arbutus ridge,237,4393 puget dr,49.246957,-123.167479,POINT (-2502577.165272192 6367905.354327894),4390000,5,4,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,11,21,55,9,2,0,0
8,arbutus ridge,267,2275 w 40th ave #204,49.235845,-123.159524,POINT (-2502823.852233529 6366407.540913383),949000,2,2,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,45,79,111,9,33,0,3
9,arbutus ridge,311,2671 mcbain ave,49.247322,-123.164319,POINT (-2502340.653032684 6367797.743666005),5580000,7,7,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,7,22,79,7,0,0,0
