Address,Price,Neighbourhood,City,Latitude,Longitude
418 - 150 Sudbury St,"$599,900",Little Portugal,Toronto,43.641504,-79.424224
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,43.664229,-79.375535
96 King High Ave,"$1,599,900",Clanton Park,Toronto,43.740725,-79.446355
100 Roe Ave,"$3,188,800",Lawrence Park North,Toronto,43.733405,-79.41572
21 - 115 Long Branch Ave,"$799,000",Long Branch,Toronto,43.591894,-79.532985
710 - 108 Peter St,"$588,000",Waterfront Communities West,Toronto,43.647679,-79.393277
619 - 96 Strachan Ave,"$798,000",Niagara,Toronto,43.64106,-79.411892
418 - 135 Village Green Sq,"$549,000",Agincourt South Malvern West,Toronto,43.777872,-79.280751
181 Earlscourt Ave,"$799,900",Corso Italia Davenport,Toronto,43.682609,-79.449359
501 - 9 Valhalla Inn Rd,"$549,000",Islington City Centre West,Toronto,43.641041,-79.559565
702 - 4 The Kingsway,"$2,698,000",Kingsway South,Toronto,43.635076,-79.472421
502 - 31 Four Winds Dr,"$545,000",York University Heights,Toronto,43.765261,-79.493675
13 Riverlea Rd,"$2,088,000",Humber Heights,Toronto,43.69903,-79.523167
120 Neilson Dr,"$1,848,000",Markland Wood,Toronto,43.63417,-79.567166
2152 Bayview Ave,"$1,328,000",Bridle Path Sunnybrook York Mills,Toronto,43.723305,-79.379711
91 Hollyberry Tr,"$1,125,000",Hillcrest Village,Toronto,43.80804,-79.348956
53 Codsell Ave,"$1,199,900",Bathurst Manor,Toronto,43.757679,-79.443357
302 - 36 Zorra St,"$565,000",Islington City Centre West,Toronto,43.663368,-79.324904
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto,43.750779,-79.380064
314 - 60 George Butchart Dr,"$505,000",Downsview Roding Cfb,Toronto,43.736561,-79.483201
303 - 70 Old Sheppard Ave,"$520,000",Pleasant View,Toronto,43.778274,-79.336511
1216 - 801 King Street W,"$595,000",Niagara,Toronto,43.642734,-79.40707
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,43.725842,-79.442193
36 Summerfield Cres,"$1,100,000",Eringate Centennial West Deane,Toronto,43.660051,-79.572874
128 Shropshire Dr,"$1,149,000",Dorset Park,Toronto,43.758979,-79.281764
1233 - 35 Viking Lane,"$697,800",Islington City Centre West,Toronto,43.639707,-79.535225
2476 Islington Ave,"$1,100,000",Rexdale Kipling,Toronto,43.728461,-79.56107
1901 - 195 McCaul St,"$1,905,871",Kensington Chinatown,Toronto,43.6567,-79.392206
LPh 01 - 10 Meadowglen Pl,"$598,000",Woburn,Toronto,43.774291,-79.229879
74 Mortimer Ave,"$1,159,000",Broadview North,Toronto,43.684804,-79.353377
161 Parkhurst Blvd,"$1,546,499",Leaside,Toronto,43.710267,-79.365619
802 - 290 Adelaide Street W,"$950,000",Waterfront Communities West,Toronto,43.647816,-79.391122
D9 - 108 Finch Avenue W,"$1,100,000",Newtonbrook West,Toronto,43.778025,-79.424741
46 Singleton Rd,"$850,000",Wexford Maryvale,Toronto,43.733528,-79.298509
905 - 398 Front St E,"$819,900",Waterfront Communities East,Toronto,43.653005,-79.357169
209 - 369 Sorauren Ave,"$599,000",Roncesvalles,Toronto,43.649997,-79.444632
26 Winona Dr,"$1,429,000",Wychwood,Toronto,43.675393,-79.43073
826 - 35 Bastion St,"$649,000",Niagara,Toronto,43.637197,-79.403572
5j Brussels Street,"$1,199,900",Stonegate Queensway,Toronto,43.626893,-79.491403
49 - 5 William Jackson Way,"$695,000",New Toronto,Toronto,43.600769,-79.512121
909 - 7 Lorraine Drive,"$595,999",Willowdale West,Toronto,43.77874,-79.417139
83 Lascelles Blvd,"$4,295,000",Yonge Eglinton,Toronto,43.701853,-79.401854
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto,43.752922,-79.449493
408 - 801 King St W,"$599,000",Niagara,Toronto,43.642734,-79.40707
1301 - 10 Park Lawn Rd,"$889,999",Mimico,Toronto,43.623213,-79.483931
8 - 275 Van Dusen Boulevard,"$1,099,000",Islington City Centre West,Toronto,43.63981,-79.529475
501 - 2045 Lake Shore Blvd W,"$875,000",Mimico,Toronto,43.637539,-79.399222
254 Salem Ave,"$1,099,000",Dovercourt Wallace Emerson Junction,Toronto,43.667018,-79.434545
216 Wallace Ave,"$999,999",Dovercourt Wallace Emerson Junction,Toronto,43.662268,-79.445568
478 Merton St,"$1,399,000",Mount Pleasant East,Toronto,43.699434,-79.38152
501 - 2464 Weston Rd,"$449,900",Weston,Toronto,43.708257,-79.534202
304 Withrow Avenue,"$1,199,000",Blake Jones,Toronto,43.672677,-79.340596
2809 - 2 Sonic Way,"$499,900",Flemingdon Park,Toronto,43.719497,-79.336408
105 - 7 Watkinson Avenue,"$999,999",Junction Area,Toronto,43.665107,-79.460013
2510 - 1926 Lake Shore Boulevard W,"$1,199,900",South Parkdale,Toronto,43.635856,-79.467386
79 Elder Avenue,"$1,198,500",Long Branch,Toronto,43.598997,-79.527244
340 Mortimer Avenue,"$1,275,000",Danforth Village East York,Toronto,43.688028,-79.339301
506 - 760 The Queensway S,"$515,000",Stonegate Queensway,Toronto,43.626178,-79.504717
411 - 10 De Boers Drive,"$729,000",York University Heights,Toronto,43.75177,-79.463834
1004 - 125 George Appleton Way,"$649,999",Downsview Roding Cfb,Toronto,43.725725,-79.479422
89 Cree Ave,"$999,900",Cliffcrest,Toronto,43.731936,-79.228243
101 Harewood Ave,"$899,000",Cliffcrest,Toronto,43.722271,-79.234402
4703 - 35 Balmuto St,"$1,399,000",Bay Street Corridor,Toronto,43.669472,-79.387488
