Address,Price,Bedrooms,Bathrooms
418 - 150 Sudbury St,"$599,900",Little Portugal,Toronto
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto
96 King High Ave,"$1,599,900",Clanton Park,Toronto
100 Roe Ave,"$3,188,800",Lawrence Park North,Toronto
21 - 115 Long Branch Ave,"$799,000",Long Branch,Toronto
710 - 108 Peter St,"$588,000",Waterfront Communities West,Toronto
619 - 96 Strachan Ave,"$798,000",Niagara,Toronto
418 - 135 Village Green Sq,"$549,000",Agincourt South Malvern West,Toronto
181 Earlscourt Ave,"$799,900",Corso Italia Davenport,Toronto
501 - 9 Valhalla Inn Rd,"$549,000",Islington City Centre West,Toronto
702 - 4 The Kingsway,"$2,698,000",Kingsway South,Toronto
502 - 31 Four Winds Dr,"$545,000",York University Heights,Toronto
13 Riverlea Rd,"$2,088,000",Humber Heights,Toronto
120 Neilson Dr,"$1,848,000",Markland Wood,Toronto
2152 Bayview Ave,"$1,328,000",Bridle Path Sunnybrook York Mills,Toronto
91 Hollyberry Tr,"$1,125,000",Hillcrest Village,Toronto
53 Codsell Ave,"$1,199,900",Bathurst Manor,Toronto
302 - 36 Zorra St,"$565,000",Islington City Centre West,Toronto
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto
314 - 60 George Butchart Dr,"$505,000",Downsview Roding Cfb,Toronto
303 - 70 Old Sheppard Ave,"$520,000",Pleasant View,Toronto
1216 - 801 King Street W,"$595,000",Niagara,Toronto
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto
36 Summerfield Cres,"$1,100,000",Eringate Centennial West Deane,Toronto
128 Shropshire Dr,"$1,149,000",Dorset Park,Toronto
1233 - 35 Viking Lane,"$697,800",Islington City Centre West,Toronto
2476 Islington Ave,"$1,100,000",Rexdale Kipling,Toronto
1901 - 195 McCaul St,"$1,905,871",Kensington Chinatown,Toronto
LPh 01 - 10 Meadowglen Pl,"$598,000",Woburn,Toronto
74 Mortimer Ave,"$1,159,000",Broadview North,Toronto
161 Parkhurst Blvd,"$1,546,499",Leaside,Toronto
802 - 290 Adelaide Street W,"$950,000",Waterfront Communities West,Toronto
D9 - 108 Finch Avenue W,"$1,100,000",Newtonbrook West,Toronto
46 Singleton Rd,"$850,000",Wexford Maryvale,Toronto
905 - 398 Front St E,"$819,900",Waterfront Communities East,Toronto
209 - 369 Sorauren Ave,"$599,000",Roncesvalles,Toronto
26 Winona Dr,"$1,429,000",Wychwood,Toronto
826 - 35 Bastion St,"$649,000",Niagara,Toronto
5j Brussels Street,"$1,199,900",Stonegate Queensway,Toronto
49 - 5 William Jackson Way,"$695,000",New Toronto,Toronto
5j Brussels Street,"$1,199,900",Stonegate Queensway,Toronto
909 - 7 Lorraine Drive,"$595,999",Willowdale West,Toronto
83 Lascelles Blvd,"$4,295,000",Yonge Eglinton,Toronto
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto
408 - 801 King St W,"$599,000",Niagara,Toronto
1301 - 10 Park Lawn Rd,"$889,999",Mimico,Toronto
8 - 275 Van Dusen Boulevard,"$1,099,000",Islington City Centre West,Toronto
501 - 2045 Lake Shore Blvd W,"$875,000",Mimico,Toronto
254 Salem Ave,"$1,099,000",Dovercourt Wallace Emerson Junction,Toronto
216 Wallace Ave,"$999,999",Dovercourt Wallace Emerson Junction,Toronto
478 Merton St,"$1,399,000",Mount Pleasant East,Toronto
501 - 2464 Weston Rd,"$449,900",Weston,Toronto
304 Withrow Avenue,"$1,199,000",Blake Jones,Toronto
2809 - 2 Sonic Way,"$499,900",Flemingdon Park,Toronto
105 - 7 Watkinson Avenue,"$999,999",Junction Area,Toronto
2510 - 1926 Lake Shore Boulevard W,"$1,199,900",South Parkdale,Toronto
79 Elder Avenue,"$1,198,500",Long Branch,Toronto
340 Mortimer Avenue,"$1,275,000",Danforth Village East York,Toronto
506 - 760 The Queensway S,"$515,000",Stonegate Queensway,Toronto
411 - 10 De Boers Drive,"$729,000",York University Heights,Toronto
1004 - 125 George Appleton Way,"$649,999",Downsview Roding Cfb,Toronto
89 Cree Ave,"$999,900",Cliffcrest,Toronto
101 Harewood Ave,"$899,000",Cliffcrest,Toronto
4703 - 35 Balmuto St,"$1,399,000",Bay Street Corridor,Toronto
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto
2103 - 60 Brian Harrison Way,"$549,900",Bendale,Toronto
3002 - 20 Bruyeres Mews,"$1,099,000",Niagara,Toronto
1005 - 8 Dovercourt Rd,"$665,000",Little Portugal,Toronto
1707 - 2020 Bathrust St,"$469,000",Forest Hill South,Toronto
2034 - 3043 Finch Ave,"$469,000",Humbermede,Toronto
165 Armour Blvd,"$2,850,000",Lansing Westgate,Toronto
901 - 100 Quebec Ave,"$1,149,900",High Park North,Toronto
140 - 1173 Dundas St E,"$949,900",South Riverdale,Toronto
206 - 5 Greystone Walk Dr,"$498,000",Kennedy Park,Toronto
329 - 155 Merchants' Wharf Avenue,"$750,000",Waterfront Communities East,Toronto
3007 - 181 Wynford Dr,"$759,900",Banbury Don Mills,Toronto
3 Clayhall Cres,"$1,149,000",York University Heights,Toronto
10 - 1321 Gerrard St E,"$750,000",Greenwood Coxwell,Toronto
100 Rosethorn Ave,"$1,250,000",Weston Pellam Park,Toronto
15 Braddock Road,"$959,900",West Humber Clairville,Toronto
712 - 159 Dundas Street N,"$538,000",Church Yonge Corridor,Toronto
51 - 5 William Jackson Way,"$806,000",New Toronto,Toronto
818 - 323 Richmond St E,"$899,000",Moss Park,Toronto
27 Cameo Cres,"$995,000",Rockcliffe Smythe,Toronto
48 Shaftesbury Ave,"$3,445,000",Rosedale Moore Park,Toronto
96 King High Ave,"$1,599,900",Clanton Park,Toronto
10 Dearbourne Ave,"$1,189,000",North Riverdale,Toronto
212 - 5 Richgrove Dr,"$679,000",Willowridge Martingrove Richview,Toronto
9 Joseph Salsberg Lane,"$1,300,000",Niagara,Toronto
193 Brickworks Lane,"$914,900",Junction Area,Toronto
709 - 2191 Yonge St,"$549,800",Mount Pleasant West,Toronto
1201 - 195 Redpath Avenue,"$557,000",Mount Pleasant West,Toronto
76 Highhill Drive,"$1,080,000",Tam O'shanter Sullivan,Toronto
413 - 600 Fleet St W,"$449,000",Niagara,Toronto
78 Ashridge Dr,"$998,000",Agincourt North,Toronto
3632a St Clair Avenue E,"$699,900",Cliffcrest,Toronto
3306 - 14 York St,"$699,000",Waterfront Communities West,Toronto
681 Scarlett Rd,"$1,650,000",Humber Heights,Toronto
208 Holmes Ave,"$3,350,000",Willowdale East,Toronto
718 - 30 Meadowglen Pl,"$599,000",Woburn,Toronto
Th5 - 118 Finch Avenue,"$899,000",Newtonbrook West,Toronto
824 - 231 Fort York Blvd,"$619,000",Niagara,Toronto
195 Brookdale Ave,"$1,995,000",Lawrence Park North,Toronto
671a - 671 Browns Line,"$1,298,000",Alderwood,Toronto
1517 - 87 Peter St,"$635,000",Waterfront Communities West,Toronto
301 - 200 Manitoba Street,"$879,999",Mimico,Toronto
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto
1220 - 460 Adelaide Street E,"$499,900",Moss Park,Toronto
301 - 1350 York Mills Rd,"$549,900",Parkwoods Donalda,Toronto
501 Palmerston Boulevard,"$3,199,000",Palmerston Little Italy,Toronto
3905 - 117 Mcmahon Drive,"$650,000",Bayview Village,Toronto
Ph120 - 460 Adelaide St E,"$1,038,888",Moss Park,Toronto
2107 - 1 Palace Pier Crt,"$665,000",Mimico,Toronto
2014 - 1001 Bay St,"$1,050,000",Bay Street Corridor,Toronto
Th05 - 101 Erskine Ave,"$2,100,000",Mount Pleasant West,Toronto
428 - 12 Douro Street,"$899,000",Niagara,Toronto
2201 - 70 Forest Manor Rd,"$599,000",Henry Farm,Toronto
121 - 7 Kenaston Gardens,"$598,999",Bayview Village,Toronto
205 - 2550 Lawrence Ave E,"$589,000",Dorset Park,Toronto
1604 - 20 Edward St,"$568,800",Bay Street Corridor,Toronto
229 Craven Rd,"$989,000",Greenwood Coxwell,Toronto
11 Ashton Manr,"$2,190,000",Stonegate Queensway,Toronto
703 - 55 De Boers Dr,"$539,000",York University Heights,Toronto
137 Benleigh Drive,"$1,299,975",Woburn,Toronto
1304 - 330 Mccowan Rd,"$559,000",Eglinton East,Toronto
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto
321 - 451 The West Mall,"$585,000",Etobicoke West Mall,Toronto
53 Codsell Ave,"$1,199,900",Bathurst Manor,Toronto
511 - 3 Everson Dr,"$729,000",Willowdale East,Toronto
1202 Islington Ave,"$1,199,000",Islington City Centre West,Toronto
4 Muskox Drive,"$1,410,000",Rouge,Toronto
1233 - 15 Merchants' Wharf Road,"$999,000",Waterfront Communities East,Toronto
703 - 355 Bedford Park Avenue,"$5,495,000",Bedford Park Nortown,Toronto
8 Blakley Ave,"$949,800",Rockcliffe Smythe,Toronto
414 - 15 Lower Jarvis St,"$525,000",Waterfront Communities East,Toronto
4906 - 2191 Yonge St,"$1,290,000",Mount Pleasant West,Toronto
203 - 195 Poplar Plains Rd,"$1,499,000",Casa Loma,Toronto
708 - 168 King St E,"$695,000",Moss Park,Toronto
810 - 38 Widmer St,"$588,000",Waterfront Communities West,Toronto
2604 - 500 Sherbourne St,"$649,000",North St. Jamestown,Toronto
411 - 188 Cumberland St,"$689,000",Yorkville,Toronto
2107 - 1 Palace Pier Crt,"$665,000",Mimico,Toronto
2014 - 1001 Bay St,"$1,050,000",Bay Street Corridor,Toronto
Th05 - 101 Erskine Ave,"$2,100,000",Mount Pleasant West,Toronto
84 Pandora Circ,"$878,000",Woburn,Toronto
244 Gowan Avenue,"$1,145,000",Danforth Village East York,Toronto
137 Benleigh Drive,"$1,299,975",Woburn,Toronto
L06 - 73 Richmond St W,"$599,900",Bay Street Corridor,Toronto
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto
604 - 188 Cumberland St,"$1,200,000",Yorkville,Toronto
504 - 1103 Leslie Street,"$795,000",Banbury Don Mills,Toronto
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto
46 - 2012 Martin Grove Rd,"$709,000",West Humber Clairville,Toronto
Ph16 - 80 Vanauley St,"$679,000",Kensington Chinatown,Toronto
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto
6 Balfour Ave,"$999,000",East End Danforth,Toronto
23 Radwell Cres,"$1,180,000",Milliken,Toronto
58b Tecumseth St,"$1,288,800",Niagara,Toronto
1205 - 5795 Yonge St,"$799,000",Newtonbrook East,Toronto
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto
26 Breadner Dr,"$1,149,000",Willowridge Martingrove Richview,Toronto
203 Medland St,"$1,998,000",Junction Area,Toronto
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto
25 Windhill Cres,"$799,000",Humbermede,Toronto
1108 - 10 Torresdale Ave,"$918,000",Westminister Branson,Toronto
1171 Roselawn Ave,"$2,699,000",Briar Hill Belgravia,Toronto
801 - 8 Tippett Road,"$459,000",Clanton Park,Toronto
404 Horner Ave,"$1,499,900",Alderwood,Toronto
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto
110 Allenby Ave,"$1,399,000",Elms Old Rexdale,Toronto
162 Abbeywood Tr,"$2,680,000",Banbury Don Mills,Toronto
71 Riverwood Pkwy,"$2,399,000",Stonegate Queensway,Toronto
48 Gondola Cres,"$888,000",Woburn,Toronto
108 - 37 Four Winds Dr,"$625,000",York University Heights,Toronto
3606 - 575 Bloor St E,"$578,000",Rosedale Moore Park,Toronto
1105 - 2067 Lake Shore Boulevard W,"$750,000",Mimico,Toronto
54-175 Trudelle Street,"$800,000",Eglinton East,Toronto
521 The Kingsway,"$2,438,000",Princess Rosethorn,Toronto
302 - 99 Foxbar Rd,"$1,479,000",Yonge St. Clair,Toronto
44 Ladysbridge Drive,"$795,900",Morningside,Toronto
3036 - 68 Corporate Drive,"$639,900",Woburn,Toronto
36 Ridge Road,"$779,000",Downsview Roding Cfb,Toronto
48 Dubray Ave,"$1,298,000",Downsview Roding Cfb,Toronto
512 - 55 East Liberty,"$799,000",Niagara,Toronto
Th1 - 220 George St,"$1,500,000",Moss Park,Toronto
1 - 130 Clinton St,"$998,000",Palmerston Little Italy,Toronto
293 Chaplin Cres,"$2,795,000",Forest Hill South,Toronto
96 King High Ave,"$1,599,900",Clanton Park,Toronto
1109 - 2645 Kipling Ave W,"$479,900",Mount Olive Silverstone Jamestown,Toronto
407 - 10 Meadowglen Pl,"$499,900",Woburn,Toronto
26 Dellbrook Crescent,"$1,100,000",Humber Summit,Toronto
716 - 20 Dean Park Road,"$614,900",Rouge,Toronto
10 Cedar Springs Grove,"$1,550,000",Bathurst Manor,Toronto
