Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
1216 - 801 King Street W,"$595,000",Niagara,Toronto,1,1,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,5,2,House
36 Summerfield Cres,"$1,100,000",Eringate Centennial West Deane,Toronto,4,2,House
128 Shropshire Dr,"$1,149,000",Dorset Park,Toronto,4,2,House
1233 - 35 Viking Lane,"$697,800",Islington City Centre West,Toronto,2,2,Apt/Condo
2476  Islington Ave,"$1,100,000",Rexdale Kipling,Toronto,6,4,House
1901 - 195 McCaul St,"$1,905,871",Kensington Chinatown,Toronto,3,3,Apt/Condo
LPh 01 - 10 Meadowglen Pl,"$598,000",Woburn,Toronto,3,2,Apt/Condo
74 Mortimer Ave,"$1,159,000",Broadview North,Toronto,4,3,House
161 Parkhurst Blvd,"$1,546,499",Leaside,Toronto,2,2,House
802 - 290 Adelaide Street W,"$950,000",Waterfront Communities West,Toronto,2,2,Apt/Condo
D9 - 108 Finch Avenue W,"$1,100,000",Newtonbrook West,Toronto,4,3,Townhouse
46 Singleton Rd,"$850,000",Wexford Maryvale,Toronto,4,2,House
905 - 398 Front St E,"$819,900",Waterfront Communities East,Toronto,2,2,Apt/Condo
209 - 369 Sorauren Ave,"$599,000",Roncesvalles,Toronto,1,1,Apt/Condo
26 Winona Dr,"$1,429,000",Wychwood,Toronto,4,2,House
826 - 35 Bastion St,"$649,000",Niagara,Toronto,1,1,Apt/Condo
5j Brussels Street,"$1,199,900",Stonegate Queensway,Toronto,3,3,Townhouse
49 - 5 William Jackson Way,"$695,000",New Toronto,Toronto,2,2,Townhouse
909 - 7 Lorraine Drive,"$595,999",Willowdale West,Toronto,2,1,Apt/Condo
83 Lascelles Blvd,"$4,295,000",Yonge Eglinton,Toronto,5,4,House
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto,2,2,Apt/Condo
408 - 801 King St W,"$599,000",Niagara,Toronto,2,1,Apt/Condo
1301 - 10 Park Lawn Rd,"$889,999",Mimico,Toronto,2,2,Apt/Condo
8 - 275 Van Dusen Boulevard,"$1,099,000",Islington City Centre West,Toronto,3,2,Townhouse
501 - 2045 Lake Shore Blvd W,"$875,000",Mimico,Toronto,2,2,Apt/Condo
254 Salem Ave,"$1,099,000",Dovercourt Wallace Emerson Junction,Toronto,3,3,House
216 Wallace Ave,"$999,999",Dovercourt Wallace Emerson Junction,Toronto,3,2,House
478 Merton St,"$1,399,000",Mount Pleasant East,Toronto,3,2,House
501 - 2464 Weston Rd,"$449,900",Weston,Toronto,1,1,Apt/Condo
304 Withrow Avenue,"$1,199,000",Blake Jones,Toronto,4,2,House
2809 - 2 Sonic Way,"$499,900",Flemingdon Park,Toronto,1,1,Apt/Condo
105 - 7 Watkinson Avenue,"$999,999",Junction Area,Toronto,3,2,Townhouse
2510 - 1926 Lake Shore Boulevard W,"$1,199,900",South Parkdale,Toronto,3,2,Apt/Condo
79 Elder Avenue,"$1,198,500",Long Branch,Toronto,3,2,Townhouse
340 Mortimer Avenue,"$1,275,000",Danforth Village East York,Toronto,4,2,House
506 - 760 The Queensway S,"$515,000",Stonegate Queensway,Toronto,2,1,Apt/Condo
411 - 10 De Boers Drive,"$729,000",York University Heights,Toronto,3,2,Apt/Condo
1004 - 125 George Appleton Way,"$649,999",Downsview Roding Cfb,Toronto,3,2,Townhouse
89 Cree Ave,"$999,900",Cliffcrest,Toronto,4,2,House
101 Harewood Ave,"$899,000",Cliffcrest,Toronto,2,1,House
4703 - 35 Balmuto St,"$1,399,000",Bay Street Corridor,Toronto,2,3,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,5,2,House
2103 - 60 Brian Harrison Way,"$549,900",Bendale,Toronto,2,1,Apt/Condo
3002 - 20 Bruyeres Mews,"$1,099,000",Niagara,Toronto,2,2,Apt/Condo
1005 - 8 Dovercourt Rd,"$665,000",Little Portugal,Toronto,2,1,Apt/Condo
1707 - 2020 Bathrust St,"$469,000",Forest Hill South,Toronto,1,1,Apt/Condo
2034 - 3043 Finch Ave,"$469,000",Humbermede,Toronto,2,1,Townhouse
165 Armour Blvd,"$2,850,000",Lansing Westgate,Toronto,6,4,House
901 - 100 Quebec Ave,"$1,149,900",High Park North,Toronto,3,2,Apt/Condo
140 - 1173 Dundas St E,"$949,900",South Riverdale,Toronto,1,2,Apt/Condo
206 - 5 Greystone Walk Dr,"$498,000",Kennedy Park,Toronto,3,2,Apt/Condo
329 - 155 Merchants' Wharf Avenue,"$750,000",Waterfront Communities East,Toronto,1,1,Apt/Condo
3007 - 181 Wynford Dr,"$759,900",Banbury Don Mills,Toronto,3,2,Apt/Condo
3 Clayhall Cres,"$1,149,000",York University Heights,Toronto,4,2,House
10 - 1321 Gerrard St E,"$750,000",Greenwood Coxwell,Toronto,2,1,Townhouse
100 Rosethorn Ave,"$1,250,000",Weston Pellam Park,Toronto,3,2,House
15 Braddock Road,"$959,900",West Humber Clairville,Toronto,4,2,House
712 - 159 Dundas Street N,"$538,000",Church Yonge Corridor,Toronto,1,1,Apt/Condo
51 - 5 William Jackson Way,"$806,000",New Toronto,Toronto,2,2,Townhouse
818 - 323 Richmond St E,"$899,000",Moss Park,Toronto,2,2,Apt/Condo
27 Cameo Cres,"$995,000",Rockcliffe Smythe,Toronto,7,3,House
48 Shaftesbury Ave,"$3,445,000",Rosedale Moore Park,Toronto,4,5,House
96 King High Ave,"$1,599,900",Clanton Park,Toronto,7,5,House
10 Dearbourne Ave,"$1,189,000",North Riverdale,Toronto,5,2,House
212 - 5 Richgrove Dr,"$679,000",Willowridge Martingrove Richview,Toronto,2,2,Townhouse
9 Joseph Salsberg Lane,"$1,300,000",Niagara,Toronto,3,2,Townhouse
193 Brickworks Lane,"$914,900",Junction Area,Toronto,3,4,Townhouse
709 - 2191 Yonge St,"$549,800",Mount Pleasant West,Toronto,2,1,Apt/Condo
1201 - 195 Redpath Avenue,"$557,000",Mount Pleasant West,Toronto,2,1,Apt/Condo
