Address,Price,Neighbourhood,City,Latitude,Longitude,Bedrooms,Bathrooms,Home Type
1004 1003 Burnaby Street,"$680,000",West End,Vancouver,49.278791,-123.130299,1 bd,1,Apt/Condo
512 2220 Kingsway Street,"$879,000",Victoria East,Vancouver,49.242804,-123.061615,2 bd,2,Apt/Condo
5756 St. Margarets Street,"$2,288,000",Killarney,Vancouver,49.231853,-123.056188,6 bd,3,House
7232 Granville Street,"$2,688,000",South Granville,Vancouver,49.220342,-123.139696,3 bd,2,House
1207 8533 River District Crossing,"$909,000",South Marine,Vancouver,49.20489,-123.031289,2 bd,2,Apt/Condo
Thk 1111 Marinaside Crescent,"$3,499,000",Yaletown,Vancouver,49.273637,-123.116652,3 bd,3,Townhouse
585 W 26th Avenue,"$2,299,900",Cambie,Vancouver,49.247719,-123.117975,4 bd,3,Townhouse
557 W 26th Avenue,"$2,199,900",Cambie,Vancouver,49.24771,-123.117467,4 bd,3,Townhouse
2302 1499 W Pender Street,"$2,999,900",Coal Harbour,Vancouver,49.289964,-123.128049,2 bd,3,Apt/Condo
676 W 26th Avenue,"$1,990,000",Cambie,Vancouver,49.247343,-123.091001,3 bd,3,Townhouse
1 1809 E 15th Avenue,"$1,738,000",Grandview East,Vancouver,49.257088,-123.067721,4 bd,4,Duplex
1204 983 E Hastings Street,"$724,900",Strathcona,Vancouver,49.281639,-123.078845,1 bd,1,Apt/Condo
319 760 Kingsway Street,"$449,000",Fraser East,Vancouver,49.255851,-123.088796,1 bd,1,Apt/Condo
1 2320 Grant Street,"$1,879,000",Grandview East,Vancouver,49.270954,-123.057629,3 bd,4,Duplex
2 2260 E 25th Avenue,"$1,548,000",Victoria East,Vancouver,49.24791,-123.059213,3 bd,4,Duplex
1310 819 Hamilton Street,"$839,900",Downtown West,Vancouver,49.278803,-123.116521,2 bd,2,Apt/Condo
627 W 39th Avenue,"$9,000,000",Cambie,Vancouver,49.235667,-123.118886,4 bd,2,House
5120 Killarney Street,"$2,699,000",Collingwood,Vancouver,49.237924,-123.043571,7 bd,4,House
