Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
1004 1003 Burnaby Street,"$680,000",West End,Vancouver,1 bd,1,Apt/Condo
512 2220 Kingsway Street,"$879,000",Victoria East,Vancouver,2 bd,2,Apt/Condo
5756 St. Margarets Street,"$2,288,000",Killarney,Vancouver,6 bd,3,House
7232 Granville Street,"$2,688,000",South Granville,Vancouver,3 bd,2,House
1207 8533 River District Crossing,"$909,000",South Marine,Vancouver,2 bd,2,Apt/Condo
Thk 1111 Marinaside Crescent,"$3,499,000",Yaletown,Vancouver,3 bd,3,Townhouse
585 W 26th Avenue,"$2,299,900",Cambie,Vancouver,4 bd,3,Townhouse
557 W 26th Avenue,"$2,199,900",Cambie,Vancouver,4 bd,3,Townhouse
2302 1499 W Pender Street,"$2,999,900",Coal Harbour,Vancouver,2 bd,3,Apt/Condo
676 W 26th Avenue,"$1,990,000",Cambie,Vancouver,3 bd,3,Townhouse
1 1809 E 15th Avenue,"$1,738,000",Grandview East,Vancouver,4 bd,4,Duplex
1204 983 E Hastings Street,"$724,900",Strathcona,Vancouver,1 bd,1,Apt/Condo
319 760 Kingsway Street,"$449,000",Fraser East,Vancouver,1 bd,1,Apt/Condo
1 2320 Grant Street,"$1,879,000",Grandview East,Vancouver,3 bd,4,Duplex
2 2260 E 25th Avenue,"$1,548,000",Victoria East,Vancouver,3 bd,4,Duplex
1310 819 Hamilton Street,"$839,900",Downtown West,Vancouver,2 bd,2,Apt/Condo
627 W 39th Avenue,"$9,000,000",Cambie,Vancouver,4 bd,2,House
5120 Killarney Street,"$2,699,000",Collingwood,Vancouver,7 bd,4,House
2610 89 Nelson Street,"$759,000",Yaletown,Vancouver,1 bd,1,Apt/Condo
160 1 E Cordova Street,"$429,900",Downtown East,Vancouver,0 bd,1,Apt/Condo
Ph610 1540 W 2nd Avenue,"$2,799,000",False Creek,Vancouver,2 bd,3,Apt/Condo
215 2889 E 1st Avenue,"$729,000",Renfrew,Vancouver,2 bd,2,Apt/Condo
412 2528 Maple Street,"$1,079,900",Kitsilano,Vancouver,2 bd,2,Apt/Condo
8 1019 Gilford Street,"$1,075,000",West End,Vancouver,2 bd,2,Apt/Condo
2551 Triumph Street,"$1,479,000",Hastings Sunrise,Vancouver,3 bd,4,Duplex
4004 128 W Cordova Street,"$699,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
708 1688 Pullman Porter Street,"$928,000",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
503 53 W Hastings Street,"$499,900",Downtown West,Vancouver,1 bd,1,Apt/Condo
2783 W 8th Avenue,"$1,899,000",Kitsilano,Vancouver,4 bd,3,Duplex
2768 E 25th Avenue,"$2,998,000",Renfrew Heights,Vancouver,7 bd,7,House
115 1717 W 13th Avenue,"$788,800",Fairview,Vancouver,2 bd,1,Apt/Condo
301 345 Water Street,"$679,900",Coal Harbour,Vancouver,1 bd,1,Apt/Condo
