"Street address",Neighbourhood,City,State,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1216 - 801 King Street W",Niagara,Toronto,ON,Canada,43.642734,-79.40707,0.9,nearest_rooftop_match,801,"King St W",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"136 Regina Ave","Englemount Lawrence",Toronto,ON,Canada,43.725842,-79.442193,1,rooftop,136,"Regina Ave",,,"North York",ON,,M6A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"36 Summerfield Cres","Eringate Centennial West Deane",Toronto,ON,Canada,43.660051,-79.572874,0.9,range_interpolation,36,"Summerfield Cres",,,Etobicoke,ON,,M9C,CA,"CanVec+ by Natural Resources Canada"
"128 Shropshire Dr","Dorset Park",Toronto,ON,Canada,43.758979,-79.281764,0.9,rooftop,128,"Shropshire Dr",,,Scarborough,ON,,M1P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1233 - 35 Viking Lane","Islington City Centre West",Toronto,ON,Canada,43.639707,-79.535225,0.8,range_interpolation,1233,"Viking Ln",,,Etobicoke,ON,,M9B,CA,"CanVec+ by Natural Resources Canada"
"2476  Islington Ave","Rexdale Kipling",Toronto,ON,Canada,43.728461,-79.56107,0.9,range_interpolation,2476,"Islington Ave",,,Etobicoke,ON,,M9V,CA,"CanVec+ by Natural Resources Canada"
"1901 - 195 McCaul St","Kensington Chinatown",Toronto,ON,Canada,43.6567,-79.392206,0.9,nearest_rooftop_match,195,"Mc Caul St",,,Toronto,ON,,M5T,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"LPh 01 - 10 Meadowglen Pl",Woburn,Toronto,ON,Canada,43.774291,-79.229879,0.8,nearest_rooftop_match,10,"Meadowglen Pl",,,Scarborough,ON,,M1H,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"74 Mortimer Ave","Broadview North",Toronto,ON,Canada,43.684804,-79.353377,1,rooftop,74,"Mortimer Ave",,,"East York",ON,,M4K,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"161 Parkhurst Blvd",Leaside,Toronto,ON,Canada,43.710267,-79.365619,1,rooftop,161,"Parkhurst Blvd",,,"East York",ON,,M4G,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"802 - 290 Adelaide Street W","Waterfront Communities West",Toronto,ON,Canada,43.647816,-79.391122,0.9,nearest_rooftop_match,290,"Adelaide St W",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"D9 - 108 Finch Avenue W","Newtonbrook West",Toronto,ON,Canada,43.778025,-79.424741,0.9,rooftop,108,"Finch Ave W",,,"North York",ON,,M2N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"46 Singleton Rd","Wexford Maryvale",Toronto,ON,Canada,43.733528,-79.298509,1,rooftop,46,"Singleton Rd",,,Scarborough,ON,,M1R,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"905 - 398 Front St E","Waterfront Communities East",Toronto,ON,Canada,43.653005,-79.357169,0.9,nearest_rooftop_match,398,"Front St E",,,Toronto,ON,,M5A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"209 - 369 Sorauren Ave",Roncesvalles,Toronto,ON,Canada,43.649997,-79.444632,0.9,nearest_rooftop_match,369,"Sorauren Ave",,,Toronto,ON,,M6R,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"26 Winona Dr",Wychwood,Toronto,ON,Canada,43.675393,-79.43073,1,rooftop,26,"Winona Dr",,,Toronto,ON,,M6G,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"826 - 35 Bastion St",Niagara,Toronto,ON,Canada,43.637197,-79.403572,0.9,nearest_rooftop_match,35,"Bastion St",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"5j Brussels Street","Stonegate Queensway",Toronto,ON,Canada,43.626893,-79.491403,0.9,rooftop,5A,"Brussels St",,,Etobicoke,ON,,M8Y,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"49 - 5 William Jackson Way","New Toronto",Toronto,ON,Canada,43.600769,-79.512121,0.8,nearest_rooftop_match,5,"William Jackson Way",,,Etobicoke,ON,,M8V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"909 - 7 Lorraine Drive","Willowdale West",Toronto,ON,Canada,43.77874,-79.417139,0.8,nearest_rooftop_match,7,"Lorraine Dr",,,"North York",ON,,M2N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"83 Lascelles Blvd","Yonge Eglinton",Toronto,ON,Canada,43.701853,-79.401854,1,rooftop,83,"Lascelles Blvd",,,Toronto,ON,,M5P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"608 - 801 Sheppard Ave W","Clanton Park",Toronto,ON,Canada,43.752922,-79.449493,0.9,nearest_rooftop_match,801,"Sheppard Ave W",,,"North York",ON,,M3H,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"408 - 801 King St W",Niagara,Toronto,ON,Canada,43.642734,-79.40707,0.9,nearest_rooftop_match,801,"King St W",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1301 - 10 Park Lawn Rd",Mimico,Toronto,ON,Canada,43.623213,-79.483931,0.8,nearest_rooftop_match,10,"Park Lawn Rd",,,Etobicoke,ON,,M8V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"8 - 275 Van Dusen Boulevard","Islington City Centre West",Toronto,ON,Canada,43.63981,-79.529475,0.8,nearest_rooftop_match,275,"Van Dusen Blvd",,,Etobicoke,ON,,M8Z,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"501 - 2045 Lake Shore Blvd W",Mimico,Toronto,ON,Canada,43.637539,-79.399222,0.9,nearest_rooftop_match,500,"Lake Shore Blvd W",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"254 Salem Ave","Dovercourt Wallace Emerson Junction",Toronto,ON,Canada,43.667018,-79.434545,1,rooftop,254,"Salem Ave",,,Toronto,ON,,M6H,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"216 Wallace Ave","Dovercourt Wallace Emerson Junction",Toronto,ON,Canada,43.662268,-79.445568,1,rooftop,216,"Wallace Ave",,,Toronto,ON,,M6H,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"478 Merton St","Mount Pleasant East",Toronto,ON,Canada,43.699434,-79.38152,1,rooftop,478,"Merton St",,,Toronto,ON,,M4S,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"501 - 2464 Weston Rd",Weston,Toronto,ON,Canada,43.708257,-79.534202,0.9,nearest_rooftop_match,2464,"Weston Rd",,,"North York",ON,,M9N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"304 Withrow Avenue","Blake Jones",Toronto,ON,Canada,43.672677,-79.340596,1,rooftop,304,"Withrow Ave",,,Toronto,ON,,M4J,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"2809 - 2 Sonic Way","Flemingdon Park",Toronto,ON,Canada,43.719497,-79.336408,0.9,nearest_rooftop_match,2,"Sonic Way",,,"North York",ON,,M3C,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"105 - 7 Watkinson Avenue","Junction Area",Toronto,ON,Canada,43.665107,-79.460013,0.9,nearest_rooftop_match,7,"Watkinson Ave",,,Toronto,ON,,M6P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"2510 - 1926 Lake Shore Boulevard W","South Parkdale",Toronto,ON,Canada,43.635856,-79.467386,0.9,nearest_rooftop_match,1926,"Lake Shore Blvd W",,,Toronto,ON,,M6S,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"79 Elder Avenue","Long Branch",Toronto,ON,Canada,43.598997,-79.527244,0.9,range_interpolation,79,"Elder Ave",,,Etobicoke,ON,,M8W,CA,"CanVec+ by Natural Resources Canada"
"340 Mortimer Avenue","Danforth Village East York",Toronto,ON,Canada,43.688028,-79.339301,1,rooftop,340,"Mortimer Ave",,,"East York",ON,,M4J,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"506 - 760 The Queensway S","Stonegate Queensway",Toronto,ON,Canada,43.626178,-79.504717,0.8,nearest_rooftop_match,760,"The Queensway",,,Etobicoke,ON,,M8Z,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"411 - 10 De Boers Drive","York University Heights",Toronto,ON,Canada,43.75177,-79.463834,0.75,range_interpolation,411,"De Boers Dr",,,"North York",ON,,M3J,CA,"CanVec+ by Natural Resources Canada"
"1004 - 125 George Appleton Way","Downsview Roding Cfb",Toronto,ON,Canada,43.725725,-79.479422,0.9,nearest_rooftop_match,125,"George Appleton Way",,,"North York",ON,,M3M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"89 Cree Ave",Cliffcrest,Toronto,ON,Canada,43.731936,-79.228243,0.9,rooftop,89,"Cree Ave",,,Scarborough,ON,,M1M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"101 Harewood Ave",Cliffcrest,Toronto,ON,Canada,43.722271,-79.234402,0.9,rooftop,101,"Harewood Ave",,,Scarborough,ON,,M1M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"4703 - 35 Balmuto St","Bay Street Corridor",Toronto,ON,Canada,43.669472,-79.387488,0.9,nearest_rooftop_match,35,"Balmuto St",,,Toronto,ON,,M4Y,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"2103 - 60 Brian Harrison Way",Bendale,Toronto,ON,Canada,43.774024,-79.258007,0.8,nearest_rooftop_match,60,"Brian Harrison Way",,,Scarborough,ON,,M1P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"3002 - 20 Bruyeres Mews",Niagara,Toronto,ON,Canada,43.637552,-79.4008,0.9,nearest_rooftop_match,20,"Bruyeres Mews",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1005 - 8 Dovercourt Rd","Little Portugal",Toronto,ON,Canada,43.641637,-79.421844,0.9,nearest_rooftop_match,8,"Dovercourt Rd",,,Toronto,ON,,M6J,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1707 - 2020 Bathrust St","Forest Hill South",Toronto,ON,Canada,43.700578,-79.425623,0.9,nearest_rooftop_match,2020,"Bathurst St",,,York,ON,,M6C,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"2034 - 3043 Finch Ave",Humbermede,Toronto,ON,Canada,43.746064,-79.563237,0.9,nearest_rooftop_match,3043,"Finch Ave W",,,"North York",ON,,M9M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"165 Armour Blvd","Lansing Westgate",Toronto,ON,Canada,43.742751,-79.430794,1,rooftop,165,"Armour Blvd",,,"North York",ON,,M3H,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"901 - 100 Quebec Ave","High Park North",Toronto,ON,Canada,43.655658,-79.46824,0.9,nearest_rooftop_match,100,"Quebec Ave",,,Toronto,ON,,M6P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"140 - 1173 Dundas St E","South Riverdale",Toronto,ON,Canada,43.664423,-79.34184,0.9,nearest_rooftop_match,1173,"Dundas St E",,,Toronto,ON,,M4M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"206 - 5 Greystone Walk Dr","Kennedy Park",Toronto,ON,Canada,43.645415,-79.387361,0.5,place,,,,,Toronto,ON,,M5V,CA,"CanVec+ by Natural Resources Canada"
"329 - 155 Merchants' Wharf Avenue","Waterfront Communities East",Toronto,ON,Canada,43.646203,-79.361412,0.9,nearest_rooftop_match,155,"Merchants' Wharf",,,Toronto,ON,,M5A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"3007 - 181 Wynford Dr","Banbury Don Mills",Toronto,ON,Canada,43.725064,-79.328704,0.9,nearest_rooftop_match,181,"Wynford Dr",,,"North York",ON,,M3C,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"3 Clayhall Cres","York University Heights",Toronto,ON,Canada,43.751371,-79.499078,0.9,rooftop,3,"Clayhall Cres",,,"North York",ON,,M3J,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"10 - 1321 Gerrard St E","Greenwood Coxwell",Toronto,ON,Canada,43.67114,-79.326224,0.9,nearest_rooftop_match,1321,"Gerrard St E",,,Toronto,ON,,M4L,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"100 Rosethorn Ave","Weston Pellam Park",Toronto,ON,Canada,43.679352,-79.463314,1,rooftop,100,"Rosethorn Ave",,,York,ON,,M6N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"15 Braddock Road","West Humber Clairville",Toronto,ON,Canada,43.719486,-79.584801,0.9,range_interpolation,15,"Braddock Rd",,,Etobicoke,ON,,M9W,CA,"CanVec+ by Natural Resources Canada"
"712 - 159 Dundas Street N","Church Yonge Corridor",Toronto,ON,Canada,43.657124,-79.375394,0.9,nearest_rooftop_match,160,"Dundas St E",,,Toronto,ON,,M5B,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"51 - 5 William Jackson Way","New Toronto",Toronto,ON,Canada,43.600769,-79.512121,0.8,nearest_rooftop_match,5,"William Jackson Way",,,Etobicoke,ON,,M8V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"818 - 323 Richmond St E","Moss Park",Toronto,ON,Canada,43.653384,-79.368447,0.9,nearest_rooftop_match,323,"Richmond St E",,,Toronto,ON,,M5A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"27 Cameo Cres","Rockcliffe Smythe",Toronto,ON,Canada,43.677017,-79.491542,1,rooftop,27,"Cameo Cres",,,York,ON,,M6N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"48 Shaftesbury Ave","Rosedale Moore Park",Toronto,ON,Canada,43.682521,-79.38967,1,rooftop,48,"Shaftesbury Ave",,,Toronto,ON,,M4T,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"96 King High Ave","Clanton Park",Toronto,ON,Canada,43.740725,-79.446355,1,rooftop,96,"King High Ave",,,"North York",ON,,M3H,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"10 Dearbourne Ave","North Riverdale",Toronto,ON,Canada,43.675665,-79.357432,1,rooftop,10,"Dearbourne Ave",,,Toronto,ON,,M4K,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"212 - 5 Richgrove Dr","Willowridge Martingrove Richview",Toronto,ON,Canada,43.676833,-79.564206,0.8,range_interpolation,212,"Richgrove Dr",,,Etobicoke,ON,,M9R,CA,"CanVec+ by Natural Resources Canada"
"9 Joseph Salsberg Lane",Niagara,Toronto,ON,Canada,43.644349,-79.404053,1,rooftop,9,"Joseph Salsberg Ln",,,Toronto,ON,,M6J,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"193 Brickworks Lane","Junction Area",Toronto,ON,Canada,43.675683,-79.469543,1,rooftop,193,"Brickworks Ln",,,Toronto,ON,,M6N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"709 - 2191 Yonge St","Mount Pleasant West",Toronto,ON,Canada,43.705666,-79.39739,0.9,nearest_rooftop_match,2191,"Yonge St",,,Toronto,ON,,M4S,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1201 - 195 Redpath Avenue","Mount Pleasant West",Toronto,ON,Canada,43.7101,-79.393425,0.9,nearest_rooftop_match,195,"Redpath Ave",,,Toronto,ON,,M4P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"76 Highhill Drive","Tam O'shanter Sullivan",Toronto,ON,Canada,43.776605,-79.311642,0.9,rooftop,76,"Highhill Dr",,,Scarborough,ON,,M1T,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"413 - 600 Fleet St W",Niagara,Toronto,ON,Canada,43.636698,-79.400078,0.9,nearest_rooftop_match,600,"Fleet St",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"78 Ashridge Dr","Agincourt North",Toronto,ON,Canada,43.815736,-79.268628,0.9,rooftop,78,"Ashridge Dr",,,Scarborough,ON,,M1V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"3632a St Clair Avenue E",Cliffcrest,Toronto,ON,Canada,43.709125,-79.293489,0.9,street_center,,"St Clair Ave E",,,Scarborough,ON,,M1L,CA,"CanVec+ by Natural Resources Canada"
"3306 - 14 York St","Waterfront Communities West",Toronto,ON,Canada,43.641931,-79.381365,0.9,nearest_rooftop_match,14,"York St",,,Toronto,ON,,M5J,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"681 Scarlett Rd","Humber Heights",Toronto,ON,Canada,43.694225,-79.51913,0.9,range_interpolation,681,"Scarlett Rd",,,Etobicoke,ON,,M9P,CA,"CanVec+ by Natural Resources Canada"
"208 Holmes Ave","Willowdale East",Toronto,ON,Canada,43.781146,-79.399927,0.9,rooftop,208,"Holmes Ave",,,"North York",ON,,M2N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"718 - 30 Meadowglen Pl",Woburn,Toronto,ON,Canada,43.774774,-79.230498,0.8,nearest_rooftop_match,30,"Meadowglen Pl",,,Scarborough,ON,,M1G,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"Th5 - 118 Finch Avenue","Newtonbrook West",Toronto,ON,Canada,43.833506,-79.1526,0.9,rooftop,118,"Finch Ave",,,Pickering,ON,,L1X,CA,"City of Pickering"
"824 - 231 Fort York Blvd",Niagara,Toronto,ON,Canada,43.636971,-79.406075,0.9,nearest_rooftop_match,231,"Ft York Blvd",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"195 Brookdale Ave","Lawrence Park North",Toronto,ON,Canada,43.728471,-79.409622,1,rooftop,195,"Brookdale Ave",,,Toronto,ON,,M5M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"671a - 671 Browns Line",Alderwood,Toronto,ON,Canada,43.59841,-79.543717,0.9,range_interpolation,671,"Browns Line",,,Etobicoke,ON,,M8W,CA,"CanVec+ by Natural Resources Canada"
"1517 - 87 Peter St","Waterfront Communities West",Toronto,ON,Canada,43.646776,-79.392435,0.9,nearest_rooftop_match,87,"Peter St",,,Toronto,ON,,M5V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"301 - 200 Manitoba Street",Mimico,Toronto,ON,Canada,43.634873,-79.420868,0.85,nearest_rooftop_match,200,"Manitoba Dr",,,Toronto,ON,,M6K,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1220 - 460 Adelaide Street E","Moss Park",Toronto,ON,Canada,43.652787,-79.3668,0.9,nearest_rooftop_match,460,"Adelaide St E",,,Toronto,ON,,M5A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"301 - 1350 York Mills Rd","Parkwoods Donalda",Toronto,ON,Canada,43.763222,-79.319141,0.8,nearest_rooftop_match,1350,"York Mills Rd",,,"North York",ON,,M3A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"501 Palmerston Boulevard","Palmerston Little Italy",Toronto,ON,Canada,43.662755,-79.412626,1,rooftop,501,"Palmerston Blvd",,,Toronto,ON,,M6G,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"3905 - 117 Mcmahon Drive","Bayview Village",Toronto,ON,Canada,43.767209,-79.370405,0.8,nearest_rooftop_match,117,"McMahon Dr",,,"North York",ON,,M2K,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"Ph120 - 460 Adelaide St E","Moss Park",Toronto,ON,Canada,43.652787,-79.3668,1,rooftop,460,"Adelaide St E",,,Toronto,ON,,M5A,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
