"Street address",Neighbourhood,City,State,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1004 1003 Burnaby Street","West End",Vancouver,BC,Canada,49.278791,-123.130299,0.9,nearest_rooftop_match,1003,"Burnaby St",,,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"512 2220 Kingsway Street","Victoria East",Vancouver,BC,Canada,49.242804,-123.061615,0.9,nearest_rooftop_match,2220,Kingsway,,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"5756 St. Margarets Street",Killarney,Vancouver,BC,Canada,49.231853,-123.056188,1,rooftop,5756,"St Margarets St",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"7232 Granville Street","South Granville",Vancouver,BC,Canada,49.220342,-123.139696,1,rooftop,7232,"Granville St",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1207 8533 River District Crossing","South Marine",Vancouver,BC,Canada,49.20489,-123.031289,0.6,street_center,,"River District Xing",,,Victoria,BC,,V9B,CA,"CanVec+ by Natural Resources Canada"
"Thk 1111 Marinaside Crescent",Yaletown,Vancouver,BC,Canada,49.273637,-123.116652,0.82,nearest_rooftop_match,1033,"Marinaside Cres",,,Vancouver,BC,,V6Z,CA,Province
"585 W 26th Avenue",Cambie,Vancouver,BC,Canada,49.247719,-123.117975,0.9,nearest_rooftop_match,582,"W 26th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"557 W 26th Avenue",Cambie,Vancouver,BC,Canada,49.24771,-123.117467,0.9,nearest_rooftop_match,556,"W 26th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2302 1499 W Pender Street","Coal Harbour",Vancouver,BC,Canada,49.289964,-123.128049,0.9,nearest_rooftop_match,1499,"W Pender St",,,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"676 W 26th Avenue",Cambie,Vancouver,BC,Canada,49.247343,-123.091001,0.7,nearest_rooftop_match,678,"E 26th Ave",,,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1 1809 E 15th Avenue","Grandview East",Vancouver,BC,Canada,49.257088,-123.067721,0.9,nearest_rooftop_match,1809,"E 15th Ave",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1204 983 E Hastings Street",Strathcona,Vancouver,BC,Canada,49.281639,-123.078845,0.9,nearest_rooftop_match,1205,"E Hastings St",,,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"319 760 Kingsway Street","Fraser East",Vancouver,BC,Canada,49.255851,-123.088796,0.9,nearest_rooftop_match,760,Kingsway,,,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1 2320 Grant Street","Grandview East",Vancouver,BC,Canada,49.270954,-123.057629,0.9,nearest_rooftop_match,2320,"Grant St",,,Vancouver,BC,,V5L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2 2260 E 25th Avenue","Victoria East",Vancouver,BC,Canada,49.24791,-123.059213,0.9,nearest_rooftop_match,2260,"E 25th Ave",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1310 819 Hamilton Street","Downtown West",Vancouver,BC,Canada,49.278803,-123.116521,0.9,nearest_rooftop_match,819,"Hamilton St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
