Address,Price,Neighbouhood,City,Bedrooms,Bathrooms,Home Type
4703 - 35 Balmuto St,"$1,399,000",Bay Street Corridor,Toronto,2 bd,1,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,3 + 2 bd,3,House
2103 - 60 Brian Harrison Way,"$549,900",Bendale,Toronto,1 + 1 bd,1,Apt/Condo
3002 - 20 Bruyeres Mews,"$1,099,000",Niagara,Toronto,2 bd,1,Apt/Condo
1005 - 8 Dovercourt Rd,"$665,000",Little Portugal,Toronto,1 + 1 bd,1,Apt/Condo
1707 - 2020 Bathrust St,"$469,000",Forest Hill South,Toronto,1 bd,1,Apt/Condo
2034 - 3043 Finch Ave,"$469,000",Humbermede,Toronto,1 + 1 bd,1,Townhouse
165 Armour Blvd,"$2,850,000",Lansing Westgate,Toronto,4 + 2 bd,3,House
901 - 100 Quebec Ave,"$1,149,900",High Park North,Toronto,3 bd,2,Apt/Condo
140 - 1173 Dundas St E,"$949,900",South Riverdale,Toronto,1 bd,1,Apt/Condo
206 - 5 Greystone Walk Dr,"$498,000",Kennedy Park,Toronto,2 + 1 bd,2,Apt/Condo
329 - 155 Merchants' Wharf Avenue,"$750,000",Waterfront Communities East,Toronto,1 bd,1,Apt/Condo
3007 - 181 Wynford Dr,"$759,900",Banbury Don Mills,Toronto,2 + 1 bd,2,Apt/Condo
3 Clayhall Cres,"$1,149,000",York University Heights,Toronto,4 bd,3,House
10 - 1321 Gerrard St E,"$750,000",Greenwood Coxwell,Toronto,2 bd,1,Townhouse
100 Rosethorn Ave,"$1,250,000",Weston Pellam Park,Toronto,2 + 1 bd,2,House
15 Braddock Road,"$959,900",West Humber Clairville,Toronto,4 bd,3,House
712 - 159 Dundas Street N,"$538,000",Church Yonge Corridor,Toronto,1 bd,1,Apt/Condo
51 - 5 William Jackson Way,"$806,000",New Toronto,Toronto,2 bd,1,Townhouse
818 - 323 Richmond St E,"$899,000",Moss Park,Toronto,2 bd,1,Apt/Condo
27 Cameo Cres,"$995,000",Rockcliffe Smythe,Toronto,3 + 4 bd,3,House
