Address,Price,,,Bedrooms,Bathrooms,Home Type
3105 - 30 Nelson St,"$599,800 ",Waterfront Communities West,Toronto,1 + 1 bd,,Apt/Condo
96 King High Ave,"$1,599,900 ",Clanton Park,Toronto,4 + 3 bd,,House
1103 - 10 Dean Park Rd,"$579,900 ",Rouge,Toronto,2 bd,,Apt/Condo
100 Rusty Crestway,"$859,000 ",Don Valley Village,Toronto,3 bd,,Townhouse
3203 - 180 University Avenue,"$1,559,000 ",Bay Street Corridor,Toronto,2 bd,,Apt/Condo
805 - 160 Vanderhoof Avenue,"$659,999 ",Thorncliffe Park,Toronto,2 bd,,Apt/Condo
521 - 255 The Donway W,"$729,000 ",Banbury Don Mills,Toronto,2 bd,,Apt/Condo
4005 - 319 Jarvis St,"$735,000 ",Moss Park,Toronto,1 bd,,Apt/Condo
258 Byng Ave E,"$1,598,000 ",Willowdale East,Toronto,3 + 1 bd,,House
118 High Park Ave,"$1,988,000 ",High Park North,Toronto,8 bd,,Triplex
127 Weir Cres,"$1,150,000 ",West Hill,Toronto,3 bd,,House
1510 - 35 Hayden St E,"$655,000 ",Church Yonge Corridor,Toronto,1 bd,,Apt/Condo
1602 - 10 Deerlick Crt,"$690,000 ",Parkwoods Donalda,Toronto,2 bd,,Apt/Condo
221 - 251 Jarvis St,"$488,000 ",Moss Park,Toronto,1 bd,,Apt/Condo
Gph3 - 8 Widmer St,"$1,290,000 ",Waterfront Communities West,Toronto,3 bd,,Apt/Condo
161 August Avenue,"$1,279,000 ",Oakridge,Toronto,5 bd,,House
354 Ranee Ave,"$2,688,000 ",Yorkdale Glen Park,Toronto,4 + 1 bd,,House
7b Clintwood Gate,"$898,000 ",Parkwoods Donalda,Toronto,3 bd,,House
21 Treelawn Pkwy,"$1,398,000 ",Maple Leaf,Toronto,4 bd,,House
1006 Mount Pleasant Rd,"$999,000 ",Mount Pleasant East,Toronto,3 bd,,House
5 Rosehill Ave 607,"$889,000 ",Rosedale Moore Park,Toronto,2 bd,,Apt/Condo
