Address,Price,Bedrooms,Bathrooms,Bedrooms,Bathrooms,Home Type
244 Ashdale Ave,"$1,488,000",Greenwood Coxwell,Toronto,3 + 1 bd,3,Duplex
43 Snowshoe Milway,"$13,999,900",St. Andrew Windfields,Toronto,4 bd,3,Apt/Condo
3711 - 2221 Yonge St,"$638,000",Mount Pleasant West,Toronto,1 + 1 bd,1,Apt/Condo
1706 - 133 Torresdale Ave,"$768,000",Westminister Branson,Toronto,3 + 1 bd,2,Apt/Condo
20 Cedar Avenue N,"$1,699,000",The Beaches,Toronto,3 bd,4,House
1474 Dufferin St,"$899,000",Dovercourt Wallace Emerson Junction,Toronto,2 + 1 bd,3,House
115 - 15 La Rose Ave,"$639,990",Humber Heights,Toronto,3 bd,2,Apt/Condo
1010 - 255 Richmond St,"$589,000",Moss Park,Toronto,1 bd,1,Apt/Condo
602 - 155 Legion Rd N,"$549,900",Mimico,Toronto,1 + 1 bd,1,Apt/Condo
374 Hillmount Ave,"$1,800,000",Yorkdale Glen Park,Toronto,5 + 4 bd,4,House
44 Anthia Dr,"$1,099,900",Humber Summit,Toronto,3 + 2 bd,3,House
507 - 2045 Lake Shore Blvd W,"$818,000",Mimico,Toronto,2 bd,2,Apt/Condo
#1008 - 1 Bloor St E,"$919,900",Rosedale Moore Park,Toronto,1 + 1 bd,2,Apt/Condo
1801 - 609 Avenue Rd,"$2,088,880",Yonge St. Clair,Toronto,3 bd,3,Apt/Condo
505 - 10 Muirhead Rd,"$550,000",Pleasant View,Toronto,2 + 1 bd,2,Apt/Condo
706 - 2470 Eglinton Ave W,"$559,000",Beechborough Greenbrook,Toronto,2 + 1 bd,2,Apt/Condo
136 Church Ave S,"$2,688,000",Willowdale East,Toronto,3 + 1 bd,5,House
28 Thorny Vineway,"$820,000",Bayview Village,Toronto,5 bd,3,Townhouse
1508 - 4 Spadina Ave,"$799,000",Waterfront Communities West,Toronto,2 bd,2,Apt/Condo
83 Norton Ave,"$2,988,000",Willowdale East,Toronto,4 + 5 bd,7,House
Lph3704 - 33 Shore Breeze Dr,"$915,000",Mimico,Toronto,2 bd,1,Apt/Condo
