Address,Price,N,City,Bedrooms,Bathrooms,Home Type
453 E 47th Avenue,"$1,828,000 ",Fraser East,Vancouver,2 bd,2,House
1 351 E 38th Avenue,"$2,188,000 ",Main,Vancouver,3 bd,4,Duplex
4266 W 10th Avenue,"$2,698,000 ",Point Grey,Vancouver,5 bd,2,House
703 1468 W 14th Avenue,"$1,188,000 ",Fairview,Vancouver,2 bd,2,Apt/Condo
2402 939 Homer Street,"$698,000 ",Yaletown,Vancouver,2 bd,1,Apt/Condo
203 1177 Hornby Street,"$638,000 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
Ph1 979 E 19th Avenue,"$1,349,000 ",Fraser East,Vancouver,3 bd,2,Apt/Condo
1903 811 Helmcken Street,"$799,800 ",Downtown West,Vancouver,2 bd,2,Apt/Condo
1 1186 Kaslo Street,"$1,639,000 ",Renfrew,Vancouver,3 bd,3,Duplex
206 528 W King Edward Avenue,"$799,000 ",Cambie,Vancouver,1 bd,1,Apt/Condo
505 3228 Tupper Street,"$699,900 ",Cambie,Vancouver,1 bd,1,Apt/Condo
6810 Arlington Street,"$819,000 ",Killarney,Vancouver,3 bd,1,Townhouse
217 678 W 7th Avenue,"$666,000 ",Fairview,Vancouver,1 bd,1,Apt/Condo
309 2277 E 30th Avenue,"$439,000 ",Victoria East,Vancouver,1 bd,1,Apt/Condo
1362 E 60th Avenue,"$1,580,000 ",South Vancouver,Vancouver,5 bd,2,House
540 E 11th Avenue,"$1,198,000 ",Mount Pleasant East,Vancouver,2 bd,1,Townhouse
906 4815 Eldorado Mews,"$538,000 ",Collingwood,Vancouver,1 bd,1,Apt/Condo
1 1166 E 11th Avenue,"$1,998,800 ",Mount Pleasant East,Vancouver,4 bd,4,Duplex
1718 1618 Quebec Street,"$699,900 ",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
3529 Napier Street,"$1,688,000 ",Renfrew,Vancouver,4 bd,4,House
2707 E 26th Avenue,"$1,399,000 ",Renfrew Heights,Vancouver,3 bd,4,Duplex
