Street,City,Province,Zip,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,43.673553,-79.461868,"C$525,000",2 bds,1 ba,
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,43.778652,-79.417947,"C$848,000",3 bds,2 ba,
472 Crawford St, Toronto,ON,M6G3J8,43.656967,-79.42006,C$1,5 bds,3 ba,
186 Macpherson Ave, Toronto,ON,M5R1W8,43.677945,-79.396728,"C$2,218,000",3 bds,3 ba,
195 McCaul St #909, Toronto,ON,M5T0E5,43.6567,-79.392206,"C$449,900",Studio,1 ba,
30 Roehampton Ave UNIT 1902, Toronto,ON,M4P0B9,43.708432,-79.397532,"C$630,000",2 bds,2 ba,
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,43.698984,-79.418189,"C$16,950,000",7 bds,8 ba,
625 Queen St E #607, Toronto,ON,M4M1G7,43.658001,-79.352987,"C$769,900",2 bds,1 ba,
320 Dixon Rd #506, Toronto,ON,M9R1S8,43.696822,-79.552528,"C$399,900",2 bds,1 ba,
45 Manning Ave, Toronto,ON,M6J2K3,43.647598,-79.408882,"C$999,999",3 bds,1 ba,
41 Pinto Dr, Toronto,ON,M2J3T9,43.791871,-79.339242,"C$1,149,000",6 bds,3 ba,"1,855 sqft"
3 Chilcot Ave, Toronto,ON,M9W1T9,43.713267,-79.551602,"C$798,000",4 bds,2 ba,
2 Sonic Way #1708, Toronto,ON,M3C0P2,43.719497,-79.336408,"C$499,000",1 bd,1 ba,
53 Hazelton Ave, Toronto,ON,M5R2E3,43.672448,-79.393529,"C$6,880,000",3 bds,4 ba,
80 John St #3201, Toronto,ON,M5V3X4,43.646874,-79.390188,"C$1,550,000",2 bds,2 ba,
7 Carlton St #704, Toronto,ON,M5B2M3,43.661094,-79.38259,"C$628,888",1 bd,1 ba,670 sqft
37 Pringdale Gardens Cir, Toronto,ON,M1J0B1,43.742145,-79.24373,"C$899,900",5 bds,4 ba,
10 Ed Clark Gdns #14, Toronto,ON,M6N3A9,43.674272,-79.46257,"C$949,900",3 bds,2 ba,"1,231 sqft"
12 Waring Ct, Toronto,ON,M2N4G7,43.776906,-79.401025,"C$3,998,800",5 bds,7 ba,
60 Colborne St #1608, Toronto,ON,M5E0B7,43.649288,-79.374406,"C$475,000",1 bd,1 ba,
185 Roehampton Ave #2907, Toronto,ON,M4P0C6,43.708956,-79.392982,"C$550,000",1 bd,1 ba,
1 Sudbury St #101, Toronto,ON,M6J3W6,43.641055,-79.417998,"C$679,000",2 bds,1 ba,
51 Harrison Garden Blvd #707, Toronto,ON,M2N7G4,43.756666,-79.407784,"C$498,800",2 bds,2 ba,
36 Lisgar St #1010, Toronto,ON,M6J0C7,43.641739,-79.423316,"C$499,900",2 bds,2 ba,
5765 Yonge St #1204, Toronto,ON,M2M4H9,43.783102,-79.415166,"C$598,800",3 bds,2 ba,
41 Dearham Wood, Toronto,ON,M1E1S2,43.752788,-79.189511,"C$1,106,600",4 bds,2 ba,
