Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,"C$525,000",2 bds,1 ba,N/A
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,"C$848,000",3 bds,2 ba,N/A
472 Crawford St, Toronto,ON,M6G3J8,C$1,5 bds,3 ba,N/A
186 Macpherson Ave, Toronto,ON,M5R1W8,"C$2,218,000",3 bds,3 ba,N/A
195 McCaul St #909, Toronto,ON,M5T0E5,"C$449,900",Studio,1 ba,N/A
30 Roehampton Ave UNIT 1902, Toronto,ON,M4P0B9,"C$630,000",2 bds,2 ba,N/A
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,"C$16,950,000",7 bds,8 ba,N/A
625 Queen St E #607, Toronto,ON,M4M1G7,"C$769,900",2 bds,1 ba,N/A
320 Dixon Rd #506, Toronto,ON,M9R1S8,"C$399,900",2 bds,1 ba,N/A
45 Manning Ave, Toronto,ON,M6J2K3,"C$999,999",3 bds,1 ba,N/A
41 Pinto Dr, Toronto,ON,M2J3T9,"C$1,149,000",6 bds,3 ba,"1,855 sqft"
3 Chilcot Ave, Toronto,ON,M9W1T9,"C$798,000",4 bds,2 ba,N/A
2 Sonic Way #1708, Toronto,ON,M3C0P2,"C$499,000",1 bd,1 ba,N/A
53 Hazelton Ave, Toronto,ON,M5R2E3,"C$6,880,000",3 bds,4 ba,N/A
80 John St #3201, Toronto,ON,M5V3X4,"C$1,550,000",2 bds,2 ba,N/A
7 Carlton St #704, Toronto,ON,M5B2M3,"C$628,888",1 bd,1 ba,670 sqft
37 Pringdale Gardens Cir, Toronto,ON,M1J0B1,"C$899,900",5 bds,4 ba,N/A
10 Ed Clark Gdns #14, Toronto,ON,M6N3A9,"C$949,900",3 bds,2 ba,"1,231 sqft"
12 Waring Ct, Toronto,ON,M2N4G7,"C$3,998,800",5 bds,7 ba,N/A
60 Colborne St #1608, Toronto,ON,M5E0B7,"C$475,000",1 bd,1 ba,N/A
185 Roehampton Ave #2907, Toronto,ON,M4P0C6,"C$550,000",1 bd,1 ba,N/A
1 Sudbury St #101, Toronto,ON,M6J3W6,"C$679,000",2 bds,1 ba,N/A
51 Harrison Garden Blvd #707, Toronto,ON,M2N7G4,"C$498,800",2 bds,2 ba,N/A
36 Lisgar St #1010, Toronto,ON,M6J0C7,"C$499,900",2 bds,2 ba,N/A
5765 Yonge St #1204, Toronto,ON,M2M4H9,"C$598,800",3 bds,2 ba,N/A
41 Dearham Wood, Toronto,ON,M1E1S2,"C$1,106,600",4 bds,2 ba,N/A
17 Bathurst St #4205, Toronto,ON,M5V0N1,"C$619,995",1 bd,1 ba,N/A
25 Finchley Rd, Toronto,ON,M9A2X4,"C$3,450,000",4 bds,4 ba,N/A
665 Queen St E #412, Toronto,ON,M4M1G6,"C$849,900",2 bds,2 ba,N/A
3865 Lake Shore Blvd W #217, Toronto,ON,M8W0A2,"C$650,000",2 bds,2 ba,N/A
270 Queens Quay W #805, Toronto,ON,M5V3J2,"C$685,900",3 bds,1 ba,N/A
20 Amesbury Dr, Toronto,ON,M6M4H4,"C$1,099,000",3 bds,2 ba,N/A
25 Finchley Rd, Toronto,ON,M9A2X4,"C$3,450,000",4 bds,4 ba,N/A
665 Queen St E #412, Toronto,ON,M4M1G6,"C$849,900",2 bds,2 ba,N/A
3865 Lake Shore Blvd W #217, Toronto,ON,M8W0A2,"C$650,000",2 bds,2 ba,N/A
270 Queens Quay W #805, Toronto,ON,M5V3J2,"C$685,900",3 bds,1 ba,N/A
20 Amesbury Dr, Toronto,ON,M6M4H4,"C$1,099,000",3 bds,2 ba,N/A
160 The Donway W #403, Toronto,ON,M3C2G1,"C$424,900",2 bds,1 ba,N/A
30 Western Battery Rd #316, Toronto,ON,M6K3N9,"C$549,900",1 bd,1 ba,N/A
56 Grierson Rd, Toronto,ON,M9W3R3,"C$799,000",3 bds,2 ba,N/A
41 Markbrook Ln #614, Toronto,ON,M9V5E6,"C$554,999",1 bd,2 ba,776 sqft
600 Fleet St #717, Toronto,ON,M5V1B7,"C$748,800",2 bds,2 ba,N/A
170 Bayview Ave #711, Toronto,ON,M5A0M4,"C$625,000",1 bd,1 ba,N/A
11 Wellesley St W #612, Toronto,ON,M4Y0G4,"C$699,000",2 bds,1 ba,N/A
295 Downsview Park Blvd, Toronto,ON,M3K0B6,"C$995,000",5 bds,4 ba,N/A
333 Adelaide St E #410, Toronto,ON,M5A4T4,"C$599,000",1 bd,1 ba,N/A
62 Schell Ave, Toronto,ON,M6E2S9,"C$1,299,900",4 bds,3 ba,N/A
64 Glengowan Rd, Toronto,ON,M4N1G4,"C$9,950,000",6 bds,6 ba,N/A
501 Adelaide St W #1108, Toronto,ON,M5V0R3,"C$629,000",1 bd,1 ba,N/A
260 Queens Quay W #1304, Toronto,ON,M5J2N3,"C$629,000",1 bd,1 ba,N/A
70 Annie Craig Dr #4802, Toronto,ON,M8V0G2,"C$769,800",2 bds,2 ba,N/A
801 King St W #325, Toronto,ON,M5V3C9,"C$499,000",2 bds,1 ba,N/A
43 Millburn Dr, Toronto,ON,M9B2W8,"C$2,699,000",7 bds,5 ba,N/A
32 Lyme Regis Cres, Toronto,ON,M1M1E4,"C$3,350,000",5 bds,5 ba,N/A
278 Dawlish Ave, Toronto,ON,M4N1J5,"C$4,395,000",5 bds,5 ba,N/A
52 Amiens Rd, Toronto,ON,M1E3S8,"C$1,299,000",4 bds,2 ba,N/A
120 Harrison Garden Blvd #2003, Toronto,ON,M2N,"C$788,000",2 bds,2 ba,N/A
21 Grand Magazine St #1907, Toronto,ON,M5V1B5,"C$799,900",2 bds,2 ba,N/A
215 Fort York Blvd #301, Toronto,ON,M5V4A2,"C$599,900",2 bds,1 ba,N/A
11 Beaumont Rd, Toronto,ON,M4W1V4,"C$19,995,000",4 bds,4 ba,N/A
5 Dewbourne Ave, Toronto,ON,M5P1Z1,"C$14,850,000",6 bds,6 ba,N/A
542 Delaware Ave N, Toronto,ON,M6H2V2,"C$1,199,000",4 bds,2 ba,N/A
16 Yonge St SUITE 4006, Toronto,ON,M5E2A3,"C$1,649,999",3 bds,2 ba,"1,266 sqft"
185 Roehampton Ave #3201, Toronto,ON,M4P0C6,"C$759,000",2 bds,2 ba,N/A
3845 Lake Shore Blvd W UNIT 1601, Toronto,ON,M8W4Y3,"C$750,000",3 bds,2 ba,N/A
50 Lombard St #1903, Toronto,ON,M5C2X4,"C$549,000",1 bd,1 ba,N/A
455 Wellington St W #509, Toronto,ON,M5V0V8,"C$2,250,000",3 bds,3 ba,N/A
87 Peter St UNIT 2915, Toronto,ON,M5V2G4,"C$595,000",1 bd,1 ba,N/A
408 Browns Line E #308, Toronto,ON,M8W0C3,"C$508,000",1 bd,1 ba,N/A
40 Homewood Ave #2803, Toronto,ON,M4Y2K2,"C$465,000",1 bd,1 ba,N/A
1150 Briar Hill Ave #306, Toronto,ON,M6B0A9,"C$599,000",3 bds,2 ba,N/A
369 Albany Ave #5, Toronto,ON,M5R3E2,"C$889,000",2 bds,1 ba,N/A
38 Joe Shuster Way #106, Toronto,ON,M6K0A5,"C$619,900",2 bds,1 ba,N/A
1926 Lake Shore Blvd W #1805, Toronto,ON,M6S1A1,"C$766,900",2 bds,2 ba,N/A
60 Town Centre Ct #306, Toronto,ON,M1P0B1,"C$448,800",1 bd,1 ba,N/A
190 Borough Dr #302, Toronto,ON,M1P0B6,"C$759,900",3 bds,2 ba,N/A
1400 Kingston Rd #501, Toronto,ON,M1N0C2,"C$679,000",2 bds,2 ba,N/A
102 George Henry Blvd #15, Toronto,ON,M2J1E7,"C$499,999",3 bds,2 ba,N/A
9 Valhalla Inn Rd #501, Toronto,ON,M9B0B2,"C$549,000",2 bds,1 ba,N/A
31 Twyford Rd, Toronto,ON,M9A1W3,"C$6,285,000",5 bds,7 ba,N/A
861 Sheppard Ave W #15, Toronto,ON,M3H2T5,"C$888,000",2 bds,2 ba,N/A
125 Western Battery Rd #2207, Toronto,ON,M6K3R8,"C$895,000",3 bds,2 ba,N/A
3220 Sheppard Ave E #318, Toronto,ON,M1T0B7,"C$897,880",2 bds,2 ba,N/A
1 Oregon Trl, Toronto,ON,M9B1P4,"C$3,489,000",6 bds,6 ba,N/A
111 Newton Dr, Toronto,ON,M2M2N2,"C$2,268,000",7 bds,4 ba,N/A
278 Bloor St E #905, Toronto,ON,M4W3M4,"C$1,525,000",3 bds,2 ba,N/A
30 Anglesey Blvd #G2, Toronto,ON,M9A3B5,"C$1,075,000",2 bds,2 ba,N/A
55 Stewart St UNIT 625, Toronto,ON,M5V2V1,"C$625,000",1 bd,1 ba,N/A
2191 Yonge St #1708, Toronto,ON,M4S3H8,"C$888,000",3 bds,2 ba,N/A
271 Park Home Ave, Toronto,ON,M2R1A1,"C$1,499,000",4 bds,3 ba,N/A
1 King St W #2402, Toronto,ON,M5H1A1,"C$339,900",1 bd,1 ba,N/A
34 Greengate Rd, Toronto,ON,M3B1E8,"C$7,785,000",7 bds,7 ba,N/A
10 Wilby Cres #1603, Toronto,ON,M9N0B6,"C$859,000",3 bds,2 ba,N/A
85 Drewry Ave, Toronto,ON,M2M1C9,"C$2,745,000",2 bds,1 ba,N/A
5 Whitehall Rd, Toronto,ON,M4W2C5,"C$9,488,000",5 bds,8 ba,N/A
66 Fontainbleau Dr, Toronto,ON,M2M1N9,"C$999,800",6 bds,4 ba,N/A
57 Saint Joseph St #523, Toronto,ON,M5S0C5,"C$989,000",3 bds,2 ba,N/A
365 Beech Ave #219, Toronto,ON,M4E0C2,"C$999,900",2 bds,2 ba,N/A
80 Palace Pier Ct #101, Toronto,ON,M8V4C1,"C$999,000",2 bds,2 ba,N/A
100 Harrison Garden Blvd #L02, Toronto,ON,M2N0C2,"C$599,900",1 bd,1 ba,N/A
70 Forest Manor Rd #3410, Toronto,ON,M2J0A9,"C$885,000",2 bds,2 ba,N/A
284 Ellis Ave, Toronto,ON,M6S2X2,"C$4,250,000",6 bds,7 ba,N/A
86 17th St, Toronto,ON,M8V3K4,"C$999,999",4 bds,4 ba,N/A
3 Dailing Gate, Toronto,ON,M1B1Z3,"C$699,000",4 bds,3 ba,N/A
120 Parliament St PENTHOUSE 2404, Toronto,ON,M5A0N6,"C$1,069,000",3 bds,2 ba,N/A
218 Pleasant Ave, Toronto,ON,M2M1M5,"C$3,490,000",5 bds,7 ba,N/A
210 Westmount Ave, Toronto,ON,M6E3M8,"C$899,000",4 bds,3 ba,N/A
11 Carisbrooke Sq, Toronto,ON,M1B4M2,"C$1,325,000",6 bds,5 ba,N/A
2335 1/2 Gerrard St E, Toronto,ON,M4E2E6,"C$699,900",3 bds,2 ba,N/A
160 Flemington Rd #512, Toronto,ON,M6A0A9,"C$574,900",2 bds,2 ba,N/A
39 Bushell Ave, Toronto,ON,M4M3B8,"C$1,189,000",4 bds,2 ba,N/A
133 Westminster Ave, Toronto,ON,M6R1N6,"C$3,129,999",5 bds,5 ba,N/A
11B Crawford St #11B, Toronto,ON,M6K3M3,"C$999,900",3 bds,3 ba,N/A
86 Sloping Sky Mews #TOWNHOUSE 6, Toronto,ON,M5V0B3,"C$1,550,000",4 bds,3 ba,N/A
993 Queen St W #223, Toronto,ON,M6J1H2,"C$999,990",1 bd,1 ba,N/A
80 John St #3201, Toronto,ON,M5V3X4,"C$1,550,000",2 bds,2 ba,N/A
32 Brookfield Rd, Toronto,ON,M2P1A9,"C$5,749,000",4 bds,5 ba,N/A
535 Brunswick Ave, Toronto,ON,M5R2Z6,"C$1,729,000",6 bds,3 ba,N/A
88 Anthony Rd, Toronto,ON,M3K1B4,"C$1,198,800",3 bds,3 ba,N/A
36 Park Lawn Rd #203, Toronto,ON,M8V0E5,"C$1,299,999",2 bds,3 ba,N/A
34 Greengate Rd, Toronto,ON,M3B1E8,"C$7,785,000",7 bds,7 ba,N/A
82 Greensides Ave, Toronto,ON,M6G3P7,"C$1,399,000",6 bds,3 ba,N/A
259 Claremont St, Toronto,ON,M6J2N1,"C$1,299,900",5 bds,4 ba,N/A
111 Newton Dr, Toronto,ON,M2M2N2,"C$2,268,000",7 bds,4 ba,N/A
570 Wellington St W #13A, Toronto,ON,M5V2X5,"C$1,300,000",3 bds,2 ba,N/A
51 Lady Bank Rd #501, Toronto,ON,M8Z0C9,"C$1,099,999",3 bds,1 ba,N/A
8 The Esplanade #1908, Toronto,ON,M5E0A6,"C$670,000",2 bds,1 ba,N/A
58 Lytton Blvd, Toronto,ON,M4R1L3,"C$3,995,000",7 bds,5 ba,N/A
676 Richmond St W #106, Toronto,ON,M6J1C3,"C$879,000",1 bd,1 ba,N/A
80 North Dr, Toronto,ON,M9A4R2,"C$8,500,000",3 bds,5 ba,N/A
8 Eglinton Ave E #1910, Toronto,ON,M4P0C1,"C$569,900",1 bd,1 ba,N/A
1 Oregon Trl, Toronto,ON,M9B1P4,"C$3,489,000",6 bds,6 ba,N/A
2639 Lake Shore Blvd W, Toronto,ON,M8V1G5,"C$5,600,000",7 bds,4 ba,N/A
321 Concord Ave, Toronto,ON,M6H2P7,"C$1,199,000",4 bds,2 ba,N/A
11 Park Manor Dr, Toronto,ON,M9B5C1,"C$1,699,900",4 bds,3 ba,N/A
38 Dan Leckie Way #2209, Toronto,ON,M5V2V6,"C$689,000",2 bds,1 ba,N/A
65 Spring Garden Ave #1802, Toronto,ON,M2N6H9,"C$1,498,000",2 bds,2 ba,N/A
83 Anthony Rd, Toronto,ON,M3K1B5,"C$2,400,000",4 bds,5 ba,N/A
31 Russell Hill Rd, Toronto,ON,M4V2S9,"C$11,500,000",7 bds,9 ba,N/A
3 Pemberton Ave #2106, Toronto,ON,M2M4M1,"C$559,000",1 bd,1 ba,N/A
17 Regal Rd, Toronto,ON,M6H2J5,"C$1,219,000",4 bds,2 ba,N/A
60 Brian Harrison Way #302, Toronto,ON,M1P5J5,"C$699,900",3 bds,2 ba,N/A
399 Lake Promenade, Toronto,ON,M8W1C3,"C$3,495,000",4 bds,3 ba,N/A
41 Pinto Dr, Toronto,ON,M2J3T9,"C$1,149,000",6 bds,3 ba,"1,855 sqft"
102 George Henry Blvd #15, Toronto,ON,M2J1E7,"C$499,999",3 bds,2 ba,N/A
141 Eastwood Ave, Toronto,ON,M1N3H4,"C$799,900",3 bds,2 ba,N/A
32 Lyme Regis Cres, Toronto,ON,M1M1E4,"C$3,350,000",5 bds,5 ba,N/A
19 Western Battery Rd #1803, Toronto,ON,M6K3N9,"C$659,900",2 bds,2 ba,N/A
43 Rusholme Rd, Toronto,ON,M6J3H3,"C$2,899,000",5 bds,4 ba,N/A
6 Newmarket Ave, Toronto,ON,M4C1V7,"C$999,000",2 bds,2 ba,N/A
7 Ashley Park Rd, Toronto,ON,M9A4C9,"C$9,495,000",7 bds,7 ba,N/A
54 Judy Sgro Ave, Toronto,ON,M3L0E4,"C$868,000",3 bds,3 ba,N/A
50 Yorkville Ave #4403, Toronto,ON,M4W0A3,"C$9,975,000",2 bds,3 ba,N/A
100 Ardwold Gate, Toronto,ON,M5R2W2,"C$11,288,000",5 bds,7 ba,N/A
111 Knowles Dr, Toronto,ON,M1X1T4,"C$1,179,000",4 bds,3 ba,N/A
231 Falstaff Ave, Toronto,ON,M6L2G6,"C$1,999,999",5 bds,5 ba,N/A
50 Bruyeres Mews #718, Toronto,ON,M5V0H8,"C$588,000",2 bds,1 ba,N/A
48 Lockwood Rd, Toronto,ON,M4L3M8,"C$1,529,000",4 bds,3 ba,N/A
200 Manitoba St #210, Toronto,ON,M8Y3Y9,"C$789,000",2 bds,2 ba,N/A
1787 Saint Clair Ave W #917, Toronto,ON,M6N1H9,"C$759,900",2 bds,2 ba,N/A
84 Chad Cres, Toronto,ON,M1B2Z6,"C$1,079,000",4 bds,3 ba,N/A
176 Castlefield Ave, Toronto,ON,M4R1G7,"C$1,719,000",4 bds,2 ba,N/A
42 Fishleigh Dr, Toronto,ON,M1N1H2,"C$2,699,900",6 bds,5 ba,N/A
43 Florida Cres, Toronto,ON,M9M1P4,"C$1,388,000",4 bds,3 ba,N/A
34 Kippendavie Ave, Toronto,ON,M4L3R4,"C$1,769,000",3 bds,2 ba,N/A
203 Parkmount Rd, Toronto,ON,M4J4V5,"C$799,000",4 bds,3 ba,N/A
7 Doncaster Ave, Toronto,ON,M4C1Y4,"C$1,389,000",3 bds,4 ba,N/A
11 Beaumont Rd, Toronto,ON,M4W1V4,"C$19,995,000",4 bds,4 ba,N/A
42 Charles St E #2810, Toronto,ON,M4Y0B7,"C$649,000",1 bd,1 ba,N/A
1659 Gerrard St E, Toronto,ON,M4L2A9,C$1,8 bds,8 ba,N/A
29 Tarsus Cres, Toronto,ON,M1C3W6,"C$1,250,000",5 bds,4 ba,N/A
101 Dunloe Rd, Toronto,ON,M5P2T7,"C$13,990,000",5 bds,7 ba,N/A
2 Bellefair Ave UNIT 306, Toronto,ON,M4L3T8,"C$707,000",1 bd,1 ba,N/A
225 Sumach St #2511, Toronto,ON,M5A0P8,"C$749,900",2 bds,2 ba,N/A
20 Edward St #1719, Toronto,ON,M5G0C5,"C$579,000",1 bd,1 ba,N/A
117 Omni Dr #15, Toronto,ON,M1P5A5,"C$599,900",3 bds,3 ba,N/A
8 Telegram Mews #622, Toronto,ON,M5V3Z5,"C$499,000",2 bds,2 ba,N/A
104 Albany Ave, Toronto,ON,M5R3C4,"C$2,790,000",5 bds,4 ba,N/A
4060 Lawrence Ave E #108, Toronto,ON,M1E4V4,"C$483,900",3 bds,3 ba,N/A
20 Blue Jays Way #1106, Toronto,ON,M5V3W6,"C$850,000",3 bds,2 ba,N/A
17 Zorra St #701, Toronto,ON,M8Z0C8,"C$469,900",1 bd,1 ba,N/A
897 Sheppard Ave W #202, Toronto,ON,M3H2T4,"C$489,000",1 bd,1 ba,713 sqft
77 Charles St W #906, Toronto,ON,M5S0B2,"C$2,999,000",2 bds,2 ba,N/A
125 Alicewood Ct, Toronto,ON,M9V3Y1,"C$899,999",4 bds,2 ba,940 sqft
284 Ellis Ave, Toronto,ON,M6S2X2,"C$4,250,000",6 bds,7 ba,N/A
300 Mill Rd #A31, Toronto,ON,M9C4W7,"C$649,000",2 bds,2 ba,N/A
40 Fern Ave, Toronto,ON,M6R1K1,"C$1,799,000",4 bds,3 ba,N/A
290 Adelaide St W #2405, Toronto,ON,M5V1N1,"C$988,000",3 bds,2 ba,N/A
78 Harrison Garden Blvd #2305, Toronto,ON,M2N7E2,"C$978,000",3 bds,3 ba,N/A
104 Natal Ave, Toronto,ON,M1N3V6,"C$1,059,000",3 bds,2 ba,N/A
214 Antibes Dr, Toronto,ON,M2R3H8,"C$768,000",4 bds,3 ba,N/A
20 Amesbury Dr, Toronto,ON,M6M4H4,"C$1,099,000",3 bds,2 ba,N/A
503 Beecroft Rd #515, Toronto,ON,M2N0A2,"C$648,800",2 bds,1 ba,N/A
163 Brickworks Ln, Toronto,ON,M6N5H8,"C$910,000",3 bds,4 ba,N/A
56 Amiens Rd, Toronto,ON,M1E3S8,"C$900,000",4 bds,2 ba,N/A
