Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1787 Saint Clair Ave W #414, Toronto, ON M6N 1H9","C$525,000",2 bds,1 ba,N/A,N/A
"509 Beecroft Rd #1209, Toronto, ON M2N 0A3","C$848,000",3 bds,2 ba,N/A,N/A
"472 Crawford St, Toronto, ON M6G 3J8",C$1,5 bds,3 ba,N/A,N/A
"70B Dunstall Cres, Toronto, ON M1E 3M2","C$985,000",-- sqft lot,N/A,N/A,sqft lot
"186 Macpherson Ave, Toronto, ON M5R 1W8","C$2,218,000",3 bds,3 ba,N/A,N/A
"195 McCaul St #909, Toronto, ON M5T 0E5","C$449,900",Studio,1 ba,N/A,N/A
"30 Roehampton Ave UNIT 1902, Toronto, ON M4P 0B9","C$630,000",2 bds,2 ba,N/A,N/A
"84 Old Forest Hill Rd, Toronto, ON M5P 2R5","C$16,950,000",7 bds,8 ba,N/A,N/A
"625 Queen St E #607, Toronto, ON M4M 1G7","C$769,900",2 bds,1 ba,N/A,N/A
"320 Dixon Rd #506, Toronto, ON M9R 1S8","C$399,900",2 bds,1 ba,N/A,N/A
"45 Manning Ave, Toronto, ON M6J 2K3","C$999,999",3 bds,1 ba,N/A,N/A
"41 Pinto Dr, Toronto, ON M2J 3T9","C$1,149,000",6 bds,3 ba,"1,855 sqft",N/A
"3 Chilcot Ave, Toronto, ON M9W 1T9","C$798,000",4 bds,2 ba,N/A,N/A
"2 Sonic Way #1708, Toronto, ON M3C 0P2","C$499,000",1 bd,1 ba,N/A,N/A
"53 Hazelton Ave, Toronto, ON M5R 2E3","C$6,880,000",3 bds,4 ba,N/A,N/A
"80 John St #3201, Toronto, ON M5V 3X4","C$1,550,000",2 bds,2 ba,N/A,N/A
"7 Carlton St #704, Toronto, ON M5B 2M3","C$628,888",1 bd,1 ba,670 sqft,N/A
"37 Pringdale Gardens Cir, Toronto, ON M1J 0B1","C$899,900",5 bds,4 ba,N/A,N/A
"10 Ed Clark Gdns #14, Toronto, ON M6N 3A9","C$949,900",3 bds,2 ba,"1,231 sqft",N/A
"12 Waring Ct, Toronto, ON M2N 4G7","C$3,998,800",5 bds,7 ba,N/A,N/A
"60 Colborne St #1608, Toronto, ON M5E 0B7","C$475,000",1 bd,1 ba,N/A,N/A
"185 Roehampton Ave #2907, Toronto, ON M4P 0C6","C$550,000",1 bd,1 ba,N/A,N/A
"1 Sudbury St #101, Toronto, ON M6J 3W6","C$679,000",2 bds,1 ba,N/A,N/A
"51 Harrison Garden Blvd #707, Toronto, ON M2N 7G4","C$498,800",2 bds,2 ba,N/A,N/A
"36 Lisgar St #1010, Toronto, ON M6J 0C7","C$499,900",2 bds,2 ba,N/A,N/A
"5765 Yonge St #1204, Toronto, ON M2M 4H9","C$598,800",3 bds,2 ba,N/A,N/A
"41 Dearham Wood, Toronto, ON M1E 1S2","C$1,106,600",4 bds,2 ba,N/A,N/A
"17 Bathurst St #4205, Toronto, ON M5V 0N1","C$619,995",1 bd,1 ba,N/A,N/A
"25 Finchley Rd, Toronto, ON M9A 2X4","C$3,450,000",4 bds,4 ba,N/A,N/A
"665 Queen St E #412, Toronto, ON M4M 1G6","C$849,900",2 bds,2 ba,N/A,N/A
"3865 Lake Shore Blvd W #217, Toronto, ON M8W 0A2","C$650,000",2 bds,2 ba,N/A,N/A
"270 Queens Quay W #805, Toronto, ON M5V 3J2","C$685,900",3 bds,1 ba,N/A,N/A
"20 Amesbury Dr, Toronto, ON M6M 4H4","C$1,099,000",3 bds,2 ba,N/A,N/A
