Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"25 Finchley Rd, Toronto, ON M9A 2X4","C$3,450,000",4 bds,4 ba,N/A,4 ba
"665 Queen St E #412, Toronto, ON M4M 1G6","C$849,900",2 bds,2 ba,N/A,2 ba
"3865 Lake Shore Blvd W #217, Toronto, ON M8W 0A2","C$650,000",2 bds,2 ba,N/A,2 ba
"270 Queens Quay W #805, Toronto, ON M5V 3J2","C$685,900",3 bds,1 ba,N/A,1 ba
"20 Amesbury Dr, Toronto, ON M6M 4H4","C$1,099,000",3 bds,2 ba,N/A,2 ba
"160 The Donway W #403, Toronto, ON M3C 2G1","C$424,900",2 bds,1 ba,N/A,1 ba
"30 Western Battery Rd #316, Toronto, ON M6K 3N9","C$549,900",1 bd,1 ba,N/A,1 ba
"56 Grierson Rd, Toronto, ON M9W 3R3","C$799,000",3 bds,2 ba,N/A,2 ba
"41 Markbrook Ln #614, Toronto, ON M9V 5E6","C$554,999",1 bd,2 ba,776 sqft,776 sqft
"600 Fleet St #717, Toronto, ON M5V 1B7","C$748,800",2 bds,2 ba,N/A,2 ba
"170 Bayview Ave #711, Toronto, ON M5A 0M4","C$625,000",1 bd,1 ba,N/A,1 ba
"11 Wellesley St W #612, Toronto, ON M4Y 0G4","C$699,000",2 bds,1 ba,N/A,1 ba
"295 Downsview Park Blvd, Toronto, ON M3K 0B6","C$995,000",5 bds,4 ba,N/A,4 ba
"333 Adelaide St E #410, Toronto, ON M5A 4T4","C$599,000",1 bd,1 ba,N/A,1 ba
"62 Schell Ave, Toronto, ON M6E 2S9","C$1,299,900",4 bds,3 ba,N/A,3 ba
"64 Glengowan Rd, Toronto, ON M4N 1G4","C$9,950,000",6 bds,6 ba,N/A,6 ba
"501 Adelaide St W #1108, Toronto, ON M5V 0R3","C$629,000",1 bd,1 ba,N/A,1 ba
"260 Queens Quay W #1304, Toronto, ON M5J 2N3","C$629,000",1 bd,1 ba,N/A,1 ba
"70 Annie Craig Dr #4802, Toronto, ON M8V 0G2","C$769,800",2 bds,2 ba,N/A,2 ba
"801 King St W #325, Toronto, ON M5V 3C9","C$499,000",2 bds,1 ba,N/A,1 ba
"43 Millburn Dr, Toronto, ON M9B 2W8","C$2,699,000",7 bds,5 ba,N/A,5 ba
"32 Lyme Regis Cres, Toronto, ON M1M 1E4","C$3,350,000",5 bds,5 ba,N/A,5 ba
"278 Dawlish Ave, Toronto, ON M4N 1J5","C$4,395,000",5 bds,5 ba,N/A,5 ba
"52 Amiens Rd, Toronto, ON M1E 3S8","C$1,299,000",4 bds,2 ba,N/A,2 ba
"120 Harrison Garden Blvd #2003, Toronto, ON M2N","C$788,000",2 bds,2 ba,N/A,2 ba
"21 Grand Magazine St #1907, Toronto, ON M5V 1B5","C$799,900",2 bds,2 ba,N/A,2 ba
"215 Fort York Blvd #301, Toronto, ON M5V 4A2","C$599,900",2 bds,1 ba,N/A,1 ba
"11 Beaumont Rd, Toronto, ON M4W 1V4","C$19,995,000",4 bds,4 ba,N/A,4 ba
"5 Dewbourne Ave, Toronto, ON M5P 1Z1","C$14,850,000",6 bds,6 ba,N/A,6 ba
"542 Delaware Ave N, Toronto, ON M6H 2V2","C$1,199,000",4 bds,2 ba,N/A,2 ba
"16 Yonge St SUITE 4006, Toronto, ON M5E 2A3","C$1,649,999",3 bds,2 ba,"1,266 sqft","1,266 sqft"
"185 Roehampton Ave #3201, Toronto, ON M4P 0C6","C$759,000",2 bds,2 ba,N/A,2 ba
"3845 Lake Shore Blvd W UNIT 1601, Toronto, ON M8W 4Y3","C$750,000",3 bds,2 ba,N/A,2 ba
"50 Lombard St #1903, Toronto, ON M5C 2X4","C$549,000",1 bd,1 ba,N/A,1 ba
"455 Wellington St W #509, Toronto, ON M5V 0V8","C$2,250,000",3 bds,3 ba,N/A,3 ba
"87 Peter St UNIT 2915, Toronto, ON M5V 2G4","C$595,000",1 bd,1 ba,N/A,1 ba
"408 Browns Line E #308, Toronto, ON M8W 0C3","C$508,000",1 bd,1 ba,N/A,1 ba
"40 Homewood Ave #2803, Toronto, ON M4Y 2K2","C$465,000",1 bd,1 ba,N/A,1 ba
"1150 Briar Hill Ave #306, Toronto, ON M6B 0A9","C$599,000",3 bds,2 ba,N/A,2 ba
"369 Albany Ave #5, Toronto, ON M5R 3E2","C$889,000",2 bds,1 ba,N/A,1 ba
"38 Joe Shuster Way #106, Toronto, ON M6K 0A5","C$619,900",2 bds,1 ba,N/A,1 ba
