Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"11 Brunel Ct #5005, Toronto, ON M5V 3Y3","C$570,000",1 bd,1 ba,N/A,N/A
"103 Old Colony Rd, Toronto, ON M2L 2K3","C$19,995,000",6 bds,11 ba,N/A,N/A
"175 Teddington Park Ave, Toronto, ON M4N 2C7","C$14,680,000",6 bds,9 ba,N/A,N/A
"6 Wyndcliff Cres, Toronto, ON M4A 2K1","C$1,429,900",4 bds,2 ba,N/A,N/A
"40 Sylvan Valleyway #523, Toronto, ON M5M 4M3","C$889,000",2 bds,2 ba,N/A,N/A
"24 Sophia Dr, Toronto, ON M1H 1Z4","C$799,000",3 bds,1 ba,N/A,N/A
"1 Strathgowan Ave #403, Toronto, ON M4N 0B3","C$1,700,000",2 bds,3 ba,N/A,N/A
"501 Adelaide St W #909, Toronto, ON M5V 0R3","C$539,900",1 bd,1 ba,N/A,N/A
"15 Helmsdale Cres, Toronto, ON M9V 3X8","C$1,199,900",7 bds,4 ba,N/A,N/A
"55 Deanscroft Sq, Toronto, ON M1E 4W8","C$875,000",4 bds,3 ba,N/A,N/A
"191 Parkmount Rd, Toronto, ON M4J 4V5","C$1,139,000",4 bds,4 ba,N/A,N/A
"21 Iceboat Ter PENTHOUSE 10, Toronto, ON M5V 4A9","C$2,950,000",4 bds,4 ba,N/A,N/A
"78 Carr St #TOWNHOUSE 32, Toronto, ON M5T 1B7","C$699,000",2 bds,2 ba,N/A,N/A
"650 Sheppard Ave E #215, Toronto, ON M2K 3E4","C$569,988",2 bds,1 ba,N/A,N/A
"1778 Dufferin St, Toronto, ON M6E 3P4","C$997,000",5 bds,4 ba,N/A,N/A
"33 Shore Breeze Dr E #1208, Toronto, ON M8V 0G1","C$685,000",2 bds,1 ba,N/A,N/A
"24 Coventry St, Toronto, ON M1L 0H1","C$929,900",3 bds,3 ba,N/A,N/A
"21 Groverdale Rd, Toronto, ON M9C 3M7","C$1,275,000",3 bds,2 ba,N/A,N/A
"80 Curzon St, Toronto, ON M4M 3B4","C$988,000",3 bds,2 ba,N/A,N/A
"8 Trent Ave #1205, Toronto, ON M4C 0A6","C$749,900",3 bds,2 ba,N/A,N/A
"65 Huntingdale Blvd UNIT 1507, Toronto, ON M1W 2P1","C$685,000",3 bds,2 ba,N/A,N/A
"198 Lawlor Ave, Toronto, ON M4E 3M1","C$1,324,900",4 bds,2 ba,N/A,N/A
"408 Browns Line S #312, Toronto, ON M5W 3T9","C$689,900",2 bds,2 ba,N/A,N/A
"1 King St W #1501, Toronto, ON M5H 1A1","C$399,900",2 bds,1 ba,N/A,N/A
"509 Beecroft Rd #1209, Toronto, ON M2N 0A3","C$848,000",3 bds,2 ba,N/A,N/A
"25 Clark St, Toronto, ON M4M 1M5","C$1,475,000",3 bds,3 ba,N/A,N/A
"64 Chandler Dr, Toronto, ON M1G 1Z3","C$899,000",5 bds,2 ba,N/A,N/A
"10 Capreol Ct #902, Toronto, ON M5V 4B3","C$599,000",2 bds,1 ba,N/A,N/A
"215 Mill Rd, Toronto, ON M9C 1Y1","C$1,479,000",4 bds,3 ba,N/A,N/A
"100 Rosethorn Ave, Toronto, ON M6N 3L1","C$1,250,000",3 bds,2 ba,N/A,N/A
"98 Spruce Hill Rd, Toronto, ON M4E 3G4","C$2,899,999",4 bds,4 ba,N/A,N/A
"63 Bannatyne Dr, Toronto, ON M2L 2P2","C$5,598,000",5 bds,7 ba,N/A,N/A
"533 Richmond St W PENTHOUSE 2, Toronto, ON M5V 3Y1","C$3,800,000",3 bds,3 ba,N/A,N/A
"8 Lee Centre Dr #702, Toronto, ON M1H 3H8","C$375,888",1 bd,1 ba,N/A,N/A
"30 Nelson St #PENTHOUSE 101, Toronto, ON M5V 0H5","C$3,950,000",3 bds,3 ba,N/A,N/A
"36 Lisgar St #1010, Toronto, ON M6J 0C7","C$499,900",2 bds,2 ba,N/A,N/A
"9 Overton Pl, Toronto, ON M3B 1H1","C$1,850,000",4 bds,4 ba,N/A,N/A
"1328 Birchmount Rd #PENTHOUSE 9, Toronto, ON M1R 0B6","C$698,000",3 bds,2 ba,"1,115 sqft",N/A
"11B Crawford St #11B, Toronto, ON M6K 3M3","C$999,900",3 bds,3 ba,N/A,N/A
"717 Greenwood Ave, Toronto, ON M4J 4B6","C$1,029,000",3 bds,2 ba,N/A,N/A
"200 Woodbine Ave #601, Toronto, ON M4L 3P2","C$4,899,000",4 bds,5 ba,N/A,N/A
