Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Postal Code,X
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,M6N,1H9
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,Canada,43.778652,-79.417947,M2N,0A3
472 Crawford St, Toronto,ON,M6G3J8,Canada,43.656967,-79.42006,M6G,3J8
186 Macpherson Ave, Toronto,ON,M5R1W8,Canada,43.677945,-79.396728,M5R,1W8
195 McCaul St #909, Toronto,ON,M5T0E5,Canada,43.6567,-79.392206,M5T,0E5
30 Roehampton Ave UNIT 1902, Toronto,ON,M4P0B9,Canada,43.708432,-79.397532,M4P,0B9
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,Canada,43.698984,-79.418189,M5P,2R5
625 Queen St E #607, Toronto,ON,M4M1G7,Canada,43.658001,-79.352987,M4M,1G7
320 Dixon Rd #506, Toronto,ON,M9R1S8,Canada,43.696822,-79.552528,M9R,1S8
45 Manning Ave, Toronto,ON,M6J2K3,Canada,43.647598,-79.408882,M6J,2K3
41 Pinto Dr, Toronto,ON,M2J3T9,Canada,43.791871,-79.339242,M2J,3T9
3 Chilcot Ave, Toronto,ON,M9W1T9,Canada,43.713267,-79.551602,M9W,1T9
2 Sonic Way #1708, Toronto,ON,M3C0P2,Canada,43.719497,-79.336408,M3C,0P2
53 Hazelton Ave, Toronto,ON,M5R2E3,Canada,43.672448,-79.393529,M5R,2E3
80 John St #3201, Toronto,ON,M5V3X4,Canada,43.646874,-79.390188,M5V,3X4
7 Carlton St #704, Toronto,ON,M5B2M3,Canada,43.661094,-79.38259,M5B,2M3
37 Pringdale Gardens Cir, Toronto,ON,M1J0B1,Canada,43.742145,-79.24373,M1J,0B1
10 Ed Clark Gdns #14, Toronto,ON,M6N3A9,Canada,43.674272,-79.46257,M6N,3A9
12 Waring Ct, Toronto,ON,M2N4G7,Canada,43.776906,-79.401025,M2N,4G7
60 Colborne St #1608, Toronto,ON,M5E0B7,Canada,43.649288,-79.374406,M5E,0B7
185 Roehampton Ave #2907, Toronto,ON,M4P0C6,Canada,43.708956,-79.392982,M4P,0C6
1 Sudbury St #101, Toronto,ON,M6J3W6,Canada,43.641055,-79.417998,M6J,3W6
51 Harrison Garden Blvd #707, Toronto,ON,M2N7G4,Canada,43.756666,-79.407784,M2N,7G4
36 Lisgar St #1010, Toronto,ON,M6J0C7,Canada,43.641739,-79.423316,M6J,0C7
5765 Yonge St #1204, Toronto,ON,M2M4H9,Canada,43.783102,-79.415166,M2M,4H9
41 Dearham Wood, Toronto,ON,M1E1S2,Canada,43.752788,-79.189511,M1E,1S2
17 Bathurst St #4205, Toronto,ON,M5V0N1,Canada,43.637435,-79.398908,M5V,0N1
25 Finchley Rd, Toronto,ON,M9A2X4,Canada,43.657715,-79.526342,M9A,2X4
665 Queen St E #412, Toronto,ON,M4M1G6,Canada,43.658361,-79.351159,M4M,1G6
3865 Lake Shore Blvd W #217, Toronto,ON,M8W0A2,Canada,43.589859,-79.545165,M8W,0A2
270 Queens Quay W #805, Toronto,ON,M5V3J2,Canada,43.639173,-79.386389,M5V,3J2
20 Amesbury Dr, Toronto,ON,M6M4H4,Canada,43.701261,-79.481426,M6M,4H4
160 The Donway W #403, Toronto,ON,M3C2G1,Canada,43.73383,-79.34844,M3C,2G1
30 Western Battery Rd #316, Toronto,ON,M6K3N9,Canada,43.639688,-79.412489,M6K,3N9
56 Grierson Rd, Toronto,ON,M9W3R3,Canada,43.715143,-79.545919,M9W,3R3
41 Markbrook Ln #614, Toronto,ON,M9V5E6,Canada,43.75828,-79.58639,M9V,5E6
600 Fleet St #717, Toronto,ON,M5V1B7,Canada,43.636698,-79.400078,M5V,1B7
170 Bayview Ave #711, Toronto,ON,M5A0M4,Canada,43.655305,-79.35375,M5A,0M4
11 Wellesley St W #612, Toronto,ON,M4Y0G4,Canada,43.664526,-79.385583,M4Y,0G4
295 Downsview Park Blvd, Toronto,ON,M3K0B6,Canada,43.73797,-79.476415,M3K,0B6
333 Adelaide St E #410, Toronto,ON,M5A4T4,Canada,43.651843,-79.369052,M5A,4T4
62 Schell Ave, Toronto,ON,M6E2S9,Canada,43.698338,-79.45509,M6E,2S9
64 Glengowan Rd, Toronto,ON,M4N1G4,Canada,43.721159,-79.392357,M4N,1G4
501 Adelaide St W #1108, Toronto,ON,M5V0R3,Canada,43.645422,-79.401295,M5V,0R3
260 Queens Quay W #1304, Toronto,ON,M5J2N3,Canada,43.63928,-79.385715,M5J,2N3
70 Annie Craig Dr #4802, Toronto,ON,M8V0G2,Canada,43.624739,-79.478962,M8V,0G2
801 King St W #325, Toronto,ON,M5V3C9,Canada,43.642734,-79.40707,M5V,3C9
43 Millburn Dr, Toronto,ON,M9B2W8,Canada,43.663271,-79.56261,M9B,2W8
32 Lyme Regis Cres, Toronto,ON,M1M1E4,Canada,43.718741,-79.228161,M1M,1E4
278 Dawlish Ave, Toronto,ON,M4N1J5,Canada,43.724134,-79.383185,M4N,1J5
52 Amiens Rd, Toronto,ON,M1E3S8,Canada,43.776204,-79.188186,M1E,3S8
120 Harrison Garden Blvd #2003, Toronto,ON,M2N,Canada,43.757733,-79.403149,M2N,M2N
21 Grand Magazine St #1907, Toronto,ON,M5V1B5,Canada,43.636466,-79.402056,M5V,1B5
215 Fort York Blvd #301, Toronto,ON,M5V4A2,Canada,43.636466,-79.404588,M5V,4A2
11 Beaumont Rd, Toronto,ON,M4W1V4,Canada,43.679924,-79.371459,M4W,1V4
5 Dewbourne Ave, Toronto,ON,M5P1Z1,Canada,43.699375,-79.420442,M5P,1Z1
542 Delaware Ave N, Toronto,ON,M6H2V2,Canada,43.672077,-79.432791,M6H,2V2
16 Yonge St SUITE 4006, Toronto,ON,M5E2A3,Canada,43.64325,-79.3764,M5E,2A3
185 Roehampton Ave #3201, Toronto,ON,M4P0C6,Canada,43.708956,-79.392982,M4P,0C6
3845 Lake Shore Blvd W UNIT 1601, Toronto,ON,M8W4Y3,Canada,43.590672,-79.544208,M8W,4Y3
50 Lombard St #1903, Toronto,ON,M5C2X4,Canada,43.651856,-79.376003,M5C,2X4
455 Wellington St W #509, Toronto,ON,M5V0V8,Canada,43.643152,-79.397171,M5V,0V8
87 Peter St UNIT 2915, Toronto,ON,M5V2G4,Canada,43.646776,-79.392435,M5V,2G4
408 Browns Line E #308, Toronto,ON,M8W0C3,Canada,43.601488,-79.54545,M8W,0C3
40 Homewood Ave #2803, Toronto,ON,M4Y2K2,Canada,43.664229,-79.375535,M4Y,2K2
