Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Neighbourhood,Region
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,The Junction North,York
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,Canada,43.778652,-79.417947,Willowdale South,North York
472 Crawford St, Toronto,ON,M6G3J8,Canada,43.656967,-79.42006,Christie,Downtown Toronto
186 Macpherson Ave, Toronto,ON,M5R1W8,Canada,43.677945,-79.396728,The Annex,Central Toronto
195 McCaul St #909, Toronto,ON,M5T0E5,Canada,43.6567,-79.392206,Chinatown,Downtown Toronto
30 Roehampton Ave UNIT 1902, Toronto,ON,M4P0B9,Canada,43.708432,-79.397532,Davisville North,Central Toronto
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,Canada,43.698984,-79.418189,Forest Hill North,Central Toronto
625 Queen St E #607, Toronto,ON,M4M1G7,Canada,43.658001,-79.352987,Studio District,East Toronto
320 Dixon Rd #506, Toronto,ON,M9R1S8,Canada,43.696822,-79.552528,Kingsview Village,Etobicoke
45 Manning Ave, Toronto,ON,M6J2K3,Canada,43.647598,-79.408882,Little Portugal,West Toronto
41 Pinto Dr, Toronto,ON,M2J3T9,Canada,43.791871,-79.339242,Fairview,North York
3 Chilcot Ave, Toronto,ON,M9W1T9,Canada,43.713267,-79.551602,Northwest,Etobicoke
2 Sonic Way #1708, Toronto,ON,M3C0P2,Canada,43.719497,-79.336408,Flemingdon Park,North York
53 Hazelton Ave, Toronto,ON,M5R2E3,Canada,43.672448,-79.393529,The Annex,Central Toronto
80 John St #3201, Toronto,ON,M5V3X4,Canada,43.646874,-79.390188,CN Tower,Downtown Toronto
7 Carlton St #704, Toronto,ON,M5B2M3,Canada,43.661094,-79.38259,Ryerson,Downtown Toronto
37 Pringdale Gardens Cir, Toronto,ON,M1J0B1,Canada,43.742145,-79.24373,Scarborough Village,Scarborough
10 Ed Clark Gdns #14, Toronto,ON,M6N3A9,Canada,43.674272,-79.46257,The Junction North,York
12 Waring Ct, Toronto,ON,M2N4G7,Canada,43.776906,-79.401025,Willowdale South,North York
60 Colborne St #1608, Toronto,ON,M5E0B7,Canada,43.649288,-79.374406,Berczy Park,Downtown Toronto
185 Roehampton Ave #2907, Toronto,ON,M4P0C6,Canada,43.708956,-79.392982,Davisville North,Central Toronto
1 Sudbury St #101, Toronto,ON,M6J3W6,Canada,43.641055,-79.417998,Little Portugal,West Toronto
51 Harrison Garden Blvd #707, Toronto,ON,M2N7G4,Canada,43.756666,-79.407784,Willowdale South,North York
36 Lisgar St #1010, Toronto,ON,M6J0C7,Canada,43.641739,-79.423316,Little Portugal,West Toronto
5765 Yonge St #1204, Toronto,ON,M2M4H9,Canada,43.783102,-79.415166,Newtonbrook,North York
41 Dearham Wood, Toronto,ON,M1E1S2,Canada,43.752788,-79.189511,Guildwood,Scarborough
17 Bathurst St #4205, Toronto,ON,M5V0N1,Canada,43.637435,-79.398908,CN Tower,Downtown Toronto
25 Finchley Rd, Toronto,ON,M9A2X4,Canada,43.657715,-79.526342,Islington Avenue,Etobicoke
665 Queen St E #412, Toronto,ON,M4M1G6,Canada,43.658361,-79.351159,Studio District,East Toronto
3865 Lake Shore Blvd W #217, Toronto,ON,M8W0A2,Canada,43.589859,-79.545165,Alderwood,Etobicoke
270 Queens Quay W #805, Toronto,ON,M5V3J2,Canada,43.639173,-79.386389,CN Tower,Downtown Toronto
20 Amesbury Dr, Toronto,ON,M6M4H4,Canada,43.701261,-79.481426,Del Ray,York
160 The Donway W #403, Toronto,ON,M3C2G1,Canada,43.73383,-79.34844,Flemingdon Park,North York
30 Western Battery Rd #316, Toronto,ON,M6K3N9,Canada,43.639688,-79.412489,Brockton,West Toronto
56 Grierson Rd, Toronto,ON,M9W3R3,Canada,43.715143,-79.545919,Northwest,Etobicoke
41 Markbrook Ln #614, Toronto,ON,M9V5E6,Canada,43.75828,-79.58639,Albion Gardens,Etobicoke
600 Fleet St #717, Toronto,ON,M5V1B7,Canada,43.636698,-79.400078,CN Tower,Downtown Toronto
170 Bayview Ave #711, Toronto,ON,M5A0M4,Canada,43.655305,-79.35375,Harbourfront,Downtown Toronto
11 Wellesley St W #612, Toronto,ON,M4Y0G4,Canada,43.664526,-79.385583,Church and Wellesley,Downtown Toronto
295 Downsview Park Blvd, Toronto,ON,M3K0B6,Canada,43.73797,-79.476415,CFB Toronto,North York
333 Adelaide St E #410, Toronto,ON,M5A4T4,Canada,43.651843,-79.369052,Harbourfront,Downtown Toronto
62 Schell Ave, Toronto,ON,M6E2S9,Canada,43.698338,-79.45509,Caledonia-Fairbanks,York
64 Glengowan Rd, Toronto,ON,M4N1G4,Canada,43.721159,-79.392357,Lawrence Park,Central Toronto
501 Adelaide St W #1108, Toronto,ON,M5V0R3,Canada,43.645422,-79.401295,CN Tower,Downtown Toronto
260 Queens Quay W #1304, Toronto,ON,M5J2N3,Canada,43.63928,-79.385715,Harbourfront East,Downtown Toronto
70 Annie Craig Dr #4802, Toronto,ON,M8V0G2,Canada,43.624739,-79.478962,Humber Bay Shores,Etobicoke
801 King St W #325, Toronto,ON,M5V3C9,Canada,43.642734,-79.40707,CN Tower,Downtown Toronto
43 Millburn Dr, Toronto,ON,M9B2W8,Canada,43.663271,-79.56261,Cloverdale,Etobicoke
32 Lyme Regis Cres, Toronto,ON,M1M1E4,Canada,43.718741,-79.228161,Cliffcrest,Scarborough
278 Dawlish Ave, Toronto,ON,M4N1J5,Canada,43.724134,-79.383185,Lawrence Park,Central Toronto
52 Amiens Rd, Toronto,ON,M1E3S8,Canada,43.776204,-79.188186,Guildwood,Scarborough
120 Harrison Garden Blvd #2003, Toronto,ON,M2N,Canada,43.757733,-79.403149,Willowdale South,North York
21 Grand Magazine St #1907, Toronto,ON,M5V1B5,Canada,43.636466,-79.402056,CN Tower,Downtown Toronto
215 Fort York Blvd #301, Toronto,ON,M5V4A2,Canada,43.636466,-79.404588,CN Tower,Downtown Toronto
11 Beaumont Rd, Toronto,ON,M4W1V4,Canada,43.679924,-79.371459,Rosedale,Downtown Toronto
5 Dewbourne Ave, Toronto,ON,M5P1Z1,Canada,43.699375,-79.420442,Forest Hill North,Central Toronto
