Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Neighbourhood,Region
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,The Junction North,York
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,Runnymede,York
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,Canada,43.778652,-79.417947,Willowdale South,North York
472 Crawford St, Toronto,ON,M6G3J8,Canada,43.656967,-79.42006,Christie,Downtown Toronto
186 Macpherson Ave, Toronto,ON,M5R1W8,Canada,43.677945,-79.396728,The Annex,Central Toronto
186 Macpherson Ave, Toronto,ON,M5R1W8,Canada,43.677945,-79.396728,North Midtown,Central Toronto
186 Macpherson Ave, Toronto,ON,M5R1W8,Canada,43.677945,-79.396728,Yorkville,Central Toronto
195 McCaul St #909, Toronto,ON,M5T0E5,Canada,43.6567,-79.392206,Chinatown,Downtown Toronto
195 McCaul St #909, Toronto,ON,M5T0E5,Canada,43.6567,-79.392206,Grange Park,Downtown Toronto
195 McCaul St #909, Toronto,ON,M5T0E5,Canada,43.6567,-79.392206,Kensington Market,Downtown Toronto
30 Roehampton Ave UNIT 1902, Toronto,ON,M4P0B9,Canada,43.708432,-79.397532,Davisville North,Central Toronto
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,Canada,43.698984,-79.418189,Forest Hill North,Central Toronto
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,Canada,43.698984,-79.418189,Forest Hill West,Central Toronto
625 Queen St E #607, Toronto,ON,M4M1G7,Canada,43.658001,-79.352987,Studio District,East Toronto
320 Dixon Rd #506, Toronto,ON,M9R1S8,Canada,43.696822,-79.552528,Kingsview Village,Etobicoke
320 Dixon Rd #506, Toronto,ON,M9R1S8,Canada,43.696822,-79.552528,Martin Grove Gardens,Etobicoke
320 Dixon Rd #506, Toronto,ON,M9R1S8,Canada,43.696822,-79.552528,Richview Gardens,Etobicoke
