Postal code,Region,Neighbourhood
V1A,Kimberley,Kimberley
V1B,Vernon East,Vernon East
V1C,Cranbrook,Cranbrook
V1E,Salmon Arm,Salmon Arm
V1G,Dawson Creek,Dawson Creek
V1H,Vernon West,Vernon West
V1J,Fort St. John,Fort St. John
V1K,Merritt,Merritt
V1L,Nelson,Nelson
V1M,Langley Township North,Langley Township North
V1N,Castlegar,Castlegar
V1P,Kelowna East,Kelowna East
V1R,Trail,Trail
V1S,Kamloops Southwest,Kamloops Southwest
V1T,Vernon Central,Vernon Central
V1V,Kelowna North,Kelowna North
V1W,Kelowna Southwest,Kelowna Southwest
V1X,Kelowna East Central,Kelowna East Central
V1Y,Kelowna Central,Kelowna Central
V1Z,West Kelowna East,West Kelowna East
V2A,Penticton,Penticton
V2B,Kamloops Northwest,Kamloops Northwest
V2C,Kamloops Central and Southeast,Kamloops Central and Southeast
V2E,Kamloops South and West,Kamloops South and West
V2G,Williams Lake,Williams Lake
V2H,Kamloops North,Kamloops North
V2J,Quesnel,Quesnel
V2K,Prince George North,Prince George North
V2L,Prince George East Central,Prince George East Central
V2M,Prince George West Central,Prince George West Central
V2N,Prince George South,Prince George South
V2P,Chilliwack Central,Chilliwack Central
V2R,Chilliwack West,Chilliwack West
V2S,Abbotsford Southeast,Abbotsford Southeast
V2T,Abbotsford Southwest,Abbotsford Southwest
V2V,Mission East,Mission East
V2W,Maple Ridge East,Maple Ridge East
V2X,Maple Ridge West,Maple Ridge West
V2Y,Langley Township Northwest,Langley Township Northwest
V2Z,Langley Township Southwest,Langley Township Southwest
V3A,Langley Township,Langley City
V3B,Port Coquitlam Central,Port Coquitlam Central
V3C,Port Coquitlam South,Port Coquitlam South
V3E,Coquitlam North,Coquitlam North
V3G,Abbotsford East,Abbotsford East
V3H,Port Moody,Port Moody
V3J,Coquitlam North,Coquitlam North
V3K,Coquitlam South,Coquitlam South
V3L,New Westminster Northeast,New Westminster Northeast
V3M,New Westminster Southwest,Includes Annacis Island
V3N,Burnaby,East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong
V3R,Surrey North,Surrey North
V3S,Surrey Upper East,Surrey Upper East
V3T,Surrey Inner Northwest,Surrey Inner Northwest
V3V,Surrey Outer Northwest,Surrey Outer Northwest
V3W,Surrey Upper West,Surrey Upper West
V3X,Surrey Lower West,Surrey Lower West
V3Y,Pitt Meadows,Pitt Meadows
V3Z,Surrey Lower East,Surrey Lower East
V4A,Surrey Southwest,Surrey Southwest
V4B,White Rock,White Rock
V4C,Delta Northeast,Delta Northeast
V4E,Delta East,Delta East
V4G,Delta East Central,Delta East Central
V4K,Delta Northwest,Delta Northwest
V4L,Delta Southeast,Delta Southeast
V4M,Delta Southwest,Delta Southwest
V4N,Surrey Northeast,Surrey Northeast
V4P,Surrey South,Surrey South
V4R,Maple Ridge Northwest,Maple Ridge Northwest
V4S,Mission West,Mission West
V4T,West Kelowna,Westbank
V4V,Winfield,Winfield
V4W,Langley Township East,Langley Township East
V4X,Abbotsford West,Abbotsford West
V4Y,Armstrong[3] / Spallumcheen / Enderby,Armstrong[3] / Spallumcheen / Enderby
V4Z,Chilliwack East,Chilliwack East
