Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
1525 Coal Harbour Cay #B17, Vancouver,BC,V6G3E7,"C$375,000",1 bd,1 ba,484 sqft
2106 SW Marine Dr, Vancouver,BC,V6P6B5,"C$27,500,000",6 bds,9 ba,"10,709 sqft"
3440 Broadway W #126, Vancouver,BC,V6R4R2,"C$989,988",3 bds,2 ba,"1,266 sqft"
8481 Portside Ct, Vancouver,BC,V5P4V4,"C$899,900",3 bds,3 ba,"1,404 sqft"
2870 SW Marine Dr, Vancouver,BC,V6N3X9,"C$16,900,000",7 bds,11 ba,"11,271 sqft"
3823 Cypress St, Vancouver,BC,V6J3P4,"C$23,999,000",8 bds,12 ba,"20,629 sqft"
2815 Yale St, Vancouver,BC,V5K1C5,"C$1,950,000",4 bds,3 ba,"2,567 sqft"
1219 Harwood St #201, Vancouver,BC,V6E1S5,"C$550,000",2 bds,2 ba,744 sqft
1611 E 3rd Ave #107, Vancouver,BC,V5N1H1,"C$579,000",2 bds,1 ba,690 sqft
1188 W 55th Ave, Vancouver,BC,V6P1R1,"C$28,880,000",8 bds,12 ba,"15,371 sqft"
2478 W 5th Ave, Vancouver,BC,V6K1S8,"C$849,000",2 bds,2 ba,855 sqft
4513 Nanaimo St, Vancouver,BC,V5N5J2,"C$748,800",1 bd,1 ba,678 sqft
3462 Dartmoor Pl, Vancouver,BC,V5S4G2,"C$790,000",3 bds,2 ba,"1,268 sqft"
838 Hamilton St #1009, Vancouver,BC,V6B6A2,"C$350,000",2 bds,1 ba,595 sqft
1201 Lameys Mill Rd #22, Vancouver,BC,V6H3S8,"C$925,000",2 bds,2 ba,"1,499 sqft"
3945 Alice St #2, Vancouver,BC,V5N4J6,"C$1,399,000",3 bds,3 ba,"1,111 sqft"
1480 Howe St #P5-502, Vancouver,BC,V6Z0G5,"C$89,800",Studio,1ba,70 sqft
2711 Point Grey Rd, Vancouver,BC,V6K1A4,"C$14,900,000",4 bds,6 ba,"4,870 sqft"
1828 SE Marine Dr, Vancouver,BC,V5P2R3,"C$1,160,000",3 bds,3 ba,"1,431 sqft"
4788 Belmont Ave, Vancouver,BC,V6T1A9,"C$28,888,000",7 bds,11 ba,"10,077 sqft"
1042 Ironwork Pass, Vancouver,BC,V6H3P1,"C$1,399,000",3 bds,2 ba,"1,522 sqft"
1611 Drummond Dr, Vancouver,BC,V6T1B7,"C$22,000,000",5 bds,6 ba,"6,487 sqft"
159 W 2nd Ave #2/503, Vancouver,BC,V5Y0L8,"C$56,000",Studio,1ba,161 sqft
1599 Angus Dr, Vancouver,BC,V6J4H2,"C$21,800,000",8 bds,9 ba,"11,963 sqft"
