Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1408 Robson St #2901, Vancouver, BC V6G 1B9","C$9,680,000",4 bds,4 ba,"2,769 sqft",N/A
"128 Cordova St W #706, Vancouver, BC V6B 0E6","C$899,900",2 bds,2 ba,"1,161 sqft",N/A
"4578 Puget Dr, Vancouver, BC V6L 2V8","C$7,750,000",6 bds,7 ba,"4,473 sqft",N/A
"2549 E 16th Ave, Vancouver, BC V5M 2L5","C$3,298,000",10 bds,6 ba,"3,960 sqft",N/A
"3661 E 27th Ave, Vancouver, BC V5R 1R3","C$1,999,000",6 bds,4 ba,"2,168 sqft",N/A
"161 Georgia St W #110, Vancouver, BC V6B 0K9","C$1,099,000",2 bds,2 ba,"1,017 sqft",N/A
"939 Homer St #3401, Vancouver, BC V6B 2W6","C$2,499,000",3 bds,4 ba,"3,095 sqft",N/A
"1717 W 13th Ave #115, Vancouver, BC V6J 2H2","C$788,800",2 bds,1 ba,837 sqft,N/A
"3668 W 28th Ave, Vancouver, BC V6S 1S4","C$3,280,000",5 bds,3 ba,"2,803 sqft",N/A
"198 E 44th Ave, Vancouver, BC V5W 1V6","C$1,250,000",3 bds,3 ba,"1,050 sqft",N/A
"6384 Windsor St, Vancouver, BC V5W 3J5","C$1,980,000",6 bds,3 ba,"2,565 sqft",N/A
"2550 Garden Dr #203, Vancouver, BC V5N 4X6","C$1,129,900",2 bds,2 ba,905 sqft,N/A
"55 Cordova St E #315, Vancouver, BC V6A 0A5","C$738,000",1 bd,1 ba,933 sqft,N/A
"2848 W 17th Ave, Vancouver, BC V6L 1A2","C$2,998,000",3 bds,4 ba,"1,879 sqft",N/A
"352 W 62nd Ave, Vancouver, BC V5X 2E3","C$1,249,900",2 bds,2 ba,"1,127 sqft",N/A
"2632 Nanaimo St, Vancouver, BC V5N 5E7","C$1,599,000",3 bds,2 ba,"1,460 sqft",N/A
"1189 Melville St #2104, Vancouver, BC V6E 4T8","C$827,000",1 bd,1 ba,710 sqft,N/A
"6010 Granville St, Vancouver, BC V6M 3E1","C$3,198,000",4 bds,3 ba,"3,151 sqft",N/A
"477 W 59th Ave #202, Vancouver, BC V5X 1X4","C$1,350,000",3 bds,2 ba,"1,090 sqft",N/A
"195 W 12th Ave, Vancouver, BC V5Y 1T6","C$4,498,000",6 bds,5 ba,"2,917 sqft",N/A
"2068 E 49th Ave, Vancouver, BC V5P 1T7","C$2,688,000",8 bds,6 ba,"4,132 sqft",N/A
"277 Thurlow St #2601, Vancouver, BC V6C 0C1","C$9,988,000",3 bds,4 ba,"3,322 sqft",N/A
"5595 Dumfries St, Vancouver, BC V5P 3A5","C$1,899,999",8 bds,4 ba,"2,815 sqft",N/A
"603 E 57th Ave, Vancouver, BC V5X 1T1","C$2,998,000",7 bds,6 ba,"3,170 sqft",N/A
"1817 W 15th Ave, Vancouver, BC V6J 2K9","C$3,598,000",4 bds,4 ba,"2,422 sqft",N/A
"2025 Stephens St #201, Vancouver, BC V6K 3W2","C$545,000",1 bd,1 ba,497 sqft,N/A
"2172 Wall St, Vancouver, BC V5L 1B5","C$939,000",2 bds,2 ba,965 sqft,N/A
"3220 W 4th Ave #303, Vancouver, BC V6K 1R9","C$1,099,000",2 bds,2 ba,"1,049 sqft",N/A
"3256 W 21st Ave, Vancouver, BC V6L 1L2","C$5,580,000",4 bds,5 ba,"3,620 sqft",N/A
"1958 E 47th Ave #406, Vancouver, BC V5P 3X5","C$608,000",2 bds,1 ba,863 sqft,N/A
"2556 Hastings St E #L01, Vancouver, BC V5K 1Z3","C$549,000",1 bd,1 ba,761 sqft,N/A
"2282 E 8th Ave #3, Vancouver, BC V5N 1V5","C$1,799,900",3 bds,3 ba,"1,444 sqft",N/A
"7303 Granville St, Vancouver, BC V6P 4Y3","C$1,499,900",3 bds,3 ba,"1,475 sqft",N/A
"128 Cordova St W #4004, Vancouver, BC V6B 0E6","C$699,000",1 bd,1 ba,646 sqft,N/A
"4393 Puget Dr, Vancouver, BC V6L 2V7","C$4,390,000",5 bds,4 ba,"3,573 sqft",N/A
"710 Chilco St #303, Vancouver, BC V6G 2P9","C$998,000",2 bds,1 ba,965 sqft,N/A
"1468 W 14th Ave #703, Vancouver, BC V6H 0A2","C$1,188,000",2 bds,2 ba,900 sqft,N/A
"1048 E 7th Ave #3A, Vancouver, BC V5T 1P7","C$699,000",2 bds,1 ba,698 sqft,N/A
"33 W Pender St #504, Vancouver, BC V6B 0E5","C$650,000",1 bd,1 ba,770 sqft,N/A
"756 W 22nd Ave, Vancouver, BC V5Z 1Z7","C$3,998,000",4 bds,4 ba,"2,773 sqft",N/A
"4573 Slocan St #201, Vancouver, BC V5R 1Z8","C$829,999",2 bds,2 ba,820 sqft,N/A
