Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Postal Code
1525 Coal Harbour Cay #B17, Vancouver,BC,V6G3E7,Canada,49.291479,-123.128047,V6G
2106 SW Marine Dr, Vancouver,BC,V6P6B5,Canada,49.214789,-123.15583,V6P
3440 Broadway W #126, Vancouver,BC,V6R4R2,Canada,49.264012,-123.180766,V6R
8481 Portside Ct, Vancouver,BC,V5P4V4,Canada,49.207213,-123.061855,V5P
2870 SW Marine Dr, Vancouver,BC,V6N3X9,Canada,49.225986,-123.170995,V6N
3823 Cypress St, Vancouver,BC,V6J3P4,Canada,49.25175,-123.149196,V6J
2815 Yale St, Vancouver,BC,V5K1C5,Canada,49.290923,-123.046093,V5K
1219 Harwood St #201, Vancouver,BC,V6E1S5,Canada,49.280802,-123.135616,V6E
1611 E 3rd Ave #107, Vancouver,BC,V5N1H1,Canada,49.268053,-123.071359,V5N
1188 W 55th Ave, Vancouver,BC,V6P1R1,Canada,49.220119,-123.132186,V6P
2478 W 5th Ave, Vancouver,BC,V6K1S8,Canada,49.267165,-123.161621,V6K
4513 Nanaimo St, Vancouver,BC,V5N5J2,Canada,49.244586,-123.057159,V5N
3462 Dartmoor Pl, Vancouver,BC,V5S4G2,Canada,49.210305,-123.028942,V5S
838 Hamilton St #1009, Vancouver,BC,V6B6A2,Canada,49.278326,-123.116209,V6B
1201 Lameys Mill Rd #22, Vancouver,BC,V6H3S8,Canada,49.267408,-123.134371,V6H
3945 Alice St #2, Vancouver,BC,V5N4J6,Canada,49.249891,-123.066147,V5N
1480 Howe St #P5-502, Vancouver,BC,V6Z0G5,Canada,49.274891,-123.131173,V6Z
2711 Point Grey Rd, Vancouver,BC,V6K1A4,Canada,49.272416,-123.166684,V6K
1828 SE Marine Dr, Vancouver,BC,V5P2R3,Canada,49.210319,-123.069152,V5P
4788 Belmont Ave, Vancouver,BC,V6T1A9,Canada,49.274912,-123.219831,V6T
1042 Ironwork Pass, Vancouver,BC,V6H3P1,Canada,49.268132,-123.128577,V6H
1611 Drummond Dr, Vancouver,BC,V6T1B7,Canada,49.274087,-123.222267,V6T
159 W 2nd Ave #2/503, Vancouver,BC,V5Y0L8,Canada,49.269571,-123.108504,V5Y
1599 Angus Dr, Vancouver,BC,V6J4H2,Canada,49.254756,-123.141274,V6J
8258 Tugboat Pl, Vancouver,BC,V6P6P8,Canada,49.210799,-123.153303,V6P
1251 Cardero St #1808, Vancouver,BC,V6G2H9,Canada,49.284994,-123.139881,V6G
3688 W 49th Ave, Vancouver,BC,V6N3T8,Canada,49.227055,-123.186489,V6N
1675 Larch St, Vancouver,BC,V6K3N7,Canada,49.271174,-123.162392,V6K
1159 Main St #505, Vancouver,BC,V6A4B6,Canada,49.274261,-123.100494,V6A
1128 Georgia St W #4903, Vancouver,BC,V6E0A8,Canada,49.285762,-123.123947,V6E
138 Hastings St E #206, Vancouver,BC,V6A0E6,Canada,49.281058,-123.101197,V6A
1720 Barclay St #503, Vancouver,BC,V6G1K4,Canada,49.289164,-123.136778,V6G
1895 E 50th Ave, Vancouver,BC,V5P1V1,Canada,49.224548,-123.067534,V5P
1510 W 1st Ave #305, Vancouver,BC,V6J4S3,Canada,49.270682,-123.146084,V6J
197 W King Edward Avenue St #8, Vancouver,BC,V5Y4B4,Canada,49.248613,-123.109833,V5Y
1784 Drummond Dr, Vancouver,BC,V6T1B6,Canada,49.271896,-123.220682,V6T
1188 Howe St #2403, Vancouver,BC,V6Z2S8,Canada,49.278315,-123.12697,V6Z
1363 E 21st Ave, Vancouver,BC,V5V1R7,Canada,49.251446,-123.077023,V5V
2795 W 37th Ave, Vancouver,BC,V6N2T5,Canada,49.238765,-123.167839,V6N
1626 Avondale Ave, Vancouver,BC,V6M1S1,Canada,49.236718,-123.141853,V6M
3337 Flagstaff Pl, Vancouver,BC,V5S4K9,Canada,49.211569,-123.031929,V5S
1325 Rolston St #1513, Vancouver,BC,V6B0M2,Canada,49.275617,-123.127925,V6B
63 Keefer Pl #502, Vancouver,BC,V6B6N6,Canada,49.279933,-123.10662,V6B
1189 Melville St #3404, Vancouver,BC,V6E4T8,Canada,49.287784,-123.123458,V6E
86 Creelman Ave #2078, Vancouver,BC,V6J1C3,Canada,49.274486,-123.14967,V6J
3635 W 14th Ave, Vancouver,BC,V6R2W6,Canada,49.26001,-123.184653,V6R
2023 W 36th Ave, Vancouver,BC,V6M1L1,Canada,49.23888,-123.152567,V6M
1925 SW Marine Dr, Vancouver,BC,V6P6B3,Canada,49.211681,-123.15033,V6P
8588 Cornish St #1105, Vancouver,BC,V6P0C1,Canada,49.208948,-123.141934,V6P
1499 W Pender St #1802, Vancouver,BC,V6G2S3,Canada,49.289964,-123.128049,V6G
1527 Angus Dr, Vancouver,BC,V6J4H2,Canada,49.254874,-123.140051,V6J
788 W 19th Ave, Vancouver,BC,V5Z1X2,Canada,49.254059,-123.121662,V5Z
2305 Turner St, Vancouver,BC,V5L2A6,Canada,49.279356,-123.057661,V5L
53 Hastings St W #503, Vancouver,BC,V6B1G4,Canada,49.282116,-123.106307,V6B
250 E 6th Ave #809, Vancouver,BC,V5T0B7,Canada,49.265226,-123.100379,V5T
7021 Prescott St, Vancouver,BC,V6N1N2,Canada,49.222454,-123.177956,V6N
8083 Angus Dr, Vancouver,BC,V6P5K9,Canada,49.212693,-123.14893,V6P
4869 Lanark St, Vancouver,BC,V5N3S1,Canada,49.240711,-123.075322,V5N
1483 King Edward Ave E #1056, Vancouver,BC,V5N5Z3,Canada,49.249844,-123.138278,V5N
1270 Robson St #507, Vancouver,BC,V6E3Z6,Canada,49.286589,-123.128605,V6E
3625 Monmouth Ave, Vancouver,BC,V5R5S4,Canada,49.23952,-123.02554,V5R
560 Cardero St #603, Vancouver,BC,V6G3E9,Canada,49.291362,-123.128679,V6G
939 Homer St #2402, Vancouver,BC,V6B2W6,Canada,49.278115,-123.119485,V6B
488 Helmcken St UNIT 605, Vancouver,BC,V6B6E4,Canada,49.276526,-123.122747,V6B
2612 Balaclava St, Vancouver,BC,V6K4E2,Canada,49.263105,-123.173703,V6K
1425 Lameys Mill Rd #10, Vancouver,BC,V6H3W2,Canada,49.268443,-123.135844,V6H
453 E 47th Ave, Vancouver,BC,V5W2B3,Canada,49.227715,-123.095493,V5W
583 Beach Cres #2903, Vancouver,BC,V6Z3E6,Canada,49.273589,-123.129221,V6Z
610 Granville St #811, Vancouver,BC,V6C3T3,Canada,49.28312,-123.116554,V6C
540 E 11th Ave, Vancouver,BC,V5T2C4,Canada,49.260377,-123.091996,V5T
1201 Marinaside Cres #1602, Vancouver,BC,V6Z2V2,Canada,49.273129,-123.120638,V6Z
2850 Mackenzie St, Vancouver,BC,V6K4A2,Canada,49.260838,-123.169951,V6K
1332 W 51st Ave, Vancouver,BC,V6P1C7,Canada,49.22465,-123.135958,V6P
8988 Hudson St #116, Vancouver,BC,V6P6Z1,Canada,49.20355,-123.134225,V6P
445 E 57th Ave #2, Vancouver,BC,V5X1S8,Canada,49.218602,-123.09638,V5X
8555 Granville St #2108, Vancouver,BC,V6P0C3,Canada,49.209294,-123.141287,V6P
555 Abbott St #312, Vancouver,BC,V6B6B8,Canada,49.280181,-123.108684,V6B
1465 Walnut St, Vancouver,BC,V6J3R2,Canada,49.272706,-123.149237,V6J
4422 Quesnel Dr, Vancouver,BC,V6L2X6,Canada,49.247018,-123.168268,V6L
7450 Balaclava St, Vancouver,BC,V6N1M8,Canada,49.218032,-123.175623,V6N
277 Thurlow St #3001, Vancouver,BC,V6C0C1,Canada,49.288884,-123.11914,V6C
4053 W 32nd Ave, Vancouver,BC,V6S1Z5,Canada,49.243624,-123.195417,V6S
168 Powell St #515, Vancouver,BC,V6A0B2,Canada,49.282968,-123.100636,V6A
209 E 7th Ave #501, Vancouver,BC,V5T0H3,Canada,49.264857,-123.100405,V5T
2453 W 10th Ave, Vancouver,BC,V6K2K7,Canada,49.263248,-123.161373,V6K
2600 E 49th Ave #112, Vancouver,BC,V5S1J8,Canada,49.224313,-123.054098,V5S
1101 W 8th Ave #11, Vancouver,BC,V6H1C5,Canada,49.264598,-123.129408,V6H
2419 Grant St #201, Vancouver,BC,V6A2J6,Canada,49.271619,-123.055762,V6A
2236 E 34th Ave, Vancouver,BC,V5P1B1,Canada,49.238649,-123.060743,V5P
1288 Marinaside Cres #609, Vancouver,BC,V6Z2W5,Canada,49.272079,-123.120377,V6Z
888 Bute St #101, Vancouver,BC,V6E1Y5,Canada,49.284652,-123.128638,V6E
1915 W 13th Ave, Vancouver,BC,V6J2H5,Canada,49.259723,-123.148738,V6J
3623 Yale St, Vancouver,BC,V5K1B8,Canada,49.290988,-123.025089,V5K
3437 E 49th Ave #80, Vancouver,BC,V5S1M1,Canada,49.224224,-123.031028,V5S
428 Beach Cres #2802, Vancouver,BC,V6Z3G1,Canada,49.27233,-123.127311,V6Z
1019 Gilford St #8, Vancouver,BC,V6G2P1,Canada,49.2903,-123.140972,V6G
7428 Alberta St #304, Vancouver,BC,V5X0J5,Canada,49.217347,-123.112657,V5X
3542 W 16th Ave, Vancouver,BC,V6R3C1,Canada,49.257558,-123.183274,V6R
275 E 65th Ave, Vancouver,BC,V5X2P3,Canada,49.211978,-123.100764,V5X
183 Keefer Pl #1004, Vancouver,BC,V6B6B9,Canada,49.280356,-123.10826,V6B
2889 E 1st Ave #215, Vancouver,BC,V5M0G2,Canada,49.269961,-123.044686,V5M
1372 Seymour St #2701, Vancouver,BC,V6B0L1,Canada,49.27459,-123.127563,V6B
53 Hastings St W #306, Vancouver,BC,V6B1G4,Canada,49.282116,-123.106307,V6B
