"Street address",City,State,"Zip/Postal Code",Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1525 Coal Harbour Cay #B17"," Vancouver",BC,V6G3E7,Canada,49.291479,-123.128047,0.6,street_center,,"Coal Harbour Quay",#,B17,Vancouver,BC,,V6G,CA,"CanVec+ by Natural Resources Canada"
"2106 SW Marine Dr"," Vancouver",BC,V6P6B5,Canada,49.214789,-123.15583,1,rooftop,2106,"SW Marine Dr",,,Vancouver,BC,,V6P,CA,Province
"3440 Broadway W #126"," Vancouver",BC,V6R4R2,Canada,49.264012,-123.180766,1,rooftop,3440,"W Broadway",#,126,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"8481 Portside Ct"," Vancouver",BC,V5P4V4,Canada,49.207213,-123.061855,0.6,street_center,,"Portside Ct",,,Vancouver,BC,,V5P,CA,"CanVec+ by Natural Resources Canada"
"2870 SW Marine Dr"," Vancouver",BC,V6N3X9,Canada,49.225986,-123.170995,1,rooftop,2870,"SW Marine Dr",,,Vancouver,BC,,V6N,CA,Province
"3823 Cypress St"," Vancouver",BC,V6J3P4,Canada,49.25175,-123.149196,1,rooftop,3823,"Cypress St",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2815 Yale St"," Vancouver",BC,V5K1C5,Canada,49.290923,-123.046093,1,rooftop,2815,"Yale St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1219 Harwood St #201"," Vancouver",BC,V6E1S5,Canada,49.280802,-123.135616,1,rooftop,1219,"Harwood St",#,201,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1611 E 3rd Ave #107"," Vancouver",BC,V5N1H1,Canada,49.268053,-123.071359,1,rooftop,1611,"E 3rd Ave",#,107,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1188 W 55th Ave"," Vancouver",BC,V6P1R1,Canada,49.220119,-123.132186,1,rooftop,1188,"W 55th Ave",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2478 W 5th Ave"," Vancouver",BC,V6K1S8,Canada,49.267165,-123.161621,0.9,nearest_rooftop_match,2476,"W 5th Ave",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4513 Nanaimo St"," Vancouver",BC,V5N5J2,Canada,49.244586,-123.057159,1,rooftop,4513,"Nanaimo St",,,Vancouver,BC,,V5N,CA,Province
"3462 Dartmoor Pl"," Vancouver",BC,V5S4G2,Canada,49.210305,-123.028942,0.78,nearest_rooftop_match,3443,"Dartmoor Pl",,,Vancouver,BC,,V5S,CA,Province
"838 Hamilton St #1009"," Vancouver",BC,V6B6A2,Canada,49.278326,-123.116209,1,rooftop,838,"Hamilton St",#,1009,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1201 Lameys Mill Rd #22"," Vancouver",BC,V6H3S8,Canada,49.267408,-123.134371,0.62,nearest_rooftop_match,1377,"Lamey's Mill Rd",#,22,Vancouver,BC,,V6H,CA,Province
"3945 Alice St #2"," Vancouver",BC,V5N4J6,Canada,49.249891,-123.066147,1,rooftop,3945,"Alice St",#,2,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1480 Howe St #P5-502"," Vancouver",BC,V6Z0G5,Canada,49.274891,-123.131173,1,rooftop,1480,"Howe St",#,P5,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2711 Point Grey Rd"," Vancouver",BC,V6K1A4,Canada,49.272416,-123.166684,1,rooftop,2711,"Point Grey Rd",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1828 SE Marine Dr"," Vancouver",BC,V5P2R3,Canada,49.210319,-123.069152,0.9,nearest_rooftop_match,1826,"SE Marine Dr",,,Vancouver,BC,,V5P,CA,Province
"4788 Belmont Ave"," Vancouver",BC,V6T1A9,Canada,49.274912,-123.219831,1,rooftop,4788,"Belmont Ave",,,Vancouver,BC,,V6T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1042 Ironwork Pass"," Vancouver",BC,V6H3P1,Canada,49.268132,-123.128577,0.79,nearest_rooftop_match,1051,"Ironwork Pass",,,Vancouver,BC,,V6H,CA,Province
"1611 Drummond Dr"," Vancouver",BC,V6T1B7,Canada,49.274087,-123.222267,1,rooftop,1611,"Drummond Dr",,,Vancouver,BC,,V6T,CA,Province
"159 W 2nd Ave #2/503"," Vancouver",BC,V5Y0L8,Canada,49.269571,-123.108504,1,rooftop,159,"W 2nd Ave",#,2,Vancouver,BC,,V5Y,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1599 Angus Dr"," Vancouver",BC,V6J4H2,Canada,49.254756,-123.141274,1,rooftop,1599,"Angus Dr",,,Vancouver,BC,,V6J,CA,Province
"8258 Tugboat Pl"," Vancouver",BC,V6P6P8,Canada,49.210799,-123.153303,0.6,street_center,,"Tugboat Pl",,,Vancouver,BC,,V6P,CA,"CanVec+ by Natural Resources Canada"
"1251 Cardero St #1808"," Vancouver",BC,V6G2H9,Canada,49.284994,-123.139881,1,rooftop,1251,"Cardero St",#,1808,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3688 W 49th Ave"," Vancouver",BC,V6N3T8,Canada,49.227055,-123.186489,1,rooftop,3688,"W 49th Ave",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1675 Larch St"," Vancouver",BC,V6K3N7,Canada,49.271174,-123.162392,1,rooftop,1675,"Larch St",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1159 Main St #505"," Vancouver",BC,V6A4B6,Canada,49.274261,-123.100494,1,rooftop,1159,"Main St",#,505,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1128 Georgia St W #4903"," Vancouver",BC,V6E0A8,Canada,49.285762,-123.123947,1,rooftop,1128,"W Georgia St",#,4903,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"138 Hastings St E #206"," Vancouver",BC,V6A0E6,Canada,49.281058,-123.101197,1,rooftop,138,"E Hastings St",#,206,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1720 Barclay St #503"," Vancouver",BC,V6G1K4,Canada,49.289164,-123.136778,1,rooftop,1720,"Barclay St",#,503,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1895 E 50th Ave"," Vancouver",BC,V5P1V1,Canada,49.224548,-123.067534,1,rooftop,1895,"E 50th Ave",,,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1510 W 1st Ave #305"," Vancouver",BC,V6J4S3,Canada,49.270682,-123.146084,0.6,street_center,,"W 1st Ave",#,305,Vancouver,BC,,V6J,CA,"CanVec+ by Natural Resources Canada"
"197 W King Edward Avenue St #8"," Vancouver",BC,V5Y4B4,Canada,49.248613,-123.109833,0.9,nearest_rooftop_match,198,"W King Edward Ave",#,8,Vancouver,BC,,V5Y,CA,Province
"1784 Drummond Dr"," Vancouver",BC,V6T1B6,Canada,49.271896,-123.220682,1,rooftop,1784,"Drummond Dr",,,Vancouver,BC,,V6T,CA,Province
"1188 Howe St #2403"," Vancouver",BC,V6Z2S8,Canada,49.278315,-123.12697,0.9,nearest_rooftop_match,1189,"Howe St",#,2403,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1363 E 21st Ave"," Vancouver",BC,V5V1R7,Canada,49.251446,-123.077023,0.9,nearest_rooftop_match,1362,"E 21st Ave",,,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
