Postal Code,Region,Neighborhood
V1A,Kimberley,Not assigned
V1B,Vernon East,Not assigned
V1C,Cranbrook,Not assigned
V1E,Salmon Arm,Not assigned
V1G,Dawson Creek,Not assigned
V1H,Vernon West,Not assigned
V1J,Fort St. John,Not assigned
V1K,Merritt,Not assigned
V1L,Nelson,Not assigned
V1M,Langley Township North,Not assigned
V1N,Castlegar,Not assigned
V1P,Kelowna East,Not assigned
V1R,Trail,Not assigned
V1S,Kamloops Southwest,Not assigned
V1T,Vernon Central,Not assigned
V1V,Kelowna North,Not assigned
V1W,Kelowna Southwest,Not assigned
V1X,Kelowna East Central,Not assigned
V1Y,Kelowna Central,Not assigned
V1Z,West Kelowna East,Not assigned
V2A,Penticton,Not assigned
V2B,Kamloops Northwest,Not assigned
V2C,Kamloops Central and Southeast,Not assigned
V2E,Kamloops South and West,Not assigned
V2G,Williams Lake,Not assigned
V2H,Kamloops North,Not assigned
V2J,Quesnel,Not assigned
V2K,Prince George North,Not assigned
V2L,Prince George East Central,Not assigned
V2M,Prince George West Central,Not assigned
V2N,Prince George South,Not assigned
V2P,Chilliwack Central,Not assigned
V2R,Chilliwack West,Not assigned
V2S,Abbotsford Southeast,Not assigned
V2T,Abbotsford Southwest,Not assigned
V2V,Mission East,Not assigned
V2W,Maple Ridge East,Not assigned
V2X,Maple Ridge West,Not assigned
V2Y,Langley Township Northwest,Not assigned
V2Z,Langley Township Southwest,Not assigned
V3A,Langley Township,Langley City
V3B,Port Coquitlam Central,Not assigned
V3C,Port Coquitlam South,Not assigned
V3E,Coquitlam North,Not assigned
V3G,Abbotsford East,Not assigned
V3H,Port Moody,Not assigned
V3J,Coquitlam North,Not assigned
V3K,Coquitlam South,Not assigned
V3L,New Westminster Northeast,Not assigned
V3M,New Westminster Southwest,Includes Annacis Island
V3N,Burnaby,East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong
V3P,Not assigned,Not assigned
V3R,Surrey North,Not assigned
V3S,Surrey Upper East,Not assigned
V3T,Surrey Inner Northwest,Not assigned
V3V,Surrey Outer Northwest,Not assigned
V3W,Surrey Upper West,Not assigned
V3X,Surrey Lower West,Not assigned
V3Y,Pitt Meadows,Not assigned
V3Z,Surrey Lower East,Not assigned
V4A,Surrey Southwest,Not assigned
V4B,White Rock,Not assigned
V4C,Delta Northeast,Not assigned
V4E,Delta East,Not assigned
V4G,Delta East Central,Not assigned
V4H,Not assigned,Not assigned
V4J,Not assigned,Not assigned
V4K,Delta Northwest,Not assigned
V4L,Delta Southeast,Not assigned
V4M,Delta Southwest,Not assigned
V4N,Surrey Northeast,Not assigned
V4P,Surrey South,Not assigned
V4R,Maple Ridge Northwest,Not assigned
V4S,Mission West,Not assigned
V4T,West Kelowna,Westbank
V4V,Winfield,Not assigned
V4W,Langley Township East,Not assigned
V4X,Abbotsford West,Not assigned
V4Y,Armstrong[3] / Spallumcheen / Enderby,Not assigned
V4Z,Chilliwack East,Not assigned
V5A,Burnaby,Government Road / Lake City / SFU / Burnaby Mountain
V5B,Burnaby,Parkcrest-Aubrey / Ardingley-Sprott
V5C,Burnaby,Burnaby Heights / Willingdon Heights / West Central Valley
V5E,Burnaby,Lakeview-Mayfield / Richmond Park / Kingsway-Beresford
V5G,Burnaby,Cascade-Schou / Douglas-Gilpin
V5H,Burnaby,Maywood / Marlborough / Oakalla / Windsor
V5J,Burnaby,Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend
V5K,Vancouver,North Hastings-Sunrise
V5L,Vancouver,North Grandview- Woodland
V5M,Vancouver,South Hastings-Sunrise / North Renfrew- Collingwood
V5N,Vancouver,South Grandview- Woodland / NE Kensington-Cedar Cottage
V5P,Vancouver,SE Kensington-Cedar Cottage / Victoria- Fraserview
V5R,Vancouver,South Renfrew- Collingwood
V5S,Vancouver,Killarney
V5T,Vancouver,East Mount Pleasant
V5V,Vancouver,West Kensington-Cedar Cottage / NE Riley Park
V5W,Vancouver,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset
V5X,Vancouver,SE Oakridge / East Marpole / South Sunset
V5Y,Vancouver,West Mount Pleasant / West Riley Park
V5Z,Vancouver,East Fairview / South Cambie
V6A,Vancouver,Strathcona / Chinatown / Downtown Eastside
V6B,Vancouver,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown
V6C,Vancouver,Waterfront / Coal Harbour / Canada Place
V6E,Vancouver,SE West End / Davie Village
V6G,Vancouver,NW West End / Stanley Park
V6H,Vancouver,West Fairview / Granville Island / NE Shaughnessy
V6J,Vancouver,NW Shaughnessy / East Kitsilano / Quilchena
V6K,Vancouver,Central Kitsilano / Greektown
V6L,Vancouver,NW Arbutus Ridge / NE Dunbar- Southlands
V6M,Vancouver,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge
V6N,Vancouver,West Kerrisdale / South Dunbar- Southlands / Musqueam
V6P,Vancouver,SE Kerrisdale / SW Oakridge / West Marpole
V6R,Vancouver,West Kitsilano / West Point Grey / Jericho
V6S,Vancouver,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands
V6T,Vancouver,UBC
V6V,Richmond Northeast,Not assigned
V6W,Richmond Southeast,Not assigned
V6X,Richmond North,Not assigned
V6Y,Richmond Central,Not assigned
V6Z,Vancouver,SW Downtown
V7A,Richmond South,Not assigned
V7B,Richmond,Sea Island / YVR
V7C,Richmond Northwest,Not assigned
V7E,Richmond Southwest,Not assigned
V7G,North Vancouver,district municipality) Outer East
V7H,North Vancouver,district municipality) Inner East
V7J,North Vancouver,district municipality) East Central
V7K,North Vancouver,district municipality) North Central
V7L,North Vancouver,city) South Central
V7M,North Vancouver,city) Southwest Central
V7N,North Vancouver,district municipality) Northwest Central
V7P,North Vancouver,city) Southwest
V7R,North Vancouver,district municipality) Northwest
V7S,West Vancouver North,Not assigned
V7T,West Vancouver Southeast,Not assigned
V7V,West Vancouver South,Not assigned
V7W,West Vancouver West,Not assigned
V7X,Vancouver,Bentall Centre
V7Y,Vancouver,Pacific Centre
V7Z,Sechelt,Halfmoon Bay
V8A,Powell River,Not assigned
V8B,Squamish,Not assigned
V8C,Kitimat,Not assigned
V8E,Whistler,Not assigned
V8G,Terrace,Not assigned
V8H,Cobble Hill / Mill Bay / Shawnigan Lake,Not assigned
V8J,Prince Rupert,Not assigned
V8K,Salt Spring Island,Not assigned
V8L,Sidney,North Saanich / YYJ
V8M,Central Saanich,Not assigned
V8N,Victoria,East Saanich
V8P,Victoria,SE Saanich / UVic
V8R,Victoria,North Oak Bay / North Fernwood / North Jubilee / South Jubilee / East Oaklands
V8S,Victoria,South Oak Bay / East Fairfield / Gonzales / South Fernwood / Rockland
V8T,Victoria,SE Burnside / Hillside-Quadra / North Park / West Oaklands / Rock Bay
V8V,Victoria,Cook Street Village / West Fairfield / Harris Green / Humboldt Valley / James Bay
V8W,Victoria,Downtown / Chinatown)British Columbia Provincial Government
V8X,Victoria,South Saanich
V8Y,Victoria,NE Saanich
V8Z,Victoria,Middle Saanich
V9A,Victoria,Vic West / Esquimalt)Canadian Forces (MARPAC
V9B,Victoria,West Highlands / North Langford / View Royal
V9C,Victoria,Colwood / South Langford / Metchosin
V9E,Victoria,East Highlands / NW Saanich
V9G,Ladysmith,Not assigned
V9H,Campbell River Outskirts,Not assigned
V9J,Courtenay Northern Outskirts,Not assigned
V9K,Qualicum Beach,Not assigned
V9L,Duncan,Not assigned
V9M,Comox,Not assigned
V9N,Courtenay Central,Not assigned
V9P,Parksville,Not assigned
V9R,Nanaimo South,Not assigned
V9S,Nanaimo Central,Not assigned
V9T,Nanaimo,North / Wellington / Northfield / Departure Bay
V9V,Nanaimo Northwest,Not assigned
V9W,Campbell River Central,Not assigned
V9X,Nanaimo,Cedar
V9Y,Port Alberni,Not assigned
V9Z,Sooke,Not assigned
