Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
0,1525 Coal Harbour Cay #B17,V6G3E7,49.291479,-123.128047,Vancouver,375000.0,1 bd,1 ba,484 sqft,0,2,8,14,93,15,248,104,0,71,0,0,0,0,10,POINT (-123.128047 49.291479),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
1,2106 SW Marine Dr,V6P6B5,49.214789,-123.15583,Vancouver,27500000.0,6 bds,9 ba,"10,709 sqft",0,0,0,2,25,0,1,2,0,0,0,0,0,0,0,POINT (-123.15583 49.214789),Kerrisdale,1477.0,295.0,107.0,21.0,362.0,72.0,1008.0,202.0
2,3440 Broadway W #126,V6R4R2,49.264012,-123.180766,Vancouver,989988.0,3 bds,2 ba,"1,266 sqft",0,0,0,7,65,4,54,19,0,13,0,0,0,0,2,POINT (-123.180766 49.264012),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
3,8481 Portside Ct,V5P4V4,49.207213,-123.061855,Vancouver,899900.0,3 bds,3 ba,"1,404 sqft",0,0,1,0,34,0,0,0,0,1,0,0,0,0,0,POINT (-123.061855 49.207213),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
4,2870 SW Marine Dr,V6N3X9,49.225986,-123.170995,Vancouver,16900000.0,7 bds,11 ba,"11,271 sqft",0,0,0,0,26,0,3,1,0,0,0,0,0,0,0,POINT (-123.170995 49.225986),Kerrisdale,1477.0,295.0,107.0,21.0,362.0,72.0,1008.0,202.0
5,3823 Cypress St,V6J3P4,49.25175,-123.149196,Vancouver,23999000.0,8 bds,12 ba,"20,629 sqft",0,0,1,6,72,0,22,7,1,4,0,0,0,0,2,POINT (-123.149196 49.25175),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
6,2815 Yale St,V5K1C5,49.290923,-123.046093,Vancouver,1950000.0,4 bds,3 ba,"2,567 sqft",0,0,0,0,27,1,11,4,0,4,0,0,0,0,1,POINT (-123.046093 49.290923),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
7,1219 Harwood St #201,V6E1S5,49.280802,-123.135616,Vancouver,550000.0,2 bds,2 ba,744 sqft,0,0,8,16,92,16,253,92,0,70,0,0,0,0,11,POINT (-123.135616 49.280802),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
8,1611 E 3rd Ave #107,V5N1H1,49.268053,-123.071359,Vancouver,579000.0,2 bds,1 ba,690 sqft,0,3,0,8,67,2,74,24,0,24,0,0,0,0,3,POINT (-123.071359 49.268053),Grandview-Woodland,8009.0,1602.0,1172.0,234.0,963.0,193.0,5874.0,1175.0
9,1188 W 55th Ave,V6P1R1,49.220119,-123.132186,Vancouver,28880000.0,8 bds,12 ba,"15,371 sqft",0,0,0,0,56,1,21,7,0,6,0,0,0,0,1,POINT (-123.132186 49.220119),Oakridge,1595.0,319.0,138.0,28.0,346.0,69.0,1111.0,222.0
