OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1,GO-201826213,2018,1/3/2018 5:00:00 AM,1200,2018,1/5/2018 5:00:00 AM,1321,D13,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Wilful Promotion of Hatred,102,Forest Hill North (102),102,Forest Hill North (102),NO
2,GO-201846652,2018,1/8/2018 5:00:00 AM,1757,2018,1/8/2018 5:00:00 AM,1757,D53,NA,NO,NO,,,,Muslim,,,NO,Assault,099,Mount Pleasant East (99),099,Mount Pleasant East (99),YES
3,GO-201861664,2018,1/10/2018 5:00:00 AM,2145,2018,1/10/2018 5:00:00 AM,2146,D14,Public Transportation,NO,NO,Black,,,,,,NO,Mischief Under $5000,095,Annex (95),095,Annex (95),NO
4,GO-2018119145,2018,1/19/2018 5:00:00 AM,2021,2018,1/19/2018 5:00:00 AM,2021,D12,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,028,Rustic (28),028,Rustic (28),NO
5,GO-2018119799,2018,1/19/2018 5:00:00 AM,1800,2018,1/20/2018 5:00:00 AM,55,D52,Public Transportation,NO,NO,,,,Muslim,,,NO,Assault,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),NO
6,GO-2018174949,2018,1/26/2018 5:00:00 AM,1800,2018,1/28/2018 5:00:00 AM,1326,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO
7,GO-2018168427,2018,1/27/2018 5:00:00 AM,1158,2018,1/27/2018 5:00:00 AM,1158,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,,,,,,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO
8,GO-2018200362,2018,2/1/2018 5:00:00 AM,1000,2018,2/1/2018 5:00:00 AM,1035,D13,Business/Retail,NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,102,Forest Hill North (102),102,Forest Hill North (102),NO
9,GO-2018198293,2018,2/1/2018 5:00:00 AM,127,2018,2/1/2018 5:00:00 AM,127,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,2SLGBTQ+,,NO,Mischief Under $5000,113,Weston (113),113,Weston (113),NO
10,GO-2018233724,2018,2/2/2018 5:00:00 AM,900,2018,2/9/2018 5:00:00 AM,939,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Muslim,,,NO,Mischief Under $5000,079,University (79),079,University (79),NO
11,GO-2018276837,2018,2/5/2018 5:00:00 AM,1257,2018,2/13/2018 5:00:00 AM,941,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,Jewish,,,YES,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO
12,GO-2018274742,2018,2/12/2018 5:00:00 AM,2140,2018,2/12/2018 5:00:00 AM,2239,D51,Public Transportation,NO,NO,,,,,Gay,,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
13,GO-2018247956,2018,2/13/2018 5:00:00 AM,600,2018,2/13/2018 5:00:00 AM,843,NSA,"Open Area, Park or Parking Lot",NO,NO,Black,,,Jewish,,,YES,Mischief Under $5000,NSA,NSA,NSA,NSA,NO
14,GO-2018299281,2018,2/16/2018 5:00:00 AM,1300,2018,2/16/2018 5:00:00 AM,1357,D53,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO
15,GO-2018307464,2018,2/17/2018 5:00:00 AM,1755,2018,2/17/2018 5:00:00 AM,2006,D22,Government Building,NO,NO,,,,,,Transgender Woman (Identifies As Woman),NO,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO
16,GO-2018325954,2018,2/20/2018 5:00:00 AM,2136,2018,2/20/2018 5:00:00 AM,2136,D52,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO
17,GO-2018338673,2018,2/21/2018 5:00:00 AM,900,2018,2/22/2018 5:00:00 AM,2039,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,058,Old East York (58),058,Old East York (58),NO
18,GO-2018338398,2018,2/22/2018 5:00:00 AM,500,2018,2/22/2018 5:00:00 AM,1751,D31,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO
19,GO-2018344655,2018,2/23/2018 5:00:00 AM,1610,2018,2/23/2018 5:00:00 AM,1617,D51,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES
20,GO-2018349271,2018,2/24/2018 5:00:00 AM,1045,2018,2/24/2018 5:00:00 AM,1047,D32,Other Commercial / Corporate Places ,NO,NO,Black,,,Jewish,,,YES,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
21,GO-2018368358,2018,2/27/2018 5:00:00 AM,943,2018,2/27/2018 5:00:00 AM,951,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,,,,,,NO,Assault,NSA,NSA,NSA,NSA,YES
22,GO-2018384695,2018,3/1/2018 5:00:00 AM,1545,2018,3/1/2018 5:00:00 AM,1559,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,Iranian,,,,,NO,Criminal Harassment,027,York University Heights (27),027,York University Heights (27),NO
23,GO-2018408769,2018,3/5/2018 5:00:00 AM,1100,2018,3/5/2018 5:00:00 AM,1239,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,,,,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO
24,GO-2018416387,2018,3/6/2018 5:00:00 AM,700,2018,3/6/2018 5:00:00 AM,1531,D53,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,"Chinese, Arab",,Jewish,,,YES,Uttering Threats - Bodily Harm,173,North Toronto (173),104,Mount Pleasant West (104),NO
25,GO-2018417283,2018,3/6/2018 5:00:00 AM,1430,2018,3/6/2018 5:00:00 AM,1811,D32,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,035,Westminster-Branson (35),035,Westminster-Branson (35),NO
26,GO-2018441841,2018,3/9/2018 5:00:00 AM,1900,2018,3/10/2018 5:00:00 AM,905,D11,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,085,South Parkdale (85),085,South Parkdale (85),NO
27,GO-2018486339,2018,3/16/2018 5:00:00 AM,1800,2018,3/17/2018 5:00:00 AM,1336,D52,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
28,GO-2018520971,2018,3/22/2018 5:00:00 AM,620,2018,3/22/2018 5:00:00 AM,1616,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
29,GO-2018571693,2018,3/27/2018 5:00:00 AM,2130,2018,3/30/2018 5:00:00 AM,1130,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Interfere With Property,094,Wychwood (94),094,Wychwood (94),NO
30,GO-2018827640,2018,3/28/2018 5:00:00 AM,1345,2018,5/8/2018 5:00:00 AM,838,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),NO
31,GO-2018596065,2018,3/28/2018 5:00:00 AM,1357,2018,4/3/2018 5:00:00 AM,1349,D31,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,021,Humber Summit (21),021,Humber Summit (21),YES
32,GO-2018635192,2018,4/8/2018 5:00:00 AM,1600,2018,4/9/2018 5:00:00 AM,1348,D22,Religious Place of Worship/Cultural Centre,NO,NO,,Korean,,,,,NO,"Mischief To Religious Property, Educational Institutions, Etc.",009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO
33,GO-2018653264,2018,4/12/2018 5:00:00 AM,812,2018,4/12/2018 5:00:00 AM,812,D51,Streets/Roadways/Highway,NO,NO,,,,,,Woman,NO,Assault With a Weapon,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES
34,GO-2018660834,2018,4/13/2018 5:00:00 AM,1045,2018,4/13/2018 5:00:00 AM,1045,D51,Non-Commercial/Non for Profit,NO,NO,Black,,,,,,NO,Criminal Harassment,073,Moss Park (73),073,Moss Park (73),NO
35,GO-2018660266,2018,4/13/2018 5:00:00 AM,900,2018,4/13/2018 5:00:00 AM,1032,D52,Streets/Roadways/Highway,NO,NO,,,,,,Woman,NO,Assault Causing Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES
36,GO-2018680241,2018,4/14/2018 5:00:00 AM,1709,2018,4/16/2018 5:00:00 AM,1541,D52,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO
37,GO-2018672544,2018,4/15/2018 5:00:00 AM,1049,2018,4/15/2018 5:00:00 AM,1222,D51,Other Commercial / Corporate Places ,NO,NO,,,,,,Woman,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES
38,GO-2018697960,2018,4/16/2018 5:00:00 AM,620,2018,4/19/2018 5:00:00 AM,745,D52,Other Commercial / Corporate Places ,NO,NO,,,,,,Woman,NO,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES
39,GO-2018696936,2018,4/19/2018 5:00:00 AM,258,2018,4/19/2018 5:00:00 AM,258,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
40,GO-2018712781,2018,4/20/2018 5:00:00 AM,2030,2018,4/21/2018 5:00:00 AM,1211,D51,Streets/Roadways/Highway,NO,NO,Black,,,,,,NO,Assault,073,Moss Park (73),073,Moss Park (73),NO
41,GO-2018732797,2018,4/20/2018 5:00:00 AM,1600,2018,4/24/2018 5:00:00 AM,1400,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,"Jewish, Muslim",,,YES,Mischief Interfere With Property,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),NO
42,GO-2018930794,2018,4/22/2018 5:00:00 AM,1926,2018,5/23/2018 5:00:00 AM,2002,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO
43,GO-2018745946,2018,4/25/2018 5:00:00 AM,1900,2018,4/26/2018 5:00:00 AM,1155,D53,Other Commercial / Corporate Places ,NO,NO,,,,Muslim,,,NO,Mischief Under $5000,103,Lawrence Park South (103),103,Lawrence Park South (103),YES
44,GO-2018743233,2018,4/26/2018 5:00:00 AM,1,2018,4/26/2018 5:00:00 AM,19,D55,Streets/Roadways/Highway,NO,NO,,,,Muslim,Lesbian,,YES,Assault,070,South Riverdale (70),070,South Riverdale (70),NO
45,GO-2018767447,2018,4/28/2018 5:00:00 AM,2100,2018,4/29/2018 5:00:00 AM,1813,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,Gay,,NO,Mischief Under $5000,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO
46,GO-2018806839,2018,5/5/2018 5:00:00 AM,105,2018,5/5/2018 5:00:00 AM,354,D43,Public Transportation,NO,NO,,Chinese,,,,,NO,Assault,134,Highland Creek (134),134,Highland Creek (134),NO
47,GO-2018882139,2018,5/14/2018 5:00:00 AM,615,2018,5/16/2018 5:00:00 AM,1634,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,173,North Toronto (173),104,Mount Pleasant West (104),NO
48,GO-20181152753,2018,5/16/2018 5:00:00 AM,951,2018,6/25/2018 5:00:00 AM,702,NSA,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,Chinese,,,,,NO,Uttering Threats - Bodily Harm,NSA,NSA,NSA,NSA,NO
49,GO-2018891688,2018,5/17/2018 5:00:00 AM,1825,2018,5/17/2018 5:00:00 AM,1833,D52,Streets/Roadways/Highway,NO,NO,,,,Muslim,,,NO,Mischief Interfere With Property,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
50,GO-2018903594,2018,5/19/2018 5:00:00 AM,1450,2018,5/19/2018 5:00:00 AM,1451,D33,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,,NO,Assault With a Weapon,043,Victoria Village (43),043,Victoria Village (43),YES
51,GO-2018913953,2018,5/21/2018 5:00:00 AM,948,2018,5/21/2018 5:00:00 AM,948,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Muslim,,,NO,Mischief Under $5000,138,Eglinton East (138),138,Eglinton East (138),NO
52,GO-20181364803,2018,5/24/2018 5:00:00 AM,1,2018,7/26/2018 5:00:00 AM,1554,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),NO
53,GO-2018970888,2018,5/29/2018 5:00:00 AM,1700,2018,5/29/2018 5:00:00 AM,1810,D23,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,Gay,,NO,Uttering Threats - Bodily Harm,001,West Humber-Clairville (1),001,West Humber-Clairville (1),NO
54,GO-2018975560,2018,5/29/2018 5:00:00 AM,2030,2018,5/30/2018 5:00:00 AM,1312,D13,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,NO,"Mischief To Religious Property, Educational Institutions, Etc.",094,Wychwood (94),094,Wychwood (94),NO
55,GO-2018982987,2018,5/31/2018 5:00:00 AM,1212,2018,5/31/2018 5:00:00 AM,1212,D55,"Open Area, Park or Parking Lot",NO,NO,"Black, White",,,,2SLGBTQ+,,YES,Mischief Under $5000,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),NO
56,GO-2018989194,2018,5/31/2018 5:00:00 AM,1900,2018,6/1/2018 5:00:00 AM,853,D55,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO
57,GO-2018990504,2018,6/1/2018 5:00:00 AM,1225,2018,6/1/2018 5:00:00 AM,1225,D53,Religious Place of Worship/Cultural Centre,NO,NO,,,,Christian Orthodox,,,NO,"Mischief To Religious Property, Educational Institutions, Etc.",095,Annex (95),095,Annex (95),NO
58,GO-20181026326,2018,6/6/2018 5:00:00 AM,1557,2018,6/6/2018 5:00:00 AM,1803,D31,Public Transportation,NO,NO,,,,Muslim,,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
59,GO-20181025277,2018,6/6/2018 5:00:00 AM,1500,2018,6/6/2018 5:00:00 AM,1502,D31,Streets/Roadways/Highway,NO,NO,,,,Muslim,,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
60,GO-20181027737,2018,6/6/2018 5:00:00 AM,2152,2018,6/6/2018 5:00:00 AM,2152,D31,Streets/Roadways/Highway,NO,NO,,,,Muslim,,Woman,YES,Assault,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
