,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
0,1787 Saint Clair Ave W #414,M6N1H9,43.673553,-79.461868,The Junction North,York,525000,2 bds,1 ba,,0,0,5,5,118,4,66,20,0,31,0,0,0,0,2
1,509 Beecroft Rd #1209,M2N0A3,43.778652,-79.417947,Willowdale South,North York,848000,3 bds,2 ba,,0,2,13,3,109,1,83,29,1,21,0,0,0,0,2
3,186 Macpherson Ave,M5R1W8,43.677945,-79.396728,The Annex,Central Toronto,2218000,3 bds,3 ba,,0,8,55,12,126,9,103,55,1,58,0,0,0,0,3
4,195 McCaul St #909,M5T0E5,43.6567,-79.392206,Chinatown,Downtown Toronto,449900,Studio,1 ba,,9,9,174,28,92,47,454,229,0,362,0,0,0,0,15
5,30 Roehampton Ave UNIT 1902,M4P0B9,43.708432,-79.397532,Davisville North,Central Toronto,630000,2 bds,2 ba,,0,2,8,11,117,12,99,43,3,69,0,0,0,0,7
6,84 Old Forest Hill Rd,M5P2R5,43.698984,-79.418189,Forest Hill North,Central Toronto,16950000,7 bds,8 ba,,0,0,5,3,84,3,37,13,0,15,0,0,0,0,1
7,625 Queen St E #607,M4M1G7,43.658001,-79.352987,Studio District,East Toronto,769900,2 bds,1 ba,,2,0,8,7,50,7,61,32,0,23,0,0,0,0,0
8,320 Dixon Rd #506,M9R1S8,43.696822,-79.552528,Kingsview Village,Etobicoke,399900,2 bds,1 ba,,0,0,8,0,61,0,2,2,0,6,0,0,0,0,0
9,45 Manning Ave,M6J2K3,43.647598,-79.408882,Little Portugal,West Toronto,999999,3 bds,1 ba,,1,0,13,14,42,29,325,114,0,118,0,0,0,0,8
10,41 Pinto Dr,M2J3T9,43.791871,-79.339242,Fairview,North York,1149000,6 bds,3 ba,"1,855 sqft",0,0,12,0,55,0,4,1,0,4,0,0,0,0,1
11,3 Chilcot Ave,M9W1T9,43.713267,-79.551602,Northwest,Etobicoke,798000,4 bds,2 ba,,0,1,6,1,40,0,14,1,0,17,0,0,0,0,1
12,2 Sonic Way #1708,M3C0P2,43.719497,-79.336408,Flemingdon Park,North York,499000,1 bd,1 ba,,0,0,4,2,76,0,13,1,0,7,0,0,0,0,1
13,53 Hazelton Ave,M5R2E3,43.672448,-79.393529,The Annex,Central Toronto,6880000,3 bds,4 ba,,1,8,145,12,128,17,145,83,0,96,0,0,0,0,2
14,80 John St #3201,M5V3X4,43.646874,-79.390188,CN Tower,Downtown Toronto,1550000,2 bds,2 ba,,5,9,26,28,67,49,413,217,0,356,0,0,0,0,16
15,7 Carlton St #704,M5B2M3,43.661094,-79.38259,Ryerson,Downtown Toronto,628888,1 bd,1 ba,670 sqft,7,12,127,29,130,32,337,205,0,329,0,0,0,0,13
16,37 Pringdale Gardens Cir,M1J0B1,43.742145,-79.24373,Scarborough Village,Scarborough,899900,5 bds,4 ba,,0,1,6,2,71,1,13,1,0,9,0,0,0,0,2
17,10 Ed Clark Gdns #14,M6N3A9,43.674272,-79.46257,The Junction North,York,949900,3 bds,2 ba,"1,231 sqft",0,0,5,5,116,4,65,17,0,31,0,0,0,0,2
18,12 Waring Ct,M2N4G7,43.776906,-79.401025,Willowdale South,North York,3998800,5 bds,7 ba,,0,0,7,1,66,0,33,3,1,8,0,0,0,0,0
19,60 Colborne St #1608,M5E0B7,43.649288,-79.374406,Berczy Park,Downtown Toronto,475000,1 bd,1 ba,,0,7,39,24,131,37,264,165,0,307,0,0,0,0,13
20,185 Roehampton Ave #2907,M4P0C6,43.708956,-79.392982,Davisville North,Central Toronto,550000,1 bd,1 ba,,0,2,10,11,108,12,94,40,3,66,0,0,0,0,7
21,1 Sudbury St #101,M6J3W6,43.641055,-79.417998,Little Portugal,West Toronto,679000,2 bds,1 ba,,0,1,8,7,56,13,117,54,0,54,0,0,0,0,3
22,51 Harrison Garden Blvd #707,M2N7G4,43.756666,-79.407784,Willowdale South,North York,498800,2 bds,2 ba,,0,3,3,8,77,0,33,18,0,40,0,0,0,0,1
