,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
0,0,435 middlefield rd #56,agincourt north,43.808839,-79.256579,848800,4,4,POINT (640226.2005509724 4852118.588431975),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,30,agincourt north,7.262003335,0.550812195,8,18,58,8,0,0,0
1,1,78 ashridge dr,agincourt north,43.815736,-79.268628,998000,5,3,POINT (639241.0382690977 4852864.261428865),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,30,agincourt north,7.262003335,0.550812195,13,49,97,12,0,1,0
2,2,48 ardgowan cres,agincourt north,43.812243,-79.271403,898000,4,3,POINT (639025.9696566293 4852471.639622301),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,30,agincourt north,7.262003335,0.550812195,13,48,88,5,4,4,0
3,3,119 - 5235 finch ave e,agincourt north,43.809932,-79.254877,560000,3,2,POINT (640360.5362696599 4852242.870013357),1285,257,348,70,689,138,248,50,6365,10820,2835,1955,780,175,6575,11875,2685,1475,225,110,30,agincourt north,7.262003335,0.550812195,9,17,61,9,0,0,0
4,4,60 manorglen cres,agincourt south-malvern west,43.780125,-79.271026,1199000,4,3,POINT (639130.8167991819 4848905.055121312),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,31,agincourt south-malvern west,7.873072046,0.762091337,1,48,127,1,0,0,0
5,5,61 fulbert cres,agincourt south-malvern west,43.790312,-79.287079,1648000,6,4,POINT (637815.6013977984 4850009.625919316),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,31,agincourt south-malvern west,7.873072046,0.762091337,4,56,101,4,0,0,0
6,6,135 village green sq #418,agincourt south-malvern west,43.777872,-79.280751,549000,2,2,POINT (638353.4323632173 4848638.524521563),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,31,agincourt south-malvern west,7.873072046,0.762091337,1,52,101,0,1,0,0
7,7,418 - 135 village green sq,agincourt south-malvern west,43.777872,-79.280751,549000,2,2,POINT (638353.4323632173 4848638.524521563),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,31,agincourt south-malvern west,7.873072046,0.762091337,1,52,101,0,1,0,0
8,8,1717 - 4725 sheppard ave e,agincourt south-malvern west,43.790016,-79.254657,417171,2,1,POINT (640424.8846845736 4850031.250513165),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,31,agincourt south-malvern west,7.873072046,0.762091337,15,52,99,11,3,0,1
9,9,1801 - 225 village green sq,agincourt south-malvern west,43.779842,-79.281958,559000,2,1,POINT (638251.7593640831 4848855.307332144),1806,361,656,131,778,156,372,74,5210,9005,2690,2040,800,270,5400,9960,2710,1505,265,175,31,agincourt south-malvern west,7.873072046,0.762091337,1,53,89,1,0,0,0
