,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_counts,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
0,0,1525 coal harbour cay #b17,downtown,49.291479,-123.128047,375000,1,1,POINT (-2496830.441306704 6370639.273897188),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,35,221,565,10,24,0,1
1,1,838 hamilton st #1009,downtown,49.278326,-123.116209,350000,2,1,POINT (-2496960.671853473 6368756.515910945),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,133,561,908,23,96,8,6
2,2,1480 howe st #p5-502,downtown,49.274891,-123.131173,89800,0,1,POINT (-2498199.289991543 6369090.952103601),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,51,271,568,13,34,1,3
3,3,1159 main st #505,downtown,49.274261,-123.100494,768000,2,2,POINT (-2496196.224628719 6367623.178956845),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,57,219,459,39,18,0,0
4,4,138 hastings st e #206,downtown,49.281058,-123.101197,359000,1,1,POINT (-2495768.086323264 6368348.539808315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,107,292,455,26,77,0,4
5,5,1188 howe st #2403,downtown,49.278315,-123.12697,748000,2,2,POINT (-2497679.381589819 6369247.749438821),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,165,457,790,28,125,5,7
6,6,1325 rolston st #1513,downtown,49.275617,-123.127925,633000,0,1,POINT (-2497931.8037143 6369016.334806864),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,109,348,703,26,75,1,7
7,7,63 keefer pl #502,downtown,49.279933,-123.10662,970000,3,2,POINT (-2496208.546421458 6368481.797681301),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,148,364,682,27,115,3,3
8,8,1189 melville st #3404,downtown,49.287784,-123.123458,1650000,2,3,POINT (-2496782.835907799 6370052.578930545),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,122,402,867,24,89,3,6
9,9,1499 w pender st #1802,downtown,49.289964,-123.128049,2798000,2,3,POINT (-2496936.548869003 6370484.900115178),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,73,255,675,12,58,0,3
